year,quintil_oecd,sex,plj0589,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2013,4th Quintile,female,Sometimes,0.08539,200,25329,0.08517,0.08560
2013,4th Quintile,female,Seldom,0.27894,665,25329,0.27860,0.27929
2013,4th Quintile,female,Never,0.60280,1598,25329,0.60242,0.60318
2013,5th Quintile,male,Often,0.01210,31,25329,0.01202,0.01218
2013,5th Quintile,male,Sometimes,0.06954,162,25329,0.06936,0.06973
2013,5th Quintile,male,Seldom,0.28820,729,25329,0.28787,0.28853
2013,5th Quintile,male,Never,0.63015,1799,25329,0.62980,0.63051
2013,5th Quintile,female,Often,0.01961,41,25329,0.01950,0.01972
2013,5th Quintile,female,Sometimes,0.06649,178,25329,0.06629,0.06668
2013,5th Quintile,female,Seldom,0.27016,640,25329,0.26982,0.27051
2013,5th Quintile,female,Never,0.64374,1839,25329,0.64336,0.64411
2021,1st Quintile,male,Very often,0.03801,121,18862,0.03786,0.03816
2021,1st Quintile,male,Often,0.09025,233,18862,0.09002,0.09049
2021,1st Quintile,male,Sometimes,0.16140,408,18862,0.16110,0.16170
2021,1st Quintile,male,Seldom,0.29651,517,18862,0.29614,0.29688
2021,1st Quintile,male,Never,0.41383,998,18862,0.41343,0.41422
2021,1st Quintile,female,Very often,0.03179,115,18862,0.03166,0.03192
2021,1st Quintile,female,Often,0.09804,268,18862,0.09782,0.09826
2021,1st Quintile,female,Sometimes,0.17429,466,18862,0.17401,0.17458
2021,1st Quintile,female,Seldom,0.29349,631,18862,0.29315,0.29382
2021,1st Quintile,female,Never,0.40239,964,18862,0.40203,0.40275
2021,2nd Quintile,male,Very often,0.02623,41,18862,0.02611,0.02636
2021,2nd Quintile,male,Often,0.06036,96,18862,0.06017,0.06055
2021,2nd Quintile,male,Sometimes,0.13108,217,18862,0.13082,0.13135
2021,2nd Quintile,male,Seldom,0.33396,505,18862,0.33359,0.33433
2021,2nd Quintile,male,Never,0.44837,776,18862,0.44798,0.44876
2021,2nd Quintile,female,Very often,0.02135,54,18862,0.02124,0.02145
2021,2nd Quintile,female,Often,0.08879,164,18862,0.08858,0.08899
2021,2nd Quintile,female,Sometimes,0.11534,249,18862,0.11511,0.11558
2021,2nd Quintile,female,Seldom,0.33658,597,18862,0.33624,0.33693
2021,2nd Quintile,female,Never,0.43794,890,18862,0.43758,0.43830
2021,3rd Quintile,male,Often,0.05537,69,18862,0.05520,0.05555
2021,3rd Quintile,male,Sometimes,0.10497,159,18862,0.10474,0.10521
2021,3rd Quintile,male,Seldom,0.31209,433,18862,0.31174,0.31245
2021,3rd Quintile,male,Never,0.52756,728,18862,0.52717,0.52794
2021,3rd Quintile,female,Very often,0.02149,32,18862,0.02139,0.02160
2021,3rd Quintile,female,Often,0.05206,114,18862,0.05189,0.05222
2021,3rd Quintile,female,Sometimes,0.12376,190,18862,0.12352,0.12401
2021,3rd Quintile,female,Seldom,0.33538,511,18862,0.33503,0.33573
2021,3rd Quintile,female,Never,0.46731,800,18862,0.46694,0.46768
2021,4th Quintile,male,Often,0.03507,51,18862,0.03493,0.03520
2021,4th Quintile,male,Sometimes,0.12215,143,18862,0.12191,0.12239
2021,4th Quintile,male,Seldom,0.31750,476,18862,0.31716,0.31784
2021,4th Quintile,male,Never,0.52528,867,18862,0.52492,0.52565
2021,4th Quintile,female,Often,0.04495,75,18862,0.04479,0.04510
2021,4th Quintile,female,Sometimes,0.09425,172,18862,0.09403,0.09447
2021,4th Quintile,female,Seldom,0.29772,478,18862,0.29738,0.29806
2021,4th Quintile,female,Never,0.56308,968,18862,0.56271,0.56345
2021,5th Quintile,male,Often,0.01704,48,18862,0.01695,0.01713
2021,5th Quintile,male,Sometimes,0.08582,150,18862,0.08563,0.08602
2021,5th Quintile,male,Seldom,0.29301,598,18862,0.29269,0.29332
2021,5th Quintile,male,Never,0.60413,1461,18862,0.60379,0.60447
2021,5th Quintile,female,Often,0.03395,71,18862,0.03381,0.03408
2021,5th Quintile,female,Sometimes,0.10693,181,18862,0.10670,0.10717
2021,5th Quintile,female,Seldom,0.27712,536,18862,0.27678,0.27746
2021,5th Quintile,female,Never,0.58200,1241,18862,0.58163,0.58237
