,Unnamed: 0,year,pgisced97,sex,plj0589,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
50,50,2019,Primary Level,female,Never,1.0,31,31,0.59212,1.57607
51,51,2020,Primary Level,male,Sometimes,0.28084,46,400,0.18766,0.38518
52,52,2020,Primary Level,male,Seldom,0.24847,54,400,0.18097,0.32141
53,53,2020,Primary Level,male,Never,0.47069,82,400,0.38259,0.56179
54,54,2020,Primary Level,female,Sometimes,0.50263,34,400,0.32811,0.6667
55,55,2020,Primary Level,female,Never,0.49737,48,400,0.33937,0.68688
56,56,2020,Lower Secondary Level,male,Never,1.0,50,400,0.68689,1.32578
57,57,2020,Upper Secondary Level,male,Seldom,0.35996,37,400,0.26594,0.46751
58,58,2020,Upper Secondary Level,male,Never,0.64004,49,400,0.43303,0.8576
59,59,2021,Pre-primary Level,male,Seldom,0.4713,32,18524,0.29546,0.73078
60,60,2021,Pre-primary Level,male,Never,0.5287,46,18524,0.33401,0.80419
61,61,2021,Pre-primary Level,female,Never,1.0,33,18524,0.32494,1.8213
62,62,2021,Primary Level,male,Very often,0.0908,45,18524,0.03586,0.1622
63,63,2021,Primary Level,male,Often,0.14059,66,18524,0.05226,0.26372
64,64,2021,Primary Level,male,Sometimes,0.25738,116,18524,0.12474,0.44825
65,65,2021,Primary Level,male,Seldom,0.15941,72,18524,0.10359,0.22325
66,66,2021,Primary Level,male,Never,0.35182,243,18524,0.24179,0.48465
67,67,2021,Primary Level,female,Very often,0.04725,36,18524,0.01236,0.10817
68,68,2021,Primary Level,female,Often,0.14372,50,18524,0.04951,0.29397
69,69,2021,Primary Level,female,Sometimes,0.2172,114,18524,0.14243,0.29715
70,70,2021,Primary Level,female,Seldom,0.19034,78,18524,0.13191,0.27163
71,71,2021,Primary Level,female,Never,0.40149,192,18524,0.26246,0.60234
72,72,2021,Lower Secondary Level,male,Very often,0.01886,36,18524,0.01004,0.03222
73,73,2021,Lower Secondary Level,male,Often,0.08334,79,18524,0.06192,0.11245
74,74,2021,Lower Secondary Level,male,Sometimes,0.14717,134,18524,0.10451,0.20616
75,75,2021,Lower Secondary Level,male,Seldom,0.31826,197,18524,0.25446,0.38426
76,76,2021,Lower Secondary Level,male,Never,0.43237,364,18524,0.36137,0.50968
77,77,2021,Lower Secondary Level,female,Very often,0.02932,44,18524,0.01674,0.04774
78,78,2021,Lower Secondary Level,female,Often,0.09465,108,18524,0.07315,0.12661
79,79,2021,Lower Secondary Level,female,Sometimes,0.14887,161,18524,0.11737,0.18
80,80,2021,Lower Secondary Level,female,Seldom,0.31086,275,18524,0.26424,0.35912
81,81,2021,Lower Secondary Level,female,Never,0.41629,407,18524,0.36139,0.46929
82,82,2021,Upper Secondary Level,male,Very often,0.01968,64,18524,0.01337,0.02652
83,83,2021,Upper Secondary Level,male,Often,0.05162,188,18524,0.04146,0.06127
84,84,2021,Upper Secondary Level,male,Sometimes,0.11116,370,18524,0.09712,0.12547
85,85,2021,Upper Secondary Level,male,Seldom,0.32189,1016,18524,0.30171,0.34843
86,86,2021,Upper Secondary Level,male,Never,0.49565,1730,18524,0.45853,0.52406
87,87,2021,Upper Secondary Level,female,Very often,0.02058,93,18524,0.01614,0.02525
88,88,2021,Upper Secondary Level,female,Often,0.06498,278,18524,0.05591,0.07464
89,89,2021,Upper Secondary Level,female,Sometimes,0.11178,493,18524,0.10106,0.12458
90,90,2021,Upper Secondary Level,female,Seldom,0.32397,1207,18524,0.30163,0.34905
91,91,2021,Upper Secondary Level,female,Never,0.47869,1930,18524,0.44869,0.50916
92,92,2021,Post-secondary Non-tertiary Level,male,Often,0.05211,35,18524,0.02967,0.07624
93,93,2021,Post-secondary Non-tertiary Level,male,Sometimes,0.15997,83,18524,0.11658,0.21017
94,94,2021,Post-secondary Non-tertiary Level,male,Seldom,0.29304,178,18524,0.24001,0.37331
95,95,2021,Post-secondary Non-tertiary Level,male,Never,0.49488,314,18524,0.42441,0.58257
96,96,2021,Post-secondary Non-tertiary Level,female,Often,0.06089,64,18524,0.0447,0.07991
97,97,2021,Post-secondary Non-tertiary Level,female,Sometimes,0.13412,119,18524,0.10241,0.17533
98,98,2021,Post-secondary Non-tertiary Level,female,Seldom,0.28732,240,18524,0.25123,0.33698
99,99,2021,Post-secondary Non-tertiary Level,female,Never,0.51767,533,18524,0.45803,0.57773
100,100,2021,First Stage of Tertiary Education,male,Sometimes,0.10433,56,18524,0.07123,0.1357
101,101,2021,First Stage of Tertiary Education,male,Seldom,0.3661,188,18524,0.30458,0.43642
102,102,2021,First Stage of Tertiary Education,male,Never,0.52957,353,18524,0.45966,0.59897
103,103,2021,First Stage of Tertiary Education,female,Sometimes,0.10896,39,18524,0.07506,0.14785
104,104,2021,First Stage of Tertiary Education,female,Seldom,0.32474,115,18524,0.25233,0.38729
105,105,2021,First Stage of Tertiary Education,female,Never,0.5663,214,18524,0.4646,0.70748
106,106,2021,Second Stage of Tertiary Education,male,Very often,0.00637,42,18524,0.00388,0.00912
107,107,2021,Second Stage of Tertiary Education,male,Often,0.03514,115,18524,0.02581,0.04615
108,108,2021,Second Stage of Tertiary Education,male,Sometimes,0.10009,281,18524,0.08149,0.11938
109,109,2021,Second Stage of Tertiary Education,male,Seldom,0.29056,800,18524,0.26011,0.3166
110,110,2021,Second Stage of Tertiary Education,male,Never,0.56783,1718,18524,0.53549,0.61001
111,111,2021,Second Stage of Tertiary Education,female,Very often,0.00838,46,18524,0.00491,0.01313
112,112,2021,Second Stage of Tertiary Education,female,Often,0.04643,159,18524,0.03641,0.05443
113,113,2021,Second Stage of Tertiary Education,female,Sometimes,0.11964,288,18524,0.10055,0.1398
114,114,2021,Second Stage of Tertiary Education,female,Seldom,0.2789,743,18524,0.25178,0.30709
115,115,2021,Second Stage of Tertiary Education,female,Never,0.54666,1504,18524,0.5076,0.58356
