year,age_gr,regtyp,plg0292_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1997,30-45 y.,Rural regions,Further vocational education,1.00000,41,95,1.00000,1.00000
1998,30-45 y.,Urban regions,Further vocational education,1.00000,36,36,1.00000,1.00000
1999,30-45 y.,Urban regions,Further vocational education,1.00000,48,48,1.00000,1.00000
2000,17-29 y.,Urban regions,Further vocational education,0.49217,38,229,0.49003,0.49431
2000,17-29 y.,Urban regions,Others,0.50783,42,229,0.50569,0.50997
2000,30-45 y.,Urban regions,Further vocational education,0.57621,62,229,0.57431,0.57812
2000,30-45 y.,Urban regions,Others,0.42379,36,229,0.42188,0.42569
2000,30-45 y.,Rural regions,Further vocational education,1.00000,51,229,1.00000,1.00000
2001,17-29 y.,Urban regions,Further vocational education,1.00000,34,139,1.00000,1.00000
2001,30-45 y.,Urban regions,Further vocational education,1.00000,73,139,1.00000,1.00000
2001,30-45 y.,Rural regions,Further vocational education,1.00000,32,139,1.00000,1.00000
2002,17-29 y.,Urban regions,Others,1.00000,37,137,1.00000,1.00000
2002,30-45 y.,Urban regions,Further vocational education,1.00000,69,137,1.00000,1.00000
2002,30-45 y.,Rural regions,Further vocational education,1.00000,31,137,1.00000,1.00000
2003,17-29 y.,Urban regions,Others,1.00000,32,125,1.00000,1.00000
2003,30-45 y.,Urban regions,Further vocational education,1.00000,57,125,1.00000,1.00000
2003,30-45 y.,Rural regions,Further vocational education,1.00000,36,125,1.00000,1.00000
2004,17-29 y.,Urban regions,Further vocational education,1.00000,33,85,1.00000,1.00000
2004,30-45 y.,Urban regions,Further vocational education,1.00000,52,85,1.00000,1.00000
2005,30-45 y.,Urban regions,Further vocational education,1.00000,38,38,1.00000,1.00000
2006,30-45 y.,Urban regions,Further vocational education,1.00000,35,35,1.00000,1.00000
2007,30-45 y.,Urban regions,Further vocational education,1.00000,33,33,1.00000,1.00000
2010,30-45 y.,Urban regions,Further vocational education,1.00000,54,54,1.00000,1.00000
2011,30-45 y.,Urban regions,Vocational Retraining,0.25766,39,143,0.25591,0.25941
2011,30-45 y.,Urban regions,Further vocational education,0.74234,70,143,0.74059,0.74409
2011,30-45 y.,Rural regions,Further vocational education,1.00000,34,143,1.00000,1.00000
2012,30-45 y.,Urban regions,Vocational Retraining,0.24177,31,112,0.23949,0.24406
2012,30-45 y.,Urban regions,Further vocational education,0.75823,49,112,0.75594,0.76051
2012,46-65 y.,Urban regions,Further vocational education,1.00000,32,112,1.00000,1.00000
2013,30-45 y.,Urban regions,Vocational Retraining,0.31692,40,179,0.31492,0.31891
2013,30-45 y.,Urban regions,Further vocational education,0.68308,64,179,0.68109,0.68508
2013,30-45 y.,Rural regions,Further vocational education,1.00000,39,179,1.00000,1.00000
2013,46-65 y.,Urban regions,Further vocational education,1.00000,36,179,1.00000,1.00000
2014,30-45 y.,Urban regions,Vocational Retraining,0.31807,34,81,0.31592,0.32022
2014,30-45 y.,Urban regions,Further vocational education,0.68193,47,81,0.67978,0.68408
2015,30-45 y.,Urban regions,Further vocational education,1.00000,47,47,1.00000,1.00000
2016,17-29 y.,Urban regions,Further vocational education,1.00000,31,88,1.00000,1.00000
2016,30-45 y.,Urban regions,Further vocational education,1.00000,57,88,1.00000,1.00000
2017,30-45 y.,Urban regions,Further vocational education,1.00000,58,58,1.00000,1.00000
2018,30-45 y.,Urban regions,Vocational Retraining,0.43802,36,85,0.43599,0.44005
2018,30-45 y.,Urban regions,Further vocational education,0.56198,49,85,0.55995,0.56401
2019,30-45 y.,Urban regions,Further vocational education,1.00000,32,32,1.00000,1.00000
2020,30-45 y.,Urban regions,Further vocational education,1.00000,44,44,1.00000,1.00000
2021,30-45 y.,Urban regions,Further vocational education,1.00000,34,34,1.00000,1.00000
