year,pgisced97,regtyp,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.74077,33,33,0.58893,0.89260
2000,Upper Secondary Level,Urban regions,Further vocational education,0.43022,59,59,0.30280,0.55764
2000,Upper Secondary Level,Rural regions,Further vocational education,0.46647,42,42,0.31376,0.61917
2001,Upper Secondary Level,Urban regions,Further vocational education,0.50727,57,57,0.37632,0.63821
2001,Upper Secondary Level,Rural regions,Further vocational education,0.39951,34,34,0.23240,0.56663
2001,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.56753,42,42,0.41589,0.71918
2002,Upper Secondary Level,Urban regions,Further vocational education,0.55894,46,46,0.41387,0.70401
2002,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.43912,31,62,0.31458,0.56367
2002,Second Stage of Tertiary Education,Urban regions,Others,0.44801,31,62,0.32322,0.57281
2003,Upper Secondary Level,Urban regions,Further vocational education,0.43164,31,31,0.25439,0.60888
2003,Upper Secondary Level,Rural regions,Further vocational education,0.45654,31,31,0.27829,0.63478
2003,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.64766,35,35,0.48708,0.80823
2004,Upper Secondary Level,Urban regions,Further vocational education,0.45826,37,37,0.29550,0.62103
2004,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.51376,37,37,0.35049,0.67703
2005,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.57912,32,32,0.40532,0.75291
2010,Upper Secondary Level,Urban regions,Further vocational education,0.47771,37,37,0.31454,0.64088
2010,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.53707,32,32,0.36154,0.71260
2011,Upper Secondary Level,Urban regions,Further vocational education,0.60364,47,47,0.46229,0.74500
2011,Upper Secondary Level,Rural regions,Further vocational education,0.59134,32,32,0.41829,0.76440
2011,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.74467,37,37,0.60222,0.88711
2012,Upper Secondary Level,Urban regions,Vocational Retraining,0.23781,31,68,0.13587,0.33976
2012,Upper Secondary Level,Urban regions,Further vocational education,0.46497,37,68,0.34554,0.58440
2012,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.57472,38,38,0.41542,0.73402
2013,Upper Secondary Level,Urban regions,Vocational Retraining,0.30471,36,83,0.20508,0.40434
2013,Upper Secondary Level,Urban regions,Further vocational education,0.39747,47,83,0.29155,0.50339
2013,Upper Secondary Level,Rural regions,Further vocational education,0.79081,34,34,0.65203,0.92958
2013,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.67671,40,40,0.52991,0.82350
2014,Upper Secondary Level,Urban regions,Further vocational education,0.63565,35,35,0.47389,0.79742
2014,Upper Secondary Level,Rural regions,Further vocational education,0.43463,31,31,0.25725,0.61202
2014,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.52332,42,42,0.37044,0.67621
2015,Upper Secondary Level,Urban regions,Further vocational education,0.51023,38,38,0.34915,0.67130
2016,Upper Secondary Level,Urban regions,Further vocational education,0.66444,37,37,0.51019,0.81868
2016,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.45045,40,40,0.29429,0.60660
2017,Upper Secondary Level,Urban regions,Further vocational education,0.51270,38,38,0.35164,0.67376
2017,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.56265,48,48,0.42083,0.70447
2018,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.63295,34,34,0.46850,0.79741
2020,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.50289,47,47,0.35840,0.64739
2021,Second Stage of Tertiary Education,Urban regions,Further vocational education,0.74539,36,36,0.60106,0.88972
