year,age_gr,migback,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,17-29 y.,No migration background,Further vocational education,0.01878,33,33,-0.02825,0.06582
1999,30-45 y.,No migration background,Further vocational education,0.01872,71,71,-0.01303,0.05047
2000,17-29 y.,No migration background,Further vocational education,0.01581,55,97,-0.00914,0.04076
2000,17-29 y.,No migration background,Others,0.01215,42,97,-0.00977,0.03407
2000,30-45 y.,No migration background,Further vocational education,0.01407,107,147,-0.00504,0.03317
2000,30-45 y.,No migration background,Others,0.00757,40,147,-0.00649,0.02163
2000,46-65 y.,No migration background,Further vocational education,0.00510,38,38,-0.01785,0.02806
2001,17-29 y.,No migration background,Further vocational education,0.01730,51,51,-0.01884,0.05343
2001,30-45 y.,No migration background,Vocational Retraining,0.00542,38,166,-0.00578,0.01661
2001,30-45 y.,No migration background,Further vocational education,0.01553,92,166,-0.00334,0.03440
2001,30-45 y.,No migration background,Others,0.00558,36,166,-0.00579,0.01694
2001,46-65 y.,No migration background,Further vocational education,0.00643,39,39,-0.01898,0.03183
2002,17-29 y.,No migration background,Further vocational education,0.01764,43,88,-0.01002,0.04531
2002,17-29 y.,No migration background,Others,0.01472,45,88,-0.01059,0.04003
2002,30-45 y.,No migration background,Vocational Retraining,0.00676,38,165,-0.00578,0.01931
2002,30-45 y.,No migration background,Further vocational education,0.01598,93,165,-0.00321,0.03517
2002,30-45 y.,No migration background,Others,0.00612,34,165,-0.00582,0.01806
2002,46-65 y.,No migration background,Others,0.00390,35,35,-0.01704,0.02483
2003,17-29 y.,No migration background,Further vocational education,0.01634,32,68,-0.01402,0.04670
2003,17-29 y.,No migration background,Others,0.01035,36,68,-0.01388,0.03458
2003,30-45 y.,No migration background,Vocational Retraining,0.00683,39,127,-0.00755,0.02120
2003,30-45 y.,No migration background,Further vocational education,0.01533,88,127,-0.00612,0.03678
2004,17-29 y.,No migration background,Further vocational education,0.01383,40,72,-0.01334,0.04100
2004,17-29 y.,No migration background,Others,0.01170,32,72,-0.01331,0.03671
2004,30-45 y.,No migration background,Vocational Retraining,0.00711,32,104,-0.00912,0.02334
2004,30-45 y.,No migration background,Further vocational education,0.01387,72,104,-0.00872,0.03645
2005,17-29 y.,No migration background,Further vocational education,0.01688,36,74,-0.01267,0.04642
2005,17-29 y.,No migration background,Others,0.01289,38,74,-0.01299,0.03877
2005,30-45 y.,No migration background,Further vocational education,0.00933,47,47,-0.01845,0.03712
2006,30-45 y.,No migration background,Further vocational education,0.00499,38,38,-0.01771,0.02768
2007,30-45 y.,No migration background,Further vocational education,0.00813,35,35,-0.02206,0.03833
2010,17-29 y.,No migration background,Further vocational education,0.01229,31,31,-0.02714,0.05172
2010,30-45 y.,No migration background,Further vocational education,0.01033,63,63,-0.01484,0.03550
2011,17-29 y.,No migration background,Further vocational education,0.01301,36,36,-0.02453,0.05055
2011,30-45 y.,No migration background,Vocational Retraining,0.00482,45,127,-0.00727,0.01692
2011,30-45 y.,No migration background,Further vocational education,0.01499,82,127,-0.00623,0.03621
2012,17-29 y.,No migration background,Further vocational education,0.00775,35,35,-0.02173,0.03723
2012,30-45 y.,No migration background,Vocational Retraining,0.00386,37,102,-0.00824,0.01596
2012,30-45 y.,No migration background,Further vocational education,0.01226,65,102,-0.00920,0.03372
2012,46-65 y.,No migration background,Further vocational education,0.00469,42,42,-0.01622,0.02560
2013,30-45 y.,No migration background,Vocational Retraining,0.00391,31,105,-0.00808,0.01590
2013,30-45 y.,No migration background,Further vocational education,0.01569,74,105,-0.00819,0.03958
2013,46-65 y.,No migration background,Further vocational education,0.00401,45,45,-0.01466,0.02268
2014,17-29 y.,No migration background,Further vocational education,0.01518,33,33,-0.02718,0.05754
2014,30-45 y.,No migration background,Further vocational education,0.01226,50,50,-0.01855,0.04307
2014,46-65 y.,No migration background,Further vocational education,0.00433,45,45,-0.01507,0.02373
2015,30-45 y.,No migration background,Further vocational education,0.01196,48,48,-0.01912,0.04303
2016,30-45 y.,No migration background,Further vocational education,0.01105,42,42,-0.02095,0.04305
2017,30-45 y.,No migration background,Further vocational education,0.01101,45,45,-0.01982,0.04185
2017,46-65 y.,No migration background,Further vocational education,0.00403,43,43,-0.01513,0.02319
2018,30-45 y.,No migration background,Further vocational education,0.01080,39,39,-0.02206,0.04365
2019,30-45 y.,No migration background,Further vocational education,0.00947,36,36,-0.02262,0.04156
