year,regtyp,sex,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Urban regions,female,Further vocational education,0.00799,57,57,-0.01533,0.03131
1995,Rural regions,female,Further vocational education,0.01068,38,38,-0.02244,0.04379
1996,Urban regions,male,Further vocational education,0.00754,44,44,-0.01832,0.03341
1996,Urban regions,female,Vocational Retraining,0.00506,32,81,-0.01049,0.02060
1996,Urban regions,female,Further vocational education,0.00829,49,81,-0.01158,0.02816
1996,Rural regions,male,Further vocational education,0.00913,31,31,-0.02490,0.04316
1996,Rural regions,female,Further vocational education,0.01171,36,36,-0.02393,0.04734
1997,Urban regions,male,Further vocational education,0.00984,45,45,-0.01933,0.03902
1997,Urban regions,female,Further vocational education,0.00639,42,42,-0.01800,0.03077
1997,Rural regions,female,Further vocational education,0.01440,45,45,-0.02080,0.04960
1998,Urban regions,female,Further vocational education,0.00743,42,42,-0.01885,0.03370
1999,Urban regions,male,Further vocational education,0.01014,45,45,-0.01946,0.03974
1999,Urban regions,female,Further vocational education,0.00573,42,42,-0.01737,0.02883
1999,Rural regions,female,Further vocational education,0.01014,35,35,-0.02354,0.04382
2000,Urban regions,male,Further vocational education,0.00520,51,92,-0.00958,0.01997
2000,Urban regions,male,Others,0.00412,41,92,-0.00904,0.01727
2000,Urban regions,female,Further vocational education,0.00615,73,124,-0.00767,0.01996
2000,Urban regions,female,Others,0.00490,51,124,-0.00744,0.01724
2000,Rural regions,female,Further vocational education,0.00960,63,63,-0.01467,0.03386
2001,Urban regions,male,Further vocational education,0.00734,54,54,-0.01564,0.03033
2001,Urban regions,female,Further vocational education,0.00818,82,122,-0.00787,0.02423
2001,Urban regions,female,Others,0.00371,40,122,-0.00712,0.01455
2001,Rural regions,female,Further vocational education,0.00711,46,46,-0.01744,0.03166
2002,Urban regions,male,Further vocational education,0.00617,49,84,-0.01068,0.02302
2002,Urban regions,male,Others,0.00339,35,84,-0.00912,0.01590
2002,Urban regions,female,Further vocational education,0.00542,61,112,-0.00824,0.01909
2002,Urban regions,female,Others,0.00457,51,112,-0.00798,0.01713
2002,Rural regions,female,Further vocational education,0.00661,36,69,-0.01265,0.02588
2002,Rural regions,female,Others,0.00683,33,69,-0.01274,0.02640
2003,Urban regions,male,Further vocational education,0.00613,39,74,-0.01178,0.02404
2003,Urban regions,male,Others,0.00466,35,74,-0.01096,0.02028
2003,Urban regions,female,Further vocational education,0.00603,58,58,-0.01407,0.02613
2003,Rural regions,female,Further vocational education,0.00817,39,39,-0.02045,0.03678
2004,Urban regions,male,Further vocational education,0.00606,46,46,-0.01662,0.02875
2004,Urban regions,female,Further vocational education,0.00490,55,55,-0.01372,0.02352
2005,Urban regions,male,Further vocational education,0.00606,38,38,-0.01895,0.03108
2005,Urban regions,female,Further vocational education,0.00694,48,87,-0.01061,0.02448
2005,Urban regions,female,Others,0.00343,39,87,-0.00892,0.01577
2006,Urban regions,male,Further vocational education,0.00416,33,33,-0.01814,0.02647
2008,Urban regions,female,Further vocational education,0.00349,34,34,-0.01663,0.02361
2010,Urban regions,male,Further vocational education,0.00586,43,43,-0.01723,0.02895
2010,Urban regions,female,Further vocational education,0.00438,58,94,-0.00904,0.01781
2010,Urban regions,female,Others,0.00402,36,94,-0.00884,0.01687
2011,Urban regions,male,Further vocational education,0.00576,52,52,-0.01501,0.02652
2011,Urban regions,female,Further vocational education,0.00598,72,72,-0.01196,0.02393
2011,Rural regions,female,Further vocational education,0.00519,34,34,-0.01933,0.02971
2012,Urban regions,male,Further vocational education,0.00382,42,42,-0.01507,0.02271
2012,Urban regions,female,Vocational Retraining,0.00175,32,135,-0.00532,0.00882
2012,Urban regions,female,Further vocational education,0.00499,67,135,-0.00694,0.01691
2012,Urban regions,female,Others,0.00329,36,135,-0.00640,0.01297
2013,Urban regions,male,Further vocational education,0.00434,48,48,-0.01445,0.02312
2013,Urban regions,female,Vocational Retraining,0.00132,31,142,-0.00467,0.00731
2013,Urban regions,female,Further vocational education,0.00482,74,142,-0.00661,0.01626
2013,Urban regions,female,Others,0.00270,37,142,-0.00587,0.01128
2013,Rural regions,female,Further vocational education,0.00513,45,45,-0.01598,0.02624
2014,Urban regions,male,Further vocational education,0.00437,32,32,-0.01885,0.02758
2014,Urban regions,female,Further vocational education,0.00677,72,112,-0.00849,0.02203
2014,Urban regions,female,Others,0.00248,40,112,-0.00678,0.01174
2014,Rural regions,female,Further vocational education,0.00502,45,45,-0.01587,0.02591
2015,Urban regions,male,Further vocational education,0.00465,36,36,-0.01788,0.02718
2015,Urban regions,female,Further vocational education,0.00451,52,85,-0.00982,0.01884
2015,Urban regions,female,Others,0.00541,33,85,-0.01028,0.02110
2016,Urban regions,male,Further vocational education,0.00601,44,44,-0.01709,0.02910
2016,Urban regions,female,Further vocational education,0.00642,67,67,-0.01285,0.02568
2017,Urban regions,male,Further vocational education,0.00456,44,44,-0.01558,0.02469
2017,Urban regions,female,Further vocational education,0.00554,72,103,-0.00887,0.01995
2017,Urban regions,female,Others,0.00290,31,103,-0.00753,0.01333
2017,Rural regions,male,Further vocational education,0.00532,32,32,-0.02029,0.03093
2017,Rural regions,female,Further vocational education,0.00434,31,31,-0.01919,0.02788
2018,Urban regions,male,Further vocational education,0.00258,35,35,-0.01446,0.01962
2018,Urban regions,female,Further vocational education,0.00594,57,57,-0.01419,0.02607
2019,Urban regions,female,Further vocational education,0.00563,54,54,-0.01451,0.02577
2020,Urban regions,male,Further vocational education,0.00310,51,51,-0.01231,0.01850
2020,Urban regions,female,Further vocational education,0.00365,49,49,-0.01341,0.02070
2021,Urban regions,male,Further vocational education,0.00462,37,37,-0.01753,0.02677
2021,Urban regions,female,Further vocational education,0.00516,40,40,-0.01732,0.02764
