,Unnamed: 0,year,age_gr,sampreg,plg0292_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
42,42,2000,17-29 y.,West,Further vocational education,0.51483,40,226,0.4093,0.63878
43,43,2000,17-29 y.,West,Others,0.48517,37,226,0.41768,0.56178
44,44,2000,30-45 y.,West,Further vocational education,0.62853,74,226,0.57065,0.70329
45,45,2000,30-45 y.,West,Others,0.37147,36,226,0.28196,0.47977
46,46,2000,30-45 y.,East,Further vocational education,1.0,39,226,0.85044,1.1851
47,47,2001,17-29 y.,West,Further vocational education,1.0,39,144,0.82489,1.25175
48,48,2001,30-45 y.,West,Further vocational education,1.0,74,144,0.87175,1.16334
49,49,2001,30-45 y.,East,Further vocational education,1.0,31,144,0.8027,1.22496
50,50,2002,17-29 y.,West,Further vocational education,0.52961,33,237,0.41301,0.64785
51,51,2002,17-29 y.,West,Others,0.47039,39,237,0.37191,0.58743
52,52,2002,30-45 y.,West,Vocational Retraining,0.24651,32,237,0.20403,0.29812
53,53,2002,30-45 y.,West,Further vocational education,0.50644,64,237,0.4137,0.60701
54,54,2002,30-45 y.,West,Others,0.24705,33,237,0.17836,0.31066
55,55,2002,30-45 y.,East,Further vocational education,1.0,36,237,0.74947,1.25782
56,56,2003,17-29 y.,West,Further vocational education,1.0,32,125,0.80089,1.22088
57,57,2003,30-45 y.,West,Further vocational education,1.0,59,125,0.78807,1.16965
58,58,2003,30-45 y.,East,Further vocational education,1.0,34,125,0.76063,1.34237
59,59,2004,17-29 y.,West,Further vocational education,1.0,38,98,0.75523,1.28098
60,60,2004,30-45 y.,West,Further vocational education,1.0,60,98,0.79455,1.23343
61,61,2005,17-29 y.,West,Others,1.0,37,74,0.70337,1.29556
62,62,2005,30-45 y.,West,Further vocational education,1.0,37,74,0.77004,1.25217
63,63,2006,30-45 y.,West,Further vocational education,1.0,32,32,0.68206,1.29911
64,64,2007,30-45 y.,West,Further vocational education,1.0,33,33,0.69057,1.32749
65,65,2010,30-45 y.,West,Further vocational education,1.0,52,52,0.65252,1.33079
66,66,2011,17-29 y.,West,Further vocational education,1.0,34,153,0.75555,1.34725
67,67,2011,30-45 y.,West,Vocational Retraining,0.23403,40,153,0.15135,0.32599
68,68,2011,30-45 y.,West,Further vocational education,0.76597,79,153,0.52772,0.99284
69,69,2012,30-45 y.,West,Further vocational education,1.0,58,95,0.68235,1.37249
70,70,2012,46-65 y.,West,Further vocational education,1.0,37,95,0.72846,1.3056
71,71,2013,17-29 y.,West,Further vocational education,1.0,35,239,0.68917,1.28184
72,72,2013,30-45 y.,West,Vocational Retraining,0.25671,47,239,0.19192,0.34108
73,73,2013,30-45 y.,West,Further vocational education,0.57702,80,239,0.41224,0.74787
74,74,2013,30-45 y.,West,Others,0.16627,37,239,0.09988,0.24467
75,75,2013,46-65 y.,West,Further vocational education,1.0,40,239,0.71632,1.31123
76,76,2014,17-29 y.,West,Further vocational education,1.0,37,179,0.69251,1.31541
77,77,2014,30-45 y.,West,Vocational Retraining,0.3327,40,179,0.21873,0.45824
78,78,2014,30-45 y.,West,Further vocational education,0.6673,58,179,0.45882,0.93468
79,79,2014,46-65 y.,West,Further vocational education,1.0,44,179,0.73741,1.27926
80,80,2015,30-45 y.,West,Further vocational education,1.0,53,53,0.61598,1.38222
81,81,2016,17-29 y.,West,Further vocational education,1.0,38,97,0.59165,1.41927
82,82,2016,30-45 y.,West,Further vocational education,1.0,59,97,0.56972,1.44651
83,83,2017,17-29 y.,West,Further vocational education,1.0,41,147,0.73229,1.29442
84,84,2017,30-45 y.,West,Further vocational education,1.0,67,147,0.72087,1.31991
85,85,2017,46-65 y.,West,Further vocational education,1.0,39,147,0.81177,1.17117
86,86,2018,17-29 y.,West,Further vocational education,1.0,31,125,0.63472,1.4262
87,87,2018,30-45 y.,West,Vocational Retraining,0.43475,37,125,0.24489,0.66414
88,88,2018,30-45 y.,West,Further vocational education,0.56525,57,125,0.33654,0.74984
89,89,2019,17-29 y.,West,Further vocational education,1.0,36,107,0.70842,1.39541
90,90,2019,30-45 y.,West,Vocational Retraining,0.32495,31,107,0.18256,0.46659
91,91,2019,30-45 y.,West,Further vocational education,0.67505,40,107,0.48668,1.02393
92,92,2020,17-29 y.,West,Further vocational education,1.0,34,77,0.62223,1.33748
93,93,2020,30-45 y.,West,Further vocational education,1.0,43,77,0.44372,1.69957
94,94,2021,30-45 y.,West,Further vocational education,1.0,38,38,0.65928,1.31526
