year,migback,regtyp,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,No migration background,Rural regions,Vocational Retraining,0.22391,32,98,0.14095,0.30687
1997,No migration background,Rural regions,Further vocational education,0.61454,66,98,0.51768,0.71139
1998,No migration background,Urban regions,Further vocational education,0.59849,55,55,0.46774,0.72924
1998,No migration background,Rural regions,Further vocational education,0.43001,45,45,0.28372,0.57629
1999,No migration background,Urban regions,Further vocational education,0.58709,71,71,0.47175,0.70244
1999,No migration background,Rural regions,Vocational Retraining,0.29928,32,81,0.19893,0.39963
1999,No migration background,Rural regions,Further vocational education,0.54099,49,81,0.43180,0.65019
2000,No migration background,Urban regions,Further vocational education,0.46898,111,185,0.39688,0.54109
2000,No migration background,Urban regions,Others,0.33756,74,185,0.26923,0.40589
2000,No migration background,Rural regions,Vocational Retraining,0.19237,31,120,0.12155,0.26319
2000,No migration background,Rural regions,Further vocational education,0.52601,89,120,0.43630,0.61573
2001,No migration background,Urban regions,Further vocational education,0.57831,116,172,0.50430,0.65233
2001,No migration background,Urban regions,Others,0.24621,56,172,0.18164,0.31078
2001,No migration background,Rural regions,Vocational Retraining,0.20456,34,101,0.12550,0.28363
2001,No migration background,Rural regions,Further vocational education,0.44251,67,101,0.34516,0.53986
2002,No migration background,Urban regions,Further vocational education,0.50712,102,171,0.43196,0.58227
2002,No migration background,Urban regions,Others,0.29739,69,171,0.22867,0.36610
2002,No migration background,Rural regions,Vocational Retraining,0.23708,39,148,0.16833,0.30583
2002,No migration background,Rural regions,Further vocational education,0.38292,62,148,0.30434,0.46150
2002,No migration background,Rural regions,Others,0.29367,47,148,0.22004,0.36729
2003,No migration background,Urban regions,Further vocational education,0.52473,83,137,0.44080,0.60866
2003,No migration background,Urban regions,Others,0.32419,54,137,0.24553,0.40286
2003,No migration background,Rural regions,Vocational Retraining,0.28630,36,99,0.19681,0.37580
2003,No migration background,Rural regions,Further vocational education,0.48587,63,99,0.38692,0.58483
2004,No migration background,Urban regions,Further vocational education,0.49768,85,128,0.41072,0.58464
2004,No migration background,Urban regions,Others,0.20046,43,128,0.13083,0.27008
2004,No migration background,Rural regions,Further vocational education,0.44394,49,49,0.30338,0.58450
2005,No migration background,Urban regions,Further vocational education,0.56050,77,128,0.47418,0.64683
2005,No migration background,Urban regions,Others,0.22939,51,128,0.15627,0.30252
2005,No migration background,Rural regions,Further vocational education,0.21888,32,67,0.11913,0.31864
2005,No migration background,Rural regions,Others,0.48045,35,67,0.35991,0.60099
2006,No migration background,Urban regions,Further vocational education,0.43869,51,84,0.33193,0.54544
2006,No migration background,Urban regions,Others,0.34121,33,84,0.23921,0.44321
2007,No migration background,Urban regions,Further vocational education,0.38179,44,78,0.27328,0.49031
2007,No migration background,Urban regions,Others,0.43258,34,78,0.32192,0.54324
2007,No migration background,Rural regions,Further vocational education,0.45889,39,39,0.30045,0.61732
2008,No migration background,Urban regions,Further vocational education,0.43752,43,43,0.28749,0.58755
2008,No migration background,Rural regions,Further vocational education,0.47976,32,32,0.30389,0.65563
2009,No migration background,Urban regions,Further vocational education,0.44809,33,33,0.27578,0.62039
2009,No migration background,Rural regions,Further vocational education,0.52351,34,34,0.35310,0.69392
2010,No migration background,Urban regions,Further vocational education,0.45462,78,121,0.36553,0.54371
2010,No migration background,Urban regions,Others,0.43040,43,121,0.34181,0.51899
2010,No migration background,Rural regions,Further vocational education,0.62867,44,44,0.48426,0.77309
2011,No migration background,Urban regions,Vocational Retraining,0.14239,35,134,0.08300,0.20178
2011,No migration background,Urban regions,Further vocational education,0.63881,99,134,0.55717,0.72044
2011,No migration background,Rural regions,Further vocational education,0.64616,50,50,0.51228,0.78005
2012,No migration background,Urban regions,Vocational Retraining,0.12619,34,165,0.07537,0.17702
2012,No migration background,Urban regions,Further vocational education,0.51467,93,165,0.43818,0.59116
2012,No migration background,Urban regions,Others,0.30593,38,165,0.23540,0.37645
2012,No migration background,Rural regions,Further vocational education,0.60194,50,50,0.46488,0.73900
2013,No migration background,Urban regions,Further vocational education,0.50150,78,111,0.40806,0.59494
2013,No migration background,Urban regions,Others,0.18971,33,111,0.11644,0.26298
2013,No migration background,Rural regions,Further vocational education,0.68069,63,63,0.56464,0.79674
2014,No migration background,Urban regions,Further vocational education,0.63313,75,75,0.52332,0.74294
2014,No migration background,Rural regions,Further vocational education,0.52566,55,55,0.39248,0.65885
2015,No migration background,Urban regions,Further vocational education,0.44591,63,63,0.32218,0.56964
2016,No migration background,Urban regions,Further vocational education,0.57494,64,64,0.45287,0.69702
2016,No migration background,Rural regions,Further vocational education,0.58734,33,33,0.41676,0.75791
2016,Direct migration background,Urban regions,Further vocational education,0.47570,32,64,0.35238,0.59903
2016,Direct migration background,Urban regions,Integration/Language course,0.02714,32,64,-0.01299,0.06727
2017,No migration background,Urban regions,Further vocational education,0.60788,69,69,0.49184,0.72392
2017,No migration background,Rural regions,Further vocational education,0.66625,50,50,0.53422,0.79829
2017,Direct migration background,Urban regions,Further vocational education,0.43289,32,65,0.31149,0.55428
2017,Direct migration background,Urban regions,Integration/Language course,0.02490,33,65,-0.01328,0.06308
2018,No migration background,Urban regions,Further vocational education,0.50420,51,51,0.36561,0.64279
2018,No migration background,Rural regions,Further vocational education,0.70633,32,32,0.54600,0.86666
2018,Direct migration background,Urban regions,Further vocational education,0.37157,32,32,0.20146,0.54168
2019,No migration background,Urban regions,Further vocational education,0.46410,55,55,0.33109,0.59712
2019,No migration background,Rural regions,Further vocational education,0.52404,34,34,0.35364,0.69444
2020,No migration background,Urban regions,Further vocational education,0.50537,60,60,0.37779,0.63295
2020,Direct migration background,Urban regions,Further vocational education,0.18752,37,37,0.06002,0.31503
2021,No migration background,Urban regions,Further vocational education,0.65172,47,47,0.51404,0.78940
