year,sex,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,female,Vocational Retraining,0.00248,34,173,-0.00496,0.00992
2003,female,Further vocational education,0.00670,97,173,-0.00549,0.01889
2003,female,Others,0.00222,42,173,-0.00481,0.00926
2004,male,Further vocational education,0.00633,69,100,-0.00929,0.02194
2004,male,Others,0.00272,31,100,-0.00754,0.01299
2004,female,Further vocational education,0.00525,84,130,-0.00722,0.01771
2004,female,Others,0.00266,46,130,-0.00623,0.01156
2005,male,Further vocational education,0.00531,52,98,-0.00915,0.01978
2005,male,Others,0.00462,46,98,-0.00887,0.01811
2005,female,Further vocational education,0.00587,69,127,-0.00747,0.01921
2005,female,Others,0.00403,58,127,-0.00703,0.01509
2006,male,Further vocational education,0.00383,45,45,-0.01442,0.02209
2006,female,Further vocational education,0.00272,47,86,-0.00835,0.01378
2006,female,Others,0.00311,39,86,-0.00873,0.01494
2007,male,Further vocational education,0.00367,40,40,-0.01531,0.02266
2007,female,Further vocational education,0.00318,54,100,-0.00791,0.01428
2007,female,Others,0.00413,46,100,-0.00850,0.01677
2008,male,Further vocational education,0.00310,32,32,-0.01647,0.02267
2008,female,Further vocational education,0.00362,54,92,-0.00872,0.01596
2008,female,Others,0.00321,38,92,-0.00841,0.01483
2009,male,Further vocational education,0.00275,32,32,-0.01568,0.02118
2009,female,Further vocational education,0.00324,45,45,-0.01355,0.02002
2010,male,Further vocational education,0.00589,63,97,-0.00942,0.02120
2010,male,Others,0.00349,34,97,-0.00831,0.01528
2010,female,Vocational Retraining,0.00142,38,171,-0.00425,0.00710
2010,female,Further vocational education,0.00426,87,171,-0.00553,0.01406
2010,female,Others,0.00308,46,171,-0.00525,0.01141
2011,male,Vocational Retraining,0.00189,36,111,-0.00622,0.01000
2011,male,Further vocational education,0.00575,75,111,-0.00838,0.01988
2011,female,Vocational Retraining,0.00154,51,195,-0.00398,0.00706
2011,female,Further vocational education,0.00573,106,195,-0.00489,0.01635
2011,female,Others,0.00124,38,195,-0.00371,0.00620
2012,male,Further vocational education,0.00455,68,68,-0.01157,0.02067
2012,female,Vocational Retraining,0.00145,46,199,-0.00385,0.00675
2012,female,Further vocational education,0.00502,96,199,-0.00482,0.01487
2012,female,Others,0.00288,57,199,-0.00458,0.01035
2013,male,Vocational Retraining,0.00248,35,144,-0.00567,0.01064
2013,male,Further vocational education,0.00500,78,144,-0.00656,0.01655
2013,male,Others,0.00161,31,144,-0.00496,0.00818
2013,female,Vocational Retraining,0.00120,43,218,-0.00341,0.00581
2013,female,Further vocational education,0.00492,119,218,-0.00439,0.01424
2013,female,Others,0.00238,56,218,-0.00410,0.00887
2014,male,Further vocational education,0.00453,56,56,-0.01321,0.02226
2014,female,Vocational Retraining,0.00143,47,222,-0.00356,0.00642
2014,female,Further vocational education,0.00622,117,222,-0.00415,0.01659
2014,female,Others,0.00306,58,222,-0.00422,0.01033
2015,male,Further vocational education,0.00391,46,46,-0.01432,0.02213
2015,female,Vocational Retraining,0.00166,43,167,-0.00453,0.00785
2015,female,Further vocational education,0.00408,80,167,-0.00562,0.01378
2015,female,Others,0.00445,44,167,-0.00568,0.01457
2016,male,Further vocational education,0.00490,61,61,-0.01277,0.02257
2016,female,Vocational Retraining,0.00112,36,171,-0.00390,0.00614
2016,female,Further vocational education,0.00573,94,171,-0.00562,0.01708
2016,female,Others,0.00266,41,171,-0.00508,0.01040
2017,male,Further vocational education,0.00480,76,76,-0.01084,0.02044
2017,female,Vocational Retraining,0.00083,37,180,-0.00339,0.00506
2017,female,Further vocational education,0.00517,103,180,-0.00534,0.01568
2017,female,Others,0.00237,40,180,-0.00475,0.00949
2018,male,Vocational Retraining,0.00169,37,125,-0.00554,0.00893
2018,male,Further vocational education,0.00281,53,125,-0.00651,0.01214
2018,male,Others,0.00136,35,125,-0.00513,0.00785
2018,female,Vocational Retraining,0.00187,40,163,-0.00478,0.00852
2018,female,Further vocational education,0.00506,84,163,-0.00587,0.01598
2018,female,Others,0.00163,39,163,-0.00458,0.00784
2019,male,Vocational Retraining,0.00155,33,86,-0.00682,0.00993
2019,male,Further vocational education,0.00261,53,86,-0.00824,0.01347
2019,female,Vocational Retraining,0.00129,32,151,-0.00445,0.00703
2019,female,Further vocational education,0.00479,75,151,-0.00626,0.01584
2019,female,Others,0.00265,44,151,-0.00558,0.01087
2020,male,Vocational Retraining,0.00187,38,133,-0.00550,0.00923
2020,male,Further vocational education,0.00317,63,133,-0.00642,0.01277
2020,male,Others,0.00173,32,133,-0.00536,0.00883
2020,female,Further vocational education,0.00281,65,100,-0.00761,0.01322
2020,female,Others,0.00193,35,100,-0.00671,0.01056
2021,male,Further vocational education,0.00374,53,53,-0.01285,0.02033
2021,female,Further vocational education,0.00459,59,59,-0.01281,0.02200
