year,pgisced97,sampreg,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Upper Secondary Level,West,Further vocational education,0.00465,34,34,-0.01856,0.02785
2010,Upper Secondary Level,West,Further vocational education,0.00431,40,40,-0.01625,0.02488
2010,Second Stage of Tertiary Education,West,Further vocational education,0.00928,31,31,-0.02503,0.04358
2011,Upper Secondary Level,West,Further vocational education,0.00536,64,64,-0.01267,0.02338
2011,Second Stage of Tertiary Education,West,Further vocational education,0.01090,37,37,-0.02302,0.04483
2012,Upper Secondary Level,West,Further vocational education,0.00420,48,48,-0.01429,0.02270
2012,Second Stage of Tertiary Education,West,Further vocational education,0.00863,40,40,-0.02040,0.03766
2013,Upper Secondary Level,West,Vocational Retraining,0.00325,40,109,-0.00748,0.01398
2013,Upper Secondary Level,West,Further vocational education,0.00595,69,109,-0.00856,0.02046
2013,Second Stage of Tertiary Education,West,Further vocational education,0.00630,38,38,-0.01920,0.03181
2014,Upper Secondary Level,West,Further vocational education,0.00600,51,51,-0.01541,0.02741
2014,Second Stage of Tertiary Education,West,Further vocational education,0.00876,47,47,-0.01817,0.03568
2015,Upper Secondary Level,West,Further vocational education,0.00516,44,44,-0.01625,0.02657
2015,Second Stage of Tertiary Education,West,Further vocational education,0.00578,32,32,-0.02091,0.03248
2016,Upper Secondary Level,West,Further vocational education,0.00669,48,48,-0.01661,0.02998
2016,Second Stage of Tertiary Education,West,Further vocational education,0.00571,45,45,-0.01655,0.02796
2017,Upper Secondary Level,West,Further vocational education,0.00426,52,52,-0.01362,0.02214
2017,Second Stage of Tertiary Education,West,Further vocational education,0.01076,58,58,-0.01602,0.03754
2018,Upper Secondary Level,West,Further vocational education,0.00333,38,38,-0.01523,0.02188
2018,Second Stage of Tertiary Education,West,Further vocational education,0.00821,40,40,-0.02011,0.03654
2019,Upper Secondary Level,West,Further vocational education,0.00374,39,39,-0.01567,0.02315
2019,Second Stage of Tertiary Education,West,Further vocational education,0.00510,33,33,-0.01959,0.02979
2020,Upper Secondary Level,West,Further vocational education,0.00235,33,33,-0.01443,0.01913
2020,Second Stage of Tertiary Education,West,Further vocational education,0.00584,45,45,-0.01668,0.02836
2021,Second Stage of Tertiary Education,West,Further vocational education,0.00808,34,34,-0.02247,0.03864
