year,sampreg,sex,plg0292_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1998,West,male,Further vocational education,1.00000,41,77,1.00000,1.00000
1998,West,female,Further vocational education,1.00000,36,77,1.00000,1.00000
1999,West,male,Further vocational education,1.00000,48,125,1.00000,1.00000
1999,West,female,Further vocational education,1.00000,39,125,1.00000,1.00000
1999,East,female,Further vocational education,1.00000,38,125,1.00000,1.00000
2000,West,male,Further vocational education,0.59263,59,283,0.59082,0.59444
2000,West,male,Others,0.40737,37,283,0.40556,0.40918
2000,West,female,Further vocational education,0.56633,73,283,0.56465,0.56802
2000,West,female,Others,0.43367,51,283,0.43198,0.43535
2000,East,female,Further vocational education,1.00000,63,283,1.00000,1.00000
2001,West,male,Further vocational education,1.00000,57,230,1.00000,1.00000
2001,West,female,Further vocational education,0.63484,80,230,0.63328,0.63639
2001,West,female,Others,0.36516,45,230,0.36361,0.36672
2001,East,female,Further vocational education,1.00000,48,230,1.00000,1.00000
2002,West,male,Further vocational education,0.68187,52,213,0.68017,0.68356
2002,West,male,Others,0.31813,32,213,0.31644,0.31983
2002,West,female,Further vocational education,0.49999,67,213,0.49836,0.50163
2002,West,female,Others,0.50001,62,213,0.49837,0.50164
2003,West,male,Further vocational education,0.62574,48,177,0.62406,0.62741
2003,West,male,Others,0.37426,32,177,0.37259,0.37594
2003,West,female,Further vocational education,1.00000,63,177,1.00000,1.00000
2003,East,female,Further vocational education,1.00000,34,177,1.00000,1.00000
2004,West,male,Further vocational education,1.00000,56,153,1.00000,1.00000
2004,West,female,Further vocational education,0.65458,61,153,0.65277,0.65640
2004,West,female,Others,0.34542,36,153,0.34360,0.34723
2005,West,male,Further vocational education,0.52777,40,168,0.52613,0.52942
2005,West,male,Others,0.47223,37,168,0.47058,0.47387
2005,West,female,Further vocational education,0.54954,46,168,0.54780,0.55129
2005,West,female,Others,0.45046,45,168,0.44871,0.45220
2006,West,male,Further vocational education,1.00000,31,31,1.00000,1.00000
2007,West,female,Further vocational education,0.46711,35,68,0.46512,0.46910
2007,West,female,Others,0.53289,33,68,0.53090,0.53488
2008,West,female,Further vocational education,1.00000,34,34,1.00000,1.00000
2010,West,male,Further vocational education,1.00000,49,172,1.00000,1.00000
2010,West,female,Further vocational education,0.52989,54,172,0.52784,0.53194
2010,West,female,Others,0.47011,36,172,0.46806,0.47216
2010,East,female,Further vocational education,1.00000,33,172,1.00000,1.00000
2011,West,male,Further vocational education,1.00000,64,170,1.00000,1.00000
2011,West,female,Further vocational education,1.00000,75,170,1.00000,1.00000
2011,East,female,Further vocational education,1.00000,31,170,1.00000,1.00000
2012,West,male,Further vocational education,1.00000,47,172,1.00000,1.00000
2012,West,female,Further vocational education,0.61239,75,172,0.61060,0.61419
2012,West,female,Others,0.38761,50,172,0.38581,0.38940
2013,West,male,Further vocational education,1.00000,67,273,1.00000,1.00000
2013,West,female,Vocational Retraining,0.13828,35,273,0.13706,0.13950
2013,West,female,Further vocational education,0.56298,88,273,0.56123,0.56473
2013,West,female,Others,0.29874,52,273,0.29712,0.30035
2013,East,female,Further vocational education,1.00000,31,273,1.00000,1.00000
2014,West,male,Further vocational education,1.00000,49,226,1.00000,1.00000
2014,West,female,Vocational Retraining,0.14564,38,226,0.14451,0.14677
2014,West,female,Further vocational education,0.57353,92,226,0.57195,0.57511
2014,West,female,Others,0.28083,47,226,0.27939,0.28227
2015,West,male,Further vocational education,1.00000,38,138,1.00000,1.00000
2015,West,female,Further vocational education,0.44397,63,138,0.44218,0.44575
2015,West,female,Others,0.55603,37,138,0.55425,0.55782
2016,West,male,Further vocational education,1.00000,50,159,1.00000,1.00000
2016,West,female,Further vocational education,0.69444,76,159,0.69276,0.69612
2016,West,female,Others,0.30556,33,159,0.30388,0.30724
2017,West,male,Further vocational education,1.00000,63,181,1.00000,1.00000
2017,West,female,Further vocational education,0.67187,85,181,0.67010,0.67364
2017,West,female,Others,0.32813,33,181,0.32636,0.32990
2018,West,male,Further vocational education,1.00000,44,145,1.00000,1.00000
2018,West,female,Vocational Retraining,0.26964,31,145,0.26790,0.27137
2018,West,female,Further vocational education,0.73036,70,145,0.72863,0.73210
2019,West,male,Further vocational education,1.00000,43,135,1.00000,1.00000
2019,West,female,Further vocational education,0.63475,59,135,0.63291,0.63658
2019,West,female,Others,0.36525,33,135,0.36342,0.36709
2020,West,male,Further vocational education,1.00000,52,136,1.00000,1.00000
2020,West,female,Further vocational education,0.57486,53,136,0.57256,0.57715
2020,West,female,Others,0.42514,31,136,0.42285,0.42744
2021,West,male,Further vocational education,1.00000,43,86,1.00000,1.00000
2021,West,female,Further vocational education,1.00000,43,86,1.00000,1.00000
