year,regtyp,sampreg,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Rural regions,East,Further vocational education,0.01056,58,58,-0.01598,0.03710
2001,Urban regions,West,Further vocational education,0.00749,110,165,-0.00571,0.02069
2001,Urban regions,West,Others,0.00317,55,165,-0.00543,0.01177
2001,Rural regions,East,Further vocational education,0.00852,42,42,-0.01961,0.03664
2002,Urban regions,West,Vocational Retraining,0.00203,31,184,-0.00449,0.00856
2002,Urban regions,West,Further vocational education,0.00546,90,184,-0.00522,0.01614
2002,Urban regions,West,Others,0.00318,63,184,-0.00498,0.01133
2002,Rural regions,West,Others,0.00687,31,31,-0.02268,0.03641
2002,Rural regions,East,Further vocational education,0.00863,34,34,-0.02293,0.04020
2003,Urban regions,West,Further vocational education,0.00608,83,132,-0.00723,0.01939
2003,Urban regions,West,Others,0.00291,49,132,-0.00632,0.01214
2003,Rural regions,East,Further vocational education,0.00997,39,39,-0.02162,0.04156
2004,Urban regions,West,Further vocational education,0.00550,87,129,-0.00731,0.01831
2004,Urban regions,West,Others,0.00213,42,129,-0.00586,0.01012
2005,Urban regions,West,Further vocational education,0.00611,70,129,-0.00739,0.01961
2005,Urban regions,West,Others,0.00339,59,129,-0.00668,0.01347
2006,Urban regions,West,Further vocational education,0.00321,49,89,-0.00861,0.01503
2006,Urban regions,West,Others,0.00337,40,89,-0.00874,0.01548
2007,Urban regions,West,Further vocational education,0.00270,43,76,-0.00904,0.01444
2007,Urban regions,West,Others,0.00309,33,76,-0.00947,0.01566
2008,Urban regions,West,Further vocational education,0.00319,46,78,-0.00941,0.01579
2008,Urban regions,West,Others,0.00271,32,78,-0.00890,0.01432
2009,Urban regions,West,Further vocational education,0.00258,35,35,-0.01447,0.01962
2010,Urban regions,West,Further vocational education,0.00502,79,131,-0.00713,0.01718
2010,Urban regions,West,Others,0.00354,52,131,-0.00667,0.01374
2011,Urban regions,West,Vocational Retraining,0.00147,39,145,-0.00479,0.00774
2011,Urban regions,West,Further vocational education,0.00579,106,145,-0.00660,0.01819
2011,Rural regions,West,Further vocational education,0.00491,33,33,-0.01931,0.02914
2012,Urban regions,West,Vocational Retraining,0.00109,31,167,-0.00393,0.00612
2012,Urban regions,West,Further vocational education,0.00442,90,167,-0.00567,0.01452
2012,Urban regions,West,Others,0.00253,46,167,-0.00511,0.01018
2012,Rural regions,West,Further vocational education,0.00547,32,32,-0.02049,0.03143
2013,Urban regions,West,Vocational Retraining,0.00215,47,204,-0.00422,0.00852
2013,Urban regions,West,Further vocational education,0.00437,102,204,-0.00470,0.01345
2013,Urban regions,West,Others,0.00216,55,204,-0.00423,0.00855
2013,Rural regions,West,Further vocational education,0.00691,53,53,-0.01561,0.02944
2014,Urban regions,West,Vocational Retraining,0.00163,45,178,-0.00432,0.00759
2014,Urban regions,West,Further vocational education,0.00545,91,178,-0.00540,0.01629
2014,Urban regions,West,Others,0.00185,42,178,-0.00448,0.00819
2014,Rural regions,West,Further vocational education,0.00703,50,50,-0.01637,0.03043
2015,Urban regions,West,Further vocational education,0.00479,78,124,-0.00741,0.01699
2015,Urban regions,West,Others,0.00372,46,124,-0.00704,0.01449
2016,Urban regions,West,Vocational Retraining,0.00105,36,169,-0.00385,0.00594
2016,Urban regions,West,Further vocational education,0.00631,94,169,-0.00566,0.01829
2016,Urban regions,West,Others,0.00205,39,169,-0.00479,0.00890
2016,Rural regions,West,Further vocational education,0.00406,32,32,-0.01833,0.02645
2017,Urban regions,West,Vocational Retraining,0.00122,43,213,-0.00348,0.00591
2017,Urban regions,West,Further vocational education,0.00473,96,213,-0.00451,0.01397
2017,Urban regions,West,Others,0.00236,41,213,-0.00417,0.00890
2017,Urban regions,West,Integration/Language course,0.00006,33,213,-0.00097,0.00109
2017,Rural regions,West,Further vocational education,0.00643,52,52,-0.01551,0.02837
2018,Urban regions,West,Vocational Retraining,0.00244,49,172,-0.00496,0.00984
2018,Urban regions,West,Further vocational education,0.00426,79,172,-0.00550,0.01403
2018,Urban regions,West,Others,0.00195,44,172,-0.00466,0.00855
2018,Rural regions,West,Further vocational education,0.00326,35,35,-0.01589,0.02241
2019,Urban regions,West,Vocational Retraining,0.00143,35,147,-0.00469,0.00755
2019,Urban regions,West,Further vocational education,0.00406,75,147,-0.00625,0.01437
2019,Urban regions,West,Others,0.00198,37,147,-0.00523,0.00919
2020,Urban regions,West,Vocational Retraining,0.00178,42,166,-0.00466,0.00822
2020,Urban regions,West,Further vocational education,0.00335,84,166,-0.00547,0.01217
2020,Urban regions,West,Others,0.00184,40,166,-0.00470,0.00839
2021,Urban regions,West,Vocational Retraining,0.00129,33,98,-0.00585,0.00843
2021,Urban regions,West,Further vocational education,0.00470,65,98,-0.00891,0.01831
