year,migback,pgisced97,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,No migration background,Primary Level,Single,0.60555,51,51,0.47008,0.74102
1986,No migration background,Lower Secondary Level,Married,0.49662,1031,1911,0.47420,0.51905
1986,No migration background,Lower Secondary Level,Single,0.25413,536,1911,0.23461,0.27366
1986,No migration background,Lower Secondary Level,Divorced,0.03759,64,1911,0.02906,0.04612
1986,No migration background,Lower Secondary Level,Widowed,0.20085,280,1911,0.18288,0.21882
1986,No migration background,Upper Secondary Level,Married,0.61028,2657,4061,0.59528,0.62528
1986,No migration background,Upper Secondary Level,"Married, living apart",0.01853,70,4061,0.01438,0.02268
1986,No migration background,Upper Secondary Level,Single,0.21703,881,4061,0.20435,0.22971
1986,No migration background,Upper Secondary Level,Divorced,0.05551,198,4061,0.04847,0.06255
1986,No migration background,Upper Secondary Level,Widowed,0.09856,255,4061,0.08939,0.10773
1986,No migration background,Post-secondary Non-tertiary Level,Married,0.49625,88,159,0.41829,0.57421
1986,No migration background,Post-secondary Non-tertiary Level,Single,0.41080,71,159,0.33409,0.48752
1986,No migration background,First Stage of Tertiary Education,Married,0.69775,395,469,0.65615,0.73936
1986,No migration background,First Stage of Tertiary Education,Single,0.15688,74,469,0.12393,0.18983
1986,No migration background,Second Stage of Tertiary Education,Married,0.67053,454,581,0.63227,0.70878
1986,No migration background,Second Stage of Tertiary Education,Single,0.21667,127,581,0.18314,0.25020
1986,Direct migration background,Primary Level,Married,0.76624,571,652,0.73373,0.79876
1986,Direct migration background,Primary Level,"Married, living apart",0.06372,31,652,0.04496,0.08248
1986,Direct migration background,Primary Level,Single,0.07823,50,652,0.05760,0.09885
1986,Direct migration background,Lower Secondary Level,Married,0.60718,617,828,0.57390,0.64047
1986,Direct migration background,Lower Secondary Level,Single,0.17544,211,828,0.14952,0.20137
1986,Direct migration background,Upper Secondary Level,Married,0.70779,619,847,0.67715,0.73844
1986,Direct migration background,Upper Secondary Level,"Married, living apart",0.04607,40,847,0.03195,0.06020
1986,Direct migration background,Upper Secondary Level,Single,0.18385,188,847,0.15775,0.20995
1986,Direct migration background,Post-secondary Non-tertiary Level,Married,0.68343,74,74,0.57672,0.79013
1986,Direct migration background,First Stage of Tertiary Education,Married,0.62174,33,33,0.45371,0.78977
1986,Direct migration background,Second Stage of Tertiary Education,Married,0.74633,87,87,0.65437,0.83830
1986,Indirect migration background,Lower Secondary Level,Single,0.70365,47,47,0.57169,0.83562
1986,Indirect migration background,Upper Secondary Level,Single,0.53907,43,43,0.38832,0.68983
1987,No migration background,Primary Level,Single,0.51958,40,40,0.36278,0.67639
1987,No migration background,Lower Secondary Level,Married,0.50322,968,1810,0.48018,0.52626
1987,No migration background,Lower Secondary Level,Single,0.23146,500,1810,0.21202,0.25090
1987,No migration background,Lower Secondary Level,Divorced,0.04001,62,1810,0.03098,0.04904
1987,No migration background,Lower Secondary Level,Widowed,0.21101,280,1810,0.19221,0.22981
1987,No migration background,Upper Secondary Level,Married,0.60836,2633,4035,0.59329,0.62342
1987,No migration background,Upper Secondary Level,"Married, living apart",0.01356,53,4035,0.00999,0.01713
1987,No migration background,Upper Secondary Level,Single,0.22064,884,4035,0.20785,0.23344
1987,No migration background,Upper Secondary Level,Divorced,0.05973,206,4035,0.05241,0.06704
1987,No migration background,Upper Secondary Level,Widowed,0.09772,259,4035,0.08855,0.10688
1987,No migration background,Post-secondary Non-tertiary Level,Married,0.49988,91,162,0.42265,0.57712
1987,No migration background,Post-secondary Non-tertiary Level,Single,0.42015,71,162,0.34391,0.49639
1987,No migration background,First Stage of Tertiary Education,Married,0.69174,374,478,0.65030,0.73318
1987,No migration background,First Stage of Tertiary Education,Single,0.15829,72,478,0.12554,0.19105
1987,No migration background,First Stage of Tertiary Education,Widowed,0.09003,32,478,0.06434,0.11571
1987,No migration background,Second Stage of Tertiary Education,Married,0.64693,443,575,0.60783,0.68603
1987,No migration background,Second Stage of Tertiary Education,Single,0.22747,132,575,0.19318,0.26177
1987,Direct migration background,Pre-primary Level,Single,0.98266,32,32,0.93670,1.02861
1987,Direct migration background,Primary Level,Married,0.77643,556,629,0.74384,0.80902
1987,Direct migration background,Primary Level,"Married, living apart",0.06932,31,629,0.04945,0.08918
1987,Direct migration background,Primary Level,Single,0.06617,42,629,0.04673,0.08561
1987,Direct migration background,Lower Secondary Level,Married,0.61143,621,907,0.57970,0.64317
1987,Direct migration background,Lower Secondary Level,"Married, living apart",0.02923,33,907,0.01826,0.04020
1987,Direct migration background,Lower Secondary Level,Single,0.17437,222,907,0.14966,0.19907
1987,Direct migration background,Lower Secondary Level,Widowed,0.12458,31,907,0.10308,0.14609
1987,Direct migration background,Upper Secondary Level,Married,0.71803,620,831,0.68742,0.74864
1987,Direct migration background,Upper Secondary Level,"Married, living apart",0.03476,37,831,0.02230,0.04723
1987,Direct migration background,Upper Secondary Level,Single,0.17161,174,831,0.14596,0.19726
1987,Direct migration background,Post-secondary Non-tertiary Level,Married,0.75346,78,78,0.65719,0.84973
1987,Direct migration background,First Stage of Tertiary Education,Married,0.70949,40,40,0.56700,0.85197
1987,Direct migration background,Second Stage of Tertiary Education,Married,0.73814,81,81,0.64180,0.83449
1987,Indirect migration background,Lower Secondary Level,Single,0.64587,49,49,0.51057,0.78117
1987,Indirect migration background,Upper Secondary Level,Single,0.63276,52,52,0.50046,0.76506
1988,No migration background,Pre-primary Level,Single,0.98987,125,125,0.97225,1.00750
1988,No migration background,Primary Level,Single,0.50417,34,34,0.33358,0.67476
1988,No migration background,Lower Secondary Level,Married,0.50063,901,1725,0.47703,0.52423
1988,No migration background,Lower Secondary Level,"Married, living apart",0.01905,33,1725,0.01260,0.02551
1988,No migration background,Lower Secondary Level,Single,0.23260,479,1725,0.21265,0.25254
1988,No migration background,Lower Secondary Level,Divorced,0.03950,57,1725,0.03030,0.04869
1988,No migration background,Lower Secondary Level,Widowed,0.20711,255,1725,0.18798,0.22624
1988,No migration background,Upper Secondary Level,Married,0.60774,2520,3827,0.59227,0.62321
1988,No migration background,Upper Secondary Level,"Married, living apart",0.01837,65,3827,0.01412,0.02263
1988,No migration background,Upper Secondary Level,Single,0.21793,805,3827,0.20485,0.23101
1988,No migration background,Upper Secondary Level,Divorced,0.05875,186,3827,0.05130,0.06620
1988,No migration background,Upper Secondary Level,Widowed,0.09721,251,3827,0.08782,0.10659
1988,No migration background,Post-secondary Non-tertiary Level,Married,0.45822,83,157,0.38003,0.53641
1988,No migration background,Post-secondary Non-tertiary Level,Single,0.44648,74,157,0.36847,0.52449
1988,No migration background,First Stage of Tertiary Education,Married,0.70058,360,426,0.65703,0.74412
1988,No migration background,First Stage of Tertiary Education,Single,0.15444,66,426,0.12008,0.18879
1988,No migration background,Second Stage of Tertiary Education,Married,0.61880,414,575,0.57907,0.65853
1988,No migration background,Second Stage of Tertiary Education,Single,0.23849,130,575,0.20363,0.27335
1988,No migration background,Second Stage of Tertiary Education,Divorced,0.05759,31,575,0.03853,0.07664
1988,Direct migration background,Primary Level,Married,0.77177,514,547,0.73657,0.80697
1988,Direct migration background,Primary Level,Single,0.06279,33,547,0.04244,0.08314
1988,Direct migration background,Lower Secondary Level,Married,0.63691,613,853,0.60462,0.66920
1988,Direct migration background,Lower Secondary Level,"Married, living apart",0.02719,31,853,0.01627,0.03811
1988,Direct migration background,Lower Secondary Level,Single,0.15884,209,853,0.13429,0.18338
1988,Direct migration background,Upper Secondary Level,Married,0.69278,592,798,0.66075,0.72481
1988,Direct migration background,Upper Secondary Level,"Married, living apart",0.03886,41,798,0.02544,0.05227
1988,Direct migration background,Upper Secondary Level,Single,0.18031,165,798,0.15362,0.20700
1988,Direct migration background,Post-secondary Non-tertiary Level,Married,0.77435,74,74,0.67846,0.87025
1988,Direct migration background,First Stage of Tertiary Education,Married,0.71959,38,38,0.57485,0.86433
1988,Direct migration background,Second Stage of Tertiary Education,Married,0.75593,70,70,0.65458,0.85728
1988,Indirect migration background,Lower Secondary Level,Single,0.67836,62,62,0.56114,0.79558
1988,Indirect migration background,Upper Secondary Level,Single,0.64277,61,61,0.52152,0.76402
1989,No migration background,Pre-primary Level,Single,0.99334,120,120,0.97872,1.00795
1989,No migration background,Primary Level,Single,0.49703,34,34,0.32644,0.66763
1989,No migration background,Lower Secondary Level,Married,0.49244,828,1564,0.46765,0.51722
1989,No migration background,Lower Secondary Level,Single,0.23321,431,1564,0.21224,0.25417
1989,No migration background,Lower Secondary Level,Divorced,0.04672,60,1564,0.03625,0.05718
1989,No migration background,Lower Secondary Level,Widowed,0.21169,245,1564,0.19144,0.23194
1989,No migration background,Upper Secondary Level,Married,0.60266,2381,3706,0.58690,0.61841
1989,No migration background,Upper Secondary Level,"Married, living apart",0.02175,73,3706,0.01705,0.02644
1989,No migration background,Upper Secondary Level,Single,0.21399,811,3706,0.20078,0.22719
1989,No migration background,Upper Secondary Level,Divorced,0.06104,186,3706,0.05333,0.06875
1989,No migration background,Upper Secondary Level,Widowed,0.10034,255,3706,0.09066,0.11001
1989,No migration background,Post-secondary Non-tertiary Level,Married,0.42256,83,175,0.34916,0.49596
1989,No migration background,Post-secondary Non-tertiary Level,Single,0.48135,92,175,0.40711,0.55559
1989,No migration background,First Stage of Tertiary Education,Married,0.71147,347,406,0.66735,0.75560
1989,No migration background,First Stage of Tertiary Education,Single,0.14144,59,406,0.10750,0.17538
1989,No migration background,Second Stage of Tertiary Education,Married,0.62064,408,568,0.58070,0.66058
1989,No migration background,Second Stage of Tertiary Education,Single,0.23225,126,568,0.19749,0.26701
1989,No migration background,Second Stage of Tertiary Education,Divorced,0.06555,34,568,0.04518,0.08592
1989,Direct migration background,Primary Level,Married,0.76814,480,513,0.73158,0.80469
1989,Direct migration background,Primary Level,Single,0.07601,33,513,0.05305,0.09896
1989,Direct migration background,Lower Secondary Level,Married,0.64327,608,816,0.61038,0.67616
1989,Direct migration background,Lower Secondary Level,Single,0.14715,177,816,0.12283,0.17147
1989,Direct migration background,Lower Secondary Level,Divorced,0.06629,31,816,0.04921,0.08337
1989,Direct migration background,Upper Secondary Level,Married,0.71868,604,793,0.68736,0.74999
1989,Direct migration background,Upper Secondary Level,"Married, living apart",0.03074,31,793,0.01872,0.04276
1989,Direct migration background,Upper Secondary Level,Single,0.16815,158,793,0.14211,0.19420
1989,Direct migration background,Post-secondary Non-tertiary Level,Married,0.77999,74,74,0.68496,0.87502
1989,Direct migration background,First Stage of Tertiary Education,Married,0.74408,37,37,0.60153,0.88663
1989,Direct migration background,Second Stage of Tertiary Education,Married,0.72180,69,69,0.61529,0.82831
1989,Indirect migration background,Lower Secondary Level,Single,0.74512,84,84,0.65136,0.83887
1989,Indirect migration background,Upper Secondary Level,Single,0.62688,62,62,0.50551,0.74825
1990,No migration background,Pre-primary Level,Single,0.98997,131,131,0.97285,1.00710
1990,No migration background,Primary Level,Single,0.49554,36,36,0.32990,0.66118
1990,No migration background,Lower Secondary Level,Married,0.46876,971,1967,0.44670,0.49081
1990,No migration background,Lower Secondary Level,Single,0.24265,573,1967,0.22370,0.26160
1990,No migration background,Lower Secondary Level,Divorced,0.05029,84,1967,0.04063,0.05995
1990,No migration background,Lower Secondary Level,Widowed,0.22287,339,1967,0.20448,0.24127
1990,No migration background,Upper Secondary Level,Married,0.60843,4045,6101,0.59618,0.62068
1990,No migration background,Upper Secondary Level,"Married, living apart",0.01414,74,6101,0.01118,0.01710
1990,No migration background,Upper Secondary Level,Single,0.21583,1247,6101,0.20551,0.22616
1990,No migration background,Upper Secondary Level,Divorced,0.07096,369,6101,0.06452,0.07741
1990,No migration background,Upper Secondary Level,Widowed,0.09041,366,6101,0.08322,0.09761
1990,No migration background,Post-secondary Non-tertiary Level,Married,0.39720,127,248,0.33618,0.45822
1990,No migration background,Post-secondary Non-tertiary Level,Single,0.51918,121,248,0.45687,0.58149
1990,No migration background,First Stage of Tertiary Education,Married,0.70566,554,669,0.67110,0.74022
1990,No migration background,First Stage of Tertiary Education,Single,0.13611,76,669,0.11011,0.16212
1990,No migration background,First Stage of Tertiary Education,Widowed,0.08901,39,669,0.06741,0.11060
1990,No migration background,Second Stage of Tertiary Education,Married,0.68030,1209,1538,0.65698,0.70361
1990,No migration background,Second Stage of Tertiary Education,Single,0.18169,194,1538,0.16242,0.20097
1990,No migration background,Second Stage of Tertiary Education,Divorced,0.08016,99,1538,0.06658,0.09373
1990,No migration background,Second Stage of Tertiary Education,Widowed,0.03411,36,1538,0.02504,0.04319
1990,Direct migration background,Primary Level,Married,0.76800,461,461,0.72942,0.80657
1990,Direct migration background,Lower Secondary Level,Married,0.61957,610,843,0.58678,0.65237
1990,Direct migration background,Lower Secondary Level,Single,0.16005,166,843,0.13529,0.18482
1990,Direct migration background,Lower Secondary Level,Divorced,0.09024,36,843,0.07088,0.10959
1990,Direct migration background,Lower Secondary Level,Widowed,0.09746,31,843,0.07742,0.11749
1990,Direct migration background,Upper Secondary Level,Married,0.72384,649,793,0.69270,0.75497
1990,Direct migration background,Upper Secondary Level,Single,0.15464,144,793,0.12945,0.17982
1990,Direct migration background,Post-secondary Non-tertiary Level,Married,0.75845,79,79,0.66347,0.85344
1990,Direct migration background,First Stage of Tertiary Education,Married,0.71949,45,45,0.58675,0.85224
1990,Direct migration background,Second Stage of Tertiary Education,Married,0.75070,102,102,0.66633,0.83507
1990,Indirect migration background,Lower Secondary Level,Single,0.70898,95,95,0.61715,0.80080
1990,Indirect migration background,Upper Secondary Level,Single,0.57375,66,66,0.45352,0.69397
1991,No migration background,Primary Level,Single,0.58353,65,65,0.46275,0.70431
1991,No migration background,Lower Secondary Level,Married,0.47055,928,1846,0.44778,0.49333
1991,No migration background,Lower Secondary Level,Single,0.22860,528,1846,0.20944,0.24776
1991,No migration background,Lower Secondary Level,Divorced,0.05017,79,1846,0.04021,0.06013
1991,No migration background,Lower Secondary Level,Widowed,0.23237,311,1846,0.21309,0.25164
1991,No migration background,Upper Secondary Level,Married,0.59865,3900,5920,0.58616,0.61114
1991,No migration background,Upper Secondary Level,"Married, living apart",0.01715,78,5920,0.01384,0.02046
1991,No migration background,Upper Secondary Level,Single,0.21640,1235,5920,0.20591,0.22689
1991,No migration background,Upper Secondary Level,Divorced,0.07192,351,5920,0.06533,0.07850
1991,No migration background,Upper Secondary Level,Widowed,0.09538,356,5920,0.08790,0.10286
1991,No migration background,Post-secondary Non-tertiary Level,Married,0.43175,137,253,0.37060,0.49291
1991,No migration background,Post-secondary Non-tertiary Level,Single,0.48712,116,253,0.42541,0.54884
1991,No migration background,First Stage of Tertiary Education,Married,0.70225,543,656,0.66723,0.73727
1991,No migration background,First Stage of Tertiary Education,Single,0.13898,75,656,0.11249,0.16547
1991,No migration background,First Stage of Tertiary Education,Widowed,0.08905,38,656,0.06724,0.11086
1991,No migration background,Second Stage of Tertiary Education,Married,0.68314,1199,1530,0.65982,0.70646
1991,No migration background,Second Stage of Tertiary Education,Single,0.17109,185,1530,0.15221,0.18997
1991,No migration background,Second Stage of Tertiary Education,Divorced,0.08784,105,1530,0.07365,0.10203
1991,No migration background,Second Stage of Tertiary Education,Widowed,0.03606,41,1530,0.02671,0.04540
1991,Direct migration background,Primary Level,Married,0.78382,454,454,0.74591,0.82173
1991,Direct migration background,Lower Secondary Level,Married,0.62837,610,847,0.59581,0.66094
1991,Direct migration background,Lower Secondary Level,"Married, living apart",0.03657,31,847,0.02392,0.04922
1991,Direct migration background,Lower Secondary Level,Single,0.15392,142,847,0.12960,0.17823
1991,Direct migration background,Lower Secondary Level,Divorced,0.07299,33,847,0.05546,0.09052
1991,Direct migration background,Lower Secondary Level,Widowed,0.10815,31,847,0.08722,0.12908
1991,Direct migration background,Upper Secondary Level,Married,0.72637,652,787,0.69520,0.75753
1991,Direct migration background,Upper Secondary Level,Single,0.13865,135,787,0.11449,0.16281
1991,Direct migration background,Post-secondary Non-tertiary Level,Married,0.80729,80,80,0.72032,0.89427
1991,Direct migration background,First Stage of Tertiary Education,Married,0.78066,45,45,0.65839,0.90293
1991,Direct migration background,Second Stage of Tertiary Education,Married,0.76864,101,101,0.68599,0.85129
1991,Indirect migration background,Lower Secondary Level,Single,0.77991,116,116,0.70418,0.85563
1991,Indirect migration background,Upper Secondary Level,Single,0.63808,84,84,0.53469,0.74146
1992,No migration background,Primary Level,Single,0.48846,45,45,0.34075,0.63616
1992,No migration background,Lower Secondary Level,Married,0.47613,890,1771,0.45287,0.49940
1992,No migration background,Lower Secondary Level,Single,0.22534,509,1771,0.20588,0.24481
1992,No migration background,Lower Secondary Level,Divorced,0.05185,79,1771,0.04152,0.06218
1992,No migration background,Lower Secondary Level,Widowed,0.22984,293,1771,0.21024,0.24944
1992,No migration background,Upper Secondary Level,Married,0.60110,3781,5753,0.58845,0.61376
1992,No migration background,Upper Secondary Level,"Married, living apart",0.01627,74,5753,0.01300,0.01953
1992,No migration background,Upper Secondary Level,Single,0.21426,1199,5753,0.20366,0.22487
1992,No migration background,Upper Secondary Level,Divorced,0.07295,350,5753,0.06623,0.07967
1992,No migration background,Upper Secondary Level,Widowed,0.09542,349,5753,0.08783,0.10301
1992,No migration background,Post-secondary Non-tertiary Level,Married,0.43992,139,256,0.37900,0.50085
1992,No migration background,Post-secondary Non-tertiary Level,Single,0.47701,117,256,0.41570,0.53831
1992,No migration background,First Stage of Tertiary Education,Married,0.70013,542,662,0.66520,0.73506
1992,No migration background,First Stage of Tertiary Education,Single,0.14494,85,662,0.11811,0.17178
1992,No migration background,First Stage of Tertiary Education,Widowed,0.08942,35,662,0.06767,0.11117
1992,No migration background,Second Stage of Tertiary Education,Married,0.67878,1162,1499,0.65513,0.70242
1992,No migration background,Second Stage of Tertiary Education,Single,0.17400,193,1499,0.15480,0.19319
1992,No migration background,Second Stage of Tertiary Education,Divorced,0.08358,101,1499,0.06956,0.09759
1992,No migration background,Second Stage of Tertiary Education,Widowed,0.04082,43,1499,0.03080,0.05084
1992,Direct migration background,Primary Level,Married,0.78344,434,434,0.74464,0.82224
1992,Direct migration background,Lower Secondary Level,Married,0.63209,594,761,0.59780,0.66637
1992,Direct migration background,Lower Secondary Level,"Married, living apart",0.03541,32,761,0.02227,0.04855
1992,Direct migration background,Lower Secondary Level,Single,0.15967,135,761,0.13363,0.18571
1992,Direct migration background,Upper Secondary Level,Married,0.72243,641,797,0.69132,0.75354
1992,Direct migration background,Upper Secondary Level,Single,0.13733,124,797,0.11342,0.16124
1992,Direct migration background,Upper Secondary Level,Widowed,0.07020,32,797,0.05245,0.08795
1992,Direct migration background,Post-secondary Non-tertiary Level,Married,0.78369,80,80,0.69289,0.87448
1992,Direct migration background,First Stage of Tertiary Education,Married,0.76967,47,47,0.64800,0.89135
1992,Direct migration background,Second Stage of Tertiary Education,Married,0.82090,105,105,0.74721,0.89460
1992,Indirect migration background,Pre-primary Level,Single,0.96587,48,48,0.91396,1.01778
1992,Indirect migration background,Lower Secondary Level,Single,0.76788,135,135,0.69639,0.83936
1992,Indirect migration background,Upper Secondary Level,Single,0.61618,84,84,0.51155,0.72080
1993,No migration background,Pre-primary Level,Single,0.97750,127,127,0.95160,1.00339
1993,No migration background,Primary Level,Single,0.48068,41,41,0.32584,0.63552
1993,No migration background,Lower Secondary Level,Married,0.47273,847,1675,0.44881,0.49664
1993,No migration background,Lower Secondary Level,Single,0.21817,455,1675,0.19838,0.23795
1993,No migration background,Lower Secondary Level,Divorced,0.05654,83,1675,0.04548,0.06761
1993,No migration background,Lower Secondary Level,Widowed,0.23460,290,1675,0.21430,0.25490
1993,No migration background,Upper Secondary Level,Married,0.60455,3691,5680,0.59184,0.61727
1993,No migration background,Upper Secondary Level,"Married, living apart",0.01665,93,5680,0.01332,0.01998
1993,No migration background,Upper Secondary Level,Single,0.20667,1205,5680,0.19614,0.21720
1993,No migration background,Upper Secondary Level,Divorced,0.07498,338,5680,0.06813,0.08183
1993,No migration background,Upper Secondary Level,Widowed,0.09715,353,5680,0.08944,0.10485
1993,No migration background,Post-secondary Non-tertiary Level,Married,0.44706,137,261,0.38662,0.50749
1993,No migration background,Post-secondary Non-tertiary Level,Single,0.46971,124,261,0.40904,0.53037
1993,No migration background,First Stage of Tertiary Education,Married,0.69237,524,644,0.65670,0.72804
1993,No migration background,First Stage of Tertiary Education,Single,0.14453,84,644,0.11735,0.17171
1993,No migration background,First Stage of Tertiary Education,Widowed,0.09732,36,644,0.07441,0.12022
1993,No migration background,Second Stage of Tertiary Education,Married,0.66575,1130,1471,0.64163,0.68986
1993,No migration background,Second Stage of Tertiary Education,Single,0.18526,202,1471,0.16540,0.20512
1993,No migration background,Second Stage of Tertiary Education,Divorced,0.08323,99,1471,0.06910,0.09735
1993,No migration background,Second Stage of Tertiary Education,Widowed,0.03556,40,1471,0.02609,0.04503
1993,Direct migration background,Primary Level,Married,0.76439,416,416,0.72356,0.80523
1993,Direct migration background,Lower Secondary Level,Married,0.65825,582,700,0.62309,0.69342
1993,Direct migration background,Lower Secondary Level,Single,0.14873,118,700,0.12235,0.17511
1993,Direct migration background,Upper Secondary Level,Married,0.70272,631,782,0.67066,0.73478
1993,Direct migration background,Upper Secondary Level,Single,0.14880,118,782,0.12384,0.17376
1993,Direct migration background,Upper Secondary Level,Widowed,0.07253,33,782,0.05434,0.09072
1993,Direct migration background,Post-secondary Non-tertiary Level,Married,0.79064,78,78,0.69976,0.88151
1993,Direct migration background,First Stage of Tertiary Education,Married,0.77928,43,43,0.65386,0.90471
1993,Direct migration background,Second Stage of Tertiary Education,Married,0.75012,98,98,0.66396,0.83628
1993,Indirect migration background,Pre-primary Level,Single,0.98937,47,47,0.95974,1.01900
1993,Indirect migration background,Lower Secondary Level,Married,0.13893,33,188,0.08935,0.18850
1993,Indirect migration background,Lower Secondary Level,Single,0.79730,155,188,0.73968,0.85492
1993,Indirect migration background,Upper Secondary Level,Married,0.32592,39,140,0.24800,0.40384
1993,Indirect migration background,Upper Secondary Level,Single,0.60058,101,140,0.51916,0.68200
1994,No migration background,Pre-primary Level,Single,0.99709,166,166,0.98887,1.00531
1994,No migration background,Primary Level,Single,0.43599,33,33,0.26417,0.60780
1994,No migration background,Lower Secondary Level,Married,0.47173,797,1603,0.44729,0.49618
1994,No migration background,Lower Secondary Level,"Married, living apart",0.02459,35,1603,0.01701,0.03217
