year,bula_h,sex,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,North Rhine-Westphalia,male,Married,0.62686,913,1397,0.60149,0.65223
1986,North Rhine-Westphalia,male,"Married, living apart",0.02466,44,1397,0.01653,0.03280
1986,North Rhine-Westphalia,male,Single,0.27580,399,1397,0.25236,0.29925
1986,North Rhine-Westphalia,male,Divorced,0.03991,41,1397,0.02964,0.05018
1986,North Rhine-Westphalia,female,Married,0.54867,914,1405,0.52264,0.57470
1986,North Rhine-Westphalia,female,Single,0.20146,287,1405,0.18048,0.22244
1986,North Rhine-Westphalia,female,Divorced,0.05078,61,1405,0.03929,0.06226
1986,North Rhine-Westphalia,female,Widowed,0.17731,143,1405,0.15733,0.19729
1986,Hesse,male,Married,0.63462,347,488,0.59186,0.67739
1986,Hesse,male,Single,0.27791,141,488,0.23812,0.31769
1986,Hesse,female,Married,0.57683,343,490,0.53304,0.62062
1986,Hesse,female,Single,0.19362,102,490,0.15860,0.22864
1986,Hesse,female,Widowed,0.17121,45,490,0.13782,0.20460
1986,"Rhineland-Palatinate, Saarland",male,Married,0.62317,242,349,0.57225,0.67408
1986,"Rhineland-Palatinate, Saarland",male,Single,0.26780,107,349,0.22128,0.31433
1986,"Rhineland-Palatinate, Saarland",female,Married,0.55206,242,367,0.50111,0.60301
1986,"Rhineland-Palatinate, Saarland",female,Single,0.17030,72,367,0.13179,0.20881
1986,"Rhineland-Palatinate, Saarland",female,Widowed,0.21099,53,367,0.16919,0.25280
1986,Baden-Wuerttemberg,male,Married,0.63789,646,937,0.60710,0.66868
1986,Baden-Wuerttemberg,male,Single,0.28776,291,937,0.25875,0.31676
1986,Baden-Wuerttemberg,female,Married,0.55586,648,969,0.52456,0.58717
1986,Baden-Wuerttemberg,female,Single,0.20429,193,969,0.17889,0.22969
1986,Baden-Wuerttemberg,female,Divorced,0.05758,40,969,0.04291,0.07226
1986,Baden-Wuerttemberg,female,Widowed,0.16927,88,969,0.14565,0.19290
1986,Bavaria,male,Married,0.65836,579,797,0.62541,0.69131
1986,Bavaria,male,Single,0.25772,218,797,0.22733,0.28810
1986,Bavaria,female,Married,0.54553,579,909,0.51314,0.57792
1986,Bavaria,female,Single,0.22135,205,909,0.19435,0.24836
1986,Bavaria,female,Divorced,0.04480,33,909,0.03134,0.05825
1986,Bavaria,female,Widowed,0.17045,92,909,0.14599,0.19491
1986,Berlin,male,Married,0.45938,95,150,0.37936,0.53940
1986,Berlin,male,Single,0.33535,55,150,0.25954,0.41115
1986,Berlin,female,Married,0.39856,96,128,0.31341,0.48371
1986,Berlin,female,Single,0.18480,32,128,0.11730,0.25231
1987,Schleswig-Holstein,male,Married,0.65232,102,145,0.57454,0.73011
1987,Schleswig-Holstein,male,Single,0.26273,43,145,0.19084,0.33461
1987,Schleswig-Holstein,female,Married,0.56094,101,137,0.47753,0.64434
1987,Schleswig-Holstein,female,Single,0.17913,36,137,0.11468,0.24358
1987,Hamburg,male,Married,0.49732,65,65,0.37482,0.61981
1987,Hamburg,female,Married,0.45122,65,65,0.32931,0.57314
1987,Lower Saxony,male,Married,0.63603,341,507,0.59410,0.67795
1987,Lower Saxony,male,Single,0.29868,166,507,0.25880,0.33856
1987,Lower Saxony,female,Married,0.55153,341,530,0.50915,0.59391
1987,Lower Saxony,female,Single,0.21981,129,530,0.18452,0.25510
1987,Lower Saxony,female,Widowed,0.15951,60,530,0.12831,0.19071
1987,North Rhine-Westphalia,male,Married,0.62216,899,1390,0.59666,0.64766
1987,North Rhine-Westphalia,male,"Married, living apart",0.02252,44,1390,0.01472,0.03032
1987,North Rhine-Westphalia,male,Single,0.27053,399,1390,0.24717,0.29389
1987,North Rhine-Westphalia,male,Divorced,0.04671,48,1390,0.03561,0.05780
1987,North Rhine-Westphalia,female,Married,0.54197,896,1383,0.51570,0.56824
1987,North Rhine-Westphalia,female,Single,0.19908,275,1383,0.17803,0.22013
1987,North Rhine-Westphalia,female,Divorced,0.06054,68,1383,0.04797,0.07311
1987,North Rhine-Westphalia,female,Widowed,0.18199,144,1383,0.16165,0.20233
1987,Hesse,male,Married,0.64102,348,496,0.59876,0.68328
1987,Hesse,male,Single,0.27469,148,496,0.23536,0.31401
1987,Hesse,female,Married,0.59190,349,490,0.54834,0.63546
1987,Hesse,female,Single,0.17981,96,490,0.14577,0.21384
1987,Hesse,female,Widowed,0.16659,45,490,0.13356,0.19961
1987,"Rhineland-Palatinate, Saarland",male,Married,0.61842,241,353,0.56768,0.66917
1987,"Rhineland-Palatinate, Saarland",male,Single,0.27688,112,353,0.23014,0.32363
1987,"Rhineland-Palatinate, Saarland",female,Married,0.55579,240,365,0.50475,0.60684
1987,"Rhineland-Palatinate, Saarland",female,Single,0.16388,71,365,0.12586,0.20191
1987,"Rhineland-Palatinate, Saarland",female,Widowed,0.21678,54,365,0.17445,0.25911
1987,Baden-Wuerttemberg,male,Married,0.65027,639,949,0.61991,0.68063
1987,Baden-Wuerttemberg,male,"Married, living apart",0.01878,31,949,0.01014,0.02742
1987,Baden-Wuerttemberg,male,Single,0.27657,279,949,0.24809,0.30504
1987,Baden-Wuerttemberg,female,Married,0.55907,639,968,0.52777,0.59036
1987,Baden-Wuerttemberg,female,Single,0.20527,195,968,0.17981,0.23072
1987,Baden-Wuerttemberg,female,Divorced,0.05605,42,968,0.04155,0.07054
1987,Baden-Wuerttemberg,female,Widowed,0.17186,92,968,0.14808,0.19563
1987,Bavaria,male,Married,0.65279,551,765,0.61904,0.68655
1987,Bavaria,male,Single,0.24946,214,765,0.21877,0.28014
1987,Bavaria,female,Married,0.54926,553,881,0.51638,0.58213
1987,Bavaria,female,Single,0.21714,202,881,0.18990,0.24438
1987,Bavaria,female,Divorced,0.05542,38,881,0.04031,0.07054
1987,Bavaria,female,Widowed,0.15816,88,881,0.13405,0.18227
1987,Berlin,male,Married,0.47761,100,155,0.39872,0.55650
1987,Berlin,male,Single,0.32703,55,155,0.25293,0.40112
1987,Berlin,female,Married,0.40068,99,133,0.31708,0.48428
1987,Berlin,female,Single,0.19106,34,133,0.12399,0.25813
1988,Schleswig-Holstein,male,Married,0.65210,105,147,0.57483,0.72936
1988,Schleswig-Holstein,male,Single,0.26612,42,147,0.19444,0.33781
1988,Schleswig-Holstein,female,Married,0.61734,104,104,0.52348,0.71121
1988,Hamburg,male,Married,0.51668,56,56,0.38461,0.64875
1988,Hamburg,female,Married,0.46807,57,57,0.33738,0.59876
1988,Lower Saxony,male,Married,0.62524,322,474,0.58162,0.66886
1988,Lower Saxony,male,Single,0.29661,152,474,0.25545,0.33777
1988,Lower Saxony,female,Married,0.55699,324,498,0.51331,0.60066
1988,Lower Saxony,female,Single,0.20628,117,498,0.17070,0.24185
1988,Lower Saxony,female,Widowed,0.15974,57,498,0.12753,0.19195
1988,North Rhine-Westphalia,male,Married,0.61788,850,1318,0.59163,0.64412
1988,North Rhine-Westphalia,male,"Married, living apart",0.02000,40,1318,0.01244,0.02756
1988,North Rhine-Westphalia,male,Single,0.27814,386,1318,0.25394,0.30234
1988,North Rhine-Westphalia,male,Divorced,0.04507,42,1318,0.03387,0.05628
1988,North Rhine-Westphalia,female,Married,0.53366,848,1317,0.50671,0.56062
1988,North Rhine-Westphalia,female,Single,0.20714,271,1317,0.18525,0.22904
1988,North Rhine-Westphalia,female,Divorced,0.05950,62,1317,0.04672,0.07228
1988,North Rhine-Westphalia,female,Widowed,0.18046,136,1317,0.15968,0.20124
1988,Hesse,male,Married,0.64404,334,462,0.60033,0.68775
1988,Hesse,male,Single,0.26403,128,462,0.22379,0.30428
1988,Hesse,female,Married,0.59920,335,468,0.55475,0.64364
1988,Hesse,female,Single,0.16719,89,468,0.13335,0.20104
1988,Hesse,female,Widowed,0.17386,44,468,0.13948,0.20823
1988,"Rhineland-Palatinate, Saarland",male,Married,0.63263,234,330,0.58053,0.68472
1988,"Rhineland-Palatinate, Saarland",male,Single,0.24832,96,330,0.20164,0.29501
1988,"Rhineland-Palatinate, Saarland",female,Married,0.55641,234,356,0.50473,0.60809
1988,"Rhineland-Palatinate, Saarland",female,Single,0.17309,73,356,0.13374,0.21245
1988,"Rhineland-Palatinate, Saarland",female,Widowed,0.19806,49,356,0.15660,0.23952
1988,Baden-Wuerttemberg,male,Married,0.63006,614,919,0.59883,0.66129
1988,Baden-Wuerttemberg,male,"Married, living apart",0.02766,32,919,0.01705,0.03827
1988,Baden-Wuerttemberg,male,Single,0.28847,273,919,0.25916,0.31778
1988,Baden-Wuerttemberg,female,Married,0.56551,617,920,0.53346,0.59756
1988,Baden-Wuerttemberg,female,Single,0.20403,186,920,0.17797,0.23008
1988,Baden-Wuerttemberg,female,Divorced,0.05494,35,920,0.04021,0.06967
1988,Baden-Wuerttemberg,female,Widowed,0.16305,82,920,0.13917,0.18694
1988,Bavaria,male,Married,0.62447,523,738,0.58950,0.65943
1988,Bavaria,male,Single,0.27890,215,738,0.24652,0.31128
1988,Bavaria,female,Married,0.54164,523,838,0.50788,0.57539
1988,Bavaria,female,Single,0.22164,193,838,0.19350,0.24978
1988,Bavaria,female,Divorced,0.06408,38,838,0.04749,0.08067
1988,Bavaria,female,Widowed,0.15383,84,838,0.12938,0.17827
1988,Berlin,male,Married,0.45793,89,138,0.37450,0.54136
1988,Berlin,male,Single,0.31836,49,138,0.24035,0.39637
1988,Berlin,female,Married,0.40618,90,90,0.30414,0.50821
1989,Schleswig-Holstein,male,Married,0.62259,98,136,0.54082,0.70436
1989,Schleswig-Holstein,male,Single,0.28265,38,136,0.20669,0.35861
1989,Schleswig-Holstein,female,Married,0.60015,96,96,0.50164,0.69866
1989,Hamburg,male,Married,0.43220,49,49,0.29205,0.57234
1989,Hamburg,female,Married,0.42535,50,50,0.28692,0.56378
1989,Lower Saxony,male,Married,0.61324,300,446,0.56799,0.65849
1989,Lower Saxony,male,Single,0.30517,146,446,0.26239,0.34795
1989,Lower Saxony,female,Married,0.55037,303,472,0.50545,0.59530
1989,Lower Saxony,female,Single,0.19455,110,472,0.15880,0.23031
1989,Lower Saxony,female,Widowed,0.17108,59,472,0.13707,0.20509
1989,Bremen,male,Married,0.65705,31,31,0.48719,0.82692
1989,Bremen,female,Married,0.41637,31,31,0.23997,0.59277
1989,North Rhine-Westphalia,male,Married,0.62693,823,1265,0.60027,0.65359
1989,North Rhine-Westphalia,male,"Married, living apart",0.02190,32,1265,0.01383,0.02997
1989,North Rhine-Westphalia,male,Single,0.26478,370,1265,0.24046,0.28911
1989,North Rhine-Westphalia,male,Divorced,0.04521,40,1265,0.03376,0.05667
1989,North Rhine-Westphalia,female,Married,0.53152,818,1289,0.50427,0.55877
1989,North Rhine-Westphalia,female,Single,0.21820,284,1289,0.19564,0.24076
1989,North Rhine-Westphalia,female,Divorced,0.06469,62,1289,0.05126,0.07812
1989,North Rhine-Westphalia,female,Widowed,0.16540,125,1289,0.14510,0.18569
1989,Hesse,male,Married,0.63928,328,460,0.59535,0.68322
1989,Hesse,male,Single,0.26776,132,460,0.22725,0.30827
1989,Hesse,female,Married,0.57844,323,464,0.53346,0.62342
1989,Hesse,female,Single,0.17580,95,464,0.14113,0.21047
1989,Hesse,female,Widowed,0.17880,46,464,0.14390,0.21371
1989,"Rhineland-Palatinate, Saarland",male,Married,0.62790,217,310,0.57400,0.68179
1989,"Rhineland-Palatinate, Saarland",male,Single,0.26379,93,310,0.21465,0.31293
1989,"Rhineland-Palatinate, Saarland",female,Married,0.54725,217,333,0.49371,0.60080
1989,"Rhineland-Palatinate, Saarland",female,Single,0.16939,68,333,0.12904,0.20974
1989,"Rhineland-Palatinate, Saarland",female,Widowed,0.20009,48,333,0.15705,0.24312
1989,Baden-Wuerttemberg,male,Married,0.63357,590,843,0.60102,0.66611
1989,Baden-Wuerttemberg,male,Single,0.28025,253,843,0.24992,0.31059
1989,Baden-Wuerttemberg,female,Married,0.56605,591,890,0.53347,0.59863
1989,Baden-Wuerttemberg,female,Single,0.18885,177,890,0.16312,0.21458
1989,Baden-Wuerttemberg,female,Divorced,0.05377,37,890,0.03894,0.06860
1989,Baden-Wuerttemberg,female,Widowed,0.17368,85,890,0.14878,0.19859
1989,Bavaria,male,Married,0.60937,501,722,0.57375,0.64498
1989,Bavaria,male,Single,0.28670,221,722,0.25370,0.31971
1989,Bavaria,female,Married,0.54526,510,817,0.51109,0.57942
1989,Bavaria,female,Single,0.21042,185,817,0.18245,0.23839
1989,Bavaria,female,Divorced,0.07035,40,817,0.05280,0.08789
1989,Bavaria,female,Widowed,0.15777,82,817,0.13275,0.18278
1989,Berlin,male,Married,0.45755,92,137,0.37382,0.54129
1989,Berlin,male,Single,0.32641,45,137,0.24760,0.40521
1989,Berlin,female,Married,0.39896,91,91,0.29779,0.50013
1990,Schleswig-Holstein,male,Married,0.56654,85,121,0.47788,0.65521
1990,Schleswig-Holstein,male,Single,0.28913,36,121,0.20801,0.37024
1990,Schleswig-Holstein,female,Married,0.57939,86,86,0.47444,0.68434
1990,Hamburg,male,Married,0.38061,40,40,0.22822,0.53300
1990,Hamburg,female,Married,0.38641,42,42,0.23736,0.53546
1990,Lower Saxony,male,Married,0.59232,293,439,0.54630,0.63834
1990,Lower Saxony,male,Single,0.30393,146,439,0.26086,0.34701
1990,Lower Saxony,female,Married,0.57388,300,455,0.52839,0.61937
1990,Lower Saxony,female,Single,0.17594,103,455,0.14091,0.21096
1990,Lower Saxony,female,Widowed,0.16065,52,455,0.12687,0.19442
1990,Bremen,male,Married,0.74280,33,33,0.59136,0.89425
1990,Bremen,female,Married,0.46315,33,33,0.29038,0.63592
1990,North Rhine-Westphalia,male,Married,0.62517,805,1233,0.59813,0.65220
1990,North Rhine-Westphalia,male,"Married, living apart",0.01884,31,1233,0.01125,0.02643
1990,North Rhine-Westphalia,male,Single,0.27342,355,1233,0.24853,0.29831
1990,North Rhine-Westphalia,male,Divorced,0.05008,42,1233,0.03790,0.06226
1990,North Rhine-Westphalia,female,Married,0.53830,810,1294,0.51112,0.56547
1990,North Rhine-Westphalia,female,"Married, living apart",0.02135,33,1294,0.01347,0.02923
1990,North Rhine-Westphalia,female,Single,0.21484,269,1294,0.19245,0.23723
1990,North Rhine-Westphalia,female,Divorced,0.06227,59,1294,0.04910,0.07544
1990,North Rhine-Westphalia,female,Widowed,0.16324,123,1294,0.14310,0.18339
1990,Hesse,male,Married,0.63439,320,453,0.58999,0.67879
1990,Hesse,male,Single,0.26772,133,453,0.22690,0.30854
1990,Hesse,female,Married,0.57445,320,460,0.52921,0.61968
1990,Hesse,female,Single,0.18498,96,460,0.14946,0.22050
1990,Hesse,female,Widowed,0.17573,44,460,0.14091,0.21055
1990,"Rhineland-Palatinate, Saarland",male,Married,0.61620,206,293,0.56042,0.67198
1990,"Rhineland-Palatinate, Saarland",male,Single,0.26896,87,293,0.21810,0.31982
1990,"Rhineland-Palatinate, Saarland",female,Married,0.55431,215,323,0.50002,0.60860
1990,"Rhineland-Palatinate, Saarland",female,Single,0.15448,58,323,0.11500,0.19395
1990,"Rhineland-Palatinate, Saarland",female,Widowed,0.19866,50,323,0.15508,0.24224
1990,Baden-Wuerttemberg,male,Married,0.63022,584,834,0.59744,0.66301
1990,Baden-Wuerttemberg,male,Single,0.28482,250,834,0.25417,0.31547
1990,Baden-Wuerttemberg,female,Married,0.57185,590,884,0.53922,0.60449
1990,Baden-Wuerttemberg,female,Single,0.19572,174,884,0.16955,0.22189
1990,Baden-Wuerttemberg,female,Divorced,0.06437,39,884,0.04818,0.08056
1990,Baden-Wuerttemberg,female,Widowed,0.15629,81,884,0.13234,0.18024
1990,Bavaria,male,Married,0.59491,503,727,0.55920,0.63062
1990,Bavaria,male,Single,0.30285,224,727,0.26942,0.33627
1990,Bavaria,female,Married,0.55151,509,801,0.51705,0.58598
1990,Bavaria,female,Single,0.20772,177,801,0.17961,0.23583
1990,Bavaria,female,Divorced,0.07076,34,801,0.05299,0.08853
1990,Bavaria,female,Widowed,0.15327,81,801,0.12830,0.17823
1990,Berlin,male,Married,0.49074,177,260,0.42985,0.55162
1990,Berlin,male,Single,0.34061,83,260,0.28290,0.39833
1990,Berlin,female,Married,0.43055,183,296,0.37405,0.48706
1990,Berlin,female,Single,0.21379,69,296,0.16700,0.26057
1990,Berlin,female,Divorced,0.14988,44,296,0.10915,0.19062
1990,Brandenburg,male,Married,0.62338,246,327,0.57078,0.67598
1990,Brandenburg,male,Single,0.26743,81,327,0.21938,0.31548
1990,Brandenburg,female,Married,0.60770,250,340,0.55573,0.65968
1990,Brandenburg,female,Single,0.15620,58,340,0.11755,0.19485
1990,Brandenburg,female,Widowed,0.13727,32,340,0.10064,0.17391
1990,Mecklenburg-Western Pomerania,male,Married,0.63867,169,226,0.57590,0.70144
1990,Mecklenburg-Western Pomerania,male,Single,0.24509,57,226,0.18888,0.30129
1990,Mecklenburg-Western Pomerania,female,Married,0.59106,170,225,0.52668,0.65545
1990,Mecklenburg-Western Pomerania,female,Single,0.22361,55,225,0.16905,0.27818
1990,Saxony,male,Married,0.72069,477,586,0.68433,0.75705
1990,Saxony,male,Single,0.18618,109,586,0.15464,0.21773
1990,Saxony,female,Married,0.61047,478,699,0.57430,0.64665
1990,Saxony,female,Single,0.13737,95,699,0.11183,0.16291
1990,Saxony,female,Divorced,0.07329,49,699,0.05395,0.09262
1990,Saxony,female,Widowed,0.17189,77,699,0.14390,0.19988
1990,Saxony-Anhalt,male,Married,0.65667,281,357,0.60734,0.70599
1990,Saxony-Anhalt,male,Single,0.21385,76,357,0.17125,0.25644
1990,Saxony-Anhalt,female,Married,0.60154,284,422,0.55477,0.64830
1990,Saxony-Anhalt,female,Single,0.11126,52,422,0.08122,0.14130
1990,Saxony-Anhalt,female,Divorced,0.10663,38,422,0.07715,0.13612
1990,Saxony-Anhalt,female,Widowed,0.17502,48,422,0.13872,0.21131
1990,Thuringa,male,Married,0.68931,259,326,0.63899,0.73962
1990,Thuringa,male,Single,0.22029,67,326,0.17523,0.26535
1990,Thuringa,female,Married,0.61694,264,393,0.56881,0.66506
1990,Thuringa,female,Single,0.16358,62,393,0.12696,0.20020
1990,Thuringa,female,Divorced,0.08188,31,393,0.05474,0.10903
1990,Thuringa,female,Widowed,0.13585,36,393,0.10193,0.16977
1991,Schleswig-Holstein,male,Married,0.59102,92,133,0.50715,0.67489
1991,Schleswig-Holstein,male,Single,0.27725,41,133,0.20088,0.35361
1991,Schleswig-Holstein,female,Married,0.57745,91,124,0.49015,0.66475
1991,Schleswig-Holstein,female,Single,0.18952,33,124,0.12026,0.25878
1991,Hamburg,male,Married,0.42511,41,41,0.27191,0.57831
1991,Hamburg,female,Married,0.36641,40,40,0.21519,0.51763
1991,Lower Saxony,male,Married,0.59947,296,435,0.55337,0.64557
1991,Lower Saxony,male,Single,0.30313,139,435,0.25988,0.34637
1991,Lower Saxony,female,Married,0.56396,297,455,0.51834,0.60958
1991,Lower Saxony,female,Single,0.19021,108,455,0.15411,0.22631
1991,Lower Saxony,female,Widowed,0.15025,50,455,0.11738,0.18312
1991,North Rhine-Westphalia,male,Married,0.62515,802,1228,0.59806,0.65223
1991,North Rhine-Westphalia,male,"Married, living apart",0.02545,33,1228,0.01663,0.03426
1991,North Rhine-Westphalia,male,Single,0.26746,351,1228,0.24270,0.29223
1991,North Rhine-Westphalia,male,Divorced,0.05066,42,1228,0.03839,0.06293
1991,North Rhine-Westphalia,female,Married,0.52582,806,1293,0.49859,0.55304
