year,sampreg,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,East,Single,0.28429,1748,6276,0.27313,0.29545
2017,East,Divorced,0.09455,565,6276,0.08731,0.10179
2017,East,Widowed,0.07247,373,6276,0.06605,0.07888
2018,West,Married,0.43102,13546,23748,0.42472,0.43732
2018,West,"Married, living apart",0.02320,740,23748,0.02128,0.02511
2018,West,Single,0.24567,6405,23748,0.24020,0.25115
2018,West,Divorced,0.08751,2008,23748,0.08392,0.09110
2018,West,Widowed,0.06396,1049,23748,0.06085,0.06707
2018,East,Married,0.39064,3298,6134,0.37843,0.40285
2018,East,"Married, living apart",0.02147,169,6134,0.01784,0.02509
2018,East,Single,0.28168,1729,6134,0.27043,0.29294
2018,East,Divorced,0.09310,571,6134,0.08583,0.10037
2018,East,Widowed,0.06962,367,6134,0.06325,0.07599
2019,West,Married,0.42643,13605,23343,0.42008,0.43277
2019,West,"Married, living apart",0.02321,717,23343,0.02128,0.02515
2019,West,Single,0.24391,5953,23343,0.23840,0.24942
2019,West,Divorced,0.08827,2055,23343,0.08463,0.09190
2019,West,Widowed,0.06247,1013,23343,0.05937,0.06557
2019,East,Married,0.38379,3301,6056,0.37155,0.39604
2019,East,"Married, living apart",0.02277,170,6056,0.01901,0.02653
2019,East,Single,0.27895,1633,6056,0.26765,0.29024
2019,East,Divorced,0.09991,609,6056,0.09235,0.10746
2019,East,Widowed,0.07008,343,6056,0.06365,0.07651
2020,West,Married,0.42355,12796,23023,0.41716,0.42993
2020,West,"Married, living apart",0.02191,766,23023,0.02002,0.02380
2020,West,Single,0.25096,6523,23023,0.24536,0.25656
2020,West,Divorced,0.08569,1996,23023,0.08208,0.08931
2020,West,Widowed,0.05877,942,23023,0.05573,0.06180
2020,East,Married,0.38192,3103,5845,0.36946,0.39438
2020,East,"Married, living apart",0.02083,183,5845,0.01717,0.02449
2020,East,Single,0.28964,1673,5845,0.27801,0.30127
2020,East,Divorced,0.09629,558,5845,0.08873,0.10386
2020,East,Widowed,0.06593,328,5845,0.05957,0.07229
2021,West,Married,0.41386,8587,15291,0.40605,0.42167
2021,West,"Married, living apart",0.02032,465,15291,0.01808,0.02256
2021,West,Single,0.25297,4174,15291,0.24608,0.25986
2021,West,Divorced,0.08647,1394,15291,0.08201,0.09092
2021,West,Widowed,0.05881,671,15291,0.05509,0.06254
2021,East,Married,0.36489,2008,3910,0.34980,0.37999
2021,East,"Married, living apart",0.01929,128,3910,0.01498,0.02360
2021,East,Single,0.28936,1134,3910,0.27514,0.30358
2021,East,Divorced,0.10175,406,3910,0.09227,0.11123
2021,East,Widowed,0.06559,234,3910,0.05783,0.07335
2022,West,Married,0.42473,11799,22094,0.41821,0.43125
2022,West,"Married, living apart",0.01764,611,22094,0.01590,0.01937
2022,West,Single,0.24422,7110,22094,0.23856,0.24989
2022,West,Divorced,0.08294,1782,22094,0.07930,0.08658
2022,West,Widowed,0.05654,792,22094,0.05349,0.05958
2022,East,Married,0.36467,2834,5824,0.35231,0.37704
2022,East,"Married, living apart",0.02164,175,5824,0.01790,0.02538
2022,East,Single,0.28164,2018,5824,0.27008,0.29319
2022,East,Divorced,0.09291,510,5824,0.08545,0.10036
2022,East,Widowed,0.06670,287,5824,0.06029,0.07310
