"ple0015","year","bildungsniveau","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Ja","2010","Hauptschule","weiblich","","","",""
"Ja","2010","Realschule","maennlich","","","",""
"Ja","2010","Realschule","weiblich","","","",""
"Ja","2010","(Fach-)Abitur","maennlich","","","",""
"Ja","2010","(Fach-)Abitur","weiblich","","","",""
"Ja","2010","AkademikerIn","maennlich","","","",""
"Ja","2010","AkademikerIn","weiblich","","","",""
"Nein","2010","(noch) kein Abschluss","maennlich","","","",""
"Nein","2010","(noch) kein Abschluss","weiblich","","","",""
"Nein","2010","Hauptschule","maennlich","","","",""
"Nein","2010","Hauptschule","weiblich","","","",""
"Nein","2010","Realschule","maennlich","","","",""
"Nein","2010","Realschule","weiblich","","","",""
"Nein","2010","(Fach-)Abitur","maennlich","","","",""
"Nein","2010","(Fach-)Abitur","weiblich","","","",""
"Nein","2010","AkademikerIn","maennlich","","","",""
"Nein","2010","AkademikerIn","weiblich","","","",""
"Ja","2011","(noch) kein Abschluss","maennlich","5","","",""
"Ja","2011","(noch) kein Abschluss","weiblich","12","","",""
"Ja","2011","Hauptschule","maennlich","170","0.0489089326677436","0.0416837341270663","0.056134131208421"
"Ja","2011","Hauptschule","weiblich","227","0.062402286894122","0.0546366529089043","0.0701679208793397"
"Ja","2011","Realschule","maennlich","75","0.0350108238009476","0.0275055033541349","0.0425161442477602"
"Ja","2011","Realschule","weiblich","138","0.053171866319804","0.0454111024934243","0.0609326301461837"
"Ja","2011","(Fach-)Abitur","maennlich","26","","",""
"Ja","2011","(Fach-)Abitur","weiblich","48","0.0411575033126719","0.0306458946708292","0.0516691119545146"
"Ja","2011","AkademikerIn","maennlich","123","0.0447973383103152","0.0366362255090969","0.0529584511115335"
"Ja","2011","AkademikerIn","weiblich","115","0.0531386717496946","0.0435903136664431","0.0626870298329462"
"Nein","2011","(noch) kein Abschluss","maennlich","264","0.984963832268525","0.970420943793718","0.999506720743332"
"Nein","2011","(noch) kein Abschluss","weiblich","280","0.94128578106285","0.914321486771497","0.968250075354203"
"Nein","2011","Hauptschule","maennlich","3253","0.951091067332256","0.943865868791579","0.958316265872934"
"Nein","2011","Hauptschule","weiblich","3500","0.937597713105878","0.92983207912066","0.945363347091096"
"Nein","2011","Realschule","maennlich","2229","0.964989176199052","0.95748385575224","0.972494496645865"
"Nein","2011","Realschule","weiblich","3073","0.946828133680196","0.939067369853816","0.954588897506576"
"Nein","2011","(Fach-)Abitur","maennlich","1043","0.984612477402308","0.977233838490786","0.991991116313831"
"Nein","2011","(Fach-)Abitur","weiblich","1324","0.958842496687328","0.948330888045485","0.969354105329171"
"Nein","2011","AkademikerIn","maennlich","2345","0.955202661689685","0.947041548888466","0.963363774490903"
"Nein","2011","AkademikerIn","weiblich","2005","0.946861328250305","0.937312970167054","0.956409686333557"
"Ja","2012","(noch) kein Abschluss","maennlich","","","",""
"Ja","2012","(noch) kein Abschluss","weiblich","","","",""
"Ja","2012","Hauptschule","maennlich","","","",""
"Ja","2012","Hauptschule","weiblich","","","",""
"Ja","2012","Realschule","maennlich","","","",""
"Ja","2012","Realschule","weiblich","","","",""
"Ja","2012","(Fach-)Abitur","maennlich","","","",""
"Ja","2012","(Fach-)Abitur","weiblich","","","",""
"Ja","2012","AkademikerIn","maennlich","","","",""
"Ja","2012","AkademikerIn","weiblich","","","",""
"Nein","2012","(noch) kein Abschluss","maennlich","","","",""
"Nein","2012","(noch) kein Abschluss","weiblich","","","",""
"Nein","2012","Hauptschule","maennlich","","","",""
"Nein","2012","Hauptschule","weiblich","","","",""
"Nein","2012","Realschule","maennlich","","","",""
"Nein","2012","Realschule","weiblich","","","",""
"Nein","2012","(Fach-)Abitur","maennlich","","","",""
"Nein","2012","(Fach-)Abitur","weiblich","","","",""
"Nein","2012","AkademikerIn","maennlich","","","",""
"Nein","2012","AkademikerIn","weiblich","","","",""
"Ja","2013","(noch) kein Abschluss","maennlich","8","","",""
"Ja","2013","(noch) kein Abschluss","weiblich","5","","",""
"Ja","2013","Hauptschule","maennlich","195","0.0664572365211814","0.0574992972514928","0.0754151757908701"
"Ja","2013","Hauptschule","weiblich","239","0.0822549995270278","0.0728046229953534","0.0917053760587022"
"Ja","2013","Realschule","maennlich","91","0.0461458041903788","0.0371296043272226","0.0551620040535351"
"Ja","2013","Realschule","weiblich","150","0.0667541769463041","0.0577625250403894","0.0757458288522188"
"Ja","2013","(Fach-)Abitur","maennlich","28","","",""
"Ja","2013","(Fach-)Abitur","weiblich","45","0.0449115698748679","0.0333746818164774","0.0564484579332584"
"Ja","2013","AkademikerIn","maennlich","148","0.0621733585611075","0.0524167119608963","0.0719300051613186"
"Ja","2013","AkademikerIn","weiblich","128","0.0585902955878089","0.0485764584831437","0.0686041326924741"
"Nein","2013","(noch) kein Abschluss","maennlich","221","0.95930364452781","0.93371270938749","0.98489457966813"
"Nein","2013","(noch) kein Abschluss","weiblich","250","0.970133348628316","0.949241013482047","0.991025683774585"
"Nein","2013","Hauptschule","maennlich","2775","0.933542763478819","0.92458482420913","0.942500702748507"
"Nein","2013","Hauptschule","weiblich","3008","0.917745000472972","0.908294623941298","0.927195377004647"
"Nein","2013","Realschule","maennlich","1989","0.953854195809621","0.944837995946465","0.962870395672777"
"Nein","2013","Realschule","weiblich","2810","0.933245823053696","0.924254171147781","0.942237474959611"
"Nein","2013","(Fach-)Abitur","maennlich","949","0.973772539705437","0.9637516175159","0.983793461894974"
"Nein","2013","(Fach-)Abitur","weiblich","1193","0.955088430125132","0.943551542066742","0.966625318183523"
"Nein","2013","AkademikerIn","maennlich","2205","0.937826641438893","0.928069994838681","0.947583288039104"
"Nein","2013","AkademikerIn","weiblich","1985","0.941409704412191","0.931395867307526","0.951423541516856"
"Ja","2014","(noch) kein Abschluss","maennlich","","","",""
"Ja","2014","(noch) kein Abschluss","weiblich","","","",""
"Ja","2014","Hauptschule","maennlich","","","",""
"Ja","2014","Hauptschule","weiblich","","","",""
"Ja","2014","Realschule","maennlich","","","",""
"Ja","2014","Realschule","weiblich","","","",""
"Ja","2014","(Fach-)Abitur","maennlich","","","",""
"Ja","2014","(Fach-)Abitur","weiblich","","","",""
"Ja","2014","AkademikerIn","maennlich","","","",""
"Ja","2014","AkademikerIn","weiblich","","","",""
"Nein","2014","(noch) kein Abschluss","maennlich","","","",""
"Nein","2014","(noch) kein Abschluss","weiblich","","","",""
"Nein","2014","Hauptschule","maennlich","","","",""
"Nein","2014","Hauptschule","weiblich","","","",""
"Nein","2014","Realschule","maennlich","","","",""
"Nein","2014","Realschule","weiblich","","","",""
"Nein","2014","(Fach-)Abitur","maennlich","","","",""
"Nein","2014","(Fach-)Abitur","weiblich","","","",""
"Nein","2014","AkademikerIn","maennlich","","","",""
"Nein","2014","AkademikerIn","weiblich","","","",""
"Ja","2015","(noch) kein Abschluss","maennlich","8","","",""
"Ja","2015","(noch) kein Abschluss","weiblich","9","","",""
"Ja","2015","Hauptschule","maennlich","183","0.0606359773221975","0.0528484967012357","0.0684234579431593"
"Ja","2015","Hauptschule","weiblich","258","0.0811978937352516","0.0724685861350086","0.0899272013354947"
"Ja","2015","Realschule","maennlich","101","0.049808085256894","0.0414427354474906","0.0581734350662974"
"Ja","2015","Realschule","weiblich","190","0.06361103462112","0.0559523446534505","0.0712697245887894"
"Ja","2015","(Fach-)Abitur","maennlich","28","","",""
"Ja","2015","(Fach-)Abitur","weiblich","64","0.0434776024152381","0.0347865319632263","0.0521686728672499"
"Ja","2015","AkademikerIn","maennlich","158","0.056132455924483","0.0478249003911121","0.0644400114578539"
"Ja","2015","AkademikerIn","weiblich","149","0.0566612131589251","0.0482813642730328","0.0650410620448174"
"Nein","2015","(noch) kein Abschluss","maennlich","343","0.982537111033789","0.968833751242652","0.996240470824925"
"Nein","2015","(noch) kein Abschluss","weiblich","456","0.963500276604356","0.946455460380798","0.980545092827914"
"Nein","2015","Hauptschule","maennlich","3425","0.939364022677803","0.931576542056841","0.947151503298764"
"Nein","2015","Hauptschule","weiblich","3503","0.918802106264748","0.910072798664505","0.927531413864991"
"Nein","2015","Realschule","maennlich","2497","0.950191914743106","0.941826564933703","0.958557264552509"
"Nein","2015","Realschule","weiblich","3711","0.93638896537888","0.92873027541121","0.944047655346549"
"Nein","2015","(Fach-)Abitur","maennlich","1509","0.974841297224928","0.967012009764436","0.982670584685419"
"Nein","2015","(Fach-)Abitur","weiblich","2051","0.956522397584762","0.94783132713275","0.965213468036774"
"Nein","2015","AkademikerIn","maennlich","2791","0.943867544075517","0.935559988542146","0.952175099608888"
"Nein","2015","AkademikerIn","weiblich","2775","0.943338786841075","0.934958937955183","0.951718635726967"
"Ja","2016","(noch) kein Abschluss","maennlich","","","",""
"Ja","2016","(noch) kein Abschluss","weiblich","","","",""
"Ja","2016","Hauptschule","maennlich","","","",""
"Ja","2016","Hauptschule","weiblich","","","",""
"Ja","2016","Realschule","maennlich","","","",""
"Ja","2016","Realschule","weiblich","","","",""
"Ja","2016","(Fach-)Abitur","maennlich","","","",""
"Ja","2016","(Fach-)Abitur","weiblich","","","",""
"Ja","2016","AkademikerIn","maennlich","","","",""
"Ja","2016","AkademikerIn","weiblich","","","",""
"Nein","2016","(noch) kein Abschluss","maennlich","","","",""
"Nein","2016","(noch) kein Abschluss","weiblich","","","",""
"Nein","2016","Hauptschule","maennlich","","","",""
"Nein","2016","Hauptschule","weiblich","","","",""
"Nein","2016","Realschule","maennlich","","","",""
"Nein","2016","Realschule","weiblich","","","",""
"Nein","2016","(Fach-)Abitur","maennlich","","","",""
"Nein","2016","(Fach-)Abitur","weiblich","","","",""
"Nein","2016","AkademikerIn","maennlich","","","",""
"Nein","2016","AkademikerIn","weiblich","","","",""
"Ja","2017","(noch) kein Abschluss","maennlich","8","","",""
"Ja","2017","(noch) kein Abschluss","weiblich","9","","",""
"Ja","2017","Hauptschule","maennlich","192","0.0591375259245451","0.0513987999919172","0.0668762518571729"
"Ja","2017","Hauptschule","weiblich","250","0.0775970236214149","0.0688564477454774","0.0863375994973525"
"Ja","2017","Realschule","maennlich","110","0.0442642794690251","0.0366594314417776","0.0518691274962727"
"Ja","2017","Realschule","weiblich","212","0.0663051519585901","0.0587149319352402","0.0738953719819401"
"Ja","2017","(Fach-)Abitur","maennlich","39","0.0229278421859446","0.0159629211957293","0.0298927631761599"
"Ja","2017","(Fach-)Abitur","weiblich","84","0.0469853627138626","0.0384750138889322","0.055495711538793"
"Ja","2017","AkademikerIn","maennlich","193","0.0603632370628317","0.0521803684614529","0.0685461056642104"
"Ja","2017","AkademikerIn","weiblich","167","0.0598230574216078","0.0516832938182297","0.0679628210249858"
"Nein","2017","(noch) kein Abschluss","maennlich","415","0.981023757301736","0.968021379443472","0.994026135159999"
"Nein","2017","(noch) kein Abschluss","weiblich","504","0.972951097600208","0.958912952143583","0.986989243056833"
"Nein","2017","Hauptschule","maennlich","3377","0.940862474075455","0.933123748142827","0.948601200008083"
"Nein","2017","Hauptschule","weiblich","3349","0.922402976378585","0.913662400502647","0.931143552254523"
"Nein","2017","Realschule","maennlich","2700","0.955735720530975","0.948130872503727","0.963340568558222"
"Nein","2017","Realschule","weiblich","3916","0.93369484804141","0.92610462801806","0.94128506806476"
"Nein","2017","(Fach-)Abitur","maennlich","1735","0.977072157814055","0.97010723682384","0.984037078804271"
"Nein","2017","(Fach-)Abitur","weiblich","2291","0.953014637286137","0.944504288461207","0.961524986111068"
"Nein","2017","AkademikerIn","maennlich","3061","0.939636762937168","0.93145389433579","0.947819631538547"
"Nein","2017","AkademikerIn","weiblich","3094","0.940176942578392","0.932037178975014","0.94831670618177"
"Ja","2018","(noch) kein Abschluss","maennlich","","","",""
"Ja","2018","(noch) kein Abschluss","weiblich","","","",""
"Ja","2018","Hauptschule","maennlich","","","",""
"Ja","2018","Hauptschule","weiblich","","","",""
"Ja","2018","Realschule","maennlich","","","",""
"Ja","2018","Realschule","weiblich","","","",""
"Ja","2018","(Fach-)Abitur","maennlich","","","",""
"Ja","2018","(Fach-)Abitur","weiblich","","","",""
"Ja","2018","AkademikerIn","maennlich","","","",""
"Ja","2018","AkademikerIn","weiblich","","","",""
"Nein","2018","(noch) kein Abschluss","maennlich","","","",""
"Nein","2018","(noch) kein Abschluss","weiblich","","","",""
"Nein","2018","Hauptschule","maennlich","","","",""
"Nein","2018","Hauptschule","weiblich","","","",""
"Nein","2018","Realschule","maennlich","","","",""
"Nein","2018","Realschule","weiblich","","","",""
"Nein","2018","(Fach-)Abitur","maennlich","","","",""
"Nein","2018","(Fach-)Abitur","weiblich","","","",""
"Nein","2018","AkademikerIn","maennlich","","","",""
"Nein","2018","AkademikerIn","weiblich","","","",""
"Ja","2019","(noch) kein Abschluss","maennlich","3","","",""
"Ja","2019","(noch) kein Abschluss","weiblich","7","","",""
"Ja","2019","Hauptschule","maennlich","194","0.0600873324727272","0.0518249297736325","0.068349735171822"
"Ja","2019","Hauptschule","weiblich","233","0.0974926305160933","0.0869534125231553","0.108031848509031"
"Ja","2019","Realschule","maennlich","138","0.0496523597805919","0.0416533541792312","0.0576513653819525"
"Ja","2019","Realschule","weiblich","234","0.0698143292778209","0.0618419974279196","0.0777866611277222"
"Ja","2019","(Fach-)Abitur","maennlich","48","0.023486736737233","0.0165386205891938","0.0304348528852722"
"Ja","2019","(Fach-)Abitur","weiblich","81","0.0412068217485992","0.0331481073981","0.0492655360990984"
"Ja","2019","AkademikerIn","maennlich","226","0.0595513790703264","0.0519073972149614","0.0671953609256914"
"Ja","2019","AkademikerIn","weiblich","205","0.0630088362163145","0.0547979775963774","0.0712196948362515"
"Nein","2019","(noch) kein Abschluss","maennlich","367","0.993798514806947","0.985799357154521","1.00179767245937"
"Nein","2019","(noch) kein Abschluss","weiblich","401","0.978108527444621","0.963909813163354","0.992307241725888"
"Nein","2019","Hauptschule","maennlich","2984","0.939912667527273","0.931650264828178","0.948175070226368"
"Nein","2019","Hauptschule","weiblich","2810","0.902507369483907","0.891968151490969","0.913046587476845"
"Nein","2019","Realschule","maennlich","2695","0.950347640219408","0.942348634618047","0.958346645820769"
"Nein","2019","Realschule","weiblich","3691","0.930185670722179","0.922213338872278","0.93815800257208"
"Nein","2019","(Fach-)Abitur","maennlich","1777","0.976513263262767","0.969565147114728","0.983461379410806"
"Nein","2019","(Fach-)Abitur","weiblich","2256","0.958793178251401","0.950734463900902","0.9668518926019"
"Nein","2019","AkademikerIn","maennlich","3456","0.940448620929674","0.932804639074309","0.948092602785039"
"Nein","2019","AkademikerIn","weiblich","3159","0.936991163783686","0.928780305163749","0.945202022403622"
