year,pgisced97,regtyp,ple0015,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2011,Upper Secondary Level,Urban regions,Yes,0.05093,310,20390,0.05083,0.05102
2011,Upper Secondary Level,Urban regions,No,0.94907,6076,20390,0.94898,0.94917
2011,Upper Secondary Level,Rural regions,Yes,0.04826,175,20390,0.04813,0.04838
2011,Upper Secondary Level,Rural regions,No,0.95174,3928,20390,0.95162,0.95187
2011,Post-secondary Non-tertiary Level,Urban regions,Yes,0.03802,36,20390,0.03780,0.03824
2011,Post-secondary Non-tertiary Level,Urban regions,No,0.96198,839,20390,0.96176,0.96220
2011,Post-secondary Non-tertiary Level,Rural regions,No,1.00000,320,20390,1.00000,1.00000
2011,First Stage of Tertiary Education,Urban regions,Yes,0.05298,50,20390,0.05271,0.05324
2011,First Stage of Tertiary Education,Urban regions,No,0.94702,811,20390,0.94676,0.94729
2011,First Stage of Tertiary Education,Rural regions,No,1.00000,564,20390,1.00000,1.00000
2011,Second Stage of Tertiary Education,Urban regions,Yes,0.04704,164,20390,0.04690,0.04718
2011,Second Stage of Tertiary Education,Urban regions,No,0.95296,3061,20390,0.95282,0.95310
2011,Second Stage of Tertiary Education,Rural regions,Yes,0.05269,74,20390,0.05245,0.05294
2011,Second Stage of Tertiary Education,Rural regions,No,0.94731,1289,20390,0.94706,0.94755
2013,Pre-primary Level,Urban regions,No,1.00000,181,18553,1.00000,1.00000
2013,Pre-primary Level,Rural regions,No,1.00000,78,18553,1.00000,1.00000
2013,Primary Level,Urban regions,No,1.00000,117,18553,1.00000,1.00000
2013,Primary Level,Rural regions,No,1.00000,67,18553,1.00000,1.00000
2013,Lower Secondary Level,Urban regions,Yes,0.06826,65,18553,0.06801,0.06851
2013,Lower Secondary Level,Urban regions,No,0.93174,1135,18553,0.93149,0.93199
2013,Lower Secondary Level,Rural regions,Yes,0.04697,32,18553,0.04668,0.04725
2013,Lower Secondary Level,Rural regions,No,0.95303,617,18553,0.95275,0.95332
2013,Upper Secondary Level,Urban regions,Yes,0.06629,328,18553,0.06618,0.06641
2013,Upper Secondary Level,Urban regions,No,0.93371,5297,18553,0.93359,0.93382
2013,Upper Secondary Level,Rural regions,Yes,0.06159,203,18553,0.06145,0.06174
2013,Upper Secondary Level,Rural regions,No,0.93841,3578,18553,0.93826,0.93855
2013,Post-secondary Non-tertiary Level,Urban regions,Yes,0.04863,40,18553,0.04837,0.04889
2013,Post-secondary Non-tertiary Level,Urban regions,No,0.95137,749,18553,0.95111,0.95163
2013,Post-secondary Non-tertiary Level,Rural regions,No,1.00000,302,18553,1.00000,1.00000
2013,First Stage of Tertiary Education,Urban regions,Yes,0.07012,53,18553,0.06981,0.07044
2013,First Stage of Tertiary Education,Urban regions,No,0.92988,731,18553,0.92956,0.93019
2013,First Stage of Tertiary Education,Rural regions,No,1.00000,514,18553,1.00000,1.00000
2013,Second Stage of Tertiary Education,Urban regions,Yes,0.06139,195,18553,0.06123,0.06155
2013,Second Stage of Tertiary Education,Urban regions,No,0.93861,2966,18553,0.93845,0.93877
2013,Second Stage of Tertiary Education,Rural regions,Yes,0.05765,81,18553,0.05739,0.05791
2013,Second Stage of Tertiary Education,Rural regions,No,0.94235,1224,18553,0.94209,0.94261
2015,Pre-primary Level,Urban regions,No,1.00000,231,24398,1.00000,1.00000
2015,Pre-primary Level,Rural regions,No,1.00000,119,24398,1.00000,1.00000
2015,Primary Level,Urban regions,No,1.00000,266,24398,1.00000,1.00000
2015,Primary Level,Rural regions,No,1.00000,129,24398,1.00000,1.00000
2015,Lower Secondary Level,Urban regions,Yes,0.04870,63,24398,0.04851,0.04889
2015,Lower Secondary Level,Urban regions,No,0.95130,1687,24398,0.95111,0.95149
2015,Lower Secondary Level,Rural regions,Yes,0.03708,32,24398,0.03684,0.03731
2015,Lower Secondary Level,Rural regions,No,0.96292,887,24398,0.96269,0.96316
2015,Upper Secondary Level,Urban regions,Yes,0.06474,359,24398,0.06464,0.06485
2015,Upper Secondary Level,Urban regions,No,0.93526,6616,24398,0.93515,0.93536
2015,Upper Secondary Level,Rural regions,Yes,0.06098,225,24398,0.06085,0.06112
2015,Upper Secondary Level,Rural regions,No,0.93902,4447,24398,0.93888,0.93915
2015,Post-secondary Non-tertiary Level,Urban regions,Yes,0.04268,46,24398,0.04247,0.04288
2015,Post-secondary Non-tertiary Level,Urban regions,No,0.95732,1367,24398,0.95712,0.95753
2015,Post-secondary Non-tertiary Level,Rural regions,No,1.00000,526,24398,1.00000,1.00000
2015,First Stage of Tertiary Education,Urban regions,Yes,0.07454,60,24398,0.07424,0.07484
2015,First Stage of Tertiary Education,Urban regions,No,0.92546,848,24398,0.92516,0.92576
2015,First Stage of Tertiary Education,Rural regions,Yes,0.04917,31,24398,0.04883,0.04950
2015,First Stage of Tertiary Education,Rural regions,No,0.95083,586,24398,0.95050,0.95117
2015,Second Stage of Tertiary Education,Urban regions,Yes,0.05797,226,24398,0.05783,0.05811
2015,Second Stage of Tertiary Education,Urban regions,No,0.94203,3993,24398,0.94189,0.94217
2015,Second Stage of Tertiary Education,Rural regions,Yes,0.05349,81,24398,0.05326,0.05373
2015,Second Stage of Tertiary Education,Rural regions,No,0.94651,1573,24398,0.94627,0.94674
2017,Pre-primary Level,Urban regions,No,1.00000,292,25899,1.00000,1.00000
2017,Pre-primary Level,Rural regions,No,1.00000,118,25899,1.00000,1.00000
2017,Primary Level,Urban regions,No,1.00000,308,25899,1.00000,1.00000
2017,Primary Level,Rural regions,No,1.00000,131,25899,1.00000,1.00000
2017,Lower Secondary Level,Urban regions,Yes,0.04481,57,25899,0.04463,0.04499
2017,Lower Secondary Level,Urban regions,No,0.95519,1676,25899,0.95501,0.95537
2017,Lower Secondary Level,Rural regions,Yes,0.03121,34,25899,0.03099,0.03142
2017,Lower Secondary Level,Rural regions,No,0.96879,972,25899,0.96858,0.96901
2017,Upper Secondary Level,Urban regions,Yes,0.06349,386,25899,0.06338,0.06359
2017,Upper Secondary Level,Urban regions,No,0.93651,6836,25899,0.93641,0.93662
2017,Upper Secondary Level,Rural regions,Yes,0.05907,235,25899,0.05893,0.05920
2017,Upper Secondary Level,Rural regions,No,0.94093,4611,25899,0.94080,0.94107
2017,Post-secondary Non-tertiary Level,Urban regions,Yes,0.04268,59,25899,0.04249,0.04288
2017,Post-secondary Non-tertiary Level,Urban regions,No,0.95732,1528,25899,0.95712,0.95751
2017,Post-secondary Non-tertiary Level,Rural regions,No,1.00000,605,25899,1.00000,1.00000
2017,First Stage of Tertiary Education,Urban regions,Yes,0.05977,61,25899,0.05948,0.06005
2017,First Stage of Tertiary Education,Urban regions,No,0.94023,832,25899,0.93995,0.94052
2017,First Stage of Tertiary Education,Rural regions,Yes,0.06663,42,25899,0.06624,0.06701
2017,First Stage of Tertiary Education,Rural regions,No,0.93337,601,25899,0.93299,0.93376
2017,Second Stage of Tertiary Education,Urban regions,Yes,0.05986,260,25899,0.05972,0.05999
2017,Second Stage of Tertiary Education,Urban regions,No,0.94014,4433,25899,0.94001,0.94028
2017,Second Stage of Tertiary Education,Rural regions,Yes,0.06129,100,25899,0.06104,0.06153
2017,Second Stage of Tertiary Education,Rural regions,No,0.93871,1722,25899,0.93847,0.93896
2019,Pre-primary Level,Urban regions,No,1.00000,245,24564,1.00000,1.00000
2019,Pre-primary Level,Rural regions,No,1.00000,85,24564,1.00000,1.00000
2019,Primary Level,Urban regions,No,1.00000,266,24564,1.00000,1.00000
2019,Primary Level,Rural regions,No,1.00000,109,24564,1.00000,1.00000
2019,Lower Secondary Level,Urban regions,Yes,0.04618,54,24564,0.04598,0.04637
2019,Lower Secondary Level,Urban regions,No,0.95382,1416,24564,0.95363,0.95402
2019,Lower Secondary Level,Rural regions,Yes,0.04170,38,24564,0.04144,0.04196
2019,Lower Secondary Level,Rural regions,No,0.95830,873,24564,0.95804,0.95856
2019,Upper Secondary Level,Urban regions,Yes,0.06795,383,24564,0.06784,0.06806
2019,Upper Secondary Level,Urban regions,No,0.93205,6195,24564,0.93194,0.93216
2019,Upper Secondary Level,Rural regions,Yes,0.06691,241,24564,0.06677,0.06706
2019,Upper Secondary Level,Rural regions,No,0.93309,4082,24564,0.93294,0.93323
2019,Post-secondary Non-tertiary Level,Urban regions,Yes,0.03762,55,24564,0.03744,0.03781
2019,Post-secondary Non-tertiary Level,Urban regions,No,0.96238,1463,24564,0.96219,0.96256
2019,Post-secondary Non-tertiary Level,Rural regions,No,1.00000,576,24564,1.00000,1.00000
2019,First Stage of Tertiary Education,Urban regions,Yes,0.07071,66,24564,0.07040,0.07102
2019,First Stage of Tertiary Education,Urban regions,No,0.92929,882,24564,0.92898,0.92960
2019,First Stage of Tertiary Education,Rural regions,Yes,0.06511,45,24564,0.06474,0.06549
2019,First Stage of Tertiary Education,Rural regions,No,0.93489,650,24564,0.93451,0.93526
2019,Second Stage of Tertiary Education,Urban regions,Yes,0.06493,304,24564,0.06480,0.06507
2019,Second Stage of Tertiary Education,Urban regions,No,0.93507,4642,24564,0.93493,0.93520
2019,Second Stage of Tertiary Education,Rural regions,Yes,0.04790,113,24564,0.04768,0.04812
2019,Second Stage of Tertiary Education,Rural regions,No,0.95210,1781,24564,0.95188,0.95232
2021,Pre-primary Level,Urban regions,No,1.00000,138,18319,1.00000,1.00000
2021,Pre-primary Level,Rural regions,No,1.00000,53,18319,1.00000,1.00000
2021,Primary Level,Urban regions,No,1.00000,707,18319,1.00000,1.00000
2021,Primary Level,Rural regions,No,1.00000,204,18319,1.00000,1.00000
2021,Lower Secondary Level,Urban regions,Yes,0.05664,47,18319,0.05641,0.05687
2021,Lower Secondary Level,Urban regions,No,0.94336,1080,18319,0.94313,0.94359
2021,Lower Secondary Level,Rural regions,No,1.00000,591,18319,1.00000,1.00000
2021,Upper Secondary Level,Urban regions,Yes,0.08701,286,18319,0.08688,0.08713
2021,Upper Secondary Level,Urban regions,No,0.91299,4217,18319,0.91287,0.91312
2021,Upper Secondary Level,Rural regions,Yes,0.08366,183,18319,0.08350,0.08383
2021,Upper Secondary Level,Rural regions,No,0.91634,2610,18319,0.91617,0.91650
2021,Post-secondary Non-tertiary Level,Urban regions,Yes,0.03985,47,18319,0.03968,0.04003
2021,Post-secondary Non-tertiary Level,Urban regions,No,0.96015,1116,18319,0.95997,0.96032
2021,Post-secondary Non-tertiary Level,Rural regions,No,1.00000,410,18319,1.00000,1.00000
2021,First Stage of Tertiary Education,Urban regions,Yes,0.09041,55,18319,0.09006,0.09076
2021,First Stage of Tertiary Education,Urban regions,No,0.90959,527,18319,0.90924,0.90994
2021,First Stage of Tertiary Education,Rural regions,Yes,0.05953,31,18319,0.05917,0.05989
2021,First Stage of Tertiary Education,Rural regions,No,0.94047,381,18319,0.94011,0.94083
2021,Second Stage of Tertiary Education,Urban regions,Yes,0.06098,231,18319,0.06085,0.06111
2021,Second Stage of Tertiary Education,Urban regions,No,0.93902,3925,18319,0.93889,0.93915
2021,Second Stage of Tertiary Education,Rural regions,Yes,0.05386,89,18319,0.05364,0.05407
2021,Second Stage of Tertiary Education,Rural regions,No,0.94614,1391,18319,0.94593,0.94636
