"plb0219","year","migback","n","percent","lower_confidence","upper_confidence"
"Seltener","2006","direkter Migrationshintergrund","","","",""
"Seltener","2006","indirekter Migrationshintergrund","","","",""
"Nein, nie","2007","kein Migrationshintergrund","5710","0.593156506678197","0.583303529404158","0.603009483952236"
"Nein, nie","2007","direkter Migrationshintergrund","721","0.691451858410265","0.663513821738437","0.719389895082094"
"Nein, nie","2007","indirekter Migrationshintergrund","337","0.700126690632478","0.659007351607848","0.741246029657108"
"Ja, jede Woche","2007","kein Migrationshintergrund","654","0.0670025346938314","0.0619877188137781","0.0720173505738847"
"Ja, jede Woche","2007","direkter Migrationshintergrund","48","0.0405362955983175","0.0286076881786409","0.0524649030179941"
"Ja, jede Woche","2007","indirekter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2007","kein Migrationshintergrund","824","0.0926745359231832","0.0868584487922423","0.0984906230541241"
"Ja, alle 2 Wochen","2007","direkter Migrationshintergrund","87","0.0864844028999451","0.0694831737685067","0.103485632031383"
"Ja, alle 2 Wochen","2007","indirekter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2007","kein Migrationshintergrund","502","0.05358202209858","0.0490653331326361","0.0580987110645238"
"Ja, alle 3-4 Wochen","2007","direkter Migrationshintergrund","66","0.0539437600893462","0.0402796130641768","0.0676079071145157"
"Ja, alle 3-4 Wochen","2007","indirekter Migrationshintergrund","","","",""
"Seltener","2007","kein Migrationshintergrund","1859","0.193584400606208","0.185659683214466","0.20150911799795"
"Seltener","2007","direkter Migrationshintergrund","128","0.127583683002126","0.107404066953478","0.147763299050774"
"Seltener","2007","indirekter Migrationshintergrund","63","0.143411985266544","0.111958583515918","0.17486538701717"
"Nein, nie","2008","kein Migrationshintergrund","","","",""
"Nein, nie","2008","direkter Migrationshintergrund","","","",""
"Nein, nie","2008","indirekter Migrationshintergrund","","","",""
"Ja, jede Woche","2008","kein Migrationshintergrund","","","",""
"Ja, jede Woche","2008","direkter Migrationshintergrund","","","",""
"Ja, jede Woche","2008","indirekter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2008","kein Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2008","direkter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2008","indirekter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2008","kein Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2008","direkter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2008","indirekter Migrationshintergrund","","","",""
"Seltener","2008","kein Migrationshintergrund","","","",""
"Seltener","2008","direkter Migrationshintergrund","","","",""
"Seltener","2008","indirekter Migrationshintergrund","","","",""
"Nein, nie","2009","kein Migrationshintergrund","5013","0.579916125784174","0.569434470538533","0.590397781029814"
"Nein, nie","2009","direkter Migrationshintergrund","564","0.653076596947318","0.62111509695549","0.685038096939146"
"Nein, nie","2009","indirekter Migrationshintergrund","291","0.644900166814705","0.600236921650485","0.689563411978926"
"Ja, jede Woche","2009","kein Migrationshintergrund","600","0.0708963639966528","0.0654460272699087","0.076346700723397"
"Ja, jede Woche","2009","direkter Migrationshintergrund","58","0.0749888477936589","0.057304049190989","0.0926736463963288"
"Ja, jede Woche","2009","indirekter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2009","kein Migrationshintergrund","739","0.0867775856188464","0.080799373291988","0.0927557979457047"
"Ja, alle 2 Wochen","2009","direkter Migrationshintergrund","69","0.0838235643009763","0.0652155121642397","0.102431616437713"
"Ja, alle 2 Wochen","2009","indirekter Migrationshintergrund","37","0.0736571423683522","0.0492777931808615","0.0980364915558428"
"Ja, alle 3-4 Wochen","2009","kein Migrationshintergrund","476","0.0575118634168212","0.0525676644569584","0.062456062376684"
"Ja, alle 3-4 Wochen","2009","direkter Migrationshintergrund","48","0.0622762033568648","0.0460496296690809","0.0785027770446488"
"Ja, alle 3-4 Wochen","2009","indirekter Migrationshintergrund","","","",""
"Seltener","2009","kein Migrationshintergrund","1690","0.204898061183506","0.196326506426157","0.213469615940855"
"Seltener","2009","direkter Migrationshintergrund","113","0.125834787601182","0.10356452112394","0.148105054078424"
"Seltener","2009","indirekter Migrationshintergrund","59","0.142093889460287","0.109507489930898","0.174680288989677"
"Nein, nie","2010","kein Migrationshintergrund","2014","0.584514585320227","0.568299028994691","0.600730141645762"
"Nein, nie","2010","direkter Migrationshintergrund","392","0.555486645776988","0.51906376537065","0.591909526183325"
"Nein, nie","2010","indirekter Migrationshintergrund","141","0.543438897951512","0.482658568134567","0.604219227768457"
"Ja, jede Woche","2010","kein Migrationshintergrund","233","0.061376424605649","0.0534786850595332","0.0692741641517648"
"Ja, jede Woche","2010","direkter Migrationshintergrund","64","0.0765984957747866","0.0571045174191441","0.0960924741304291"
"Ja, jede Woche","2010","indirekter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2010","kein Migrationshintergrund","386","0.108741663399628","0.0984979817283949","0.11898534507086"
"Ja, alle 2 Wochen","2010","direkter Migrationshintergrund","86","0.118386437485662","0.0947062477745286","0.142066627196795"
"Ja, alle 2 Wochen","2010","indirekter Migrationshintergrund","39","0.13889713776142","0.0966971424586913","0.181097133064148"
"Ja, alle 3-4 Wochen","2010","kein Migrationshintergrund","226","0.0584026024774205","0.0506863752146255","0.0661188297402155"
"Ja, alle 3-4 Wochen","2010","direkter Migrationshintergrund","53","0.0845019679008987","0.0641147864069707","0.104889149394827"
"Ja, alle 3-4 Wochen","2010","indirekter Migrationshintergrund","","","",""
"Seltener","2010","kein Migrationshintergrund","689","0.186964724197076","0.174135782938403","0.199793665455749"
"Seltener","2010","direkter Migrationshintergrund","120","0.165026453061665","0.13781772681269","0.192235179310641"
"Seltener","2010","indirekter Migrationshintergrund","40","0.165447595555652","0.120106159146933","0.210789031964371"
"Nein, nie","2011","kein Migrationshintergrund","8285","0.595247058671567","0.587084819066725","0.603409298276409"
"Nein, nie","2011","direkter Migrationshintergrund","1148","0.676196727286309","0.65423573295093","0.698157721621687"
"Nein, nie","2011","indirekter Migrationshintergrund","476","0.594913023542469","0.561043257068139","0.628782790016799"
"Ja, jede Woche","2011","kein Migrationshintergrund","999","0.0717433118729859","0.0674519962499613","0.0760346274960105"
"Ja, jede Woche","2011","direkter Migrationshintergrund","129","0.0722165986520597","0.0600682663002848","0.0843649310038347"
"Ja, jede Woche","2011","indirekter Migrationshintergrund","57","0.0588671566982147","0.0426276318416778","0.0751066815547515"
"Ja, alle 2 Wochen","2011","kein Migrationshintergrund","1346","0.0930385239942451","0.08820803018484","0.0978690178036501"
"Ja, alle 2 Wochen","2011","direkter Migrationshintergrund","171","0.098640622201275","0.0846463040527409","0.112634940349809"
"Ja, alle 2 Wochen","2011","indirekter Migrationshintergrund","89","0.132353797346453","0.108973455221834","0.155734139471072"
"Ja, alle 3-4 Wochen","2011","kein Migrationshintergrund","810","0.0523847502885543","0.0486797848312195","0.0560897157458891"
"Ja, alle 3-4 Wochen","2011","direkter Migrationshintergrund","91","0.0473611482991652","0.0373921824726804","0.05733011412565"
"Ja, alle 3-4 Wochen","2011","indirekter Migrationshintergrund","59","0.0847358883322937","0.0655218685348296","0.103949908129758"
"Seltener","2011","kein Migrationshintergrund","2452","0.187586355172647","0.181094707652448","0.194078002692847"
"Seltener","2011","direkter Migrationshintergrund","205","0.105584903561192","0.091162244910179","0.120007562212204"
"Seltener","2011","indirekter Migrationshintergrund","126","0.12913013408057","0.10599341592022","0.15226685224092"
"Nein, nie","2012","kein Migrationshintergrund","2537","0.623879578605352","0.6090934232242","0.638665733986505"
"Nein, nie","2012","direkter Migrationshintergrund","450","0.65021801682777","0.615334996073631","0.685101037581909"
"Nein, nie","2012","indirekter Migrationshintergrund","182","0.640355080576222","0.586847385207549","0.693862775944896"
"Ja, jede Woche","2012","kein Migrationshintergrund","323","0.0731262429308836","0.0651795149531969","0.0810729709085704"
"Ja, jede Woche","2012","direkter Migrationshintergrund","52","0.0708098691045388","0.0520476130380555","0.089572125171022"
"Ja, jede Woche","2012","indirekter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2012","kein Migrationshintergrund","402","0.0897697365777208","0.0810444031002109","0.0984950700552307"
"Ja, alle 2 Wochen","2012","direkter Migrationshintergrund","76","0.117660514861245","0.0940927119102204","0.14122831781227"
"Ja, alle 2 Wochen","2012","indirekter Migrationshintergrund","47","0.141313786939595","0.102473863630419","0.180153710248771"
"Ja, alle 3-4 Wochen","2012","kein Migrationshintergrund","233","0.056400368824523","0.0493586889603202","0.0634420486887258"
"Ja, alle 3-4 Wochen","2012","direkter Migrationshintergrund","51","0.0659257233905941","0.047774578355697","0.0840768684254913"
"Ja, alle 3-4 Wochen","2012","indirekter Migrationshintergrund","","","",""
"Seltener","2012","kein Migrationshintergrund","628","0.15682407306152","0.145724484323452","0.167923661799588"
"Seltener","2012","direkter Migrationshintergrund","89","0.095385875815852","0.0738996771548846","0.116872074476819"
"Seltener","2012","indirekter Migrationshintergrund","45","0.116737342516327","0.0809344027846733","0.15254028224798"
"Nein, nie","2013","kein Migrationshintergrund","7818","0.59029021532401","0.581815290888164","0.598765139759856"
"Nein, nie","2013","direkter Migrationshintergrund","991","0.635969306864403","0.612031226977853","0.659907386750953"
"Nein, nie","2013","indirekter Migrationshintergrund","492","0.643716686229416","0.610427003839613","0.67700636861922"
"Ja, jede Woche","2013","kein Migrationshintergrund","828","0.0591550196588542","0.0550894658627902","0.0632205734549182"
"Ja, jede Woche","2013","direkter Migrationshintergrund","109","0.0756304167154299","0.0624759483028085","0.0887848851280513"
"Ja, jede Woche","2013","indirekter Migrationshintergrund","65","0.065961562697779","0.0487074603852784","0.0832156650102796"
"Ja, alle 2 Wochen","2013","kein Migrationshintergrund","1225","0.0955500547752018","0.0904839681320995","0.100616141418304"
"Ja, alle 2 Wochen","2013","direkter Migrationshintergrund","179","0.110318322542198","0.0947320100004125","0.125904635083983"
"Ja, alle 2 Wochen","2013","indirekter Migrationshintergrund","91","0.102546220121692","0.0814584625307149","0.12363397771267"
"Ja, alle 3-4 Wochen","2013","kein Migrationshintergrund","683","0.0550421464331752","0.0511119091189441","0.0589723837474063"
"Ja, alle 3-4 Wochen","2013","direkter Migrationshintergrund","77","0.0481431834557973","0.0374930402623815","0.0587933266492131"
"Ja, alle 3-4 Wochen","2013","indirekter Migrationshintergrund","40","0.0554084615852029","0.0395056249277902","0.0713112982426156"
"Seltener","2013","kein Migrationshintergrund","2381","0.199962563808759","0.193069784439356","0.206855343178162"
"Seltener","2013","direkter Migrationshintergrund","196","0.129938770422172","0.113210674223947","0.146666866620396"
"Seltener","2013","indirekter Migrationshintergrund","107","0.132367069365909","0.108809931856111","0.155924206875708"
"Nein, nie","2014","kein Migrationshintergrund","","","",""
"Nein, nie","2014","direkter Migrationshintergrund","","","",""
"Nein, nie","2014","indirekter Migrationshintergrund","","","",""
"Ja, jede Woche","2014","kein Migrationshintergrund","","","",""
"Ja, jede Woche","2014","direkter Migrationshintergrund","","","",""
"Ja, jede Woche","2014","indirekter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2014","kein Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2014","direkter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2014","indirekter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2014","kein Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2014","direkter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2014","indirekter Migrationshintergrund","","","",""
"Seltener","2014","kein Migrationshintergrund","","","",""
"Seltener","2014","direkter Migrationshintergrund","","","",""
"Seltener","2014","indirekter Migrationshintergrund","","","",""
"Nein, nie","2015","kein Migrationshintergrund","6764","0.592506512534843","0.583437537610792","0.601575487458894"
"Nein, nie","2015","direkter Migrationshintergrund","1746","0.607663724199739","0.589304084253187","0.626023364146291"
"Nein, nie","2015","indirekter Migrationshintergrund","676","0.598569778165746","0.569267169554412","0.62787238677708"
"Ja, jede Woche","2015","kein Migrationshintergrund","734","0.0604092286034032","0.0560120681129237","0.0648063890938827"
"Ja, jede Woche","2015","direkter Migrationshintergrund","205","0.0844010708032405","0.0739483370561472","0.0948538045503339"
"Ja, jede Woche","2015","indirekter Migrationshintergrund","77","0.0726506854381778","0.0571344845207326","0.088166886355623"
"Ja, alle 2 Wochen","2015","kein Migrationshintergrund","1083","0.0963033398788101","0.0908585225499971","0.101748157207623"
"Ja, alle 2 Wochen","2015","direkter Migrationshintergrund","296","0.113953584746396","0.102005576763131","0.125901592729662"
"Ja, alle 2 Wochen","2015","indirekter Migrationshintergrund","128","0.14297503388985","0.122049781748808","0.163900286030893"
"Ja, alle 3-4 Wochen","2015","kein Migrationshintergrund","606","0.0567103114548006","0.0524415207666258","0.0609791021429755"
"Ja, alle 3-4 Wochen","2015","direkter Migrationshintergrund","152","0.0673527834438415","0.0579286864962026","0.0767768803914804"
"Ja, alle 3-4 Wochen","2015","indirekter Migrationshintergrund","48","0.0447810864966873","0.0324175524657161","0.0571446205276584"
"Seltener","2015","kein Migrationshintergrund","2090","0.194070607528143","0.186771333285103","0.201369881771183"
"Seltener","2015","direkter Migrationshintergrund","318","0.126628836806783","0.11412425981857","0.139133413794995"
"Seltener","2015","indirekter Migrationshintergrund","146","0.141023416009538","0.120217821187924","0.161829010831153"
"Nein, nie","2016","kein Migrationshintergrund","","","",""
"Nein, nie","2016","direkter Migrationshintergrund","","","",""
"Nein, nie","2016","indirekter Migrationshintergrund","","","",""
"Ja, jede Woche","2016","kein Migrationshintergrund","","","",""
"Ja, jede Woche","2016","direkter Migrationshintergrund","","","",""
"Ja, jede Woche","2016","indirekter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2016","kein Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2016","direkter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2016","indirekter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2016","kein Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2016","direkter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2016","indirekter Migrationshintergrund","","","",""
"Seltener","2016","kein Migrationshintergrund","","","",""
"Seltener","2016","direkter Migrationshintergrund","","","",""
"Seltener","2016","indirekter Migrationshintergrund","","","",""
"Nein, nie","2017","kein Migrationshintergrund","7730","0.618792032270979","0.610257959659754","0.627326104882205"
"Nein, nie","2017","direkter Migrationshintergrund","1973","0.648440198807157","0.631146132289265","0.665734265325048"
"Nein, nie","2017","indirekter Migrationshintergrund","740","0.656048598958925","0.628593961167778","0.683503236750071"
"Ja, jede Woche","2017","kein Migrationshintergrund","840","0.0620405890285903","0.0578018861834236","0.066279291873757"
"Ja, jede Woche","2017","direkter Migrationshintergrund","187","0.0756221912847081","0.0660455782494401","0.0851988043199761"
"Ja, jede Woche","2017","indirekter Migrationshintergrund","90","0.077714664017765","0.0622413510601471","0.0931879769753829"
"Ja, alle 2 Wochen","2017","kein Migrationshintergrund","1166","0.0937560995650824","0.0886342678317951","0.0988779312983697"
"Ja, alle 2 Wochen","2017","direkter Migrationshintergrund","324","0.102238777061705","0.0912651347718041","0.113212419351605"
"Ja, alle 2 Wochen","2017","indirekter Migrationshintergrund","123","0.109302148953656","0.091268702967747","0.127335594939565"
"Ja, alle 3-4 Wochen","2017","kein Migrationshintergrund","818","0.0586722899771905","0.0545428616401564","0.0628017183142246"
"Ja, alle 3-4 Wochen","2017","direkter Migrationshintergrund","145","0.0562779518665125","0.0479305033833291","0.0646254003496959"
"Ja, alle 3-4 Wochen","2017","indirekter Migrationshintergrund","70","0.0634628845323804","0.0493725413298558","0.0775532277349049"
"Seltener","2017","kein Migrationshintergrund","1888","0.166738989158157","0.160189429456231","0.173288548860084"
"Seltener","2017","direkter Migrationshintergrund","299","0.117420880979918","0.105760518638395","0.129081243321441"
"Seltener","2017","indirekter Migrationshintergrund","127","0.0934717035372738","0.0766476774867567","0.110295729587791"
"Nein, nie","2018","kein Migrationshintergrund","","","",""
"Nein, nie","2018","direkter Migrationshintergrund","","","",""
"Nein, nie","2018","indirekter Migrationshintergrund","","","",""
"Ja, jede Woche","2018","kein Migrationshintergrund","","","",""
"Ja, jede Woche","2018","direkter Migrationshintergrund","","","",""
"Ja, jede Woche","2018","indirekter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2018","kein Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2018","direkter Migrationshintergrund","","","",""
"Ja, alle 2 Wochen","2018","indirekter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2018","kein Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2018","direkter Migrationshintergrund","","","",""
"Ja, alle 3-4 Wochen","2018","indirekter Migrationshintergrund","","","",""
"Seltener","2018","kein Migrationshintergrund","","","",""
"Seltener","2018","direkter Migrationshintergrund","","","",""
"Seltener","2018","indirekter Migrationshintergrund","","","",""
"Nein, nie","2019","kein Migrationshintergrund","7736","0.622609282761562","0.614216439092887","0.631002126430236"
"Nein, nie","2019","direkter Migrationshintergrund","1662","0.652108700766359","0.633578331957665","0.670639069575054"
"Nein, nie","2019","indirekter Migrationshintergrund","807","0.633352757612556","0.607503117412667","0.659202397812444"
"Ja, jede Woche","2019","kein Migrationshintergrund","921","0.0629707504905956","0.0587649202466956","0.0671765807344956"
"Ja, jede Woche","2019","direkter Migrationshintergrund","171","0.076292752972752","0.0659648749322101","0.0866206310132938"
"Ja, jede Woche","2019","indirekter Migrationshintergrund","110","0.0691433274124626","0.0555343966670508","0.0827522581578745"
"Ja, alle 2 Wochen","2019","kein Migrationshintergrund","1180","0.0907565629741009","0.085782802818694","0.0957303231295077"
"Ja, alle 2 Wochen","2019","direkter Migrationshintergrund","288","0.112893232447835","0.100581357874791","0.12520510702088"
"Ja, alle 2 Wochen","2019","indirekter Migrationshintergrund","155","0.128068914005043","0.110143450166906","0.14599437784318"
"Ja, alle 3-4 Wochen","2019","kein Migrationshintergrund","836","0.0590003263855548","0.0549206315882669","0.0630800211828426"
"Ja, alle 3-4 Wochen","2019","direkter Migrationshintergrund","117","0.0484259728380705","0.0400745062298992","0.0567774394462418"
"Ja, alle 3-4 Wochen","2019","indirekter Migrationshintergrund","73","0.0435389627394977","0.0325923403042646","0.0544855851747307"
"Seltener","2019","kein Migrationshintergrund","2141","0.164663077388187","0.158241604045121","0.171084550731254"
"Seltener","2019","direkter Migrationshintergrund","300","0.110279340974983","0.0980929193250239","0.122465762624942"
"Seltener","2019","indirekter Migrationshintergrund","190","0.125896038230441","0.108101159433025","0.143690917027857"
