"plb0219","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja, alle 2 Wochen","2005","AkademikerIn","Ostdeutschland","67","0.105673616774788","0.0838748101360787","0.127472423413497"
"Ja, alle 3-4 Wochen","2005","(noch) kein Abschluss","Westdeutschland","5","0.0291583043212094","-0.00272119884425721","0.0610378074866759"
"Ja, alle 3-4 Wochen","2005","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Ja, alle 3-4 Wochen","2005","Hauptschule","Westdeutschland","125","","",""
"Ja, alle 3-4 Wochen","2005","Hauptschule","Ostdeutschland","11","","",""
"Ja, alle 3-4 Wochen","2005","Realschule","Westdeutschland","115","","",""
"Ja, alle 3-4 Wochen","2005","Realschule","Ostdeutschland","60","0.0671819288645089","0.0528068631678843","0.0815569945611335"
"Ja, alle 3-4 Wochen","2005","(Fach-)Abitur","Westdeutschland","63","0.0529596428329547","0.040088562508508","0.0658307231574013"
"Ja, alle 3-4 Wochen","2005","(Fach-)Abitur","Ostdeutschland","11","","",""
"Ja, alle 3-4 Wochen","2005","AkademikerIn","Westdeutschland","119","","",""
"Ja, alle 3-4 Wochen","2005","AkademikerIn","Ostdeutschland","48","0.0613605141967843","0.0443430315362481","0.0783779968573205"
"Seltener","2005","(noch) kein Abschluss","Westdeutschland","10","","",""
"Seltener","2005","(noch) kein Abschluss","Ostdeutschland","3","","",""
"Seltener","2005","Hauptschule","Westdeutschland","393","0.138859272126179","0.125911432345184","0.151807111907175"
"Seltener","2005","Hauptschule","Ostdeutschland","31","0.129435045833553","0.0846691019075323","0.174200989759574"
"Seltener","2005","Realschule","Westdeutschland","367","0.163936102527442","0.14871642638525","0.179155778669633"
"Seltener","2005","Realschule","Ostdeutschland","227","","",""
"Seltener","2005","(Fach-)Abitur","Westdeutschland","205","","",""
"Seltener","2005","(Fach-)Abitur","Ostdeutschland","33","0.162323626789874","0.111472403110147","0.213174850469601"
"Seltener","2005","AkademikerIn","Westdeutschland","518","0.268997562282881","0.249867039891863","0.288128084673899"
"Seltener","2005","AkademikerIn","Ostdeutschland","167","","",""
"Nein, nie","2006","(noch) kein Abschluss","Westdeutschland","","","",""
"Nein, nie","2006","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein, nie","2006","Hauptschule","Westdeutschland","","","",""
"Nein, nie","2006","Hauptschule","Ostdeutschland","","","",""
"Nein, nie","2006","Realschule","Westdeutschland","","","",""
"Nein, nie","2006","Realschule","Ostdeutschland","","","",""
"Nein, nie","2006","(Fach-)Abitur","Westdeutschland","","","",""
"Nein, nie","2006","(Fach-)Abitur","Ostdeutschland","","","",""
"Nein, nie","2006","AkademikerIn","Westdeutschland","","","",""
"Nein, nie","2006","AkademikerIn","Ostdeutschland","","","",""
"Ja, jede Woche","2006","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja, jede Woche","2006","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Hauptschule","Westdeutschland","","","",""
"Ja, jede Woche","2006","Hauptschule","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Realschule","Westdeutschland","","","",""
"Ja, jede Woche","2006","Realschule","Ostdeutschland","","","",""
"Ja, jede Woche","2006","(Fach-)Abitur","Westdeutschland","","","",""
"Ja, jede Woche","2006","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja, jede Woche","2006","AkademikerIn","Westdeutschland","","","",""
"Ja, jede Woche","2006","AkademikerIn","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Hauptschule","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Hauptschule","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Realschule","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Realschule","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","(Fach-)Abitur","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","AkademikerIn","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","AkademikerIn","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Hauptschule","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Hauptschule","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Realschule","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Realschule","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","(Fach-)Abitur","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","AkademikerIn","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","AkademikerIn","Ostdeutschland","","","",""
"Seltener","2006","(noch) kein Abschluss","Westdeutschland","","","",""
"Seltener","2006","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","2006","Hauptschule","Westdeutschland","","","",""
"Seltener","2006","Hauptschule","Ostdeutschland","","","",""
"Seltener","2006","Realschule","Westdeutschland","","","",""
"Seltener","2006","Realschule","Ostdeutschland","","","",""
"Seltener","2006","(Fach-)Abitur","Westdeutschland","","","",""
"Seltener","2006","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","2006","AkademikerIn","Westdeutschland","","","",""
"Seltener","2006","AkademikerIn","Ostdeutschland","","","",""
"Nein, nie","2007","(noch) kein Abschluss","Westdeutschland","53","0.726994454138749","0.630568832253432","0.823420076024066"
"Nein, nie","2007","(noch) kein Abschluss","Ostdeutschland","4","0.418854041900062","0.0965239867798006","0.741184097020324"
"Nein, nie","2007","Hauptschule","Westdeutschland","1829","","",""
"Nein, nie","2007","Hauptschule","Ostdeutschland","132","","",""
"Nein, nie","2007","Realschule","Westdeutschland","1449","","",""
"Nein, nie","2007","Realschule","Ostdeutschland","721","0.55017399064","0.522258807274493","0.578089174005506"
"Nein, nie","2007","(Fach-)Abitur","Westdeutschland","773","0.63508616733329","0.607871229466265","0.662301105200314"
"Nein, nie","2007","(Fach-)Abitur","Ostdeutschland","128","","",""
"Nein, nie","2007","AkademikerIn","Westdeutschland","1090","","",""
"Nein, nie","2007","AkademikerIn","Ostdeutschland","414","0.519632151041326","0.484502603608342","0.55476169847431"
"Ja, jede Woche","2007","(noch) kein Abschluss","Westdeutschland","4","0.049203382599003","0.00238865949429818","0.0960181057037077"
"Ja, jede Woche","2007","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Ja, jede Woche","2007","Hauptschule","Westdeutschland","139","","",""
"Ja, jede Woche","2007","Hauptschule","Ostdeutschland","17","","",""
"Ja, jede Woche","2007","Realschule","Westdeutschland","110","","",""
"Ja, jede Woche","2007","Realschule","Ostdeutschland","65","0.058645618268693","0.0454611525752872","0.0718300839620988"
"Ja, jede Woche","2007","(Fach-)Abitur","Westdeutschland","70","0.0540763077554246","0.0412905219590642","0.066862093551785"
"Ja, jede Woche","2007","(Fach-)Abitur","Ostdeutschland","9","0.0320751503379146","0.00910313796079358","0.0550471627150356"
"Ja, jede Woche","2007","AkademikerIn","Westdeutschland","239","","",""
"Ja, jede Woche","2007","AkademikerIn","Ostdeutschland","59","0.0762975660773187","0.0576312348649606","0.0949638972896767"
"Ja, alle 2 Wochen","2007","(noch) kein Abschluss","Westdeutschland","12","","",""
"Ja, alle 2 Wochen","2007","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2007","Hauptschule","Westdeutschland","192","","",""
"Ja, alle 2 Wochen","2007","Hauptschule","Ostdeutschland","28","","",""
"Ja, alle 2 Wochen","2007","Realschule","Westdeutschland","187","","",""
"Ja, alle 2 Wochen","2007","Realschule","Ostdeutschland","159","","",""
"Ja, alle 2 Wochen","2007","(Fach-)Abitur","Westdeutschland","107","","",""
"Ja, alle 2 Wochen","2007","(Fach-)Abitur","Ostdeutschland","23","","",""
"Ja, alle 2 Wochen","2007","AkademikerIn","Westdeutschland","148","","",""
"Ja, alle 2 Wochen","2007","AkademikerIn","Ostdeutschland","67","0.0981058116863948","0.0771905769337103","0.119021046439079"
"Ja, alle 3-4 Wochen","2007","(noch) kein Abschluss","Westdeutschland","4","0.0223903551890753","-0.00963208293331424","0.0544127933114648"
"Ja, alle 3-4 Wochen","2007","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Ja, alle 3-4 Wochen","2007","Hauptschule","Westdeutschland","116","","",""
"Ja, alle 3-4 Wochen","2007","Hauptschule","Ostdeutschland","12","","",""
"Ja, alle 3-4 Wochen","2007","Realschule","Westdeutschland","131","","",""
"Ja, alle 3-4 Wochen","2007","Realschule","Ostdeutschland","57","0.0578874531576735","0.0447832145954951","0.070991691719852"
"Ja, alle 3-4 Wochen","2007","(Fach-)Abitur","Westdeutschland","60","0.0598888065141215","0.0464748066311575","0.0733028063970855"
"Ja, alle 3-4 Wochen","2007","(Fach-)Abitur","Ostdeutschland","16","","",""
"Ja, alle 3-4 Wochen","2007","AkademikerIn","Westdeutschland","136","","",""
"Ja, alle 3-4 Wochen","2007","AkademikerIn","Ostdeutschland","51","0.0651560906104785","0.0478026880181122","0.0825094932028449"
"Seltener","2007","(noch) kein Abschluss","Westdeutschland","9","0.058145924118511","0.00749438877386754","0.108797459463155"
"Seltener","2007","(noch) kein Abschluss","Ostdeutschland","3","","",""
"Seltener","2007","Hauptschule","Westdeutschland","401","0.147947295668687","0.134497655958986","0.161396935378388"
"Seltener","2007","Hauptschule","Ostdeutschland","25","","",""
"Seltener","2007","Realschule","Westdeutschland","386","0.17186860548315","0.156324930194023","0.187412280772278"
"Seltener","2007","Realschule","Ostdeutschland","218","","",""
"Seltener","2007","(Fach-)Abitur","Westdeutschland","192","","",""
"Seltener","2007","(Fach-)Abitur","Ostdeutschland","50","0.24986310119665","0.19341943708572","0.30630676530758"
"Seltener","2007","AkademikerIn","Westdeutschland","560","0.278915723694633","0.260059803141703","0.297771644247563"
"Seltener","2007","AkademikerIn","Ostdeutschland","186","","",""
"Nein, nie","2008","(noch) kein Abschluss","Westdeutschland","","","",""
"Nein, nie","2008","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein, nie","2008","Hauptschule","Westdeutschland","","","",""
"Nein, nie","2008","Hauptschule","Ostdeutschland","","","",""
"Nein, nie","2008","Realschule","Westdeutschland","","","",""
"Nein, nie","2008","Realschule","Ostdeutschland","","","",""
"Nein, nie","2008","(Fach-)Abitur","Westdeutschland","","","",""
"Nein, nie","2008","(Fach-)Abitur","Ostdeutschland","","","",""
"Nein, nie","2008","AkademikerIn","Westdeutschland","","","",""
"Nein, nie","2008","AkademikerIn","Ostdeutschland","","","",""
"Ja, jede Woche","2008","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja, jede Woche","2008","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja, jede Woche","2008","Hauptschule","Westdeutschland","","","",""
"Ja, jede Woche","2008","Hauptschule","Ostdeutschland","","","",""
"Ja, jede Woche","2008","Realschule","Westdeutschland","","","",""
"Ja, jede Woche","2008","Realschule","Ostdeutschland","","","",""
"Ja, jede Woche","2008","(Fach-)Abitur","Westdeutschland","","","",""
"Ja, jede Woche","2008","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja, jede Woche","2008","AkademikerIn","Westdeutschland","","","",""
"Ja, jede Woche","2008","AkademikerIn","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2008","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2008","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2008","Hauptschule","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2008","Hauptschule","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2008","Realschule","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2008","Realschule","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2008","(Fach-)Abitur","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2008","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2008","AkademikerIn","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2008","AkademikerIn","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","Hauptschule","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","Hauptschule","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","Realschule","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","Realschule","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","(Fach-)Abitur","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","AkademikerIn","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","AkademikerIn","Ostdeutschland","","","",""
"Seltener","2008","(noch) kein Abschluss","Westdeutschland","","","",""
"Seltener","2008","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","2008","Hauptschule","Westdeutschland","","","",""
"Seltener","2008","Hauptschule","Ostdeutschland","","","",""
"Seltener","2008","Realschule","Westdeutschland","","","",""
"Seltener","2008","Realschule","Ostdeutschland","","","",""
"Seltener","2008","(Fach-)Abitur","Westdeutschland","","","",""
"Seltener","2008","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","2008","AkademikerIn","Westdeutschland","","","",""
"Seltener","2008","AkademikerIn","Ostdeutschland","","","",""
"Nein, nie","2009","(noch) kein Abschluss","Westdeutschland","52","0.694963047734337","0.594694975627367","0.795231119841306"
"Nein, nie","2009","(noch) kein Abschluss","Ostdeutschland","8","0.542658640057964","0.233891061818978","0.851426218296951"
"Nein, nie","2009","Hauptschule","Westdeutschland","1496","","",""
"Nein, nie","2009","Hauptschule","Ostdeutschland","105","","",""
"Nein, nie","2009","Realschule","Westdeutschland","1285","","",""
"Nein, nie","2009","Realschule","Ostdeutschland","647","0.539460289205241","0.510308078433046","0.568612499977436"
"Nein, nie","2009","(Fach-)Abitur","Westdeutschland","676","0.61924451729237","0.590095517538055","0.648393517046685"
"Nein, nie","2009","(Fach-)Abitur","Ostdeutschland","116","","",""
"Nein, nie","2009","AkademikerIn","Westdeutschland","944","0.477137334550814","0.45494555194303","0.499329117158597"
"Nein, nie","2009","AkademikerIn","Ostdeutschland","373","0.526560440648808","0.489834299190989","0.563286582106627"
"Ja, jede Woche","2009","(noch) kein Abschluss","Westdeutschland","8","0.111139189024898","0.042691928213936","0.179586449835861"
"Ja, jede Woche","2009","(noch) kein Abschluss","Ostdeutschland","2","","",""
"Ja, jede Woche","2009","Hauptschule","Westdeutschland","110","","",""
"Ja, jede Woche","2009","Hauptschule","Ostdeutschland","19","","",""
"Ja, jede Woche","2009","Realschule","Westdeutschland","96","0.0483807230845301","0.0390305867674831","0.057730859401577"
"Ja, jede Woche","2009","Realschule","Ostdeutschland","71","0.0733987801546514","0.0581459979911336","0.0886515623181692"
"Ja, jede Woche","2009","(Fach-)Abitur","Westdeutschland","62","0.0613284744830253","0.0469253275366476","0.075731621429403"
"Ja, jede Woche","2009","(Fach-)Abitur","Ostdeutschland","9","0.0408806107820444","0.0127987145242491","0.0689625070398396"
"Ja, jede Woche","2009","AkademikerIn","Westdeutschland","232","","",""
"Ja, jede Woche","2009","AkademikerIn","Ostdeutschland","68","0.0709802921216535","0.0520916703042785","0.0898689139390285"
"Ja, alle 2 Wochen","2009","(noch) kein Abschluss","Westdeutschland","6","0.0417320808168661","-0.00181750971860543","0.0852816713523377"
"Ja, alle 2 Wochen","2009","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2009","Hauptschule","Westdeutschland","174","","",""
"Ja, alle 2 Wochen","2009","Hauptschule","Ostdeutschland","15","","",""
"Ja, alle 2 Wochen","2009","Realschule","Westdeutschland","197","","",""
"Ja, alle 2 Wochen","2009","Realschule","Ostdeutschland","129","","",""
"Ja, alle 2 Wochen","2009","(Fach-)Abitur","Westdeutschland","88","0.0780006066901471","0.0619021665657107","0.0940990468145835"
"Ja, alle 2 Wochen","2009","(Fach-)Abitur","Ostdeutschland","22","","",""
"Ja, alle 2 Wochen","2009","AkademikerIn","Westdeutschland","138","","",""
"Ja, alle 2 Wochen","2009","AkademikerIn","Ostdeutschland","51","0.0817123302645924","0.0615633954881142","0.101861265041071"
"Ja, alle 3-4 Wochen","2009","(noch) kein Abschluss","Westdeutschland","2","","",""
"Ja, alle 3-4 Wochen","2009","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2009","Hauptschule","Westdeutschland","109","","",""
"Ja, alle 3-4 Wochen","2009","Hauptschule","Ostdeutschland","19","","",""
"Ja, alle 3-4 Wochen","2009","Realschule","Westdeutschland","95","0.0475141206176191","0.0382438850431919","0.0567843561920463"
"Ja, alle 3-4 Wochen","2009","Realschule","Ostdeutschland","62","0.0839734829622128","0.0677522702566723","0.100194695667753"
"Ja, alle 3-4 Wochen","2009","(Fach-)Abitur","Westdeutschland","55","0.0610702601147798","0.0466954895659394","0.0754450306636202"
"Ja, alle 3-4 Wochen","2009","(Fach-)Abitur","Ostdeutschland","14","","",""
"Ja, alle 3-4 Wochen","2009","AkademikerIn","Westdeutschland","132","","",""
"Ja, alle 3-4 Wochen","2009","AkademikerIn","Ostdeutschland","49","0.0680464902383367","0.0495231669895156","0.0865698134871577"
"Seltener","2009","(noch) kein Abschluss","Westdeutschland","13","","",""
"Seltener","2009","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","2009","Hauptschule","Westdeutschland","336","0.155562364143082","0.140502566327953","0.170622161958211"
"Seltener","2009","Hauptschule","Ostdeutschland","29","","",""
"Seltener","2009","Realschule","Westdeutschland","350","0.187035431936186","0.170043298805275","0.204027565067097"
"Seltener","2009","Realschule","Ostdeutschland","214","","",""
"Seltener","2009","(Fach-)Abitur","Westdeutschland","185","","",""
"Seltener","2009","(Fach-)Abitur","Ostdeutschland","30","0.165148061915448","0.112489029127715","0.217807094703181"
"Seltener","2009","AkademikerIn","Westdeutschland","500","0.258841015763409","0.239380743615385","0.278301287911434"
"Seltener","2009","AkademikerIn","Ostdeutschland","169","","",""
"Nein, nie","2010","(noch) kein Abschluss","Westdeutschland","46","0.611446573104112","0.504637603110662","0.718255543097562"
"Nein, nie","2010","(noch) kein Abschluss","Ostdeutschland","7","0.839624209459767","0.612187809545798","1.06706060937374"
"Nein, nie","2010","Hauptschule","Westdeutschland","639","0.651319166363624","0.621841560915914","0.680796771811335"
"Nein, nie","2010","Hauptschule","Ostdeutschland","47","0.578898964829797","0.472679627947179","0.685118301712414"
"Nein, nie","2010","Realschule","Westdeutschland","645","0.600607150409889","0.571477949549797","0.629736351269981"
"Nein, nie","2010","Realschule","Ostdeutschland","245","","",""
"Nein, nie","2010","(Fach-)Abitur","Westdeutschland","343","0.552736307026095","0.512984976098942","0.592487637953249"
"Nein, nie","2010","(Fach-)Abitur","Ostdeutschland","52","0.615873097670078","0.51482315612286","0.716923039217296"
"Nein, nie","2010","AkademikerIn","Westdeutschland","423","0.474263126023697","0.441908868121783","0.506617383925611"
"Nein, nie","2010","AkademikerIn","Ostdeutschland","84","0.416022236318517","0.348050426481142","0.483994046155893"
"Ja, jede Woche","2010","(noch) kein Abschluss","Westdeutschland","11","","",""
"Ja, jede Woche","2010","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Ja, jede Woche","2010","Hauptschule","Westdeutschland","51","0.0408984128381362","0.0286475474834701","0.0531492781928024"
"Ja, jede Woche","2010","Hauptschule","Ostdeutschland","8","0.0648077663474164","0.0118447126523354","0.117770820042497"
"Ja, jede Woche","2010","Realschule","Westdeutschland","65","0.0562252647558968","0.0425248691903302","0.0699256603214635"
"Ja, jede Woche","2010","Realschule","Ostdeutschland","24","","",""
"Ja, jede Woche","2010","(Fach-)Abitur","Westdeutschland","44","0.0828985105846066","0.0608543828802242","0.104942638288989"
"Ja, jede Woche","2010","(Fach-)Abitur","Ostdeutschland","9","0.113061107875721","0.0472716124457495","0.178850603305692"
"Ja, jede Woche","2010","AkademikerIn","Westdeutschland","94","0.0880063341486491","0.0696498112439368","0.106362857053361"
"Ja, jede Woche","2010","AkademikerIn","Ostdeutschland","11","","",""
"Ja, alle 2 Wochen","2010","(noch) kein Abschluss","Westdeutschland","9","0.0790453572986409","0.0199218210596718","0.13816889353761"
"Ja, alle 2 Wochen","2010","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Ja, alle 2 Wochen","2010","Hauptschule","Westdeutschland","95","0.0901476033859915","0.0724324956059884","0.107862711165995"
"Ja, alle 2 Wochen","2010","Hauptschule","Ostdeutschland","12","","",""
"Ja, alle 2 Wochen","2010","Realschule","Westdeutschland","132","","",""
"Ja, alle 2 Wochen","2010","Realschule","Ostdeutschland","44","0.101620273903733","0.0730950141524252","0.130145533655041"
"Ja, alle 2 Wochen","2010","(Fach-)Abitur","Westdeutschland","71","0.115679340973507","0.0901085805452771","0.141250101401736"
"Ja, alle 2 Wochen","2010","(Fach-)Abitur","Ostdeutschland","10","","",""
"Ja, alle 2 Wochen","2010","AkademikerIn","Westdeutschland","108","","",""
"Ja, alle 2 Wochen","2010","AkademikerIn","Ostdeutschland","28","","",""
"Ja, alle 3-4 Wochen","2010","(noch) kein Abschluss","Westdeutschland","6","0.0896925636924668","0.0270779995798781","0.152307127805055"
"Ja, alle 3-4 Wochen","2010","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2010","Hauptschule","Westdeutschland","65","0.0695926765014815","0.0538528636403951","0.0853324893625678"
"Ja, alle 3-4 Wochen","2010","Hauptschule","Ostdeutschland","6","0.0750865916412469","0.0183921114088261","0.131781071873668"
"Ja, alle 3-4 Wochen","2010","Realschule","Westdeutschland","60","0.0517388430671092","0.0385652114263887","0.0649124747078298"
"Ja, alle 3-4 Wochen","2010","Realschule","Ostdeutschland","33","0.0821517317017871","0.0562276570361597","0.108075806367414"
"Ja, alle 3-4 Wochen","2010","(Fach-)Abitur","Westdeutschland","31","0.053100703749926","0.0351734861343104","0.0710279213655415"
"Ja, alle 3-4 Wochen","2010","(Fach-)Abitur","Ostdeutschland","4","0.0569897167738996","0.00882715807585125","0.105152275471948"
"Ja, alle 3-4 Wochen","2010","AkademikerIn","Westdeutschland","66","0.0683217013866212","0.0519742569369341","0.0846691458363082"
"Ja, alle 3-4 Wochen","2010","AkademikerIn","Ostdeutschland","23","","",""
"Seltener","2010","(noch) kein Abschluss","Westdeutschland","8","0.0881072161331939","0.0259944705776292","0.150219961688759"
"Seltener","2010","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Seltener","2010","Hauptschule","Westdeutschland","154","","",""
"Seltener","2010","Hauptschule","Ostdeutschland","10","","",""
"Seltener","2010","Realschule","Westdeutschland","184","","",""
"Seltener","2010","Realschule","Ostdeutschland","85","0.17531817661604","0.139420516625936","0.211215836606144"
"Seltener","2010","(Fach-)Abitur","Westdeutschland","112","","",""
"Seltener","2010","(Fach-)Abitur","Ostdeutschland","14","","",""
"Seltener","2010","AkademikerIn","Westdeutschland","224","","",""
"Seltener","2010","AkademikerIn","Ostdeutschland","56","0.284867562958377","0.222625046183247","0.347110079733507"
"Nein, nie","2011","(noch) kein Abschluss","Westdeutschland","120","","",""
"Nein, nie","2011","(noch) kein Abschluss","Ostdeutschland","18","","",""
"Nein, nie","2011","Hauptschule","Westdeutschland","2389","","",""
"Nein, nie","2011","Hauptschule","Ostdeutschland","182","","",""
"Nein, nie","2011","Realschule","Westdeutschland","2303","","",""
"Nein, nie","2011","Realschule","Ostdeutschland","1026","","",""
"Nein, nie","2011","(Fach-)Abitur","Westdeutschland","1198","","",""
"Nein, nie","2011","(Fach-)Abitur","Ostdeutschland","190","","",""
"Nein, nie","2011","AkademikerIn","Westdeutschland","1676","","",""
"Nein, nie","2011","AkademikerIn","Ostdeutschland","503","0.526607444227546","0.495489983193479","0.557724905261612"
"Ja, jede Woche","2011","(noch) kein Abschluss","Westdeutschland","26","","",""
"Ja, jede Woche","2011","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Ja, jede Woche","2011","Hauptschule","Westdeutschland","201","","",""
"Ja, jede Woche","2011","Hauptschule","Ostdeutschland","22","","",""
"Ja, jede Woche","2011","Realschule","Westdeutschland","178","","",""
"Ja, jede Woche","2011","Realschule","Ostdeutschland","105","","",""
"Ja, jede Woche","2011","(Fach-)Abitur","Westdeutschland","114","","",""
