year,hhtyp,quintil_oecd_hh,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Other Combinations,5th Quintile,No,0.95587,33,33,0.88472,1.02703
2011,Single-person household,1st Quintile,No,0.99898,1015,1015,0.99701,1.00094
2011,Single-person household,2nd Quintile,No,0.99699,723,723,0.99299,1.00099
2011,Single-person household,3rd Quintile,No,0.99159,655,655,0.98459,0.99859
2011,Single-person household,4th Quintile,No,0.99236,541,541,0.98502,0.99970
2011,Single-person household,5th Quintile,No,0.98717,552,552,0.97777,0.99657
2011,Couple without children,1st Quintile,No,0.99422,470,470,0.98735,1.00108
2011,Couple without children,2nd Quintile,No,0.99524,717,717,0.99019,1.00028
2011,Couple without children,3rd Quintile,No,0.99435,797,797,0.98915,0.99956
2011,Couple without children,4th Quintile,No,0.99055,950,950,0.98440,0.99671
2011,Couple without children,5th Quintile,No,0.98085,1392,1392,0.97365,0.98805
2011,Single parent,1st Quintile,No,0.99594,321,321,0.98897,1.00291
2011,Single parent,2nd Quintile,No,0.99600,172,172,0.98655,1.00546
2011,Single parent,3rd Quintile,No,0.96565,139,139,0.93526,0.99604
2011,Single parent,4th Quintile,No,0.97744,89,89,0.94642,1.00847
2011,Single parent,5th Quintile,No,0.92643,55,55,0.85679,0.99606
2011,Couple with children,2nd Quintile,No,0.99015,578,578,0.98210,0.99821
2011,Couple with children,3rd Quintile,No,0.97749,719,719,0.96665,0.98834
2011,Couple with children,4th Quintile,No,0.96957,779,779,0.95750,0.98164
2011,Couple with children,5th Quintile,No,0.98017,701,701,0.96984,0.99050
2016,Single-person household,1st Quintile,No,0.99971,988,988,0.99866,1.00077
2016,Single-person household,2nd Quintile,No,0.99913,726,726,0.99697,1.00128
2016,Single-person household,3rd Quintile,No,0.99530,631,631,0.98995,1.00064
2016,Single-person household,4th Quintile,No,0.99032,550,550,0.98212,0.99851
2016,Single-person household,5th Quintile,No,0.99532,476,476,0.98918,1.00146
2016,Couple without children,1st Quintile,No,0.99534,431,431,0.98891,1.00178
2016,Couple without children,2nd Quintile,No,0.99615,706,706,0.99158,1.00072
2016,Couple without children,3rd Quintile,No,0.98697,755,755,0.97887,0.99506
2016,Couple without children,4th Quintile,No,0.98943,920,920,0.98282,0.99604
2016,Couple without children,5th Quintile,No,0.97592,1242,1242,0.96739,0.98445
2016,Single parent,1st Quintile,No,0.99667,650,650,0.99224,1.00110
2016,Single parent,2nd Quintile,No,0.99767,405,405,0.99296,1.00237
2016,Single parent,3rd Quintile,No,0.96453,225,225,0.94031,0.98875
2016,Single parent,4th Quintile,No,0.95343,148,148,0.91937,0.98750
2016,Single parent,5th Quintile,No,0.93957,81,81,0.88735,0.99179
2016,Couple with children,1st Quintile,No,0.99569,919,919,0.99146,0.99993
2016,Couple with children,2nd Quintile,No,0.99046,1098,1098,0.98471,0.99621
2016,Couple with children,3rd Quintile,No,0.98461,1039,1039,0.97712,0.99210
2016,Couple with children,4th Quintile,No,0.98363,975,975,0.97566,0.99160
2016,Couple with children,5th Quintile,No,0.96072,872,872,0.94781,0.97362
2016,Multi-generational household,2nd Quintile,No,0.78228,34,34,0.64147,0.92309
2021,Single-person household,1st Quintile,No,0.99261,930,930,0.98711,0.99812
2021,Single-person household,2nd Quintile,No,0.99898,625,625,0.99649,1.00148
2021,Single-person household,3rd Quintile,No,0.99650,554,554,0.99157,1.00142
2021,Single-person household,4th Quintile,No,0.98586,508,508,0.97558,0.99614
2021,Single-person household,5th Quintile,No,0.99343,537,537,0.98660,1.00027
2021,Couple without children,1st Quintile,No,0.99448,335,335,0.98654,1.00243
2021,Couple without children,2nd Quintile,No,0.99572,559,559,0.99031,1.00114
2021,Couple without children,3rd Quintile,No,0.98045,555,555,0.96893,0.99198
2021,Couple without children,4th Quintile,No,0.99092,693,693,0.98385,0.99799
2021,Couple without children,5th Quintile,No,0.97629,1230,1230,0.96779,0.98480
2021,Single parent,1st Quintile,No,0.98404,272,272,0.96912,0.99896
2021,Single parent,2nd Quintile,No,0.99330,273,273,0.98361,1.00300
2021,Single parent,3rd Quintile,No,0.99635,141,141,0.98637,1.00634
2021,Single parent,4th Quintile,No,0.91509,119,119,0.86479,0.96538
2021,Single parent,5th Quintile,No,0.96852,75,75,0.92874,1.00830
2021,Couple with children,1st Quintile,No,0.99287,401,401,0.98462,1.00111
2021,Couple with children,2nd Quintile,No,0.98928,623,623,0.98118,0.99737
2021,Couple with children,3rd Quintile,No,0.98297,672,672,0.97319,0.99276
2021,Couple with children,4th Quintile,No,0.96881,656,656,0.95550,0.98212
2021,Couple with children,5th Quintile,No,0.97341,743,743,0.96183,0.98498
2021,Other Combinations,3rd Quintile,No,0.96017,49,49,0.90485,1.01550
2021,Other Combinations,5th Quintile,No,0.91714,50,50,0.83996,0.99433
