year,hhtyp,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,Single parent,Yes,0.91480,1618,1759,0.90175,0.92785
2017,Single parent,No,0.08493,141,1759,0.07190,0.09796
2017,Couple with children,Yes,0.97933,6608,6826,0.97595,0.98270
2017,Couple with children,No,0.01985,218,6826,0.01654,0.02316
2017,Multi-generational household,Yes,0.97264,151,151,0.94654,0.99875
2017,Other Combinations,Yes,0.88836,453,515,0.86113,0.91559
2017,Other Combinations,No,0.11018,62,515,0.08311,0.13725
2018,Single-person household,Yes,0.68038,3324,4454,0.66668,0.69407
2018,Single-person household,No,0.31763,1130,4454,0.30396,0.33131
2018,Couple without children,Yes,0.88366,4160,4633,0.87443,0.89290
2018,Couple without children,No,0.11409,473,4633,0.10494,0.12325
2018,Single parent,Yes,0.92931,1627,1739,0.91726,0.94136
2018,Single parent,No,0.06911,112,1739,0.05718,0.08103
2018,Couple with children,Yes,0.97834,6313,6464,0.97479,0.98189
2018,Couple with children,No,0.02071,151,6464,0.01724,0.02418
2018,Multi-generational household,Yes,0.98280,156,156,0.96234,1.00327
2018,Other Combinations,Yes,0.89911,377,411,0.86995,0.92826
2018,Other Combinations,No,0.10089,34,411,0.07174,0.13005
2019,Single-person household,Yes,0.71846,3652,4589,0.70544,0.73147
2019,Single-person household,No,0.27781,937,4589,0.26485,0.29077
2019,Couple without children,Yes,0.90385,4774,5167,0.89581,0.91189
2019,Couple without children,No,0.09481,393,5167,0.08682,0.10280
2019,Single parent,Yes,0.95055,1552,1622,0.94000,0.96111
2019,Single parent,No,0.04945,70,1622,0.03889,0.06000
2019,Couple with children,Yes,0.99015,6443,6528,0.98775,0.99255
2019,Couple with children,No,0.00985,85,6528,0.00745,0.01225
2019,Multi-generational household,Yes,0.95520,133,133,0.91991,0.99049
2019,Other Combinations,Yes,0.94536,346,346,0.92137,0.96934
2020,Single-person household,Yes,0.00776,624,735,0.00141,0.01411
2020,Single-person household,No,0.00155,111,735,-0.00130,0.00439
2020,Couple without children,Yes,0.00212,131,131,-0.00579,0.01004
2020,Single parent,Yes,0.01116,247,247,-0.00197,0.02429
2020,Couple with children,Yes,0.01801,1616,1650,0.01159,0.02443
2020,Couple with children,No,0.00034,34,1650,-0.00055,0.00123
2020,Other Combinations,Yes,0.04754,176,176,0.01601,0.07907
2021,Single-person household,Yes,0.78897,3030,3530,0.77551,0.80243
2021,Single-person household,No,0.20740,500,3530,0.19402,0.22078
2021,Couple without children,Yes,0.93499,3311,3483,0.92680,0.94318
2021,Couple without children,No,0.06336,172,3483,0.05527,0.07146
2021,Single parent,Yes,0.94861,986,1026,0.93509,0.96213
2021,Single parent,No,0.05139,40,1026,0.03787,0.06491
2021,Couple with children,Yes,0.99177,3981,3981,0.98896,0.99457
2021,Other Combinations,Yes,0.92710,342,342,0.89951,0.95469
