year,regtyp,sampreg,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Urban regions,East,No,0.24654,222,1193,0.22207,0.27101
2015,Rural regions,West,Yes,0.75759,2808,3298,0.74297,0.77222
2015,Rural regions,West,No,0.23722,490,3298,0.22270,0.25174
2015,Rural regions,East,Yes,0.64877,1535,2066,0.62818,0.66935
2015,Rural regions,East,No,0.34250,531,2066,0.32203,0.36296
2016,Urban regions,West,Yes,0.80559,8299,9548,0.79765,0.81353
2016,Urban regions,West,No,0.19173,1249,9548,0.18383,0.19962
2016,Urban regions,East,Yes,0.77620,1028,1261,0.75319,0.79921
2016,Urban regions,East,No,0.21837,233,1261,0.19556,0.24119
2016,Rural regions,West,Yes,0.77974,2875,3376,0.76576,0.79372
2016,Rural regions,West,No,0.21591,501,3376,0.20203,0.22980
2016,Rural regions,East,Yes,0.70248,1645,2196,0.68336,0.72161
2016,Rural regions,East,No,0.29726,551,2196,0.27814,0.31638
2017,Urban regions,West,Yes,0.83135,9552,10617,0.82423,0.83848
2017,Urban regions,West,No,0.16844,1065,10617,0.16133,0.17556
2017,Urban regions,East,Yes,0.79377,1196,1403,0.77259,0.81495
2017,Urban regions,East,No,0.20215,207,1403,0.18112,0.22317
2017,Rural regions,West,Yes,0.79180,3402,3843,0.77896,0.80464
2017,Rural regions,West,No,0.20052,441,3843,0.18786,0.21318
2017,Rural regions,East,Yes,0.72568,1906,2390,0.70779,0.74358
2017,Rural regions,East,No,0.27226,484,2390,0.25441,0.29011
2018,Urban regions,West,Yes,0.84158,9580,10509,0.83460,0.84856
2018,Urban regions,West,No,0.15695,929,10509,0.14999,0.16390
2018,Urban regions,East,Yes,0.82892,1237,1417,0.80931,0.84854
2018,Urban regions,East,No,0.16946,180,1417,0.14991,0.18900
2018,Rural regions,West,Yes,0.79944,3201,3579,0.78632,0.81256
2018,Rural regions,West,No,0.19799,378,3579,0.18493,0.21104
2018,Rural regions,East,Yes,0.74612,1939,2357,0.72855,0.76370
2018,Rural regions,East,No,0.25162,418,2357,0.23410,0.26914
2019,Urban regions,West,Yes,0.86238,9818,10544,0.85580,0.86895
2019,Urban regions,West,No,0.13621,726,10544,0.12966,0.14275
2019,Urban regions,East,Yes,0.84902,1285,1424,0.83042,0.86762
2019,Urban regions,East,No,0.15014,139,1424,0.13158,0.16870
2019,Rural regions,West,Yes,0.84045,3287,3567,0.82843,0.85247
2019,Rural regions,West,No,0.15629,280,3567,0.14437,0.16821
2019,Rural regions,East,Yes,0.76506,2070,2415,0.74815,0.78197
2019,Rural regions,East,No,0.23108,345,2415,0.21426,0.24789
2020,Urban regions,West,Yes,0.00970,2006,2129,0.00554,0.01387
2020,Urban regions,West,No,0.00085,123,2129,-0.00039,0.00209
2020,Urban regions,East,Yes,0.01262,215,215,-0.00234,0.02757
2020,Rural regions,West,Yes,0.00847,451,451,0.00000,0.01693
2020,Rural regions,East,Yes,0.00444,152,152,-0.00617,0.01505
2021,Urban regions,West,Yes,0.90032,7233,7585,0.89358,0.90707
2021,Urban regions,West,No,0.09695,352,7585,0.09029,0.10361
2021,Urban regions,East,Yes,0.90389,968,1031,0.88589,0.92189
2021,Urban regions,East,No,0.09611,63,1031,0.07811,0.11411
2021,Rural regions,West,Yes,0.85557,2220,2385,0.84146,0.86968
2021,Rural regions,West,No,0.14311,165,2385,0.12906,0.15717
2021,Rural regions,East,Yes,0.84521,1382,1557,0.82723,0.86318
2021,Rural regions,East,No,0.15075,175,1557,0.13297,0.16853
