year,migback,sampreg,plh0191,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1993,Direct migration background,West,Agree completely,0.07711,186,12904,0.07691,0.07730
1993,Direct migration background,West,Agree,0.20092,476,12904,0.20062,0.20122
1993,Direct migration background,West,Disagree,0.29805,708,12904,0.29771,0.29839
1993,Direct migration background,West,Disagree completely,0.42392,932,12904,0.42356,0.42429
1993,Direct migration background,East,Agree,0.44507,39,12904,0.44348,0.44667
1993,Direct migration background,East,Disagree,0.55493,53,12904,0.55333,0.55652
1993,Indirect migration background,West,Agree,0.16625,61,12904,0.16552,0.16698
1993,Indirect migration background,West,Disagree,0.35152,153,12904,0.35058,0.35245
1993,Indirect migration background,West,Disagree completely,0.48223,212,12904,0.48125,0.48321
1995,No migration background,West,Agree completely,0.05211,280,13127,0.05204,0.05217
1995,No migration background,West,Agree,0.10949,625,13127,0.10940,0.10958
1995,No migration background,West,Disagree,0.33237,2113,13127,0.33223,0.33251
1995,No migration background,West,Disagree completely,0.50603,3402,13127,0.50588,0.50618
1995,No migration background,East,Agree completely,0.08432,223,13127,0.08417,0.08448
1995,No migration background,East,Agree,0.19583,653,13127,0.19561,0.19606
1995,No migration background,East,Disagree,0.38908,1429,13127,0.38880,0.38935
1995,No migration background,East,Disagree completely,0.33077,1204,13127,0.33050,0.33103
1995,Direct migration background,West,Agree completely,0.06785,165,13127,0.06769,0.06802
1995,Direct migration background,West,Agree,0.17119,468,13127,0.17094,0.17144
1995,Direct migration background,West,Disagree,0.30972,856,13127,0.30941,0.31003
1995,Direct migration background,West,Disagree completely,0.45123,1118,13127,0.45090,0.45157
1995,Direct migration background,East,Agree,0.29013,36,13127,0.28895,0.29131
1995,Direct migration background,East,Disagree,0.44118,53,13127,0.43988,0.44247
1995,Direct migration background,East,Disagree completely,0.26869,38,13127,0.26754,0.26985
1995,Indirect migration background,West,Agree,0.10040,45,13127,0.09983,0.10097
1995,Indirect migration background,West,Disagree,0.35341,161,13127,0.35250,0.35432
1995,Indirect migration background,West,Disagree completely,0.54619,258,13127,0.54524,0.54714
1996,No migration background,West,Agree completely,0.03844,226,12893,0.03839,0.03850
1996,No migration background,West,Agree,0.11343,643,12893,0.11333,0.11352
1996,No migration background,West,Disagree,0.37031,2325,12893,0.37016,0.37045
1996,No migration background,West,Disagree completely,0.47782,3150,12893,0.47767,0.47797
1996,No migration background,East,Agree completely,0.06432,195,12893,0.06418,0.06446
1996,No migration background,East,Agree,0.19911,640,12893,0.19889,0.19934
1996,No migration background,East,Disagree,0.43244,1577,12893,0.43216,0.43272
1996,No migration background,East,Disagree completely,0.30413,1103,12893,0.30387,0.30439
1996,Direct migration background,West,Agree completely,0.06487,136,12893,0.06471,0.06504
1996,Direct migration background,West,Agree,0.17621,427,12893,0.17595,0.17646
1996,Direct migration background,West,Disagree,0.35842,891,12893,0.35810,0.35874
1996,Direct migration background,West,Disagree completely,0.40050,977,12893,0.40017,0.40083
1996,Direct migration background,East,Agree,0.42310,38,12893,0.42164,0.42456
1996,Direct migration background,East,Disagree,0.57690,63,12893,0.57544,0.57836
1996,Indirect migration background,West,Agree,0.09621,49,12893,0.09569,0.09674
1996,Indirect migration background,West,Disagree,0.41761,197,12893,0.41673,0.41849
1996,Indirect migration background,West,Disagree completely,0.48618,256,12893,0.48529,0.48707
1997,No migration background,West,Agree completely,0.05550,282,12659,0.05543,0.05557
1997,No migration background,West,Agree,0.12158,692,12659,0.12148,0.12168
1997,No migration background,West,Disagree,0.34107,2152,12659,0.34093,0.34122
1997,No migration background,West,Disagree completely,0.48184,3128,12659,0.48170,0.48199
1997,No migration background,East,Agree completely,0.06525,197,12659,0.06511,0.06539
1997,No migration background,East,Agree,0.17888,595,12659,0.17867,0.17910
1997,No migration background,East,Disagree,0.42106,1505,12659,0.42078,0.42134
1997,No migration background,East,Disagree completely,0.33481,1175,12659,0.33455,0.33508
1997,Direct migration background,West,Agree completely,0.06365,121,12659,0.06348,0.06381
1997,Direct migration background,West,Agree,0.19567,455,12659,0.19540,0.19593
1997,Direct migration background,West,Disagree,0.36255,887,12659,0.36223,0.36287
1997,Direct migration background,West,Disagree completely,0.37813,858,12659,0.37781,0.37846
1997,Direct migration background,East,Disagree,0.65648,55,12659,0.65504,0.65792
1997,Direct migration background,East,Disagree completely,0.34352,35,12659,0.34208,0.34496
1997,Indirect migration background,West,Agree,0.11403,75,12659,0.11350,0.11456
1997,Indirect migration background,West,Disagree,0.39084,201,12659,0.39003,0.39166
1997,Indirect migration background,West,Disagree completely,0.49513,246,12659,0.49429,0.49596
2008,No migration background,West,Agree completely,0.04371,477,19038,0.04365,0.04377
2008,No migration background,West,Agree,0.12789,1389,19038,0.12779,0.12799
2008,No migration background,West,Disagree,0.36520,4225,19038,0.36506,0.36534
2008,No migration background,West,Disagree completely,0.46320,5821,19038,0.46306,0.46335
2008,No migration background,East,Agree completely,0.05383,222,19038,0.05370,0.05395
2008,No migration background,East,Agree,0.17785,765,19038,0.17764,0.17806
2008,No migration background,East,Disagree,0.42299,2003,19038,0.42271,0.42327
2008,No migration background,East,Disagree completely,0.34533,1638,19038,0.34507,0.34560
2008,Direct migration background,West,Agree completely,0.05691,110,19038,0.05675,0.05707
2008,Direct migration background,West,Agree,0.20402,353,19038,0.20374,0.20429
2008,Direct migration background,West,Disagree,0.37774,652,19038,0.37742,0.37807
2008,Direct migration background,West,Disagree completely,0.36133,692,19038,0.36100,0.36165
2008,Indirect migration background,West,Agree,0.15520,85,19038,0.15478,0.15562
2008,Indirect migration background,West,Disagree,0.36694,246,19038,0.36638,0.36750
2008,Indirect migration background,West,Disagree completely,0.47787,360,19038,0.47728,0.47845
2013,No migration background,West,Agree completely,0.04515,498,18629,0.04509,0.04522
2013,No migration background,West,Agree,0.08616,966,18629,0.08607,0.08625
2013,No migration background,West,Disagree,0.31841,3697,18629,0.31827,0.31856
2013,No migration background,West,Disagree completely,0.55028,6863,18629,0.55012,0.55044
2013,No migration background,East,Agree completely,0.05274,192,18629,0.05261,0.05288
2013,No migration background,East,Agree,0.13246,519,18629,0.13225,0.13266
2013,No migration background,East,Disagree,0.37754,1628,18629,0.37725,0.37784
2013,No migration background,East,Disagree completely,0.43726,1973,18629,0.43696,0.43756
2013,Direct migration background,West,Agree completely,0.07456,98,18629,0.07432,0.07480
2013,Direct migration background,West,Agree,0.14304,221,18629,0.14272,0.14336
2013,Direct migration background,West,Disagree,0.31331,510,18629,0.31289,0.31373
2013,Direct migration background,West,Disagree completely,0.46909,788,18629,0.46864,0.46954
2013,Direct migration background,East,Disagree,1.00000,37,18629,1.00000,1.00000
2013,Indirect migration background,West,Agree,0.06574,38,18629,0.06534,0.06615
2013,Indirect migration background,West,Disagree,0.30445,207,18629,0.30370,0.30520
2013,Indirect migration background,West,Disagree completely,0.62981,394,18629,0.62902,0.63060
2018,No migration background,West,Agree completely,0.04333,605,25363,0.04327,0.04339
2018,No migration background,West,Agree,0.10098,1323,25363,0.10089,0.10107
2018,No migration background,West,Disagree,0.35063,4947,25363,0.35049,0.35078
2018,No migration background,West,Disagree completely,0.50505,7490,25363,0.50490,0.50520
2018,No migration background,East,Agree completely,0.04702,216,25363,0.04689,0.04714
2018,No migration background,East,Agree,0.12950,595,25363,0.12930,0.12969
2018,No migration background,East,Disagree,0.40031,1923,25363,0.40002,0.40060
2018,No migration background,East,Disagree completely,0.42317,2255,25363,0.42288,0.42347
2018,Direct migration background,West,Agree completely,0.05443,222,25363,0.05428,0.05457
2018,Direct migration background,West,Agree,0.16969,607,25363,0.16945,0.16993
2018,Direct migration background,West,Disagree,0.33039,1414,25363,0.33009,0.33069
2018,Direct migration background,West,Disagree completely,0.44549,1842,25363,0.44518,0.44581
2018,Direct migration background,East,Agree,0.08746,44,25363,0.08666,0.08827
2018,Direct migration background,East,Disagree,0.43065,144,25363,0.42924,0.43205
2018,Direct migration background,East,Disagree completely,0.48189,148,25363,0.48047,0.48331
2018,Indirect migration background,West,Agree completely,0.03977,48,25363,0.03957,0.03997
2018,Indirect migration background,West,Agree,0.09736,166,25363,0.09706,0.09766
2018,Indirect migration background,West,Disagree,0.33471,489,25363,0.33423,0.33519
2018,Indirect migration background,West,Disagree completely,0.52816,794,25363,0.52765,0.52867
2018,Indirect migration background,East,Disagree,0.40181,39,25363,0.39949,0.40413
2018,Indirect migration background,East,Disagree completely,0.59819,52,25363,0.59587,0.60051
