"plh0036","year","migback","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","1986","direkter Migrationshintergrund","Staedtischer Raum","789","0.341333135448258","0.322445707118589","0.360220563777927"
"Grosse Sorgen","1986","direkter Migrationshintergrund","Laendlicher Raum","113","","",""
"Grosse Sorgen","1986","indirekter Migrationshintergrund","Staedtischer Raum","66","0.495441296823005","0.410469613222823","0.580412980423186"
"Grosse Sorgen","1986","indirekter Migrationshintergrund","Laendlicher Raum","6","0.572690802259477","0.355888286321731","0.789493318197223"
"Grosse Sorgen","1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Grosse Sorgen","1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Einige Sorgen","1986","kein Migrationshintergrund","Staedtischer Raum","2569","","",""
"Einige Sorgen","1986","kein Migrationshintergrund","Laendlicher Raum","901","0.477845438208613","0.45512663761989","0.500564238797335"
"Einige Sorgen","1986","direkter Migrationshintergrund","Staedtischer Raum","1210","","",""
"Einige Sorgen","1986","direkter Migrationshintergrund","Laendlicher Raum","163","","",""
"Einige Sorgen","1986","indirekter Migrationshintergrund","Staedtischer Raum","49","0.453071211001758","0.368471107140801","0.537671314862714"
"Einige Sorgen","1986","indirekter Migrationshintergrund","Laendlicher Raum","10","","",""
"Einige Sorgen","1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Einige Sorgen","1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Keine Sorgen","1986","kein Migrationshintergrund","Staedtischer Raum","463","0.0906144272110807","0.0831346386015619","0.0980942158205995"
"Keine Sorgen","1986","kein Migrationshintergrund","Laendlicher Raum","189","","",""
"Keine Sorgen","1986","direkter Migrationshintergrund","Staedtischer Raum","422","0.157346955351685","0.142842405155742","0.171851505547628"
"Keine Sorgen","1986","direkter Migrationshintergrund","Laendlicher Raum","81","0.155059914658601","0.117512787765524","0.192607041551679"
"Keine Sorgen","1986","indirekter Migrationshintergrund","Staedtischer Raum","18","","",""
"Keine Sorgen","1986","indirekter Migrationshintergrund","Laendlicher Raum","4","0.219043672920791","0.0377795626606164","0.400307783180966"
"Keine Sorgen","1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Keine Sorgen","1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Grosse Sorgen","1987","kein Migrationshintergrund","Staedtischer Raum","3434","0.607714656536221","0.594895647137768","0.620533665934673"
"Grosse Sorgen","1987","kein Migrationshintergrund","Laendlicher Raum","1059","","",""
"Grosse Sorgen","1987","direkter Migrationshintergrund","Staedtischer Raum","964","0.449982494406914","0.43011625080617","0.469848738007659"
"Grosse Sorgen","1987","direkter Migrationshintergrund","Laendlicher Raum","131","","",""
"Grosse Sorgen","1987","indirekter Migrationshintergrund","Staedtischer Raum","89","0.696222438639139","0.623112208533441","0.769332668744837"
"Grosse Sorgen","1987","indirekter Migrationshintergrund","Laendlicher Raum","9","0.642515985612123","0.442250073781012","0.842781897443234"
"Grosse Sorgen","1987","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Grosse Sorgen","1987","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Einige Sorgen","1987","kein Migrationshintergrund","Staedtischer Raum","1925","","",""
"Einige Sorgen","1987","kein Migrationshintergrund","Laendlicher Raum","666","0.376206261910358","0.353901247416574","0.398511276404142"
"Einige Sorgen","1987","direkter Migrationshintergrund","Staedtischer Raum","1097","","",""
"Einige Sorgen","1987","direkter Migrationshintergrund","Laendlicher Raum","154","","",""
"Einige Sorgen","1987","indirekter Migrationshintergrund","Staedtischer Raum","51","0.270003552783564","0.199425217639885","0.340581887927244"
"Einige Sorgen","1987","indirekter Migrationshintergrund","Laendlicher Raum","8","0.293108779119583","0.102901357758238","0.483316200480928"
"Einige Sorgen","1987","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Einige Sorgen","1987","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Keine Sorgen","1987","kein Migrationshintergrund","Staedtischer Raum","214","","",""
"Keine Sorgen","1987","kein Migrationshintergrund","Laendlicher Raum","87","0.0561685694280308","0.0455671774223524","0.0667699614337093"
"Keine Sorgen","1987","direkter Migrationshintergrund","Staedtischer Raum","348","0.114062209031489","0.101368100885147","0.126756317177832"
"Keine Sorgen","1987","direkter Migrationshintergrund","Laendlicher Raum","78","0.120592415120086","0.0870920239220561","0.154092806318116"
"Keine Sorgen","1987","indirekter Migrationshintergrund","Staedtischer Raum","12","","",""
"Keine Sorgen","1987","indirekter Migrationshintergrund","Laendlicher Raum","5","0.0643752352682938","-0.0381774459688719","0.166927916505459"
"Keine Sorgen","1987","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Keine Sorgen","1987","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Grosse Sorgen","1988","kein Migrationshintergrund","Staedtischer Raum","3170","0.590312263514941","0.577087544825492","0.603536982204391"
"Grosse Sorgen","1988","kein Migrationshintergrund","Laendlicher Raum","918","0.520674529634266","0.496905820826482","0.544443238442049"
"Grosse Sorgen","1988","direkter Migrationshintergrund","Staedtischer Raum","869","0.450456119008616","0.430109370034805","0.470802867982427"
"Grosse Sorgen","1988","direkter Migrationshintergrund","Laendlicher Raum","163","","",""
"Grosse Sorgen","1988","indirekter Migrationshintergrund","Staedtischer Raum","102","","",""
"Grosse Sorgen","1988","indirekter Migrationshintergrund","Laendlicher Raum","15","","",""
"Grosse Sorgen","1988","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Grosse Sorgen","1988","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Einige Sorgen","1988","kein Migrationshintergrund","Staedtischer Raum","1920","","",""
"Einige Sorgen","1988","kein Migrationshintergrund","Laendlicher Raum","697","0.426202803877971","0.402674288098612","0.449731319657329"
"Einige Sorgen","1988","direkter Migrationshintergrund","Staedtischer Raum","1127","","",""
"Einige Sorgen","1988","direkter Migrationshintergrund","Laendlicher Raum","129","","",""
"Einige Sorgen","1988","indirekter Migrationshintergrund","Staedtischer Raum","61","0.270277493249086","0.207130147259685","0.333424839238488"
"Einige Sorgen","1988","indirekter Migrationshintergrund","Laendlicher Raum","12","","",""
"Einige Sorgen","1988","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Einige Sorgen","1988","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Keine Sorgen","1988","kein Migrationshintergrund","Staedtischer Raum","222","","",""
"Keine Sorgen","1988","kein Migrationshintergrund","Laendlicher Raum","82","0.0531226664877637","0.0424519406134371","0.0637933923620902"
"Keine Sorgen","1988","direkter Migrationshintergrund","Staedtischer Raum","301","0.0945279341789647","0.0825636917293689","0.106492176628561"
"Keine Sorgen","1988","direkter Migrationshintergrund","Laendlicher Raum","46","0.094408578463565","0.0632367972040679","0.125580359723062"
"Keine Sorgen","1988","indirekter Migrationshintergrund","Staedtischer Raum","27","","",""
"Keine Sorgen","1988","indirekter Migrationshintergrund","Laendlicher Raum","4","0.0293531471851954","-0.0300658346305078","0.0887721290008985"
"Keine Sorgen","1988","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Keine Sorgen","1988","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Grosse Sorgen","1989","kein Migrationshintergrund","Staedtischer Raum","3365","0.649371969111444","0.636346186032185","0.662397752190703"
"Grosse Sorgen","1989","kein Migrationshintergrund","Laendlicher Raum","1011","","",""
"Grosse Sorgen","1989","direkter Migrationshintergrund","Staedtischer Raum","967","0.503524144068725","0.482772386935013","0.524275901202437"
"Grosse Sorgen","1989","direkter Migrationshintergrund","Laendlicher Raum","151","","",""
"Grosse Sorgen","1989","indirekter Migrationshintergrund","Staedtischer Raum","122","","",""
"Grosse Sorgen","1989","indirekter Migrationshintergrund","Laendlicher Raum","20","","",""
"Grosse Sorgen","1989","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Grosse Sorgen","1989","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Einige Sorgen","1989","kein Migrationshintergrund","Staedtischer Raum","1629","","",""
"Einige Sorgen","1989","kein Migrationshintergrund","Laendlicher Raum","527","0.339138141269874","0.316006112140348","0.362270170399399"
"Einige Sorgen","1989","direkter Migrationshintergrund","Staedtischer Raum","954","0.390767219466887","0.370516225077316","0.411018213856458"
"Einige Sorgen","1989","direkter Migrationshintergrund","Laendlicher Raum","117","","",""
"Einige Sorgen","1989","indirekter Migrationshintergrund","Staedtischer Raum","84","0.351491492866311","0.28896856176174","0.414014423970882"
"Einige Sorgen","1989","indirekter Migrationshintergrund","Laendlicher Raum","6","0.0599417525325497","-0.0223043263701984","0.142187831435298"
"Einige Sorgen","1989","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Einige Sorgen","1989","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Keine Sorgen","1989","kein Migrationshintergrund","Staedtischer Raum","161","","",""
"Keine Sorgen","1989","kein Migrationshintergrund","Laendlicher Raum","71","0.0486497369632478","0.0381378534772093","0.0591616204492862"
"Keine Sorgen","1989","direkter Migrationshintergrund","Staedtischer Raum","309","0.105708636464388","0.0929474688433656","0.11846980408541"
"Keine Sorgen","1989","direkter Migrationshintergrund","Laendlicher Raum","49","0.114785267186668","0.0796950665559812","0.149875467817355"
"Keine Sorgen","1989","indirekter Migrationshintergrund","Staedtischer Raum","18","","",""
"Keine Sorgen","1989","indirekter Migrationshintergrund","Laendlicher Raum","6","0.207784812103357","0.0672119187231756","0.348357705483537"
"Keine Sorgen","1989","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Keine Sorgen","1989","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Grosse Sorgen","1990","kein Migrationshintergrund","Staedtischer Raum","4126","0.639674155261752","0.627910207644208","0.651438102879296"
"Grosse Sorgen","1990","kein Migrationshintergrund","Laendlicher Raum","2552","","",""
"Grosse Sorgen","1990","direkter Migrationshintergrund","Staedtischer Raum","1067","","",""
"Grosse Sorgen","1990","direkter Migrationshintergrund","Laendlicher Raum","230","","",""
"Grosse Sorgen","1990","indirekter Migrationshintergrund","Staedtischer Raum","139","","",""
"Grosse Sorgen","1990","indirekter Migrationshintergrund","Laendlicher Raum","19","","",""
"Grosse Sorgen","1990","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Grosse Sorgen","1990","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Einige Sorgen","1990","kein Migrationshintergrund","Staedtischer Raum","2040","","",""
"Einige Sorgen","1990","kein Migrationshintergrund","Laendlicher Raum","1675","","",""
"Einige Sorgen","1990","direkter Migrationshintergrund","Staedtischer Raum","925","0.376637872051113","0.356513599851238","0.396762144250988"
"Einige Sorgen","1990","direkter Migrationshintergrund","Laendlicher Raum","150","","",""
"Einige Sorgen","1990","indirekter Migrationshintergrund","Staedtischer Raum","85","0.312080123906186","0.254873040803163","0.369287207009209"
"Einige Sorgen","1990","indirekter Migrationshintergrund","Laendlicher Raum","14","","",""
"Einige Sorgen","1990","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Einige Sorgen","1990","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Keine Sorgen","1990","kein Migrationshintergrund","Staedtischer Raum","232","","",""
"Keine Sorgen","1990","kein Migrationshintergrund","Laendlicher Raum","142","","",""
"Keine Sorgen","1990","direkter Migrationshintergrund","Staedtischer Raum","235","","",""
"Keine Sorgen","1990","direkter Migrationshintergrund","Laendlicher Raum","34","0.0785178846920192","0.0526073919996447","0.104428377384394"
"Keine Sorgen","1990","indirekter Migrationshintergrund","Staedtischer Raum","28","","",""
"Keine Sorgen","1990","indirekter Migrationshintergrund","Laendlicher Raum","6","0.0873582717979616","-0.00125891630070671","0.17597545989663"
"Keine Sorgen","1990","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Keine Sorgen","1990","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Grosse Sorgen","1991","kein Migrationshintergrund","Staedtischer Raum","3388","0.544445123210385","0.53205060596207","0.556839640458699"
"Grosse Sorgen","1991","kein Migrationshintergrund","Laendlicher Raum","1967","","",""
"Grosse Sorgen","1991","direkter Migrationshintergrund","Staedtischer Raum","807","0.426652787810383","0.405952569693145","0.447353005927622"
"Grosse Sorgen","1991","direkter Migrationshintergrund","Laendlicher Raum","172","","",""
"Grosse Sorgen","1991","indirekter Migrationshintergrund","Staedtischer Raum","151","","",""
"Grosse Sorgen","1991","indirekter Migrationshintergrund","Laendlicher Raum","19","","",""
"Grosse Sorgen","1991","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Grosse Sorgen","1991","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Einige Sorgen","1991","kein Migrationshintergrund","Staedtischer Raum","2555","","",""
"Einige Sorgen","1991","kein Migrationshintergrund","Laendlicher Raum","2117","","",""
"Einige Sorgen","1991","direkter Migrationshintergrund","Staedtischer Raum","1110","","",""
"Einige Sorgen","1991","direkter Migrationshintergrund","Laendlicher Raum","191","","",""
"Einige Sorgen","1991","indirekter Migrationshintergrund","Staedtischer Raum","121","","",""
"Einige Sorgen","1991","indirekter Migrationshintergrund","Laendlicher Raum","19","","",""
"Einige Sorgen","1991","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Einige Sorgen","1991","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Keine Sorgen","1991","kein Migrationshintergrund","Staedtischer Raum","259","","",""
"Keine Sorgen","1991","kein Migrationshintergrund","Laendlicher Raum","179","","",""
"Keine Sorgen","1991","direkter Migrationshintergrund","Staedtischer Raum","276","","",""
"Keine Sorgen","1991","direkter Migrationshintergrund","Laendlicher Raum","46","0.0870435064547958","0.0597235711300953","0.114363441779496"
"Keine Sorgen","1991","indirekter Migrationshintergrund","Staedtischer Raum","28","","",""
"Keine Sorgen","1991","indirekter Migrationshintergrund","Laendlicher Raum","9","0.115369641336783","0.0240370346218455","0.20670224805172"
"Keine Sorgen","1991","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Keine Sorgen","1991","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Grosse Sorgen","1992","kein Migrationshintergrund","Staedtischer Raum","3804","0.615634148699017","0.603446887224616","0.627821410173418"
"Grosse Sorgen","1992","kein Migrationshintergrund","Laendlicher Raum","2218","","",""
"Grosse Sorgen","1992","direkter Migrationshintergrund","Staedtischer Raum","904","0.510210928110013","0.488916445833774","0.531505410386251"
"Grosse Sorgen","1992","direkter Migrationshintergrund","Laendlicher Raum","209","","",""
"Grosse Sorgen","1992","indirekter Migrationshintergrund","Staedtischer Raum","195","","",""
"Grosse Sorgen","1992","indirekter Migrationshintergrund","Laendlicher Raum","25","","",""
"Grosse Sorgen","1992","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Grosse Sorgen","1992","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Einige Sorgen","1992","kein Migrationshintergrund","Staedtischer Raum","2128","","",""
"Einige Sorgen","1992","kein Migrationshintergrund","Laendlicher Raum","1705","","",""
"Einige Sorgen","1992","direkter Migrationshintergrund","Staedtischer Raum","986","0.402884717903221","0.38199141251236","0.423778023294083"
"Einige Sorgen","1992","direkter Migrationshintergrund","Laendlicher Raum","164","","",""
"Einige Sorgen","1992","indirekter Migrationshintergrund","Staedtischer Raum","124","","",""
"Einige Sorgen","1992","indirekter Migrationshintergrund","Laendlicher Raum","25","","",""
"Einige Sorgen","1992","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Einige Sorgen","1992","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Keine Sorgen","1992","kein Migrationshintergrund","Staedtischer Raum","188","","",""
"Keine Sorgen","1992","kein Migrationshintergrund","Laendlicher Raum","129","","",""
"Keine Sorgen","1992","direkter Migrationshintergrund","Staedtischer Raum","227","","",""
"Keine Sorgen","1992","direkter Migrationshintergrund","Laendlicher Raum","33","0.0481445642599878","0.0273215209882298","0.0689676075317458"
"Keine Sorgen","1992","indirekter Migrationshintergrund","Staedtischer Raum","24","","",""
"Keine Sorgen","1992","indirekter Migrationshintergrund","Laendlicher Raum","9","0.0885315510465535","0.0160475861052722","0.161015515987835"
"Keine Sorgen","1992","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Keine Sorgen","1992","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Grosse Sorgen","1993","kein Migrationshintergrund","Staedtischer Raum","3294","0.532680449434094","0.520143443187477","0.545217455680711"
"Grosse Sorgen","1993","kein Migrationshintergrund","Laendlicher Raum","1896","","",""
"Grosse Sorgen","1993","direkter Migrationshintergrund","Staedtischer Raum","849","0.465849481156264","0.444192364466737","0.487506597845791"
"Grosse Sorgen","1993","direkter Migrationshintergrund","Laendlicher Raum","175","","",""
"Grosse Sorgen","1993","indirekter Migrationshintergrund","Staedtischer Raum","198","","",""
"Grosse Sorgen","1993","indirekter Migrationshintergrund","Laendlicher Raum","36","0.52286729245643","0.409827125190084","0.635907459722777"
"Grosse Sorgen","1993","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Grosse Sorgen","1993","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Einige Sorgen","1993","kein Migrationshintergrund","Staedtischer Raum","2584","","",""
"Einige Sorgen","1993","kein Migrationshintergrund","Laendlicher Raum","1990","","",""
"Einige Sorgen","1993","direkter Migrationshintergrund","Staedtischer Raum","984","0.456063694887645","0.434439857074733","0.477687532700557"
"Einige Sorgen","1993","direkter Migrationshintergrund","Laendlicher Raum","189","","",""
"Einige Sorgen","1993","indirekter Migrationshintergrund","Staedtischer Raum","171","","",""
"Einige Sorgen","1993","indirekter Migrationshintergrund","Laendlicher Raum","31","0.409161522269605","0.297886103479011","0.520436941060198"
"Einige Sorgen","1993","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Einige Sorgen","1993","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Keine Sorgen","1993","kein Migrationshintergrund","Staedtischer Raum","206","","",""
"Keine Sorgen","1993","kein Migrationshintergrund","Laendlicher Raum","128","","",""
"Keine Sorgen","1993","direkter Migrationshintergrund","Staedtischer Raum","205","","",""
"Keine Sorgen","1993","direkter Migrationshintergrund","Laendlicher Raum","42","0.0586887051134344","0.0358259285036629","0.0815514817232059"
"Keine Sorgen","1993","indirekter Migrationshintergrund","Staedtischer Raum","19","","",""
"Keine Sorgen","1993","indirekter Migrationshintergrund","Laendlicher Raum","8","0.0679711852739651","0.0110079627098516","0.124934407838079"
"Keine Sorgen","1993","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Keine Sorgen","1993","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Grosse Sorgen","1994","kein Migrationshintergrund","Staedtischer Raum","2536","","",""
"Grosse Sorgen","1994","kein Migrationshintergrund","Laendlicher Raum","1380","","",""
"Grosse Sorgen","1994","direkter Migrationshintergrund","Staedtischer Raum","636","0.374903478138017","0.353411546649714","0.39639540962632"
"Grosse Sorgen","1994","direkter Migrationshintergrund","Laendlicher Raum","124","","",""
"Grosse Sorgen","1994","indirekter Migrationshintergrund","Staedtischer Raum","185","","",""
"Grosse Sorgen","1994","indirekter Migrationshintergrund","Laendlicher Raum","25","","",""
"Grosse Sorgen","1994","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Grosse Sorgen","1994","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Einige Sorgen","1994","kein Migrationshintergrund","Staedtischer Raum","3185","0.528314616486113","0.515712775606267","0.54091645736596"
"Einige Sorgen","1994","kein Migrationshintergrund","Laendlicher Raum","2342","","",""
"Einige Sorgen","1994","direkter Migrationshintergrund","Staedtischer Raum","1076","","",""
"Einige Sorgen","1994","direkter Migrationshintergrund","Laendlicher Raum","216","","",""
"Einige Sorgen","1994","indirekter Migrationshintergrund","Staedtischer Raum","204","","",""
"Einige Sorgen","1994","indirekter Migrationshintergrund","Laendlicher Raum","36","0.554398103094058","0.439591669476588","0.669204536711528"
"Einige Sorgen","1994","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Einige Sorgen","1994","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Keine Sorgen","1994","kein Migrationshintergrund","Staedtischer Raum","307","0.0550271803325143","0.0492706637839416","0.060783696881087"
"Keine Sorgen","1994","kein Migrationshintergrund","Laendlicher Raum","215","","",""
"Keine Sorgen","1994","direkter Migrationshintergrund","Staedtischer Raum","237","","",""
"Keine Sorgen","1994","direkter Migrationshintergrund","Laendlicher Raum","44","0.084665125713089","0.056821565706482","0.112508685719696"
"Keine Sorgen","1994","indirekter Migrationshintergrund","Staedtischer Raum","27","","",""
"Keine Sorgen","1994","indirekter Migrationshintergrund","Laendlicher Raum","11","","",""
"Keine Sorgen","1994","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Keine Sorgen","1994","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Grosse Sorgen","1995","kein Migrationshintergrund","Staedtischer Raum","2779","","",""
"Grosse Sorgen","1995","kein Migrationshintergrund","Laendlicher Raum","1608","","",""
"Grosse Sorgen","1995","direkter Migrationshintergrund","Staedtischer Raum","839","0.406689678177721","0.38653118920836","0.426848167147081"
"Grosse Sorgen","1995","direkter Migrationshintergrund","Laendlicher Raum","161","","",""
"Grosse Sorgen","1995","indirekter Migrationshintergrund","Staedtischer Raum","192","","",""
"Grosse Sorgen","1995","indirekter Migrationshintergrund","Laendlicher Raum","31","0.521546749994242","0.409971182441901","0.633122317546582"
"Grosse Sorgen","1995","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Grosse Sorgen","1995","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Einige Sorgen","1995","kein Migrationshintergrund","Staedtischer Raum","2881","","",""
"Einige Sorgen","1995","kein Migrationshintergrund","Laendlicher Raum","2196","","",""
"Einige Sorgen","1995","direkter Migrationshintergrund","Staedtischer Raum","1206","","",""
"Einige Sorgen","1995","direkter Migrationshintergrund","Laendlicher Raum","263","","",""
"Einige Sorgen","1995","indirekter Migrationshintergrund","Staedtischer Raum","207","","",""
"Einige Sorgen","1995","indirekter Migrationshintergrund","Laendlicher Raum","37","0.412760112910451","0.302793876152853","0.52272634966805"
"Einige Sorgen","1995","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Einige Sorgen","1995","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Keine Sorgen","1995","kein Migrationshintergrund","Staedtischer Raum","269","","",""
"Keine Sorgen","1995","kein Migrationshintergrund","Laendlicher Raum","190","","",""
"Keine Sorgen","1995","direkter Migrationshintergrund","Staedtischer Raum","236","","",""
"Keine Sorgen","1995","direkter Migrationshintergrund","Laendlicher Raum","41","0.0541837308088021","0.0336078015966889","0.0747596600209153"
"Keine Sorgen","1995","indirekter Migrationshintergrund","Staedtischer Raum","27","","",""
"Keine Sorgen","1995","indirekter Migrationshintergrund","Laendlicher Raum","9","0.0656931370953069","0.010357170730626","0.121029103459988"
"Keine Sorgen","1995","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Keine Sorgen","1995","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Grosse Sorgen","1996","kein Migrationshintergrund","Staedtischer Raum","2340","","",""
"Grosse Sorgen","1996","kein Migrationshintergrund","Laendlicher Raum","1375","","",""
"Grosse Sorgen","1996","direkter Migrationshintergrund","Staedtischer Raum","622","0.319524600502684","0.299675605360801","0.339373595644567"
"Grosse Sorgen","1996","direkter Migrationshintergrund","Laendlicher Raum","133","","",""
"Grosse Sorgen","1996","indirekter Migrationshintergrund","Staedtischer Raum","179","","",""
"Grosse Sorgen","1996","indirekter Migrationshintergrund","Laendlicher Raum","30","0.369150437633826","0.268892749805805","0.469408125461847"
"Grosse Sorgen","1996","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Grosse Sorgen","1996","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Einige Sorgen","1996","kein Migrationshintergrund","Staedtischer Raum","3217","0.543848438650475","0.531137160187766","0.556559717113184"
