,Unnamed: 0,year,bula_h,hhtyp,pet_othrodent,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
72,72,2021,North Rhine-Westphalia,Single parent,No,1.0,158,10405,0.82202,1.20043
73,73,2021,North Rhine-Westphalia,Couple with children,Yes,0.03363,33,10405,0.02146,0.048
74,74,2021,North Rhine-Westphalia,Couple with children,No,0.96637,676,10405,0.88496,1.0565
75,75,2021,North Rhine-Westphalia,Other Combinations,No,1.0,64,10405,0.72897,1.3275
76,76,2021,Hesse,Single-person household,No,1.0,206,10405,0.86502,1.11866
77,77,2021,Hesse,Couple without children,No,1.0,210,10405,0.83751,1.177
78,78,2021,Hesse,Single parent,No,1.0,59,10405,0.70879,1.34396
79,79,2021,Hesse,Couple with children,No,1.0,180,10405,0.8266,1.20458
80,80,2021,"Rhineland-Palatinate, Saarland",Single-person household,No,1.0,149,10405,0.87773,1.14511
81,81,2021,"Rhineland-Palatinate, Saarland",Couple without children,No,1.0,160,10405,0.83698,1.18733
82,82,2021,"Rhineland-Palatinate, Saarland",Single parent,No,1.0,36,10405,0.67453,1.43465
83,83,2021,"Rhineland-Palatinate, Saarland",Couple with children,No,1.0,142,10405,0.81928,1.21848
84,84,2021,Baden-Wuerttemberg,Single-person household,No,1.0,311,10405,0.89259,1.09041
85,85,2021,Baden-Wuerttemberg,Couple without children,No,1.0,358,10405,0.88077,1.11333
86,86,2021,Baden-Wuerttemberg,Single parent,No,1.0,78,10405,0.77859,1.25836
87,87,2021,Baden-Wuerttemberg,Couple with children,No,1.0,397,10405,0.88748,1.1395
88,88,2021,Bavaria,Single-person household,No,1.0,515,10405,0.90259,1.08617
89,89,2021,Bavaria,Couple without children,No,1.0,497,10405,0.86976,1.09096
90,90,2021,Bavaria,Single parent,No,1.0,123,10405,0.77105,1.30072
91,91,2021,Bavaria,Couple with children,No,1.0,507,10405,0.88757,1.11236
92,92,2021,Bavaria,Other Combinations,No,1.0,43,10405,0.70382,1.2515
93,93,2021,Berlin,Single-person household,No,1.0,236,10405,0.84194,1.16105
94,94,2021,Berlin,Couple without children,No,1.0,151,10405,0.80157,1.21396
95,95,2021,Berlin,Single parent,No,1.0,37,10405,0.70046,1.31812
96,96,2021,Berlin,Couple with children,No,1.0,116,10405,0.76652,1.27496
97,97,2021,Brandenburg,Single-person household,No,1.0,119,10405,0.83614,1.1619
98,98,2021,Brandenburg,Couple without children,No,1.0,161,10405,0.84344,1.22663
99,99,2021,Brandenburg,Single parent,No,1.0,40,10405,0.69758,1.3298
100,100,2021,Brandenburg,Couple with children,No,1.0,105,10405,0.75265,1.32233
101,101,2021,Mecklenburg-Western Pomerania,Single-person household,No,1.0,82,10405,0.80155,1.23706
102,102,2021,Mecklenburg-Western Pomerania,Couple without children,No,1.0,86,10405,0.76534,1.28445
103,103,2021,Mecklenburg-Western Pomerania,Couple with children,No,1.0,55,10405,0.67171,1.44353
104,104,2021,Saxony,Single-person household,No,1.0,198,10405,0.87411,1.12569
105,105,2021,Saxony,Couple without children,No,1.0,260,10405,0.86341,1.14714
106,106,2021,Saxony,Single parent,No,1.0,66,10405,0.74988,1.25007
107,107,2021,Saxony,Couple with children,No,1.0,153,10405,0.82553,1.21901
108,108,2021,Saxony-Anhalt,Single-person household,No,1.0,116,10405,0.83334,1.17128
109,109,2021,Saxony-Anhalt,Couple without children,No,1.0,117,10405,0.77805,1.26836
110,110,2021,Saxony-Anhalt,Single parent,No,1.0,37,10405,0.6517,1.4476
111,111,2021,Saxony-Anhalt,Couple with children,No,1.0,68,10405,0.64366,1.39623
112,112,2021,Thuringa,Single-person household,No,1.0,119,10405,0.8323,1.21021
113,113,2021,Thuringa,Couple without children,No,1.0,127,10405,0.76365,1.23594
114,114,2021,Thuringa,Single parent,No,1.0,38,10405,0.71479,1.41404
115,115,2021,Thuringa,Couple with children,No,1.0,81,10405,0.74758,1.38335
