"year","migback","sex","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2017","direkter Migrationshintergrund","maennlich","6.76","6.5","2058","6.71","6.81"
"2017","direkter Migrationshintergrund","weiblich","6.75","6.5","2561","6.7","6.8"
"2017","indirekter Migrationshintergrund","maennlich","6.76","6.5","781","6.68","6.84"
"2017","indirekter Migrationshintergrund","weiblich","6.95","6.5","920","6.87","7.03"
"2017","kein Migrationshintergrund","maennlich","6.88","6.5","9394","6.86","6.9"
"2017","kein Migrationshintergrund","weiblich","6.83","6.5","10770","6.81","6.85"
"2018","direkter Migrationshintergrund","maennlich","","","","",""
"2018","direkter Migrationshintergrund","weiblich","","","","",""
"2018","indirekter Migrationshintergrund","maennlich","","","","",""
"2018","indirekter Migrationshintergrund","weiblich","","","","",""
"2018","kein Migrationshintergrund","maennlich","","","","",""
"2018","kein Migrationshintergrund","weiblich","","","","",""
"2019","direkter Migrationshintergrund","maennlich","6.73","6.5","1738","6.67","6.79"
"2019","direkter Migrationshintergrund","weiblich","6.66","6.5","2109","6.61","6.71"
"2019","indirekter Migrationshintergrund","maennlich","6.77","6.5","874","6.7","6.84"
"2019","indirekter Migrationshintergrund","weiblich","6.7","6.5","950","6.62","6.78"
"2019","kein Migrationshintergrund","maennlich","6.86","6.5","9688","6.84","6.88"
"2019","kein Migrationshintergrund","weiblich","6.78","6.5","10407","6.76","6.8"
"2020","direkter Migrationshintergrund","maennlich","6.82","6.5","4364","6.79","6.85"
"2020","direkter Migrationshintergrund","weiblich","6.82","6.5","3777","6.78","6.86"
"2020","indirekter Migrationshintergrund","maennlich","6.94","6.5","781","6.86","7.02"
"2020","indirekter Migrationshintergrund","weiblich","6.85","6.5","889","6.78","6.92"
"2020","kein Migrationshintergrund","maennlich","6.94","6.5","8813","6.92","6.96"
"2020","kein Migrationshintergrund","weiblich","6.89","6.5","9784","6.87","6.91"
