syear,migback,quintil_oecd,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1999,Direct migration background,2. Quintil,,,,,,,,,,,,
1999,Direct migration background,3. Quintil,,,,,,,,,,,,
1999,Direct migration background,4. Quintil,,,,,,,,,,,,
1999,Direct migration background,5. Quintil,,,,,,,,,,,,
1999,Indirect migration background,2. Quintil,,,,,,,,,,,,
1999,Indirect migration background,3. Quintil,,,,,,,,,,,,
1999,Indirect migration background,4. Quintil,,,,,,,,,,,,
1999,Indirect migration background,5. Quintil,,,,,,,,,,,,
2000,No migration background,2. Quintil,,,,,,,,,,,,
2000,No migration background,3. Quintil,,,,,,,,,,,,
2000,No migration background,4. Quintil,,,,,,,,,,,,
2000,No migration background,5. Quintil,,,,,,,,,,,,
2000,Direct migration background,2. Quintil,,,,,,,,,,,,
2000,Direct migration background,3. Quintil,,,,,,,,,,,,
2000,Direct migration background,4. Quintil,,,,,,,,,,,,
2000,Direct migration background,5. Quintil,,,,,,,,,,,,
2000,Indirect migration background,2. Quintil,,,,,,,,,,,,
2000,Indirect migration background,3. Quintil,,,,,,,,,,,,
2000,Indirect migration background,4. Quintil,,,,,,,,,,,,
2000,Indirect migration background,5. Quintil,,,,,,,,,,,,
2001,No migration background,2. Quintil,,,,,,,,,,,,
2001,No migration background,3. Quintil,,,,,,,,,,,,
2001,No migration background,4. Quintil,,,,,,,,,,,,
2001,No migration background,5. Quintil,,,,,,,,,,,,
2001,Direct migration background,2. Quintil,,,,,,,,,,,,
2001,Direct migration background,3. Quintil,,,,,,,,,,,,
2001,Direct migration background,4. Quintil,,,,,,,,,,,,
2001,Direct migration background,5. Quintil,,,,,,,,,,,,
2001,Indirect migration background,2. Quintil,,,,,,,,,,,,
2001,Indirect migration background,3. Quintil,,,,,,,,,,,,
2001,Indirect migration background,4. Quintil,,,,,,,,,,,,
2001,Indirect migration background,5. Quintil,,,,,,,,,,,,
2002,No migration background,2. Quintil,,,,,,,,,,,,
2002,No migration background,3. Quintil,,,,,,,,,,,,
2002,No migration background,4. Quintil,,,,,,,,,,,,
2002,No migration background,5. Quintil,,,,,,,,,,,,
2002,Direct migration background,2. Quintil,,,,,,,,,,,,
2002,Direct migration background,3. Quintil,,,,,,,,,,,,
2002,Direct migration background,4. Quintil,,,,,,,,,,,,
2002,Direct migration background,5. Quintil,,,,,,,,,,,,
2002,Indirect migration background,2. Quintil,,,,,,,,,,,,
2002,Indirect migration background,3. Quintil,,,,,,,,,,,,
2002,Indirect migration background,4. Quintil,,,,,,,,,,,,
2002,Indirect migration background,5. Quintil,,,,,,,,,,,,
2003,No migration background,2. Quintil,,,,,,,,,,,,
2003,No migration background,3. Quintil,,,,,,,,,,,,
2003,No migration background,4. Quintil,,,,,,,,,,,,
2003,No migration background,5. Quintil,,,,,,,,,,,,
2003,Direct migration background,2. Quintil,,,,,,,,,,,,
2003,Direct migration background,3. Quintil,,,,,,,,,,,,
2003,Direct migration background,4. Quintil,,,,,,,,,,,,
2003,Direct migration background,5. Quintil,,,,,,,,,,,,
2003,Indirect migration background,2. Quintil,,,,,,,,,,,,
2003,Indirect migration background,3. Quintil,,,,,,,,,,,,
2003,Indirect migration background,4. Quintil,,,,,,,,,,,,
2003,Indirect migration background,5. Quintil,,,,,,,,,,,,
2004,No migration background,2. Quintil,,,,,,,,,,,,
2004,No migration background,3. Quintil,,,,,,,,,,,,
2004,No migration background,4. Quintil,,,,,,,,,,,,
2004,No migration background,5. Quintil,,,,,,,,,,,,
2004,Direct migration background,2. Quintil,,,,,,,,,,,,
2004,Direct migration background,3. Quintil,,,,,,,,,,,,
2004,Direct migration background,4. Quintil,,,,,,,,,,,,
2004,Direct migration background,5. Quintil,,,,,,,,,,,,
2004,Indirect migration background,2. Quintil,,,,,,,,,,,,
2004,Indirect migration background,3. Quintil,,,,,,,,,,,,
2004,Indirect migration background,4. Quintil,,,,,,,,,,,,
2004,Indirect migration background,5. Quintil,,,,,,,,,,,,
2005,No migration background,2. Quintil,,,,,,,,,,,,
2005,No migration background,3. Quintil,,,,,,,,,,,,
2005,No migration background,4. Quintil,,,,,,,,,,,,
2005,No migration background,5. Quintil,,,,,,,,,,,,
2005,Direct migration background,2. Quintil,,,,,,,,,,,,
2005,Direct migration background,3. Quintil,,,,,,,,,,,,
2005,Direct migration background,4. Quintil,,,,,,,,,,,,
2005,Direct migration background,5. Quintil,,,,,,,,,,,,
2005,Indirect migration background,2. Quintil,,,,,,,,,,,,
2005,Indirect migration background,3. Quintil,,,,,,,,,,,,
2005,Indirect migration background,4. Quintil,,,,,,,,,,,,
2005,Indirect migration background,5. Quintil,,,,,,,,,,,,
2006,No migration background,2. Quintil,,,,,,,,,,,,
2006,No migration background,3. Quintil,,,,,,,,,,,,
2006,No migration background,4. Quintil,,,,,,,,,,,,
2006,No migration background,5. Quintil,,,,,,,,,,,,
2006,Direct migration background,2. Quintil,,,,,,,,,,,,
2006,Direct migration background,3. Quintil,,,,,,,,,,,,
2006,Direct migration background,4. Quintil,,,,,,,,,,,,
2006,Direct migration background,5. Quintil,,,,,,,,,,,,
2006,Indirect migration background,2. Quintil,,,,,,,,,,,,
2006,Indirect migration background,3. Quintil,,,,,,,,,,,,
2006,Indirect migration background,4. Quintil,,,,,,,,,,,,
2006,Indirect migration background,5. Quintil,,,,,,,,,,,,
2007,No migration background,1. Quintil,,,,,,,,,,,,
2007,No migration background,2. Quintil,,,,,,,,,,,,
2007,No migration background,3. Quintil,,,,,,,,,,,,
2007,No migration background,4. Quintil,,,,,,,,,,,,
2007,No migration background,5. Quintil,,,,,,,,,,,,
2007,Direct migration background,2. Quintil,,,,,,,,,,,,
2007,Direct migration background,3. Quintil,,,,,,,,,,,,
2007,Direct migration background,4. Quintil,,,,,,,,,,,,
2007,Direct migration background,5. Quintil,,,,,,,,,,,,
2007,Indirect migration background,1. Quintil,,,,,,,,,,,,
2007,Indirect migration background,2. Quintil,,,,,,,,,,,,
2007,Indirect migration background,3. Quintil,,,,,,,,,,,,
2007,Indirect migration background,4. Quintil,,,,,,,,,,,,
2007,Indirect migration background,5. Quintil,,,,,,,,,,,,
2008,No migration background,2. Quintil,7.094699340086185,7.067492140718358,7.121906539454012,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2374.0
2008,No migration background,3. Quintil,7.081548528022841,7.063632826459145,7.0994642295865376,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,4276.0
2008,No migration background,4. Quintil,7.08779737442078,7.07176554288227,7.10382920595929,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,4758.0
2008,No migration background,5. Quintil,7.007395102187769,6.993074588742508,7.02171561563303,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5179.0
2008,Direct migration background,2. Quintil,6.98539858943941,6.9237612075298,7.04703597134902,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,523.0
2008,Direct migration background,3. Quintil,7.061631107232912,7.019329206415139,7.103933008050684,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,676.0
2008,Direct migration background,4. Quintil,7.044766673134343,6.99378190507753,7.095751441191156,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,429.0
2008,Direct migration background,5. Quintil,6.943680107398795,6.877291641555691,7.0100685732419,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,275.0
2008,Indirect migration background,2. Quintil,7.010696115069567,6.920657219704252,7.100735010434881,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,194.0
2008,Indirect migration background,3. Quintil,7.029363065400863,6.953370564284721,7.105355566517006,6.0,7.0,8.0,4.0,10.0,7.0,7.0,7.0,220.0
2008,Indirect migration background,4. Quintil,7.125856824762383,7.052755145395494,7.198958504129271,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,202.0
2008,Indirect migration background,5. Quintil,7.002902554877912,6.912488609595669,7.093316500160156,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,148.0
2009,No migration background,2. Quintil,7.103790567346657,7.075411684673352,7.132169450019962,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2081.0
2009,No migration background,3. Quintil,6.97579219343181,6.957405822121266,6.994178564742355,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3947.0
2009,No migration background,4. Quintil,7.026875735362248,7.01132520387941,7.042426266845086,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,4548.0
2009,No migration background,5. Quintil,6.9908259574281715,6.977135387723873,7.00451652713247,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5006.0
2009,Direct migration background,2. Quintil,6.9472041452786355,6.8916824330475395,7.0027258575097315,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,495.0
2009,Direct migration background,3. Quintil,6.990355614219878,6.941811306605633,7.038899921834123,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,530.0
2009,Direct migration background,4. Quintil,7.145142270534274,7.082795008813489,7.207489532255059,7.0,7.0,8.0,5.5,9.5,7.0,7.0,7.0,362.0
2009,Direct migration background,5. Quintil,7.112456569231733,7.047018002726543,7.1778951357369225,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,266.0
2009,Indirect migration background,2. Quintil,7.246817491495888,7.160927498455899,7.332707484535876,7.0,7.0,8.0,5.5,9.5,7.0,6.0,7.0,176.0
2009,Indirect migration background,3. Quintil,6.885349612058702,6.808082907352662,6.962616316764742,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,187.0
2009,Indirect migration background,4. Quintil,7.008113347482555,6.934265557541782,7.0819611374233284,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,179.0
2009,Indirect migration background,5. Quintil,7.05208161519827,6.975924161612126,7.128239068784414,6.0,7.0,8.0,5.0,10.0,7.0,7.0,7.0,161.0
2010,No migration background,2. Quintil,6.94418043053572,6.920924815087271,6.9674360459841695,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3138.0
2010,No migration background,3. Quintil,6.974234619359476,6.95719862637644,6.991270612342512,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5376.0
2010,No migration background,4. Quintil,6.9809994980462635,6.96630433980009,6.995694656292437,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5455.0
2010,No migration background,5. Quintil,6.9803503004867204,6.9673719342031335,6.993328666770307,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5889.0
2010,Direct migration background,2. Quintil,6.858865512329718,6.814593803801733,6.903137220857703,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,986.0
2010,Direct migration background,3. Quintil,6.961785753253116,6.924935428706813,6.998636077799419,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1038.0
2010,Direct migration background,4. Quintil,6.889764944585881,6.839464092183767,6.940065796987995,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,531.0
2010,Direct migration background,5. Quintil,7.064160916551231,7.007137879345714,7.121183953756748,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,382.0
2010,Indirect migration background,2. Quintil,7.080205415730648,7.00238518693844,7.158025644522857,6.0,7.0,8.0,3.0,11.0,7.0,6.0,7.0,276.0
2010,Indirect migration background,3. Quintil,7.1811513947436705,7.114311609758332,7.247991179729009,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,348.0
2010,Indirect migration background,4. Quintil,6.777423767339423,6.718051897014758,6.836795637664088,6.0,7.0,8.0,4.0,10.0,7.0,7.0,8.0,267.0
2010,Indirect migration background,5. Quintil,6.732779164870641,6.655074379502194,6.810483950239089,6.0,7.0,7.0,4.5,8.5,7.0,7.0,7.0,209.0
2011,No migration background,2. Quintil,6.925472092216255,6.903033221759223,6.947910962673287,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3637.0
2011,No migration background,3. Quintil,6.91641075308565,6.900942781536946,6.931878724634354,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,6181.0
2011,No migration background,4. Quintil,6.960166702391336,6.946445775465319,6.973887629317353,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,6747.0
2011,No migration background,5. Quintil,6.9634852410925605,6.951836169475694,6.975134312709427,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,7214.0
2011,Direct migration background,2. Quintil,6.822553864715119,6.782931425181849,6.862176304248389,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,988.0
2011,Direct migration background,3. Quintil,6.863558588967659,6.828892050669579,6.898225127265738,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1129.0
2011,Direct migration background,4. Quintil,6.893349068613037,6.848041782330102,6.938656354895971,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,671.0
2011,Direct migration background,5. Quintil,6.981345886913307,6.931465181673611,7.031226592153004,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,503.0
2011,Indirect migration background,2. Quintil,6.899512160541254,6.822903706204538,6.97612061487797,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,298.0
2011,Indirect migration background,3. Quintil,7.1003111974299165,7.044032081890226,7.156590312969607,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,383.0
2011,Indirect migration background,4. Quintil,6.860432433923921,6.794389397888979,6.926475469958863,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,295.0
2011,Indirect migration background,5. Quintil,6.9191185725581725,6.853139615032818,6.985097530083527,6.0,7.0,8.0,4.0,10.0,7.0,7.0,7.0,277.0
2012,No migration background,1. Quintil,,,,,,,,,,,,
2012,No migration background,2. Quintil,6.877248815673799,6.852054118109883,6.902443513237716,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3128.0
2012,No migration background,3. Quintil,6.916424464800336,6.8996466233176665,6.933202306283006,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5742.0
2012,No migration background,4. Quintil,7.00002471955598,6.986130469019864,7.013918970092096,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,6787.0
2012,No migration background,5. Quintil,6.977736030987947,6.9664092651766145,6.989062796799279,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,7562.0
2012,Direct migration background,2. Quintil,6.896622511090422,6.849561274409688,6.943683747771156,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,798.0
2012,Direct migration background,3. Quintil,6.808693697886713,6.771408472385504,6.845978923387921,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1084.0
2012,Direct migration background,4. Quintil,6.933290353966638,6.889851424828893,6.976729283104382,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,700.0
2012,Direct migration background,5. Quintil,7.016515836396335,6.971677303405263,7.0613543693874075,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,539.0
2012,Indirect migration background,2. Quintil,7.1095513824162415,7.028250474972315,7.190852289860168,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,259.0
2012,Indirect migration background,3. Quintil,6.842632556696492,6.783721119069382,6.901543994323601,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,381.0
2012,Indirect migration background,4. Quintil,6.850701970435004,6.7855694595993175,6.915834481270691,6.0,7.0,8.0,4.0,11.0,7.0,7.0,7.0,289.0
2012,Indirect migration background,5. Quintil,6.767439150061186,6.705292329863367,6.829585970259005,6.0,7.0,8.0,3.0,11.0,7.0,7.0,8.0,285.0
2013,No migration background,2. Quintil,6.7939155111367775,6.76686649374333,6.820964528530225,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2614.0
2013,No migration background,3. Quintil,6.877245104969561,6.859643630069908,6.894846579869214,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5107.0
2013,No migration background,4. Quintil,6.960665650952636,6.94644715750198,6.974884144403292,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,6473.0
2013,No migration background,5. Quintil,6.933534773839041,6.922046033987968,6.9450235136901135,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,7485.0
2013,Direct migration background,2. Quintil,6.661461044497431,6.607088685817013,6.715833403177848,6.0,7.0,8.0,3.0,11.0,7.0,7.0,8.0,656.0
2013,Direct migration background,3. Quintil,6.917239406717321,6.877605485560903,6.956873327873739,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,895.0
2013,Direct migration background,4. Quintil,6.772158913434078,6.729531741088333,6.814786085779823,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,735.0
2013,Direct migration background,5. Quintil,6.919442374127926,6.872510452048001,6.966374296207851,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,507.0
2013,Indirect migration background,1. Quintil,,,,,,,,,,,,
2013,Indirect migration background,2. Quintil,7.140490746371886,7.059359582063498,7.221621910680274,6.0,7.0,8.0,3.0,11.0,7.0,6.0,7.0,236.0
2013,Indirect migration background,3. Quintil,6.968575081127769,6.909676636773494,7.027473525482044,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,317.0
2013,Indirect migration background,4. Quintil,6.80744880181788,6.752132057945841,6.862765545689919,6.0,7.0,8.0,4.0,10.0,7.0,7.0,8.0,284.0
2013,Indirect migration background,5. Quintil,6.761046477919715,6.704250105054703,6.817842850784727,6.0,7.0,7.0,4.5,8.5,7.0,7.0,7.0,309.0
2014,No migration background,2. Quintil,,,,,,,,,,,,
2014,No migration background,3. Quintil,,,,,,,,,,,,
2014,No migration background,4. Quintil,,,,,,,,,,,,
2014,No migration background,5. Quintil,,,,,,,,,,,,
2014,Direct migration background,2. Quintil,,,,,,,,,,,,
2014,Direct migration background,3. Quintil,,,,,,,,,,,,
2014,Direct migration background,4. Quintil,,,,,,,,,,,,
2014,Direct migration background,5. Quintil,,,,,,,,,,,,
2014,Indirect migration background,2. Quintil,,,,,,,,,,,,
2014,Indirect migration background,3. Quintil,,,,,,,,,,,,
2014,Indirect migration background,4. Quintil,,,,,,,,,,,,
2014,Indirect migration background,5. Quintil,,,,,,,,,,,,
2015,No migration background,2. Quintil,6.795238373388463,6.764297300895518,6.826179445881407,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1958.0
2015,No migration background,3. Quintil,6.90222106124363,6.881628808301933,6.922813314185326,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3803.0
2015,No migration background,4. Quintil,6.9438793415657365,6.928284018706876,6.959474664424597,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5661.0
2015,No migration background,5. Quintil,6.915162306796028,6.903561250098524,6.926763363493532,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,7576.0
2015,Direct migration background,2. Quintil,6.705898140157766,6.662616468941141,6.749179811374391,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1022.0
2015,Direct migration background,3. Quintil,6.927393712146103,6.894918542789488,6.959868881502719,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1306.0
2015,Direct migration background,4. Quintil,6.773206095458115,6.738625473843809,6.807786717072421,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1192.0
2015,Direct migration background,5. Quintil,6.880218668571228,6.845956880232731,6.9144804569097245,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,881.0
2015,Indirect migration background,2. Quintil,6.7922562433581914,6.717594020784255,6.866918465932128,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,316.0
2015,Indirect migration background,3. Quintil,6.959506998489124,6.900059079326237,7.01895491765201,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,396.0
2015,Indirect migration background,4. Quintil,7.0445894959645985,6.992766764601776,7.096412227327421,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,418.0
2015,Indirect migration background,5. Quintil,6.7455780790530095,6.695773099384309,6.79538305872171,6.0,7.0,7.0,4.5,8.5,7.0,7.0,7.0,427.0
2016,No migration background,2. Quintil,,,,,,,,,,,,
2016,No migration background,3. Quintil,,,,,,,,,,,,
2016,No migration background,4. Quintil,,,,,,,,,,,,
2016,No migration background,5. Quintil,,,,,,,,,,,,
2016,Direct migration background,2. Quintil,,,,,,,,,,,,
2016,Direct migration background,3. Quintil,,,,,,,,,,,,
2016,Direct migration background,4. Quintil,,,,,,,,,,,,
2016,Direct migration background,5. Quintil,,,,,,,,,,,,
2016,Indirect migration background,2. Quintil,,,,,,,,,,,,
2016,Indirect migration background,3. Quintil,,,,,,,,,,,,
2016,Indirect migration background,4. Quintil,,,,,,,,,,,,
2016,Indirect migration background,5. Quintil,,,,,,,,,,,,
2017,No migration background,2. Quintil,6.8215874903016696,6.784785641173373,6.858389339429966,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1551.0
