"year","age_gr","migback","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2017","35-65","kein Migrationshintergrund","6.71","6.5","11622","6.69","6.73"
"2017","66 +","direkter Migrationshintergrund","6.68","6.5","427","6.54","6.82"
"2017","66 +","indirekter Migrationshintergrund","","","","",""
"2017","66 +","kein Migrationshintergrund","7.05","6.5","4499","7.01","7.09"
"2018","17-34","direkter Migrationshintergrund","","","","",""
"2018","17-34","indirekter Migrationshintergrund","","","","",""
"2018","17-34","kein Migrationshintergrund","","","","",""
"2018","35-65","direkter Migrationshintergrund","","","","",""
"2018","35-65","indirekter Migrationshintergrund","","","","",""
"2018","35-65","kein Migrationshintergrund","","","","",""
"2018","66 +","direkter Migrationshintergrund","","","","",""
"2018","66 +","indirekter Migrationshintergrund","","","","",""
"2018","66 +","kein Migrationshintergrund","","","","",""
"2019","17-34","direkter Migrationshintergrund","6.88","6.5","811","6.8","6.96"
"2019","17-34","indirekter Migrationshintergrund","6.86","6.5","879","6.78","6.94"
"2019","17-34","kein Migrationshintergrund","6.97","6.5","3727","6.93","7.01"
"2019","35-65","direkter Migrationshintergrund","6.6","6.5","2606","6.55","6.65"
"2019","35-65","indirekter Migrationshintergrund","6.5","6.5","895","6.43","6.57"
"2019","35-65","kein Migrationshintergrund","6.65","6.5","11636","6.63","6.67"
"2019","66 +","direkter Migrationshintergrund","6.82","6.5","430","6.68","6.96"
"2019","66 +","indirekter Migrationshintergrund","7.24","6.5","50","6.95","7.53"
"2019","66 +","kein Migrationshintergrund","7","6.5","4738","6.96","7.04"
"2020","17-34","direkter Migrationshintergrund","7.03","6.5","3050","6.99","7.07"
"2020","17-34","indirekter Migrationshintergrund","7.06","6.5","866","6.98","7.14"
"2020","17-34","kein Migrationshintergrund","7.07","6.5","3539","7.03","7.11"
"2020","35-65","direkter Migrationshintergrund","6.77","6.5","4643","6.74","6.8"
"2020","35-65","indirekter Migrationshintergrund","6.64","6.5","760","6.57","6.71"
"2020","35-65","kein Migrationshintergrund","6.74","6.5","10607","6.72","6.76"
"2020","66 +","direkter Migrationshintergrund","6.69","6.5","448","6.56","6.82"
"2020","66 +","indirekter Migrationshintergrund","7.33","6.5","44","7.02","7.64"
"2020","66 +","kein Migrationshintergrund","7.1","6.5","4457","7.06","7.14"
