syear,regtyp,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2000,Urban regions,West,,,,,,,,,,,,
2000,Urban regions,East,,,,,,,,,,,,
2000,Rural regions,West,,,,,,,,,,,,
2000,Rural regions,East,,,,,,,,,,,,
2001,Urban regions,West,,,,,,,,,,,,
2001,Urban regions,East,,,,,,,,,,,,
2001,Rural regions,West,,,,,,,,,,,,
2001,Rural regions,East,,,,,,,,,,,,
2002,Urban regions,West,,,,,,,,,,,,
2002,Urban regions,East,,,,,,,,,,,,
2002,Rural regions,West,,,,,,,,,,,,
2002,Rural regions,East,,,,,,,,,,,,
2003,Urban regions,West,,,,,,,,,,,,
2003,Urban regions,East,,,,,,,,,,,,
2003,Rural regions,West,,,,,,,,,,,,
2003,Rural regions,East,,,,,,,,,,,,
2004,Urban regions,West,,,,,,,,,,,,
2004,Urban regions,East,,,,,,,,,,,,
2004,Rural regions,West,,,,,,,,,,,,
2004,Rural regions,East,,,,,,,,,,,,
2005,Urban regions,West,,,,,,,,,,,,
2005,Urban regions,East,,,,,,,,,,,,
2005,Rural regions,West,,,,,,,,,,,,
2005,Rural regions,East,,,,,,,,,,,,
2006,Urban regions,West,,,,,,,,,,,,
2006,Urban regions,East,,,,,,,,,,,,
2006,Rural regions,West,,,,,,,,,,,,
2006,Rural regions,East,,,,,,,,,,,,
2007,Urban regions,West,,,,,,,,,,,,
2007,Urban regions,East,,,,,,,,,,,,
2007,Rural regions,West,,,,,,,,,,,,
2007,Rural regions,East,,,,,,,,,,,,
2008,Urban regions,West,7.0325279643406455,7.021436131519444,7.043619797161847,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,11019.0
2008,Urban regions,East,7.030962303561747,7.002640127610973,7.059284479512521,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1612.0
2008,Rural regions,West,7.112020206245451,7.092861748236704,7.1311786642541986,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3483.0
2008,Rural regions,East,7.124138871820977,7.1038381427770965,7.144439600864857,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3140.0
2009,Urban regions,West,6.999582368235446,6.988651406362067,7.010513330108825,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,10106.0
2009,Urban regions,East,6.958974361194906,6.930833854375228,6.987114868014585,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1527.0
2009,Rural regions,West,7.059085050089127,7.039380588683063,7.0787895114951915,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3307.0
2009,Rural regions,East,7.069478365243337,7.049565846922147,7.089390883564527,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2998.0
2010,Urban regions,West,6.971957378767557,6.962149675820826,6.981765081714287,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,13682.0
2010,Urban regions,East,6.878899004291172,6.853076133533078,6.904721875049267,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1896.0
2010,Rural regions,West,6.970314744431086,6.953113256069266,6.987516232792905,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,4754.0
2010,Rural regions,East,6.990780076964035,6.971824911902845,7.009735242025226,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3563.0
2011,Urban regions,West,6.927754437408042,6.918729995376499,6.9367788794395855,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,15949.0
2011,Urban regions,East,6.886416056977879,6.860577244049763,6.912254869905995,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2176.0
2011,Rural regions,West,6.95631396872377,6.941443676433344,6.971184261014197,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,6072.0
2011,Rural regions,East,6.983165774372591,6.965171550020157,7.001159998725024,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,4126.0
2012,Urban regions,West,6.95068738185357,6.941378690672971,6.95999607303417,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,15370.0
2012,Urban regions,East,6.850947024333431,6.824257986275484,6.877636062391378,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2083.0
2012,Rural regions,West,6.945371016318379,6.93021475581098,6.960527276825778,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,6037.0
2012,Rural regions,East,6.9821110279534135,6.96359490371566,7.000627152191167,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,4064.0
2013,Urban regions,West,6.894613625404598,6.885058108700629,6.904169142108567,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,14301.0
2013,Urban regions,East,6.833764619547077,6.807973451660037,6.859555787434117,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1957.0
2013,Rural regions,West,6.935398405740452,6.919772355286499,6.951024456194405,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5605.0
2013,Rural regions,East,6.935875156826458,6.916598172044079,6.955152141608837,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3755.0
2014,Urban regions,West,,,,,,,,,,,,
2014,Urban regions,East,,,,,,,,,,,,
2014,Rural regions,West,,,,,,,,,,,,
2014,Rural regions,East,,,,,,,,,,,,
2015,Urban regions,West,6.894081077955276,6.88447326576593,6.903688890144622,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,14291.0
2015,Urban regions,East,6.901360052661967,6.873538786919011,6.929181318404923,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1833.0
2015,Rural regions,West,6.903042001606531,6.887315257609982,6.91876874560308,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5435.0
2015,Rural regions,East,6.892556909730824,6.872238759162302,6.912875060299346,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3397.0
2016,Urban regions,West,,,,,,,,,,,,
2016,Urban regions,East,,,,,,,,,,,,
2016,Rural regions,West,,,,,,,,,,,,
2016,Rural regions,East,,,,,,,,,,,,
2017,Urban regions,West,6.8404438383538455,6.830939971271365,6.849947705436326,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,15157.0
2017,Urban regions,East,6.793768786122544,6.766189988114457,6.821347584130631,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1946.0
2017,Rural regions,West,6.846554483627826,6.831029825647221,6.862079141608431,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5746.0
2017,Rural regions,East,6.8541164665093905,6.834421520195482,6.873811412823299,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3635.0
2018,Urban regions,West,,,,,,,,,,,,
2018,Urban regions,East,,,,,,,,,,,,
2018,Rural regions,West,,,,,,,,,,,,
2018,Rural regions,East,,,,,,,,,,,,
2019,Urban regions,West,6.786552191001304,6.776730873584628,6.79637350841798,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,14439.0
2019,Urban regions,East,6.808870933579342,6.782251044535113,6.83549082262357,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1895.0
2019,Rural regions,West,6.789817886282336,6.773575425726806,6.8060603468378655,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5220.0
2019,Rural regions,East,6.783380739632831,6.762103606182159,6.804657873083502,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3564.0
2020,Urban regions,West,6.906698006411549,6.897850981030531,6.9155450317925675,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,16859.0
2020,Urban regions,East,6.877831515502396,6.852899885763038,6.902763145241754,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2100.0
2020,Rural regions,West,6.9023347082038,6.886738295838986,6.917931120568615,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5756.0
2020,Rural regions,East,6.8456306018591055,6.824793261129634,6.866467942588577,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3593.0
2021,Urban regions,West,6.880827209980631,6.870371751404048,6.891282668557214,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,11542.0
2021,Urban regions,East,6.968222388289932,6.940027358908959,6.996417417670904,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1506.0
2021,Rural regions,West,6.819594355424884,6.800639941737163,6.838548769112604,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3836.0
2021,Rural regions,East,6.776679563016736,6.753003085104085,6.800356040929387,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2358.0
