syear,sampreg,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2008,East,male,7.12271686589813,7.099115704462243,7.146318027334017,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2299.0
2008,East,female,7.060634344880553,7.0375369129514675,7.083731776809638,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2453.0
2009,West,male,6.982696759072319,6.968709094798277,6.99668442334636,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,6387.0
2009,West,female,7.044442045559616,7.031349945293034,7.057534145826198,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,7026.0
2009,East,male,7.040363070109381,7.018255463527317,7.0624706766914445,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2178.0
2009,East,female,7.021311878402698,6.997525539990303,7.045098216815093,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2347.0
2010,West,male,6.9463110950372275,6.933819804858342,6.958802385216113,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,8377.0
2010,West,female,6.995334513035073,6.983677873324226,7.006991152745919,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,10059.0
2010,East,male,7.0206377212055315,6.998712850061112,7.042562592349951,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2503.0
2010,East,female,6.880126321980225,6.858813982933074,6.901438661027377,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2956.0
2011,West,male,6.90429217266208,6.89316340721167,6.91542093811249,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,9950.0
2011,West,female,6.96370297364637,6.953005841670702,6.974400105622038,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,12071.0
2011,East,male,6.997956610081051,6.977547462214665,7.018365757947437,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2876.0
2011,East,female,6.901428199579701,6.880140625141723,6.9227157740176795,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3426.0
2012,West,male,6.912525909260405,6.9011057076484,6.923946110872411,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,9719.0
2012,West,female,6.983946090210872,6.972933115013256,6.994959065408488,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,11688.0
2012,East,male,6.960111024124204,6.938611436946045,6.981610611302363,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2806.0
2012,East,female,6.9133593725594755,6.891778059907742,6.934940685211209,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3341.0
2013,West,male,6.909256509758595,6.897303517988309,6.921209501528882,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,8986.0
2013,West,female,6.901906852935348,6.890751859430273,6.9130618464404225,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,10920.0
2013,East,male,6.967245913437537,6.944767014476473,6.9897248123986016,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2608.0
2013,East,female,6.83726933985141,6.8159922592004305,6.85854642050239,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3104.0
2014,West,male,,,,,,,,,,,,
2014,West,female,,,,,,,,,,,,
2014,East,male,,,,,,,,,,,,
2014,East,female,,,,,,,,,,,,
2015,West,male,6.903237219649398,6.891584911528985,6.9148895277698115,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,9039.0
2015,West,female,6.889841176557631,6.878318617176226,6.901363735939037,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,10687.0
2015,East,male,6.944826258982517,6.921044343018352,6.968608174946683,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2384.0
2015,East,female,6.848621708681974,6.825959589705987,6.871283827657961,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2846.0
2016,West,male,,,,,,,,,,,,
2016,West,female,,,,,,,,,,,,
2016,East,male,,,,,,,,,,,,
2016,East,female,,,,,,,,,,,,
2017,West,male,6.8540943328021235,6.842293048271445,6.865895617332802,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,9662.0
2017,West,female,6.83028673454863,6.819130727358854,6.841442741738406,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,11241.0
2017,East,male,6.874523189979762,6.851929818785844,6.8971165611736795,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2571.0
2017,East,female,6.790791417766223,6.768069498125178,6.813513337407268,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3010.0
2018,West,male,,,,,,,,,,,,
2018,West,female,,,,,,,,,,,,
2018,East,male,,,,,,,,,,,,
2018,East,female,,,,,,,,,,,,
2019,West,male,6.8268390758920106,6.814974904670527,6.838703247113494,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,9581.0
2019,West,female,6.752907333600987,6.741193538780009,6.7646211284219655,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,10479.0
2019,East,male,6.84298283176996,6.82006933008676,6.8658963334531595,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2634.0
2019,East,female,6.7386725229439035,6.714778510210161,6.762566535677646,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2897.0
2020,West,male,6.92830899961693,6.917521739768909,6.939096259464951,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,11153.0
2020,West,female,6.8836357309793375,6.872664053098975,6.8946074088597,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,11457.0
2020,East,male,6.88412076421788,6.861417548767957,6.906823979667804,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2757.0
2020,East,female,6.830649454780528,6.8079347150472245,6.853364194513832,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2933.0
2021,West,male,6.876958145686248,6.864253593763927,6.8896626976085695,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,7491.0
2021,West,female,6.854382713671777,6.8411966592531,6.867568768090454,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,7883.0
2021,East,male,6.930986121859356,6.9064864408059226,6.95548580291279,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1850.0
2021,East,female,6.7604182039896745,6.733672670971719,6.78716373700763,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2012.0
