syear,age_gr,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2010,17-29 J.,7.138946439648785,7.12186567772106,7.156027201576509,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3910.0
2010,30-45 J.,6.846045245494256,6.8356304912389545,6.856459999749558,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,9049.0
2010,46-65 J.,6.843427057601401,6.829898027688068,6.856956087514734,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,6935.0
2010,66 und älter,7.155356949565337,7.133926360309042,7.176787538821632,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,4001.0
2011,17-29 J.,7.1430099434315135,7.126430375930723,7.159589510932304,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,4170.0
2011,30-45 J.,6.849109053310728,6.839165313248054,6.859052793373402,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,9919.0
2011,46-65 J.,6.808975064324841,6.7972299031247605,6.820720225524921,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,9117.0
2011,66 und älter,7.075686643455143,7.056776881734391,7.094596405175894,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5117.0
2012,17-29 J.,7.095444128180629,7.078184502422841,7.112703753938417,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3968.0
2012,30-45 J.,6.836158562319613,6.825538981978915,6.846778142660312,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,9054.0
2012,46-65 J.,6.807230258372343,6.795510413337065,6.81895010340762,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,9356.0
2012,66 und älter,7.164853891633967,7.145956752291173,7.18375103097676,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5176.0
2013,17-29 J.,7.110598574323323,7.092936011654816,7.12826113699183,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3638.0
2013,30-45 J.,6.799502739896779,6.7881959027052545,6.810809577088303,6.0,7.0,7.0,4.5,8.5,7.0,7.0,7.0,8039.0
2013,46-65 J.,6.753392547173863,6.741329472487244,6.765455621860482,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,9006.0
2013,66 und älter,7.09371748735116,7.075493001280654,7.111941973421667,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,4935.0
2014,17-29 J.,,,,,,,,,,,,
2014,30-45 J.,,,,,,,,,,,,
2014,46-65 J.,,,,,,,,,,,,
2014,66 und älter,,,,,,,,,,,,
2015,17-29 J.,7.060777132002322,7.043696236186423,7.077858027818221,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3909.0
2015,30-45 J.,6.837170253548271,6.82474622326408,6.849594283832461,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,7338.0
2015,46-65 J.,6.745461624405151,6.73359625349612,6.757326995314183,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,8863.0
2015,66 und älter,7.068130763886577,7.0493138087683285,7.086947719004826,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,4846.0
2016,17-29 J.,,,,,,,,,,,,
2016,30-45 J.,,,,,,,,,,,,
2016,46-65 J.,,,,,,,,,,,,
2016,66 und älter,,,,,,,,,,,,
2017,17-29 J.,7.054194364347166,7.037476019112512,7.070912709581819,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,4341.0
2017,30-45 J.,6.735055659184145,6.722708241446249,6.7474030769220406,6.0,7.0,7.0,4.5,8.5,7.0,7.0,7.0,7243.0
2017,46-65 J.,6.6960466052282435,6.684724486542911,6.707368723913576,6.0,7.0,7.0,4.5,8.5,7.0,7.0,7.0,9959.0
2017,66 und älter,7.0180339230431334,6.998768799797427,7.03729904628884,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,4941.0
2018,17-29 J.,,,,,,,,,,,,
2018,30-45 J.,,,,,,,,,,,,
2018,46-65 J.,,,,,,,,,,,,
2018,66 und älter,,,,,,,,,,,,
2019,17-29 J.,7.044636473462403,7.027139624717745,7.062133322207061,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3832.0
2019,30-45 J.,6.67433627401137,6.661254103639616,6.687418444383125,6.0,7.0,7.0,4.5,8.5,7.0,7.0,7.0,6276.0
2019,46-65 J.,6.624481083509473,6.613037681542323,6.6359244854766235,6.0,7.0,7.0,4.5,8.5,7.0,7.0,7.0,10401.0
2019,66 und älter,6.982603671245327,6.963566480441799,7.001640862048855,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5162.0
2020,17-29 J.,7.155113168510224,7.13916151930969,7.171064817710757,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5047.0
2020,30-45 J.,6.808648786924085,6.797256274021459,6.820041299826711,6.0,7.0,7.0,4.5,8.5,7.0,7.0,7.0,8013.0
2020,46-65 J.,6.732855408567483,6.721671042783535,6.744039774351431,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,10360.0
2020,66 und älter,7.060490921356957,7.041733342264732,7.079248500449181,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,4888.0
2021,17-29 J.,7.067644881902033,7.048597076580232,7.086692687223834,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3197.0
2021,30-45 J.,6.742685171244629,6.72836476314534,6.757005579343918,6.0,7.0,7.0,4.5,8.5,7.0,7.0,7.0,5227.0
2021,46-65 J.,6.712092041565781,6.699264194815371,6.724919888316191,6.0,7.0,7.0,4.5,8.5,7.0,7.0,7.0,7247.0
2021,66 und älter,7.0678730805800045,7.046531408499549,7.08921475266046,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3572.0
