year,pgisced97,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1991,higher vocational,,,,,,,,,,,,
1991,higher education,,,,,,,,,,,,
1992,-5,,,,,,,,,,,,
1992,-1,,,,,,,,,,,,
1992,in school,,,,,,,,,,,,
1992,inadequately,,,,,,,,,,,,
1992,general elemantary,,,,,,,,,,,,
1992,middle vocational,,,,,,,,,,,,
1992,vocational + Abi,,,,,,,,,,,,
1992,higher vocational,,,,,,,,,,,,
1992,higher education,,,,,,,,,,,,
1993,-5,,,,,,,,,,,,
1993,-1,,,,,,,,,,,,
1993,in school,,,,,,,,,,,,
1993,inadequately,,,,,,,,,,,,
1993,general elemantary,,,,,,,,,,,,
1993,middle vocational,,,,,,,,,,,,
1993,vocational + Abi,,,,,,,,,,,,
1993,higher vocational,,,,,,,,,,,,
1993,higher education,,,,,,,,,,,,
1994,-5,,,,,,,,,,,,
1994,-1,,,,,,,,,,,,
1994,in school,,,,,,,,,,,,
1994,inadequately,,,,,,,,,,,,
1994,general elemantary,,,,,,,,,,,,
1994,middle vocational,,,,,,,,,,,,
1994,vocational + Abi,,,,,,,,,,,,
1994,higher vocational,,,,,,,,,,,,
1994,higher education,,,,,,,,,,,,
1995,-5,,,,,,,,,,,,
1995,-1,,,,,,,,,,,,
1995,in school,,,,,,,,,,,,
1995,inadequately,,,,,,,,,,,,
1995,general elemantary,,,,,,,,,,,,
1995,middle vocational,,,,,,,,,,,,
1995,vocational + Abi,,,,,,,,,,,,
1995,higher vocational,,,,,,,,,,,,
1995,higher education,,,,,,,,,,,,
1996,-5,,,,,,,,,,,,
1996,-1,,,,,,,,,,,,
1996,in school,,,,,,,,,,,,
1996,inadequately,,,,,,,,,,,,
1996,general elemantary,,,,,,,,,,,,
1996,middle vocational,,,,,,,,,,,,
1996,vocational + Abi,,,,,,,,,,,,
1996,higher vocational,,,,,,,,,,,,
1996,higher education,,,,,,,,,,,,
1997,-5,,,,,,,,,,,,
1997,-1,,,,,,,,,,,,
1997,in school,,,,,,,,,,,,
1997,inadequately,,,,,,,,,,,,
1997,general elemantary,,,,,,,,,,,,
1997,middle vocational,,,,,,,,,,,,
1997,vocational + Abi,,,,,,,,,,,,
1997,higher vocational,,,,,,,,,,,,
1997,higher education,,,,,,,,,,,,
1998,-5,,,,,,,,,,,,
1998,-1,,,,,,,,,,,,
1998,in school,,,,,,,,,,,,
1998,inadequately,,,,,,,,,,,,
1998,general elemantary,,,,,,,,,,,,
1998,middle vocational,,,,,,,,,,,,
1998,vocational + Abi,,,,,,,,,,,,
1998,higher vocational,,,,,,,,,,,,
1998,higher education,,,,,,,,,,,,
1999,-5,,,,,,,,,,,,
1999,-1,,,,,,,,,,,,
1999,in school,,,,,,,,,,,,
1999,inadequately,,,,,,,,,,,,
1999,general elemantary,,,,,,,,,,,,
1999,middle vocational,,,,,,,,,,,,
1999,vocational + Abi,,,,,,,,,,,,
1999,higher vocational,,,,,,,,,,,,
1999,higher education,,,,,,,,,,,,
2000,-5,,,,,,,,,,,,
2000,-1,,,,,,,,,,,,
2000,in school,,,,,,,,,,,,
2000,inadequately,,,,,,,,,,,,
2000,general elemantary,,,,,,,,,,,,
2000,middle vocational,,,,,,,,,,,,
2000,vocational + Abi,,,,,,,,,,,,
2000,higher vocational,,,,,,,,,,,,
2000,higher education,,,,,,,,,,,,
2001,-5,,,,,,,,,,,,
2001,-1,,,,,,,,,,,,
2001,in school,,,,,,,,,,,,
2001,inadequately,,,,,,,,,,,,
2001,general elemantary,,,,,,,,,,,,
2001,middle vocational,,,,,,,,,,,,
2001,vocational + Abi,,,,,,,,,,,,
2001,higher vocational,,,,,,,,,,,,
2001,higher education,,,,,,,,,,,,
2002,-5,,,,,,,,,,,,
2002,-1,,,,,,,,,,,,
2002,in school,,,,,,,,,,,,
2002,inadequately,,,,,,,,,,,,
2002,general elemantary,,,,,,,,,,,,
2002,middle vocational,,,,,,,,,,,,
2002,vocational + Abi,,,,,,,,,,,,
2002,higher vocational,,,,,,,,,,,,
2002,higher education,,,,,,,,,,,,
2003,-5,,,,,,,,,,,,
2003,-1,,,,,,,,,,,,
2003,in school,,,,,,,,,,,,
2003,inadequately,,,,,,,,,,,,
2003,general elemantary,,,,,,,,,,,,
2003,middle vocational,,,,,,,,,,,,
2003,vocational + Abi,,,,,,,,,,,,
2003,higher vocational,,,,,,,,,,,,
2003,higher education,,,,,,,,,,,,
2004,-5,,,,,,,,,,,,
2004,-1,,,,,,,,,,,,
2004,in school,,,,,,,,,,,,
2004,inadequately,,,,,,,,,,,,
2004,general elemantary,,,,,,,,,,,,
2004,middle vocational,,,,,,,,,,,,
2004,vocational + Abi,,,,,,,,,,,,
2004,higher vocational,,,,,,,,,,,,
2004,higher education,,,,,,,,,,,,
2005,-5,,,,,,,,,,,,
2005,-1,,,,,,,,,,,,
2005,in school,,,,,,,,,,,,
2005,inadequately,,,,,,,,,,,,
2005,general elemantary,,,,,,,,,,,,
2005,middle vocational,,,,,,,,,,,,
2005,vocational + Abi,,,,,,,,,,,,
2005,higher vocational,,,,,,,,,,,,
2005,higher education,,,,,,,,,,,,
2006,-5,,,,,,,,,,,,
2006,-1,,,,,,,,,,,,
2006,in school,,,,,,,,,,,,
2006,inadequately,,,,,,,,,,,,
2006,general elemantary,,,,,,,,,,,,
2006,middle vocational,,,,,,,,,,,,
2006,vocational + Abi,,,,,,,,,,,,
2006,higher vocational,,,,,,,,,,,,
2006,higher education,,,,,,,,,,,,
2007,-5,,,,,,,,,,,,
2007,-1,,,,,,,,,,,,
2007,in school,,,,,,,,,,,,
2007,inadequately,,,,,,,,,,,,
2007,general elemantary,,,,,,,,,,,,
2007,middle vocational,,,,,,,,,,,,
2007,vocational + Abi,,,,,,,,,,,,
2007,higher vocational,,,,,,,,,,,,
2007,higher education,,,,,,,,,,,,
2008,-5,,,,,,,,,,,,
2008,-1,7.281558000396912,7.2156616262872335,7.347454374506591,6.244131495470777,7.0,8.0,3.610328738676942,10.0,7.0,6.0,7.0,333.0
2008,in school,7.390041461051421,7.3419481859613125,7.43813473614153,7.0,7.0,8.0,5.5,9.5,7.0,6.0,7.0,352.0
2008,inadequately,6.965106287284915,6.858959418542955,7.071253156026875,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,182.0
2008,general elemantary,7.056010722383685,7.025673816308108,7.086347628459262,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2005.0
2008,middle vocational,7.045033037313894,7.033295687101569,7.056770387526219,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,9690.0
2008,vocational + Abi,7.083746035167619,7.05173760500423,7.115754465331007,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1088.0
2008,higher vocational,7.062408643766437,7.034263746118571,7.0905535414143035,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1414.0
2008,higher education,7.050618172629136,7.034581726443614,7.066654618814658,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,4190.0
2009,-5,,,,,,,,,,,,
2009,-1,7.337182166272843,7.277505078999491,7.396859253546195,7.0,7.0,8.0,5.5,9.5,7.0,6.0,7.0,323.0
2009,in school,7.292626838672851,7.241888554304761,7.343365123040942,7.0,7.0,8.0,5.5,9.5,7.0,7.0,7.0,312.0
2009,inadequately,6.976120011975887,6.857752646920025,7.094487377031749,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,164.0
2009,general elemantary,7.046662367729343,7.015415129791844,7.077909605666843,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1773.0
2009,middle vocational,6.98726614914955,6.975485821061785,6.999046477237314,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,9019.0
2009,vocational + Abi,7.020554175719146,6.989850595023229,7.051257756415063,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,997.0
2009,higher vocational,7.015938687481198,6.987383098918482,7.044494276043915,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1323.0
2009,higher education,7.028808678694351,7.013676640126334,7.043940717262368,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,4027.0
2010,-5,,,,,,,,,,,,
2010,-1,7.109173699677822,7.03571897836294,7.182628420992703,7.0,7.0,8.0,5.5,9.5,7.0,6.0,7.0,314.0
2010,in school,7.374448471772205,7.323061538735504,7.425835404808907,7.0,7.0,8.0,5.5,9.5,7.0,6.0,7.0,413.0
2010,inadequately,6.6686103504166745,6.584833915644384,6.752386785188965,6.0,7.0,8.0,3.0,11.0,7.0,7.0,8.0,341.0
2010,general elemantary,6.961057292135044,6.933540706589445,6.988573877680643,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2430.0
2010,middle vocational,6.954872979978914,6.944199589773911,6.965546370183917,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,11714.0
2010,vocational + Abi,6.962145534471199,6.936640889531276,6.987650179411123,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1707.0
2010,higher vocational,6.961544809164747,6.934031671146203,6.989057947183291,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1610.0
2010,higher education,6.984289699676941,6.970694160055477,6.997885239298404,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5366.0
2011,-5,,,,,,,,,,,,
2011,-1,7.015378967276622,6.961730216456873,7.06902771809637,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,578.0
2011,in school,7.09507537091066,7.049319694250123,7.140831047571197,6.0,7.0,8.0,4.0,11.0,7.0,7.0,7.0,473.0
2011,inadequately,6.860951091533571,6.78497283517974,6.936929347887402,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,407.0
2011,general elemantary,6.9179843209609375,6.892948782556437,6.943019859365438,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2933.0
2011,middle vocational,6.918181871075868,6.90822968981622,6.928134052335516,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,13878.0
2011,vocational + Abi,6.955477165522043,6.933190360260339,6.977763970783748,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2001.0
2011,higher vocational,6.933225691399397,6.908584692394095,6.957866690404698,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1849.0
2011,higher education,6.983752900062847,6.97126872046807,6.996237079657624,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,6202.0
2012,-5,,,,,,,,,,,,
2012,-1,7.224090396858546,7.165132694738041,7.283048098979052,6.0,7.0,8.0,3.0,11.0,7.0,6.974999999999994,7.0,412.0
2012,in school,7.1211673012944265,7.07422800245028,7.168106600138573,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,471.0
2012,inadequately,6.75043781647107,6.666428985707542,6.834446647234598,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,383.0
2012,general elemantary,6.961170067484193,6.935977659673622,6.986362475294765,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2884.0
2012,middle vocational,6.923919898347981,6.913649657308192,6.934190139387769,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,13502.0
2012,vocational + Abi,6.897643105709729,6.873670265292027,6.921615946127432,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1961.0
2012,higher vocational,6.964390777910468,6.938889187630892,6.989892368190045,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1806.0
2012,higher education,6.988689041537043,6.976113933311002,7.0012641497630845,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,6134.0
2013,-5,,,,,,,,,,,,
2013,-1,7.276741004750438,7.220112497648975,7.333369511851901,7.0,7.0,8.0,5.5,9.5,7.0,6.0,7.0,463.0
2013,in school,7.052617156894451,7.005931391510385,7.0993029222785164,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,456.0
2013,inadequately,6.870882931642496,6.790109647761504,6.951656215523489,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,330.0
2013,general elemantary,6.918420501316652,6.892351145978015,6.94448985665529,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2609.0
2013,middle vocational,6.861917171767942,6.851283506796764,6.87255083673912,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,12464.0
2013,vocational + Abi,6.881394900309624,6.858256759887974,6.904533040731275,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1779.0
2013,higher vocational,6.951165022032593,6.922669364977331,6.979660679087855,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1671.0
2013,higher education,6.962045092110831,6.949300966014036,6.974789218207626,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5845.0
2014,-5,,,,,,,,,,,,
2014,-1,,,,,,,,,,,,
2014,in school,,,,,,,,,,,,
2014,inadequately,,,,,,,,,,,,
2014,general elemantary,,,,,,,,,,,,
2014,middle vocational,,,,,,,,,,,,
2014,vocational + Abi,,,,,,,,,,,,
2014,higher vocational,,,,,,,,,,,,
2014,higher education,,,,,,,,,,,,
2015,-5,,,,,,,,,,,,
2015,-1,7.0621717392632535,7.016196775222726,7.108146703303781,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,610.0
2015,in school,7.193974971658691,7.146520782337363,7.24142916098002,7.0,7.0,8.0,5.5,9.5,7.0,7.0,7.0,348.0
2015,inadequately,6.616674971902263,6.534479843333654,6.698870100470873,6.0,7.0,8.0,3.0,11.0,7.0,7.0,8.0,409.0
2015,general elemantary,6.847885527678462,6.821898683583607,6.873872371773317,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2658.0
2015,middle vocational,6.8765256627794615,6.865552541334986,6.887498784223937,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,11603.0
2015,vocational + Abi,6.892857776473051,6.869591079838884,6.916124473107219,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1950.0
2015,higher vocational,6.943414892268692,6.914963756305733,6.97186602823165,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1519.0
2015,higher education,6.940481171492596,6.927229551606353,6.953732791378839,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5858.0
2016,-5,,,,,,,,,,,,
2016,-1,,,,,,,,,,,,
2016,in school,,,,,,,,,,,,
2016,inadequately,,,,,,,,,,,,
2016,general elemantary,,,,,,,,,,,,
2016,middle vocational,,,,,,,,,,,,
2016,vocational + Abi,,,,,,,,,,,,
2016,higher vocational,,,,,,,,,,,,
2016,higher education,,,,,,,,,,,,
2017,-5,,,,,,,,,,,,
2017,-1,6.998480374977675,6.952179135011689,7.044781614943662,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,612.0
2017,in school,7.109980586396302,7.061349832018497,7.158611340774108,7.0,7.0,8.0,5.5,9.5,7.0,7.0,7.0,409.0
2017,inadequately,6.817808950266357,6.751331528023026,6.8842863725096874,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,453.0
2017,general elemantary,6.763485864367532,6.737191155201507,6.789780573533558,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2724.0
2017,middle vocational,6.81595993678026,6.804933615725574,6.826986257834946,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,12033.0
2017,vocational + Abi,6.724726158365141,6.701044850253686,6.748407466476596,6.0,7.0,7.0,4.5,8.5,7.0,7.0,7.0,2211.0
2017,higher vocational,6.9162440616797545,6.889119130076178,6.943368993283331,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1535.0
2017,higher education,6.919894267797688,6.907171147649223,6.932617387946154,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,6507.0
2018,-5,,,,,,,,,,,,
2018,-1,,,,,,,,,,,,
2018,in school,,,,,,,,,,,,
2018,inadequately,,,,,,,,,,,,
2018,general elemantary,,,,,,,,,,,,
2018,middle vocational,,,,,,,,,,,,
2018,vocational + Abi,,,,,,,,,,,,
2018,higher vocational,,,,,,,,,,,,
2018,higher education,,,,,,,,,,,,
2019,-5,,,,,,,,,,,,
2019,-1,7.053414600266343,7.002082968792743,7.104746231739944,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,572.0
2019,in school,7.165160037086617,7.112562295643081,7.217757778530152,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,331.0
2019,inadequately,6.483161342151218,6.4064471192587344,6.559875565043702,5.0,7.0,8.0,2.0,12.5,7.0,7.0,8.0,388.0
2019,general elemantary,6.630463887292784,6.602728171498071,6.658199603087497,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2413.0
2019,middle vocational,6.756452603894754,6.744733835875493,6.768171371914015,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,11115.0
2019,vocational + Abi,6.730035940395122,6.706064785122495,6.754007095667749,6.0,7.0,7.0,4.5,8.5,7.0,7.0,7.0,2171.0
2019,higher vocational,6.860259397930081,6.831191515070409,6.889327280789753,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1663.0
2019,higher education,6.9051668848159755,6.8933332380567665,6.917000531575185,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,7018.0
2020,-5,,,,,,,,,,,,
2020,-1,6.978480624865695,6.937416084761973,7.019545164969418,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,871.0
2020,in school,7.008228426550121,6.957312274471324,7.059144578628919,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,348.0
2020,inadequately,6.822506712173172,6.782296619341505,6.862716805004839,6.0,7.0,8.0,3.0,11.0,7.0,7.0,8.0,1467.0
2020,general elemantary,6.806678522169219,6.781433859521277,6.83192318481716,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,3012.0
2020,middle vocational,6.8533462226633866,6.8418752503521505,6.864817194974623,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,11147.0
2020,vocational + Abi,6.869210648545125,6.848269596584504,6.890151700505746,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,2344.0
2020,higher vocational,6.921949426394922,6.893580013763317,6.950318839026527,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1464.0
2020,higher education,7.015205853303402,7.003748510383177,7.026663196223627,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,7655.0
2021,-5,,,,,,,,,,,,
2021,-1,6.80013284006808,6.756314404032204,6.843951276103955,6.0,7.0,7.0,4.5,8.5,7.0,7.0,7.0,784.0
2021,in school,6.967021438263923,6.8908286052137075,7.043214271314138,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,193.0
2021,inadequately,6.844695196255664,6.799747861855228,6.8896425306561,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,925.0
2021,general elemantary,6.744984109491247,6.713825329573945,6.776142889408549,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,1746.0
2021,middle vocational,6.841184712067354,6.827029507482935,6.855339916651772,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,7331.0
2021,vocational + Abi,6.74696120205597,6.721191505254,6.77273089885794,6.0,7.0,7.0,4.5,8.5,7.0,7.0,7.0,1595.0
2021,higher vocational,6.84783100187702,6.816298214096776,6.879363789657264,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,999.0
2021,higher education,6.986493433651583,6.973851309333716,6.999135557969451,6.0,7.0,8.0,3.0,11.0,7.0,7.0,7.0,5670.0
