year,hhtyp,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,Single-person household,Yes,0.92870,3708,4016,0.92074,0.93666
2018,Single-person household,No,0.07130,308,4016,0.06334,0.07926
2018,Couple without children,Yes,0.96462,4367,4542,0.95925,0.97000
2018,Couple without children,No,0.03538,175,4542,0.03000,0.04075
2018,Single parent,Yes,0.92734,1415,1511,0.91424,0.94043
2018,Single parent,No,0.07266,96,1511,0.05957,0.08576
2018,Couple with children,Yes,0.95190,4780,5019,0.94598,0.95782
2018,Couple with children,No,0.04810,239,5019,0.04218,0.05402
2018,Multi-generational household,Yes,0.99248,114,114,0.97656,1.00841
2018,Other Combinations,Yes,0.92984,209,209,0.89513,0.96455
2019,Single-person household,Yes,0.92693,3021,3260,0.91800,0.93587
2019,Single-person household,No,0.07307,239,3260,0.06413,0.08200
2019,Couple without children,Yes,0.96553,3718,3865,0.95977,0.97128
2019,Couple without children,No,0.03447,147,3865,0.02872,0.04023
2019,Single parent,Yes,0.92748,1160,1233,0.91300,0.94196
2019,Single parent,No,0.07252,73,1233,0.05804,0.08700
2019,Couple with children,Yes,0.95978,3851,4014,0.95370,0.96586
2019,Couple with children,No,0.04022,163,4014,0.03414,0.04630
2019,Multi-generational household,Yes,0.98311,85,85,0.95556,1.01067
2019,Other Combinations,Yes,0.95689,151,151,0.92438,0.98939
2020,Single-person household,Yes,0.92695,4106,4592,0.91943,0.93448
2020,Single-person household,No,0.07305,486,4592,0.06552,0.08057
2020,Couple without children,Yes,0.95647,4762,5027,0.95083,0.96211
2020,Couple without children,No,0.04353,265,5027,0.03789,0.04917
2020,Single parent,Yes,0.90398,1232,1339,0.88819,0.91976
2020,Single parent,No,0.09602,107,1339,0.08024,0.11181
2020,Couple with children,Yes,0.94721,4604,4908,0.94095,0.95346
2020,Couple with children,No,0.05279,304,4908,0.04654,0.05905
2020,Multi-generational household,Yes,0.94628,107,107,0.90336,0.98920
2020,Other Combinations,Yes,0.92578,260,297,0.89592,0.95564
2020,Other Combinations,No,0.07422,37,297,0.04436,0.10408
2021,Single-person household,Yes,0.93354,2577,2798,0.92431,0.94278
2021,Single-person household,No,0.06646,221,2798,0.05722,0.07569
2021,Couple without children,Yes,0.95653,2982,3128,0.94938,0.96368
2021,Couple without children,No,0.04347,146,3128,0.03632,0.05062
2021,Single parent,Yes,0.89746,772,826,0.87676,0.91816
2021,Single parent,No,0.10254,54,826,0.08184,0.12324
2021,Couple with children,Yes,0.95445,2723,2884,0.94684,0.96206
2021,Couple with children,No,0.04555,161,2884,0.03794,0.05316
2021,Multi-generational household,Yes,0.95404,61,61,0.90105,1.00702
2021,Other Combinations,Yes,0.93460,206,206,0.90076,0.96845
2022,No answer / don't know,Yes,0.88608,375,434,0.85616,0.91601
2022,No answer / don't know,No,0.11392,59,434,0.08399,0.14384
2022,Single-person household,Yes,0.92711,5030,5559,0.92028,0.93395
2022,Single-person household,No,0.07289,529,5559,0.06605,0.07972
2022,Couple without children,Yes,0.96203,5438,5718,0.95708,0.96698
2022,Couple without children,No,0.03797,280,5718,0.03302,0.04292
2022,Single parent,Yes,0.91373,1054,1139,0.89742,0.93005
2022,Single parent,No,0.08627,85,1139,0.06995,0.10258
2022,Couple with children,Yes,0.94825,4876,5151,0.94220,0.95430
2022,Couple with children,No,0.05175,275,5151,0.04570,0.05780
2022,Multi-generational household,Yes,0.94791,77,77,0.89796,0.99787
2022,Other Combinations,Yes,0.86587,935,1096,0.84568,0.88605
2022,Other Combinations,No,0.13413,161,1096,0.11395,0.15432
