"hgeqpmglass","year","quintil","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2019","2","Ostdeutschland","845","0.915456761955543","0.897127929013249","0.933785594897837"
"Ja","2019","3","Westdeutschland","3685","0.953183141204628","0.94653791701553","0.959828365393726"
"Ja","2019","3","Ostdeutschland","1128","0.938967548957536","0.925411741885183","0.952523356029888"
"Ja","2019","4","Westdeutschland","6275","0.961840723209953","0.957181894632156","0.966499551787749"
"Ja","2019","4","Ostdeutschland","1926","0.948595432788438","0.938975230480451","0.958215635096426"
"Ja","2019","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2019","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2019","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2019","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2019","2","Westdeutschland","208","0.0901670364574464","0.0795466670813126","0.10078740583358"
"Nein","2019","2","Ostdeutschland","40","0.0845432380444571","0.066214405102163","0.102872070986751"
"Nein","2019","3","Westdeutschland","197","0.046816858795372","0.0401716346062735","0.0534620829844704"
"Nein","2019","3","Ostdeutschland","70","0.0610324510424645","0.047476643970112","0.074588258114817"
"Nein","2019","4","Westdeutschland","221","0.0381592767900471","0.0335004482122507","0.0428181053678435"
"Nein","2019","4","Ostdeutschland","98","0.051404567211562","0.0417843649035744","0.0610247695195496"
"Nein","2019","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2019","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2020","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2020","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2020","2","Westdeutschland","2877","0.904034536713182","0.893963728981589","0.914105344444774"
"Ja","2020","2","Ostdeutschland","816","0.93438680112382","0.918064517808141","0.950709084439499"
"Ja","2020","3","Westdeutschland","3860","0.940496385991088","0.933366550885429","0.947626221096746"
"Ja","2020","3","Ostdeutschland","1171","0.943430478421771","0.930509508611834","0.956351448231709"
"Ja","2020","4","Westdeutschland","7458","0.944872446289411","0.939873434861274","0.949871457717548"
"Ja","2020","4","Ostdeutschland","2119","0.955355620737729","0.946758932632981","0.963952308842477"
"Ja","2020","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2020","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2020","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2020","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2020","2","Westdeutschland","409","0.0959654632868183","0.0858946555552256","0.106036271018411"
"Nein","2020","2","Ostdeutschland","68","0.0656131988761799","0.0492909155605006","0.0819354821918591"
"Nein","2020","3","Westdeutschland","369","0.0595036140089124","0.0523737789032539","0.0666334491145708"
"Nein","2020","3","Ostdeutschland","57","0.0565695215782286","0.0436485517682908","0.0694904913881664"
"Nein","2020","4","Westdeutschland","549","0.0551275537105886","0.0501285422824517","0.0601265651387256"
"Nein","2020","4","Ostdeutschland","98","0.0446443792622706","0.0360476911575227","0.0532410673670185"
"Nein","2020","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2020","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
