,Unnamed: 0,year,hhtyp,sampreg,hgeqpmglass,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
42,42,2017,Couple without children,West,No,0.03843,149,15581,0.03254,0.0453
43,43,2017,Couple without children,East,Yes,0.9416,1074,15581,0.89361,0.99105
44,44,2017,Couple without children,East,No,0.0584,59,15581,0.0454,0.0759
45,45,2017,Single parent,West,Yes,0.91025,1084,15581,0.85453,0.97046
46,46,2017,Single parent,West,No,0.08975,112,15581,0.07399,0.10572
47,47,2017,Single parent,East,Yes,1.0,322,15581,0.88659,1.11489
48,48,2017,Couple with children,West,Yes,0.95019,4206,15581,0.91676,0.98047
49,49,2017,Couple with children,West,No,0.04981,198,15581,0.04011,0.06028
50,50,2017,Couple with children,East,Yes,0.93052,849,15581,0.85698,1.00655
51,51,2017,Couple with children,East,No,0.06948,60,15581,0.04784,0.09714
52,52,2017,Multi-generational household,West,Yes,1.0,78,15581,0.72888,1.28151
53,53,2017,Other Combinations,West,Yes,1.0,204,15581,0.88631,1.11305
54,54,2017,Other Combinations,East,Yes,1.0,34,15581,0.73833,1.2742
55,55,2018,Single-person household,West,Yes,0.92887,2765,15341,0.89796,0.95421
56,56,2018,Single-person household,West,No,0.07113,230,15341,0.0632,0.07833
57,57,2018,Single-person household,East,Yes,0.92857,943,15341,0.88064,0.98399
58,58,2018,Single-person household,East,No,0.07143,78,15341,0.05517,0.08727
59,59,2018,Couple without children,West,Yes,0.96943,3290,15341,0.94213,0.99953
60,60,2018,Couple without children,West,No,0.03057,123,15341,0.02473,0.03729
61,61,2018,Couple without children,East,Yes,0.94256,1077,15341,0.88363,1.0032
62,62,2018,Couple without children,East,No,0.05744,52,15341,0.04223,0.07626
63,63,2018,Single parent,West,Yes,0.92486,1096,15341,0.86417,0.97985
64,64,2018,Single parent,West,No,0.07514,78,15341,0.05582,0.10166
65,65,2018,Single parent,East,Yes,1.0,319,15341,0.87813,1.14584
66,66,2018,Couple with children,West,Yes,0.95262,3939,15341,0.91773,0.98175
67,67,2018,Couple with children,West,No,0.04738,197,15341,0.0383,0.05635
68,68,2018,Couple with children,East,Yes,0.95042,841,15341,0.87695,1.04632
69,69,2018,Couple with children,East,No,0.04958,42,15341,0.03125,0.0762
70,70,2018,Multi-generational household,West,Yes,1.0,88,15341,0.75435,1.228
71,71,2018,Other Combinations,West,Yes,1.0,183,15341,0.86763,1.15303
72,72,2019,Single-person household,West,Yes,0.92695,2247,12524,0.89418,0.95349
73,73,2019,Single-person household,West,No,0.07305,183,12524,0.06421,0.08238
74,74,2019,Single-person household,East,Yes,0.92857,774,12524,0.86898,0.98124
75,75,2019,Single-person household,East,No,0.07143,56,12524,0.05673,0.09041
76,76,2019,Couple without children,West,Yes,0.97176,2781,12524,0.94147,1.01048
77,77,2019,Couple without children,West,No,0.02824,103,12524,0.0217,0.03473
78,78,2019,Couple without children,East,Yes,0.94019,937,12524,0.87135,1.02211
79,79,2019,Couple without children,East,No,0.05981,44,12524,0.04479,0.08039
80,80,2019,Single parent,West,Yes,0.92623,895,12524,0.85933,0.99611
81,81,2019,Single parent,West,No,0.07377,59,12524,0.05377,0.09628
82,82,2019,Single parent,East,Yes,1.0,265,12524,0.8694,1.13492
83,83,2019,Couple with children,West,Yes,0.95991,3169,12524,0.92026,0.99866
84,84,2019,Couple with children,West,No,0.04009,134,12524,0.03194,0.05089
85,85,2019,Couple with children,East,Yes,1.0,682,12524,0.91502,1.09509
86,86,2019,Multi-generational household,West,Yes,1.0,66,12524,0.74742,1.27915
87,87,2019,Other Combinations,West,Yes,1.0,129,12524,0.85252,1.20923
88,88,2020,Single-person household,West,Yes,0.92753,3160,16230,0.89727,0.96007
89,89,2020,Single-person household,West,No,0.07247,399,16230,0.06275,0.08332
90,90,2020,Single-person household,East,Yes,0.92305,946,16230,0.85939,0.98651
91,91,2020,Single-person household,East,No,0.07695,87,16230,0.06254,0.09111
92,92,2020,Couple without children,West,Yes,0.95684,3641,16230,0.91978,0.99428
93,93,2020,Couple without children,West,No,0.04316,210,16230,0.03484,0.05011
94,94,2020,Couple without children,East,Yes,0.955,1121,16230,0.88546,1.02189
95,95,2020,Couple without children,East,No,0.045,55,16230,0.03197,0.06635
96,96,2020,Single parent,West,Yes,0.89078,941,16230,0.81683,0.96894
97,97,2020,Single parent,West,No,0.10922,94,16230,0.0776,0.14037
98,98,2020,Single parent,East,Yes,1.0,291,16230,0.85273,1.15212
99,99,2020,Couple with children,West,Yes,0.94606,3790,16230,0.91289,0.98615
100,100,2020,Couple with children,West,No,0.05394,262,16230,0.04353,0.06492
101,101,2020,Couple with children,East,Yes,0.95352,814,16230,0.8651,1.05157
102,102,2020,Couple with children,East,No,0.04648,42,16230,0.03019,0.06542
103,103,2020,Multi-generational household,West,Yes,1.0,83,16230,0.69317,1.31496
104,104,2020,Other Combinations,West,Yes,0.92831,223,16230,0.75758,1.10587
105,105,2020,Other Combinations,West,No,0.07169,34,16230,0.04368,0.10823
106,106,2020,Other Combinations,East,Yes,1.0,37,16230,0.73396,1.33705
107,107,2021,Single-person household,West,Yes,0.93237,1996,9843,0.89975,0.97296
108,108,2021,Single-person household,West,No,0.06763,182,9843,0.05383,0.08044
109,109,2021,Single-person household,East,Yes,0.94195,587,9843,0.86321,1.01497
110,110,2021,Single-person household,East,No,0.05805,40,9843,0.04311,0.07804
111,111,2021,Couple without children,West,Yes,0.95767,2254,9843,0.91889,1.0069
112,112,2021,Couple without children,West,No,0.04233,107,9843,0.0315,0.05572
113,113,2021,Couple without children,East,Yes,0.95581,722,9843,0.86183,1.03738
114,114,2021,Couple without children,East,No,0.04419,38,9843,0.03161,0.05852
115,115,2021,Single parent,West,Yes,0.87726,556,9843,0.77561,0.96605
116,116,2021,Single parent,West,No,0.12274,43,9843,0.07703,0.17525
117,117,2021,Single parent,East,Yes,1.0,216,9843,0.84635,1.15518
118,118,2021,Couple with children,West,Yes,0.94999,2223,9843,0.90383,1.00112
119,119,2021,Couple with children,West,No,0.05001,143,9843,0.03805,0.06633
120,120,2021,Couple with children,East,Yes,1.0,489,9843,0.87452,1.12954
121,121,2021,Multi-generational household,West,Yes,1.0,48,9843,0.59528,1.56262
122,122,2021,Other Combinations,West,Yes,1.0,166,9843,0.82509,1.1371
123,123,2021,Other Combinations,East,Yes,1.0,33,9843,0.64542,1.40256
