year,hhtyp,regtyp,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,Single-person household,Rural regions,No,0.09958,111,1235,0.08287,0.11629
2017,Couple without children,Urban regions,Yes,0.95745,2752,2889,0.95009,0.96482
2017,Couple without children,Urban regions,No,0.04255,137,2889,0.03518,0.04991
2017,Couple without children,Rural regions,Yes,0.96012,1649,1720,0.95087,0.96937
2017,Couple without children,Rural regions,No,0.03988,71,1720,0.03063,0.04913
2017,Single parent,Urban regions,Yes,0.90269,902,992,0.88424,0.92114
2017,Single parent,Urban regions,No,0.09731,90,992,0.07886,0.11576
2017,Single parent,Rural regions,Yes,0.93249,504,546,0.91142,0.95356
2017,Single parent,Rural regions,No,0.06751,42,546,0.04644,0.08858
2017,Couple with children,Urban regions,Yes,0.94205,3325,3505,0.93432,0.94979
2017,Couple with children,Urban regions,No,0.05795,180,3505,0.05021,0.06568
2017,Couple with children,Rural regions,Yes,0.95988,1730,1808,0.95083,0.96893
2017,Couple with children,Rural regions,No,0.04012,78,1808,0.03107,0.04917
2017,Multi-generational household,Urban regions,Yes,0.87922,61,61,0.79676,0.96168
2017,Multi-generational household,Rural regions,Yes,0.95980,40,40,0.89815,1.02145
2017,Other Combinations,Urban regions,Yes,0.87152,168,168,0.82077,0.92227
2017,Other Combinations,Rural regions,Yes,0.91045,70,70,0.84307,0.97782
2018,Single-person household,Urban regions,Yes,0.92929,2542,2756,0.91972,0.93886
2018,Single-person household,Urban regions,No,0.07071,214,2756,0.06114,0.08028
2018,Single-person household,Rural regions,Yes,0.92729,1166,1260,0.91294,0.94163
2018,Single-person household,Rural regions,No,0.07271,94,1260,0.05837,0.08706
2018,Couple without children,Urban regions,Yes,0.96248,2747,2863,0.95552,0.96944
2018,Couple without children,Urban regions,No,0.03752,116,2863,0.03056,0.04448
2018,Couple without children,Rural regions,Yes,0.96891,1620,1679,0.96060,0.97721
2018,Couple without children,Rural regions,No,0.03109,59,1679,0.02279,0.03940
2018,Single parent,Urban regions,Yes,0.93479,943,1007,0.91953,0.95004
2018,Single parent,Urban regions,No,0.06521,64,1007,0.04996,0.08047
2018,Single parent,Rural regions,Yes,0.91151,472,504,0.88669,0.93633
2018,Single parent,Rural regions,No,0.08849,32,504,0.06367,0.11331
2018,Couple with children,Urban regions,Yes,0.94684,3132,3300,0.93918,0.95450
2018,Couple with children,Urban regions,No,0.05316,168,3300,0.04550,0.06082
2018,Couple with children,Rural regions,Yes,0.96342,1648,1719,0.95454,0.97229
2018,Couple with children,Rural regions,No,0.03658,71,1719,0.02771,0.04546
2018,Multi-generational household,Rural regions,Yes,0.97077,38,38,0.91650,1.02505
2018,Other Combinations,Urban regions,Yes,0.92965,151,151,0.88872,0.97057
2018,Other Combinations,Rural regions,Yes,0.93034,58,58,0.86424,0.99643
2019,Single-person household,Urban regions,Yes,0.92967,2046,2214,0.91902,0.94033
2019,Single-person household,Urban regions,No,0.07033,168,2214,0.05967,0.08098
2019,Single-person household,Rural regions,Yes,0.92062,975,1046,0.90423,0.93701
2019,Single-person household,Rural regions,No,0.07938,71,1046,0.06299,0.09577
2019,Couple without children,Urban regions,Yes,0.96447,2319,2414,0.95708,0.97186
2019,Couple without children,Urban regions,No,0.03553,95,2414,0.02814,0.04292
2019,Couple without children,Rural regions,Yes,0.96760,1399,1451,0.95849,0.97671
2019,Couple without children,Rural regions,No,0.03240,52,1451,0.02329,0.04151
2019,Single parent,Urban regions,Yes,0.92982,785,835,0.91248,0.94716
2019,Single parent,Urban regions,No,0.07018,50,835,0.05284,0.08752
2019,Single parent,Rural regions,Yes,0.92245,375,375,0.89534,0.94956
2019,Couple with children,Urban regions,Yes,0.95546,2504,2617,0.94756,0.96337
2019,Couple with children,Urban regions,No,0.04454,113,2617,0.03663,0.05244
2019,Couple with children,Rural regions,Yes,0.96985,1347,1397,0.96088,0.97882
2019,Couple with children,Rural regions,No,0.03015,50,1397,0.02118,0.03912
2019,Multi-generational household,Urban regions,Yes,0.97590,53,53,0.93422,1.01758
2019,Other Combinations,Urban regions,Yes,0.96083,105,105,0.92355,0.99812
2019,Other Combinations,Rural regions,Yes,0.94551,46,46,0.87919,1.01183
2020,Single-person household,Urban regions,Yes,0.92491,2871,3257,0.91585,0.93396
2020,Single-person household,Urban regions,No,0.07509,386,3257,0.06604,0.08415
2020,Single-person household,Rural regions,Yes,0.93181,1235,1335,0.91828,0.94533
2020,Single-person household,Rural regions,No,0.06819,100,1335,0.05467,0.08172
2020,Couple without children,Urban regions,Yes,0.96036,3120,3295,0.95370,0.96703
2020,Couple without children,Urban regions,No,0.03964,175,3295,0.03297,0.04630
2020,Couple without children,Rural regions,Yes,0.94854,1642,1732,0.93813,0.95894
2020,Couple without children,Rural regions,No,0.05146,90,1732,0.04106,0.06187
2020,Single parent,Urban regions,Yes,0.89803,817,897,0.87822,0.91785
2020,Single parent,Urban regions,No,0.10197,80,897,0.08215,0.12178
2020,Single parent,Rural regions,Yes,0.91597,415,415,0.88924,0.94269
2020,Couple with children,Urban regions,Yes,0.94015,3043,3264,0.93201,0.94829
2020,Couple with children,Urban regions,No,0.05985,221,3264,0.05171,0.06799
2020,Couple with children,Rural regions,Yes,0.96285,1561,1644,0.95371,0.97200
2020,Couple with children,Rural regions,No,0.03715,83,1644,0.02800,0.04629
2020,Multi-generational household,Urban regions,Yes,0.93847,61,61,0.87766,0.99927
2020,Multi-generational household,Rural regions,Yes,0.96176,46,46,0.90572,1.01779
2020,Other Combinations,Urban regions,Yes,0.92575,182,182,0.88756,0.96395
2020,Other Combinations,Rural regions,Yes,0.92584,78,78,0.86732,0.98437
2021,Single-person household,Urban regions,Yes,0.92987,1777,1951,0.91853,0.94120
2021,Single-person household,Urban regions,No,0.07013,174,1951,0.05880,0.08147
2021,Single-person household,Rural regions,Yes,0.94176,800,847,0.92598,0.95754
2021,Single-person household,Rural regions,No,0.05824,47,847,0.04246,0.07402
2021,Couple without children,Urban regions,Yes,0.95460,1926,2016,0.94551,0.96369
2021,Couple without children,Urban regions,No,0.04540,90,2016,0.03631,0.05449
2021,Couple without children,Rural regions,Yes,0.96049,1056,1112,0.94904,0.97195
2021,Couple without children,Rural regions,No,0.03951,56,1112,0.02805,0.05096
2021,Single parent,Urban regions,Yes,0.88089,494,530,0.85329,0.90850
2021,Single parent,Urban regions,No,0.11911,36,530,0.09150,0.14671
2021,Single parent,Rural regions,Yes,0.92563,278,278,0.89474,0.95653
2021,Couple with children,Urban regions,Yes,0.94529,1784,1908,0.93508,0.95550
2021,Couple with children,Urban regions,No,0.05471,124,1908,0.04450,0.06492
2021,Couple with children,Rural regions,Yes,0.97377,939,976,0.96374,0.98380
2021,Couple with children,Rural regions,No,0.02623,37,976,0.01620,0.03626
2021,Multi-generational household,Urban regions,Yes,0.95725,38,38,0.89206,1.02243
2021,Other Combinations,Urban regions,Yes,0.94165,144,144,0.90323,0.98007
2021,Other Combinations,Rural regions,Yes,0.92019,62,62,0.85218,0.98820
2022,No answer / don't know,Urban regions,Yes,0.89369,249,288,0.85803,0.92936
2022,No answer / don't know,Urban regions,No,0.10631,39,288,0.07064,0.14197
2022,No answer / don't know,Rural regions,Yes,0.86736,126,126,0.80790,0.92682
2022,Single-person household,Urban regions,Yes,0.92681,3594,4012,0.91875,0.93487
2022,Single-person household,Urban regions,No,0.07319,418,4012,0.06513,0.08125
2022,Single-person household,Rural regions,Yes,0.92782,1436,1547,0.91492,0.94072
2022,Single-person household,Rural regions,No,0.07218,111,1547,0.05928,0.08508
2022,Couple without children,Urban regions,Yes,0.95918,3694,3894,0.95297,0.96540
2022,Couple without children,Urban regions,No,0.04082,200,3894,0.03460,0.04703
2022,Couple without children,Rural regions,Yes,0.96772,1744,1824,0.95960,0.97583
2022,Couple without children,Rural regions,No,0.03228,80,1824,0.02417,0.04040
2022,Single parent,Urban regions,Yes,0.91099,703,762,0.89076,0.93122
2022,Single parent,Urban regions,No,0.08901,59,762,0.06878,0.10924
2022,Single parent,Rural regions,Yes,0.91980,351,351,0.89134,0.94825
2022,Couple with children,Urban regions,Yes,0.94629,3173,3358,0.93867,0.95392
2022,Couple with children,Urban regions,No,0.05371,185,3358,0.04608,0.06133
2022,Couple with children,Rural regions,Yes,0.95254,1703,1793,0.94270,0.96238
2022,Couple with children,Rural regions,No,0.04746,90,1793,0.03762,0.05730
2022,Multi-generational household,Urban regions,Yes,0.94362,44,44,0.87468,1.01256
2022,Multi-generational household,Rural regions,Yes,0.95416,33,33,0.88170,1.02662
2022,Other Combinations,Urban regions,Yes,0.86381,646,758,0.83938,0.88825
2022,Other Combinations,Urban regions,No,0.13619,112,758,0.11175,0.16062
2022,Other Combinations,Rural regions,Yes,0.87030,289,338,0.83443,0.90617
2022,Other Combinations,Rural regions,No,0.12970,49,338,0.09383,0.16557
