"hgeqpmglass","year","quintil","regtyp","n","percent","lower_confidence","upper_confidence"
"Ja","2016","3","Staedtischer Raum","3862","0.914520142702836","0.906033016201676","0.923007269203996"
"Ja","2016","4","Laendlicher Raum","3190","0.945431037305413","0.937741789400696","0.953120285210131"
"Ja","2016","4","Staedtischer Raum","5585","0.953244793178432","0.947862447797392","0.958627138559471"
"Ja","2016","5","Laendlicher Raum","2508","0.972678746916821","0.966388419397653","0.978969074435989"
"Ja","2016","5","Staedtischer Raum","6593","0.947407591937138","0.94215817993311","0.952657003941165"
"Nein","2016","1","Laendlicher Raum","232","0.108927608030381","0.0948670445859103","0.122988171474852"
"Nein","2016","1","Staedtischer Raum","442","0.141419251505687","0.129141105976404","0.15369739703497"
"Nein","2016","2","Laendlicher Raum","184","0.0607345421248403","0.0510135683133492","0.0704555159363314"
"Nein","2016","2","Staedtischer Raum","399","0.114167513414264","0.104114333050839","0.124220693777688"
"Nein","2016","3","Laendlicher Raum","136","0.0430433124706861","0.035292643485127","0.0507939814562451"
"Nein","2016","3","Staedtischer Raum","307","0.0854798572971638","0.0769927307960039","0.0939669837983236"
"Nein","2016","4","Laendlicher Raum","162","0.0545689626945868","0.0468797147898692","0.0622582105993044"
"Nein","2016","4","Staedtischer Raum","325","0.0467552068215682","0.0413728614405286","0.0521375522026078"
"Nein","2016","5","Laendlicher Raum","72","0.0273212530831791","0.021030925564011","0.0336115806023473"
"Nein","2016","5","Staedtischer Raum","353","0.0525924080628625","0.0473429960588348","0.0578418200668901"
"Ja","2017","1","Laendlicher Raum","1575","0.892912736447385","0.878416649132469","0.907408823762301"
"Ja","2017","1","Staedtischer Raum","2563","0.889983768326951","0.878511840544289","0.901455696109613"
"Ja","2017","2","Laendlicher Raum","1977","0.936373765599914","0.926020153723149","0.94672737747668"
"Ja","2017","2","Staedtischer Raum","3250","0.900710738895816","0.890877551925269","0.910543925866364"
"Ja","2017","3","Laendlicher Raum","2708","0.92497677866701","0.915327370308132","0.934626187025889"
"Ja","2017","3","Staedtischer Raum","4163","0.936224044228423","0.929017087046175","0.94343100141067"
"Ja","2017","4","Laendlicher Raum","3608","0.955726645124081","0.949149949141533","0.96230334110663"
"Ja","2017","4","Staedtischer Raum","6065","0.945115701074575","0.939527522597829","0.950703879551322"
"Ja","2017","5","Laendlicher Raum","3209","0.969601500412843","0.963745753878","0.975457246947686"
"Ja","2017","5","Staedtischer Raum","8149","0.950342275531376","0.945729506329553","0.954955044733198"
"Nein","2017","1","Laendlicher Raum","173","0.107087263552615","0.0925911762376991","0.121583350867531"
"Nein","2017","1","Staedtischer Raum","295","0.110016231673049","0.0985443038903866","0.121488159455711"
"Nein","2017","2","Laendlicher Raum","158","0.0636262344000858","0.0532726225233203","0.0739798462768514"
"Nein","2017","2","Staedtischer Raum","303","0.0992892611041835","0.0894560741336363","0.109122448074731"
"Nein","2017","3","Laendlicher Raum","155","0.0750232213329896","0.0653738129741114","0.0846726296918677"
"Nein","2017","3","Staedtischer Raum","253","0.0637759557715774","0.05656899858933","0.0709829129538249"
"Nein","2017","4","Laendlicher Raum","150","0.0442733548759186","0.0376966588933704","0.0508500508584668"
"Nein","2017","4","Staedtischer Raum","316","0.0548842989254248","0.0492961204486781","0.0604724774021714"
"Nein","2017","5","Laendlicher Raum","93","0.030398499587157","0.0245427530523139","0.0362542461220001"
"Nein","2017","5","Staedtischer Raum","371","0.0496577244686245","0.0450449552668016","0.0542704936704474"
"Ja","2018","1","Laendlicher Raum","1388","0.90799789388638","0.893682822522753","0.922312965250007"
"Ja","2018","1","Staedtischer Raum","2337","0.895215832770583","0.883438682187234","0.906992983353932"
"Ja","2018","2","Laendlicher Raum","1695","0.937194922966951","0.925914725117125","0.948475120816776"
"Ja","2018","2","Staedtischer Raum","2979","0.920004584074703","0.910588975896579","0.929420192252826"
"Ja","2018","3","Laendlicher Raum","2546","0.954164356682493","0.946227476147933","0.962101237217053"
"Ja","2018","3","Staedtischer Raum","3925","0.944995062405801","0.938075228484564","0.951914896327038"
"Ja","2018","4","Laendlicher Raum","3595","0.961618780280047","0.955462546675807","0.967775013884288"
"Ja","2018","4","Staedtischer Raum","6261","0.953809619383926","0.948731492964492","0.958887745803361"
"Ja","2018","5","Laendlicher Raum","3365","0.970153593706312","0.964469701259993","0.975837486152632"
"Ja","2018","5","Staedtischer Raum","8290","0.963130526645779","0.959147851291605","0.967113201999954"
"Nein","2018","1","Laendlicher Raum","178","0.0920021061136199","0.0776870347499924","0.106317177477247"
"Nein","2018","1","Staedtischer Raum","261","0.104784167229417","0.093007016646068","0.116561317812766"
"Nein","2018","2","Laendlicher Raum","82","0.062805077033049","0.0515248791832236","0.0740852748828744"
"Nein","2018","2","Staedtischer Raum","210","0.0799954159252975","0.0705798077471739","0.0894110241034212"
"Nein","2018","3","Laendlicher Raum","121","0.0458356433175073","0.0378987627829475","0.053772523852067"
"Nein","2018","3","Staedtischer Raum","245","0.0550049375941991","0.0480851036729621","0.0619247715154362"
"Nein","2018","4","Laendlicher Raum","146","0.0383812197199526","0.0322249861157117","0.0445374533241935"
"Nein","2018","4","Staedtischer Raum","302","0.0461903806160735","0.0411122541966394","0.0512685070355076"
"Nein","2018","5","Laendlicher Raum","78","0.0298464062936878","0.0241625138473681","0.0355302987400075"
"Nein","2018","5","Staedtischer Raum","310","0.0368694733542208","0.0328867980000464","0.0408521487083953"
"Ja","2019","1","Laendlicher Raum","963","0.918887301263775","0.902529242926256","0.935245359601293"
"Ja","2019","1","Staedtischer Raum","1567","0.930967004514583","0.918869771290301","0.943064237738865"
"Ja","2019","2","Laendlicher Raum","1226","0.926371853828024","0.912086855702536","0.940656851953512"
"Ja","2019","2","Staedtischer Raum","2205","0.904400590788454","0.892624440079748","0.91617674149716"
"Ja","2019","3","Laendlicher Raum","1922","0.944941007010676","0.935011271133112","0.95487074288824"
"Ja","2019","3","Staedtischer Raum","2891","0.953287735854119","0.945802385183314","0.960773086524924"
"Ja","2019","4","Laendlicher Raum","3120","0.966433891052694","0.960223539464968","0.97264424264042"
"Ja","2019","4","Staedtischer Raum","5081","0.955585807571038","0.950033710661822","0.961137904480254"
"Ja","2019","5","Laendlicher Raum","3221","0.971696453441028","0.966027956398732","0.977364950483325"
"Ja","2019","5","Staedtischer Raum","7491","0.966015071971513","0.961984483796534","0.970045660146493"
"Nein","2019","1","Laendlicher Raum","107","0.0811126987362252","0.0647546403987068","0.0974707570737436"
"Nein","2019","1","Staedtischer Raum","120","0.0690329954854172","0.0569357622611351","0.0811302287096993"
"Nein","2019","2","Laendlicher Raum","58","0.0736281461719764","0.0593431480464882","0.0879131442974645"
"Nein","2019","2","Staedtischer Raum","190","0.0955994092115463","0.0838232585028404","0.107375559920252"
"Nein","2019","3","Laendlicher Raum","105","0.0550589929893242","0.04512925711176","0.0649887288668884"
"Nein","2019","3","Staedtischer Raum","162","0.0467122641458808","0.0392269134750761","0.0541976148166855"
"Nein","2019","4","Laendlicher Raum","111","0.0335661089473064","0.0273557573595804","0.0397764605350324"
"Nein","2019","4","Staedtischer Raum","208","0.0444141924289619","0.038862095519746","0.0499662893381779"
"Nein","2019","5","Laendlicher Raum","67","0.0283035465589716","0.0226350495166749","0.0339720436012683"
"Nein","2019","5","Staedtischer Raum","272","0.0339849280284866","0.0299543398535074","0.0380155162034658"
"Ja","2020","1","Laendlicher Raum","952","0.836860227243117","0.815345317595055","0.858375136891178"
"Ja","2020","1","Staedtischer Raum","1753","0.883862902650763","0.870097466140894","0.897628339160631"
"Ja","2020","2","Laendlicher Raum","1345","0.939316094642092","0.927225857275485","0.9514063320087"
"Ja","2020","2","Staedtischer Raum","2348","0.895499628613987","0.883900603570968","0.907098653657006"
"Ja","2020","3","Laendlicher Raum","2015","0.948383244612326","0.939002590625561","0.957763898599092"
"Ja","2020","3","Staedtischer Raum","3016","0.936651237858404","0.928365387773453","0.944937087943355"
"Ja","2020","4","Laendlicher Raum","3561","0.954009171170223","0.947302328210164","0.960716014130282"
"Ja","2020","4","Staedtischer Raum","6016","0.943138154000816","0.937498411479163","0.948777896522469"
"Ja","2020","5","Laendlicher Raum","4422","0.965395899937556","0.960090939196523","0.97070086067859"
"Ja","2020","5","Staedtischer Raum","10667","0.960348126189256","0.956724918493513","0.963971333885"
"Nein","2020","1","Laendlicher Raum","181","0.163139772756883","0.141624863108822","0.184654682404945"
"Nein","2020","1","Staedtischer Raum","328","0.116137097349237","0.102371660839368","0.129902533859106"
"Nein","2020","2","Laendlicher Raum","153","0.0606839053579075","0.0485936679913","0.072774142724515"
"Nein","2020","2","Staedtischer Raum","324","0.104500371386013","0.092901346342994","0.116099396429032"
"Nein","2020","3","Laendlicher Raum","122","0.0516167553876737","0.0422361014009082","0.0609974093744392"
"Nein","2020","3","Staedtischer Raum","304","0.063348762141596","0.055062912056645","0.071634612226547"
"Nein","2020","4","Laendlicher Raum","186","0.0459908288297773","0.0392839858697183","0.0526976717898364"
"Nein","2020","4","Staedtischer Raum","461","0.056861845999184","0.0512221034775314","0.0625015885208366"
"Nein","2020","5","Laendlicher Raum","138","0.0346041000624436","0.0292991393214103","0.0399090608034768"
"Nein","2020","5","Staedtischer Raum","476","0.0396518738107436","0.0360286661150001","0.0432750815064872"
