year,sampreg,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,West,Yes,0.07725,1004,9360,0.07184,0.08265
1996,West,No,0.74338,8356,9360,0.73454,0.75223
1996,East,Yes,0.09176,502,3684,0.08243,0.10108
1996,East,No,0.73716,3182,3684,0.72295,0.75138
1997,West,Yes,0.08047,1014,9194,0.07490,0.08603
1997,West,No,0.74067,8180,9194,0.73171,0.74963
1997,East,Yes,0.08959,494,3633,0.08030,0.09888
1997,East,No,0.74711,3139,3633,0.73297,0.76124
1998,West,Yes,0.08023,1106,10373,0.07500,0.08545
1998,West,No,0.74315,9267,10373,0.73475,0.75156
1998,East,Yes,0.07860,466,3865,0.07011,0.08708
1998,East,No,0.75925,3399,3865,0.74577,0.77273
1999,West,Yes,0.08111,1080,9891,0.07573,0.08649
1999,West,No,0.74278,8811,9891,0.73416,0.75139
1999,East,Yes,0.08744,482,3783,0.07843,0.09644
1999,East,No,0.75847,3301,3783,0.74483,0.77211
2000,West,Yes,0.07562,1850,18259,0.07179,0.07946
2000,West,No,0.74723,16409,18259,0.74092,0.75353
2000,East,Yes,0.08985,737,5848,0.08252,0.09718
2000,East,No,0.75838,5111,5848,0.74740,0.76935
2001,West,Yes,0.07918,1738,16486,0.07506,0.08330
2001,West,No,0.74350,14748,16486,0.73683,0.75016
2001,East,Yes,0.09477,706,5435,0.08698,0.10256
2001,East,No,0.76288,4729,5435,0.75157,0.77419
2002,West,Yes,0.07895,1901,17597,0.07496,0.08293
2002,West,No,0.74487,15696,17597,0.73843,0.75131
2002,East,Yes,0.10312,727,5429,0.09503,0.11121
2002,East,No,0.76117,4702,5429,0.74982,0.77251
2003,West,Yes,0.07908,1821,16821,0.07500,0.08316
2003,West,No,0.74610,15000,16821,0.73952,0.75268
2003,East,Yes,0.09681,690,5344,0.08888,0.10474
2003,East,No,0.77080,4654,5344,0.75953,0.78207
2004,West,Yes,0.08098,1839,16389,0.07680,0.08516
2004,West,No,0.74795,14550,16389,0.74130,0.75460
2004,East,Yes,0.09794,672,5223,0.08988,0.10600
2004,East,No,0.77524,4551,5223,0.76392,0.78656
2005,West,Yes,0.08633,1764,15660,0.08193,0.09073
2005,West,No,0.74838,13896,15660,0.74159,0.75518
2005,East,Yes,0.10355,635,5037,0.09514,0.11197
2005,East,No,0.76999,4402,5037,0.75837,0.78161
2006,West,Yes,0.07227,1519,16692,0.06834,0.07620
2006,West,No,0.75466,15173,16692,0.74813,0.76118
2006,East,Yes,0.08599,548,5275,0.07842,0.09356
2006,East,No,0.78226,4727,5275,0.77112,0.79340
2007,West,Yes,0.07147,1424,15498,0.06741,0.07553
2007,West,No,0.75499,14074,15498,0.74822,0.76176
2007,East,Yes,0.09294,554,5011,0.08490,0.10098
2007,East,No,0.78248,4457,5011,0.77106,0.79391
2008,West,Yes,0.07475,1369,14546,0.07047,0.07902
2008,West,No,0.75760,13177,14546,0.75064,0.76456
2008,East,Yes,0.08628,499,4770,0.07831,0.09425
2008,East,No,0.79003,4271,4770,0.77847,0.80159
2009,West,Yes,0.08069,1294,13477,0.07609,0.08529
2009,West,No,0.75714,12183,13477,0.74990,0.76438
2009,East,Yes,0.08244,422,4541,0.07444,0.09044
2009,East,No,0.78701,4119,4541,0.77510,0.79892
2010,West,Yes,0.08628,1708,18496,0.08223,0.09032
2010,West,No,0.75142,16788,18496,0.74519,0.75765
2010,East,Yes,0.08970,518,5471,0.08213,0.09727
2010,East,No,0.78884,4953,5471,0.77802,0.79965
2011,West,Yes,0.07994,2029,22061,0.07636,0.08352
2011,West,No,0.75251,20032,22061,0.74681,0.75820
2011,East,Yes,0.07591,549,6311,0.06937,0.08244
2011,East,No,0.79110,5762,6311,0.78107,0.80113
2012,West,Yes,0.08084,2027,21462,0.07719,0.08448
2012,West,No,0.75411,19435,21462,0.74835,0.75987
2012,East,Yes,0.06646,507,6172,0.06025,0.07268
2012,East,No,0.79890,5665,6172,0.78890,0.80890
2013,West,Yes,0.08476,2651,24515,0.08127,0.08824
2013,West,No,0.75166,21864,24515,0.74626,0.75707
2013,East,Yes,0.06507,509,6106,0.05888,0.07126
2013,East,No,0.80272,5597,6106,0.79274,0.81270
2014,West,Yes,0.08760,2345,21497,0.08382,0.09138
2014,West,No,0.75201,19152,21497,0.74623,0.75778
2014,East,Yes,0.06879,483,5583,0.06215,0.07543
2014,East,No,0.78921,5100,5583,0.77851,0.79991
2015,West,Yes,0.08456,2280,21380,0.08083,0.08829
2015,West,No,0.75719,19100,21380,0.75144,0.76294
2015,East,Yes,0.06536,457,5406,0.05877,0.07195
2015,East,No,0.79125,4949,5406,0.78042,0.80209
2016,West,Yes,0.08555,2182,21718,0.08183,0.08927
2016,West,No,0.75391,19536,21718,0.74818,0.75963
2016,East,Yes,0.06591,401,5538,0.05938,0.07245
2016,East,No,0.78481,5137,5538,0.77399,0.79564
2017,West,Yes,0.08594,2612,24345,0.08242,0.08946
2017,West,No,0.75201,21733,24345,0.74659,0.75744
2017,East,Yes,0.07049,500,6170,0.06411,0.07688
2017,East,No,0.77723,5670,6170,0.76685,0.78762
2018,West,Yes,0.08097,2517,23197,0.07746,0.08448
2018,West,No,0.76250,20680,23197,0.75703,0.76798
2018,East,Yes,0.06333,489,6009,0.05717,0.06949
2018,East,No,0.77980,5520,6009,0.76932,0.79028
2019,West,Yes,0.07851,2347,22998,0.07504,0.08199
2019,West,No,0.75766,20651,22998,0.75213,0.76320
2019,East,Yes,0.06597,444,6000,0.05969,0.07225
2019,East,No,0.78094,5556,6000,0.77048,0.79141
2020,West,Yes,0.08056,2528,23576,0.07709,0.08404
2020,West,No,0.75306,21048,23576,0.74755,0.75856
2020,East,Yes,0.06193,441,5826,0.05574,0.06812
2020,East,No,0.78242,5385,5826,0.77183,0.79302
2021,West,Yes,0.07916,1719,15620,0.07492,0.08339
2021,West,No,0.75003,13901,15620,0.74324,0.75682
2021,East,Yes,0.06901,335,3889,0.06105,0.07698
2021,East,No,0.76381,3554,3889,0.75046,0.77716
2022,West,Yes,0.08325,2769,21990,0.07960,0.08690
2022,West,No,0.73772,19221,21990,0.73190,0.74353
2022,East,Yes,0.07053,611,5842,0.06396,0.07710
2022,East,No,0.76281,5231,5842,0.75191,0.77372
