year,regtyp,sex,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,Rural regions,male,Yes,0.08728,271,2151,0.07535,0.09921
1997,Rural regions,male,No,0.72422,1880,2151,0.70533,0.74311
1997,Rural regions,female,Yes,0.06984,254,2286,0.05939,0.08029
1997,Rural regions,female,No,0.74928,2032,2286,0.73151,0.76705
1998,Urban regions,male,Yes,0.09011,527,4474,0.08172,0.09850
1998,Urban regions,male,No,0.73041,3947,4474,0.71741,0.74342
1998,Urban regions,female,Yes,0.07418,492,4815,0.06678,0.08159
1998,Urban regions,female,No,0.76744,4323,4815,0.75550,0.77937
1998,Rural regions,male,Yes,0.08581,297,2414,0.07463,0.09698
1998,Rural regions,male,No,0.72390,2117,2414,0.70607,0.74174
1998,Rural regions,female,Yes,0.06562,256,2535,0.05598,0.07526
1998,Rural regions,female,No,0.75423,2279,2535,0.73747,0.77100
1999,Urban regions,male,Yes,0.09674,527,4291,0.08789,0.10558
1999,Urban regions,male,No,0.72753,3764,4291,0.71420,0.74085
1999,Urban regions,female,Yes,0.07304,490,4603,0.06552,0.08056
1999,Urban regions,female,No,0.76701,4113,4603,0.75479,0.77922
1999,Rural regions,male,Yes,0.08076,274,2318,0.06967,0.09185
1999,Rural regions,male,No,0.73082,2044,2318,0.71276,0.74888
1999,Rural regions,female,Yes,0.07361,271,2462,0.06330,0.08393
1999,Rural regions,female,No,0.75131,2191,2462,0.73423,0.76839
2000,Urban regions,male,Yes,0.08595,858,7534,0.07962,0.09227
2000,Urban regions,male,No,0.73281,6676,7534,0.72282,0.74281
2000,Urban regions,female,Yes,0.07173,821,8214,0.06615,0.07731
2000,Urban regions,female,No,0.76746,7393,8214,0.75832,0.77659
2000,Rural regions,male,Yes,0.07991,439,4049,0.07155,0.08826
2000,Rural regions,male,No,0.73665,3610,4049,0.72308,0.75022
2000,Rural regions,female,Yes,0.07505,469,4310,0.06719,0.08292
2000,Rural regions,female,No,0.75630,3841,4310,0.74349,0.76912
2001,Urban regions,male,Yes,0.08619,768,6838,0.07953,0.09284
2001,Urban regions,male,No,0.73132,6070,6838,0.72081,0.74183
2001,Urban regions,female,Yes,0.08202,836,7498,0.07581,0.08823
2001,Urban regions,female,No,0.75729,6662,7498,0.74759,0.76700
2001,Rural regions,male,Yes,0.07999,406,3687,0.07123,0.08874
2001,Rural regions,male,No,0.74850,3281,3687,0.73449,0.76251
2001,Rural regions,female,Yes,0.07541,434,3898,0.06712,0.08370
2001,Rural regions,female,No,0.75604,3464,3898,0.74256,0.76952
2002,Urban regions,male,Yes,0.08845,838,7367,0.08197,0.09494
2002,Urban regions,male,No,0.73211,6529,7367,0.72199,0.74222
2002,Urban regions,female,Yes,0.07782,883,7936,0.07193,0.08372
2002,Urban regions,female,No,0.76373,7053,7936,0.75438,0.77307
2002,Rural regions,male,Yes,0.08870,457,3760,0.07961,0.09779
2002,Rural regions,male,No,0.73791,3303,3760,0.72385,0.75196
2002,Rural regions,female,Yes,0.07955,450,3963,0.07112,0.08798
2002,Rural regions,female,No,0.75574,3513,3963,0.74236,0.76912
2003,Urban regions,male,Yes,0.09198,823,7088,0.08525,0.09871
2003,Urban regions,male,No,0.73146,6265,7088,0.72114,0.74178
2003,Urban regions,female,Yes,0.07473,837,7675,0.06885,0.08061
2003,Urban regions,female,No,0.76512,6838,7675,0.75564,0.77461
2003,Rural regions,male,Yes,0.08486,425,3588,0.07574,0.09397
2003,Rural regions,male,No,0.74367,3163,3588,0.72938,0.75795
2003,Rural regions,female,Yes,0.07600,426,3814,0.06759,0.08442
2003,Rural regions,female,No,0.76554,3388,3814,0.75209,0.77899
2004,Urban regions,male,Yes,0.09372,842,6879,0.08684,0.10061
2004,Urban regions,male,No,0.73247,6037,6879,0.72201,0.74293
2004,Urban regions,female,Yes,0.07857,850,7497,0.07248,0.08467
2004,Urban regions,female,No,0.76417,6647,7497,0.75456,0.77378
2004,Rural regions,male,Yes,0.08083,397,3501,0.07180,0.08986
2004,Rural regions,male,No,0.75629,3104,3501,0.74206,0.77051
2004,Rural regions,female,Yes,0.07854,422,3735,0.06991,0.08717
2004,Rural regions,female,No,0.76755,3313,3735,0.75400,0.78110
2005,Urban regions,male,Yes,0.09924,810,6572,0.09201,0.10647
2005,Urban regions,male,No,0.73212,5762,6572,0.72141,0.74282
2005,Urban regions,female,Yes,0.08589,829,7210,0.07942,0.09236
2005,Urban regions,female,No,0.76411,6381,7210,0.75431,0.77391
2005,Rural regions,male,Yes,0.08380,364,3327,0.07439,0.09322
2005,Rural regions,male,No,0.75377,2963,3327,0.73913,0.76841
2005,Rural regions,female,Yes,0.08197,396,3588,0.07300,0.09095
2005,Rural regions,female,No,0.76735,3192,3588,0.75352,0.78118
2006,Urban regions,male,Yes,0.08460,672,6893,0.07803,0.09117
2006,Urban regions,male,No,0.74256,6221,6893,0.73224,0.75288
2006,Urban regions,female,Yes,0.07191,715,7595,0.06609,0.07772
2006,Urban regions,female,No,0.77016,6880,7595,0.76069,0.77962
2006,Rural regions,male,Yes,0.06820,326,3578,0.05994,0.07646
2006,Rural regions,male,No,0.75535,3252,3578,0.74126,0.76944
2006,Rural regions,female,Yes,0.06689,354,3901,0.05904,0.07473
2006,Rural regions,female,No,0.77652,3547,3901,0.76345,0.78960
2007,Urban regions,male,Yes,0.07845,611,6384,0.07186,0.08505
2007,Urban regions,male,No,0.74708,5773,6384,0.73642,0.75775
2007,Urban regions,female,Yes,0.07329,694,7102,0.06723,0.07936
2007,Urban regions,female,No,0.76571,6408,7102,0.75586,0.77556
2007,Rural regions,male,Yes,0.07738,336,3389,0.06838,0.08638
2007,Rural regions,male,No,0.75059,3053,3389,0.73602,0.76516
2007,Rural regions,female,Yes,0.07142,337,3634,0.06305,0.07979
2007,Rural regions,female,No,0.78347,3297,3634,0.77007,0.79686
2008,Urban regions,male,Yes,0.08279,589,6016,0.07582,0.08975
2008,Urban regions,male,No,0.74868,5427,6016,0.73772,0.75964
2008,Urban regions,female,Yes,0.07339,665,6685,0.06714,0.07964
2008,Urban regions,female,No,0.76912,6020,6685,0.75901,0.77922
2008,Rural regions,male,Yes,0.07347,300,3189,0.06441,0.08253
2008,Rural regions,male,No,0.75937,2889,3189,0.74453,0.77420
2008,Rural regions,female,Yes,0.07501,314,3426,0.06619,0.08383
2008,Rural regions,female,No,0.78559,3112,3426,0.77184,0.79933
2009,Urban regions,male,Yes,0.09087,578,5553,0.08331,0.09843
2009,Urban regions,male,No,0.74473,4975,5553,0.73327,0.75620
2009,Urban regions,female,Yes,0.07799,592,6166,0.07129,0.08468
2009,Urban regions,female,No,0.76836,5574,6166,0.75783,0.77889
2009,Rural regions,male,Yes,0.07192,275,3045,0.06274,0.08110
2009,Rural regions,male,No,0.76425,2770,3045,0.74917,0.77933
2009,Rural regions,female,Yes,0.07618,271,3254,0.06706,0.08530
2009,Rural regions,female,No,0.78521,2983,3254,0.77110,0.79933
2010,Urban regions,male,Yes,0.10113,751,7095,0.09411,0.10814
2010,Urban regions,male,No,0.73490,6344,7095,0.72463,0.74517
2010,Urban regions,female,Yes,0.08582,801,8576,0.07989,0.09175
2010,Urban regions,female,No,0.76369,7775,8576,0.75470,0.77268
2010,Rural regions,male,Yes,0.07210,324,3814,0.06389,0.08031
2010,Rural regions,male,No,0.76972,3490,3814,0.75636,0.78308
2010,Rural regions,female,Yes,0.07378,350,4482,0.06613,0.08144
2010,Rural regions,female,No,0.78267,4132,4482,0.77060,0.79475
2011,Urban regions,male,Yes,0.08645,820,8187,0.08036,0.09253
2011,Urban regions,male,No,0.74087,7367,8187,0.73138,0.75036
2011,Urban regions,female,Yes,0.08255,962,10028,0.07716,0.08794
2011,Urban regions,female,No,0.76268,9066,10028,0.75435,0.77101
2011,Rural regions,male,Yes,0.06931,372,4663,0.06202,0.07660
2011,Rural regions,male,No,0.76548,4291,4663,0.75331,0.77764
2011,Rural regions,female,Yes,0.06742,424,5494,0.06079,0.07405
2011,Rural regions,female,No,0.78335,5070,5494,0.77245,0.79424
2012,Urban regions,male,Yes,0.08880,801,7909,0.08253,0.09507
2012,Urban regions,male,No,0.74056,7108,7909,0.73090,0.75022
2012,Urban regions,female,Yes,0.08152,922,9624,0.07606,0.08699
2012,Urban regions,female,No,0.76299,8702,9624,0.75450,0.77149
2012,Rural regions,male,Yes,0.06663,385,4644,0.05945,0.07380
2012,Rural regions,male,No,0.77450,4259,4644,0.76248,0.78652
2012,Rural regions,female,Yes,0.06220,426,5457,0.05579,0.06861
2012,Rural regions,female,No,0.78995,5031,5457,0.77914,0.80076
2013,Urban regions,male,Yes,0.09386,1060,9168,0.08789,0.09983
2013,Urban regions,male,No,0.73701,8108,9168,0.72799,0.74602
2013,Urban regions,female,Yes,0.08408,1162,11005,0.07890,0.08927
2013,Urban regions,female,No,0.76239,9843,11005,0.75443,0.77034
2013,Rural regions,male,Yes,0.07174,438,4814,0.06445,0.07903
2013,Rural regions,male,No,0.76855,4376,4814,0.75664,0.78047
2013,Rural regions,female,Yes,0.05962,500,5634,0.05344,0.06580
2013,Rural regions,female,No,0.79652,5134,5634,0.78600,0.80703
2014,Urban regions,male,Yes,0.09379,913,8068,0.08743,0.10015
2014,Urban regions,male,No,0.73842,7155,8068,0.72883,0.74802
2014,Urban regions,female,Yes,0.08612,1067,9593,0.08050,0.09173
2014,Urban regions,female,No,0.75803,8526,9593,0.74945,0.76660
2014,Rural regions,male,Yes,0.07587,386,4364,0.06801,0.08373
2014,Rural regions,male,No,0.77025,3978,4364,0.75777,0.78273
2014,Rural regions,female,Yes,0.06929,462,5055,0.06229,0.07629
2014,Rural regions,female,No,0.78943,4593,5055,0.77819,0.80067
2015,Urban regions,male,Yes,0.08937,878,8004,0.08312,0.09562
2015,Urban regions,male,No,0.74843,7126,8004,0.73892,0.75793
2015,Urban regions,female,Yes,0.08664,1047,9495,0.08098,0.09229
2015,Urban regions,female,No,0.76042,8448,9495,0.75184,0.76901
2015,Rural regions,male,Yes,0.07011,381,4306,0.06249,0.07774
2015,Rural regions,male,No,0.77041,3925,4306,0.75785,0.78298
2015,Rural regions,female,Yes,0.06357,431,4981,0.05680,0.07035
2015,Rural regions,female,No,0.79242,4550,4981,0.78116,0.80369
2016,Urban regions,male,Yes,0.09645,899,8408,0.09014,0.10276
2016,Urban regions,male,No,0.73604,7509,8408,0.72661,0.74546
2016,Urban regions,female,Yes,0.08634,971,9470,0.08069,0.09200
2016,Urban regions,female,No,0.76074,8499,9470,0.75215,0.76934
2016,Rural regions,male,Yes,0.06506,359,4460,0.05782,0.07230
2016,Rural regions,male,No,0.77174,4101,4460,0.75942,0.78406
2016,Rural regions,female,Yes,0.06010,354,4918,0.05346,0.06674
2016,Rural regions,female,No,0.79345,4564,4918,0.78213,0.80476
2017,Urban regions,male,Yes,0.09968,1100,9437,0.09363,0.10572
2017,Urban regions,male,No,0.73072,8337,9437,0.72177,0.73967
2017,Urban regions,female,Yes,0.08571,1110,10496,0.08035,0.09107
2017,Urban regions,female,No,0.75910,9386,10496,0.75092,0.76728
2017,Rural regions,male,Yes,0.06642,475,5083,0.05957,0.07326
2017,Rural regions,male,No,0.76929,4608,5083,0.75770,0.78087
2017,Rural regions,female,Yes,0.05920,427,5499,0.05296,0.06544
2017,Rural regions,female,No,0.79304,5072,5499,0.78233,0.80375
2018,Urban regions,male,Yes,0.09539,1106,9141,0.08936,0.10141
2018,Urban regions,male,No,0.74157,8035,9141,0.73259,0.75054
2018,Urban regions,female,Yes,0.08202,1063,10109,0.07667,0.08737
2018,Urban regions,female,No,0.76650,9046,10109,0.75825,0.77474
2018,Rural regions,male,Yes,0.05429,430,4734,0.04784,0.06075
2018,Rural regions,male,No,0.78065,4304,4734,0.76887,0.79244
2018,Rural regions,female,Yes,0.05423,407,5222,0.04809,0.06037
2018,Rural regions,female,No,0.80090,4815,5222,0.79007,0.81173
2019,Urban regions,male,Yes,0.08782,978,9197,0.08204,0.09361
2019,Urban regions,male,No,0.74167,8219,9197,0.73272,0.75062
2019,Urban regions,female,Yes,0.08040,978,9617,0.07496,0.08583
2019,Urban regions,female,No,0.76380,8639,9617,0.75531,0.77229
2019,Rural regions,male,Yes,0.05895,397,4747,0.05225,0.06565
2019,Rural regions,male,No,0.77420,4350,4747,0.76230,0.78609
2019,Rural regions,female,Yes,0.05042,356,4960,0.04433,0.05651
2019,Rural regions,female,No,0.79758,4604,4960,0.78640,0.80877
2020,Urban regions,male,Yes,0.09022,1114,9957,0.08459,0.09585
2020,Urban regions,male,No,0.73824,8843,9957,0.72960,0.74687
2020,Urban regions,female,Yes,0.08167,1096,9986,0.07630,0.08704
2020,Urban regions,female,No,0.76260,8890,9986,0.75425,0.77094
2020,Rural regions,male,Yes,0.06659,388,4652,0.05943,0.07376
2020,Rural regions,male,No,0.76520,4264,4652,0.75302,0.77738
2020,Rural regions,female,Yes,0.05133,368,4800,0.04509,0.05758
2020,Rural regions,female,No,0.78518,4432,4800,0.77356,0.79680
2021,Urban regions,male,Yes,0.08760,778,6456,0.08071,0.09450
2021,Urban regions,male,No,0.73129,5678,6456,0.72047,0.74210
2021,Urban regions,female,Yes,0.08773,753,6816,0.08101,0.09445
2021,Urban regions,female,No,0.74855,6063,6816,0.73825,0.75885
2021,Rural regions,male,Yes,0.05889,262,2997,0.05046,0.06732
2021,Rural regions,male,No,0.77669,2735,2997,0.76178,0.79161
2021,Rural regions,female,Yes,0.05190,258,3232,0.04425,0.05955
2021,Rural regions,female,No,0.78073,2974,3232,0.76646,0.79499
2022,Urban regions,male,Yes,0.09473,1243,9379,0.08880,0.10066
2022,Urban regions,male,No,0.72067,8136,9379,0.71159,0.72975
2022,Urban regions,female,Yes,0.08532,1295,9662,0.07975,0.09089
2022,Urban regions,female,No,0.74043,8367,9662,0.73168,0.74917
2022,Rural regions,male,Yes,0.06763,401,4187,0.06003,0.07524
2022,Rural regions,male,No,0.75365,3786,4187,0.74059,0.76670
2022,Rural regions,female,Yes,0.05596,434,4584,0.04931,0.06262
2022,Rural regions,female,No,0.78074,4150,4584,0.76877,0.79272
