year,migback,regtyp,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Direct migration background,Rural regions,Yes,0.10552,37,370,0.07417,0.13687
1987,Direct migration background,Rural regions,No,0.82149,333,370,0.78242,0.86056
1987,Indirect migration background,Urban regions,Yes,0.04462,74,151,0.01158,0.07767
1987,Indirect migration background,Urban regions,No,0.09924,77,151,0.05140,0.14709
1988,No migration background,Urban regions,Yes,0.09736,719,5387,0.08944,0.10528
1988,No migration background,Urban regions,No,0.76371,4668,5387,0.75237,0.77506
1988,No migration background,Rural regions,Yes,0.08245,200,1695,0.06935,0.09555
1988,No migration background,Rural regions,No,0.74243,1495,1695,0.72161,0.76326
1988,Direct migration background,Urban regions,Yes,0.05986,180,2329,0.05023,0.06950
1988,Direct migration background,Urban regions,No,0.87845,2149,2329,0.86518,0.89172
1988,Direct migration background,Rural regions,Yes,0.09708,31,339,0.06551,0.12864
1988,Direct migration background,Rural regions,No,0.81994,308,339,0.77898,0.86090
1988,Indirect migration background,Urban regions,Yes,0.05864,95,189,0.02506,0.09223
1988,Indirect migration background,Urban regions,No,0.10869,94,189,0.06420,0.15318
1989,No migration background,Urban regions,Yes,0.10158,678,5209,0.09338,0.10979
1989,No migration background,Urban regions,No,0.76078,4531,5209,0.74920,0.77237
1989,No migration background,Rural regions,Yes,0.07774,178,1608,0.06465,0.09083
1989,No migration background,Rural regions,No,0.74842,1430,1608,0.72720,0.76963
1989,Direct migration background,Urban regions,Yes,0.05983,149,2268,0.05007,0.06960
1989,Direct migration background,Urban regions,No,0.88818,2119,2268,0.87520,0.90115
1989,Direct migration background,Rural regions,No,0.86901,300,300,0.83076,0.90725
1989,Indirect migration background,Urban regions,Yes,0.08795,118,222,0.05061,0.12529
1989,Indirect migration background,Urban regions,No,0.09955,104,222,0.06008,0.13903
1990,No migration background,Urban regions,Yes,0.09540,780,6457,0.08824,0.10257
1990,No migration background,Urban regions,No,0.75068,5677,6457,0.74013,0.76124
1990,No migration background,Rural regions,Yes,0.07487,452,4372,0.06707,0.08267
1990,No migration background,Rural regions,No,0.73846,3920,4372,0.72543,0.75148
1990,Direct migration background,Urban regions,Yes,0.06036,147,2255,0.05053,0.07019
1990,Direct migration background,Urban regions,No,0.89751,2108,2255,0.88499,0.91003
1990,Direct migration background,Rural regions,No,0.88333,391,391,0.85147,0.91519
1990,Indirect migration background,Urban regions,Yes,0.08641,129,253,0.05172,0.12110
1990,Indirect migration background,Urban regions,No,0.10861,124,253,0.07020,0.14703
1991,No migration background,Urban regions,Yes,0.09392,771,6263,0.08669,0.10114
1991,No migration background,Urban regions,No,0.75096,5492,6263,0.74024,0.76167
1991,No migration background,Rural regions,Yes,0.08153,488,4262,0.07331,0.08974
1991,No migration background,Rural regions,No,0.73956,3774,4262,0.72638,0.75274
1991,Direct migration background,Urban regions,Yes,0.06555,147,2211,0.05523,0.07587
1991,Direct migration background,Urban regions,No,0.90145,2064,2211,0.88902,0.91388
1991,Direct migration background,Rural regions,No,0.90646,389,389,0.87749,0.93544
1991,Indirect migration background,Urban regions,Yes,0.10591,168,300,0.07103,0.14079
1991,Indirect migration background,Urban regions,No,0.10682,132,300,0.07181,0.14183
1992,No migration background,Urban regions,Yes,0.08803,735,6183,0.08096,0.09509
1992,No migration background,Urban regions,No,0.75334,5448,6183,0.74259,0.76408
1992,No migration background,Rural regions,Yes,0.08720,519,4056,0.07852,0.09589
1992,No migration background,Rural regions,No,0.73253,3537,4056,0.71890,0.74615
1992,Direct migration background,Urban regions,Yes,0.07041,139,2141,0.05957,0.08125
1992,Direct migration background,Urban regions,No,0.90952,2002,2141,0.89736,0.92167
1992,Direct migration background,Rural regions,No,0.93430,391,391,0.90971,0.95889
1992,Indirect migration background,Urban regions,Yes,0.14092,189,344,0.10410,0.17775
1992,Indirect migration background,Urban regions,No,0.11680,155,344,0.08281,0.15079
1992,Indirect migration background,Rural regions,No,0.14978,31,31,0.02208,0.27747
1993,No migration background,Urban regions,Yes,0.08658,725,6150,0.07955,0.09361
1993,No migration background,Urban regions,No,0.75147,5425,6150,0.74067,0.76227
1993,No migration background,Rural regions,Yes,0.08293,495,4008,0.07439,0.09147
1993,No migration background,Rural regions,No,0.73653,3513,4008,0.72289,0.75017
1993,Direct migration background,Urban regions,Yes,0.05160,105,2066,0.04206,0.06114
1993,Direct migration background,Urban regions,No,0.93443,1961,2066,0.92375,0.94510
1993,Direct migration background,Rural regions,No,0.94044,396,396,0.91710,0.96378
1993,Indirect migration background,Urban regions,Yes,0.17394,205,391,0.13631,0.21156
1993,Indirect migration background,Urban regions,No,0.13658,186,391,0.10250,0.17067
1993,Indirect migration background,Rural regions,Yes,0.17763,40,75,0.09055,0.26471
1993,Indirect migration background,Rural regions,No,0.15766,35,75,0.07463,0.24070
1994,No migration background,Urban regions,Yes,0.07943,666,6090,0.07264,0.08623
1994,No migration background,Urban regions,No,0.75864,5424,6090,0.74790,0.76939
1994,No migration background,Rural regions,Yes,0.07843,462,3936,0.07003,0.08683
1994,No migration background,Rural regions,No,0.73597,3474,3936,0.72220,0.74975
1994,Direct migration background,Urban regions,Yes,0.04725,92,1974,0.03789,0.05662
1994,Direct migration background,Urban regions,No,0.94096,1882,1974,0.93056,0.95136
1994,Direct migration background,Rural regions,No,0.94554,369,369,0.92235,0.96873
1994,Indirect migration background,Urban regions,Yes,0.17054,199,416,0.13435,0.20672
1994,Indirect migration background,Urban regions,No,0.15886,217,416,0.12369,0.19403
1994,Indirect migration background,Rural regions,Yes,0.15311,32,73,0.06993,0.23629
1994,Indirect migration background,Rural regions,No,0.19440,41,73,0.10299,0.28581
1995,No migration background,Urban regions,Yes,0.08123,694,6001,0.07432,0.08815
1995,No migration background,Urban regions,No,0.75780,5307,6001,0.74696,0.76864
1995,No migration background,Rural regions,Yes,0.07960,490,3999,0.07121,0.08799
1995,No migration background,Rural regions,No,0.73416,3509,3999,0.72046,0.74785
1995,Direct migration background,Urban regions,Yes,0.07762,158,2309,0.06671,0.08854
1995,Direct migration background,Urban regions,No,0.86545,2151,2309,0.85153,0.87937
1995,Direct migration background,Rural regions,Yes,0.07414,33,472,0.05048,0.09780
1995,Direct migration background,Rural regions,No,0.85693,439,472,0.82531,0.88855
1995,Indirect migration background,Urban regions,Yes,0.15739,193,425,0.12273,0.19205
1995,Indirect migration background,Urban regions,No,0.17103,232,425,0.13519,0.20687
1995,Indirect migration background,Rural regions,Yes,0.14637,35,77,0.06690,0.22585
1995,Indirect migration background,Rural regions,No,0.17115,42,77,0.08647,0.25583
1996,No migration background,Urban regions,Yes,0.07872,661,5946,0.07188,0.08557
1996,No migration background,Urban regions,No,0.76015,5285,5946,0.74930,0.77100
1996,No migration background,Rural regions,Yes,0.07620,464,3958,0.06794,0.08447
1996,No migration background,Rural regions,No,0.74288,3494,3958,0.72926,0.75650
1996,Direct migration background,Urban regions,Yes,0.07259,138,2140,0.06159,0.08358
1996,Direct migration background,Urban regions,No,0.87422,2002,2140,0.86017,0.88828
1996,Direct migration background,Rural regions,No,0.87063,429,429,0.83884,0.90243
1996,Indirect migration background,Urban regions,Yes,0.13991,178,453,0.10793,0.17188
1996,Indirect migration background,Urban regions,No,0.19566,275,453,0.15909,0.23224
1996,Indirect migration background,Rural regions,Yes,0.14970,36,89,0.07516,0.22424
1996,Indirect migration background,Rural regions,No,0.20570,53,89,0.12124,0.29015
1997,No migration background,Urban regions,Yes,0.08093,656,5866,0.07395,0.08791
1997,No migration background,Urban regions,No,0.76045,5210,5866,0.74952,0.77137
1997,No migration background,Rural regions,Yes,0.07955,471,3923,0.07108,0.08801
1997,No migration background,Rural regions,No,0.73948,3452,3923,0.72575,0.75322
1997,Direct migration background,Urban regions,Yes,0.06558,126,2042,0.05484,0.07631
1997,Direct migration background,Urban regions,No,0.88189,1916,2042,0.86789,0.89589
1997,Direct migration background,Rural regions,No,0.89627,407,407,0.86661,0.92593
1997,Indirect migration background,Urban regions,Yes,0.16299,200,481,0.12995,0.19603
1997,Indirect migration background,Urban regions,No,0.21180,281,481,0.17525,0.24835
1997,Indirect migration background,Rural regions,Yes,0.11807,32,85,0.04906,0.18707
1997,Indirect migration background,Rural regions,No,0.22568,53,85,0.13628,0.31508
1998,No migration background,Urban regions,Yes,0.07654,692,6801,0.07022,0.08286
1998,No migration background,Urban regions,No,0.77060,6109,6801,0.76061,0.78060
1998,No migration background,Rural regions,Yes,0.07580,494,4443,0.06802,0.08359
1998,No migration background,Rural regions,No,0.74433,3949,4443,0.73150,0.75716
1998,Direct migration background,Urban regions,Yes,0.07058,123,1985,0.05931,0.08185
1998,Direct migration background,Urban regions,No,0.87294,1862,1985,0.85829,0.88760
1998,Direct migration background,Rural regions,No,0.90404,392,392,0.87484,0.93323
1998,Indirect migration background,Urban regions,Yes,0.17116,204,503,0.13821,0.20411
1998,Indirect migration background,Urban regions,No,0.23167,299,503,0.19476,0.26858
1998,Indirect migration background,Rural regions,Yes,0.11909,37,92,0.05254,0.18564
1998,Indirect migration background,Rural regions,No,0.22548,55,92,0.13961,0.31134
1999,No migration background,Urban regions,Yes,0.08075,714,6534,0.07415,0.08736
1999,No migration background,Urban regions,No,0.76790,5820,6534,0.75766,0.77814
1999,No migration background,Rural regions,Yes,0.07837,490,4332,0.07037,0.08638
1999,No migration background,Rural regions,No,0.74712,3842,4332,0.73418,0.76007
1999,Direct migration background,Urban regions,Yes,0.05156,96,1843,0.04146,0.06165
1999,Direct migration background,Urban regions,No,0.89840,1747,1843,0.88460,0.91219
1999,Direct migration background,Rural regions,No,0.91120,343,343,0.88105,0.94135
1999,Indirect migration background,Urban regions,Yes,0.19236,207,517,0.15835,0.22637
1999,Indirect migration background,Urban regions,No,0.22903,310,517,0.19277,0.26529
1999,Indirect migration background,Rural regions,Yes,0.11374,37,87,0.04664,0.18084
1999,Indirect migration background,Rural regions,No,0.19991,50,87,0.11538,0.28444
2000,No migration background,Urban regions,Yes,0.07491,1228,12313,0.07026,0.07956
2000,No migration background,Urban regions,No,0.77505,11085,12313,0.76767,0.78242
2000,No migration background,Rural regions,Yes,0.07801,830,7671,0.07201,0.08401
2000,No migration background,Rural regions,No,0.75444,6841,7671,0.74480,0.76407
2000,Direct migration background,Urban regions,Yes,0.06538,192,2729,0.05611,0.07466
2000,Direct migration background,Urban regions,No,0.85294,2537,2729,0.83965,0.86623
2000,Direct migration background,Rural regions,Yes,0.06473,42,576,0.04462,0.08484
2000,Direct migration background,Rural regions,No,0.85416,534,576,0.82532,0.88301
2000,Indirect migration background,Urban regions,Yes,0.14824,259,706,0.12201,0.17447
2000,Indirect migration background,Urban regions,No,0.26523,447,706,0.23265,0.29782
2000,Indirect migration background,Rural regions,Yes,0.08855,36,112,0.03570,0.14140
2000,Indirect migration background,Rural regions,No,0.23186,76,112,0.15335,0.31037
2001,No migration background,Urban regions,Yes,0.07771,1172,11268,0.07276,0.08265
2001,No migration background,Urban regions,No,0.77238,10096,11268,0.76464,0.78012
2001,No migration background,Rural regions,Yes,0.07714,762,6973,0.07087,0.08340
2001,No migration background,Rural regions,No,0.76381,6211,6973,0.75384,0.77378
2001,Direct migration background,Urban regions,Yes,0.08932,194,2404,0.07791,0.10072
2001,Direct migration background,Urban regions,No,0.84809,2210,2404,0.83374,0.86244
2001,Direct migration background,Rural regions,Yes,0.07714,41,512,0.05400,0.10027
2001,Direct migration background,Rural regions,No,0.85426,471,512,0.82366,0.88485
2001,Indirect migration background,Urban regions,Yes,0.14282,238,664,0.11619,0.16946
2001,Indirect migration background,Urban regions,No,0.25855,426,664,0.22522,0.29188
2001,Indirect migration background,Rural regions,Yes,0.09488,37,100,0.03715,0.15261
2001,Indirect migration background,Rural regions,No,0.17707,63,100,0.10188,0.25227
2002,No migration background,Urban regions,Yes,0.07521,1304,12317,0.07055,0.07986
2002,No migration background,Urban regions,No,0.77652,11013,12317,0.76916,0.78388
2002,No migration background,Rural regions,Yes,0.08438,839,7143,0.07793,0.09082
2002,No migration background,Rural regions,No,0.75767,6304,7143,0.74773,0.76760
2002,Direct migration background,Urban regions,Yes,0.09261,181,2314,0.08080,0.10443
2002,Direct migration background,Urban regions,No,0.85390,2133,2314,0.83950,0.86829
2002,Direct migration background,Rural regions,Yes,0.07075,33,483,0.04786,0.09365
2002,Direct migration background,Rural regions,No,0.86527,450,483,0.83478,0.89575
2002,Indirect migration background,Urban regions,Yes,0.14914,236,672,0.12218,0.17609
2002,Indirect migration background,Urban regions,No,0.24933,436,672,0.21659,0.28206
2002,Indirect migration background,Rural regions,Yes,0.10092,35,97,0.04066,0.16118
2002,Indirect migration background,Rural regions,No,0.19975,62,97,0.11977,0.27972
2003,No migration background,Urban regions,Yes,0.07670,1264,11926,0.07192,0.08148
2003,No migration background,Urban regions,No,0.77478,10662,11926,0.76728,0.78228
2003,No migration background,Rural regions,Yes,0.07939,781,6843,0.07298,0.08579
2003,No migration background,Rural regions,No,0.76748,6062,6843,0.75747,0.77749
2003,Direct migration background,Urban regions,Yes,0.08970,172,2161,0.07765,0.10175
2003,Direct migration background,Urban regions,No,0.86302,1989,2161,0.84853,0.87752
2003,Direct migration background,Rural regions,Yes,0.07640,33,458,0.05205,0.10076
2003,Direct migration background,Rural regions,No,0.85925,425,458,0.82737,0.89114
2003,Indirect migration background,Urban regions,Yes,0.13826,224,676,0.11222,0.16430
2003,Indirect migration background,Urban regions,No,0.27946,452,676,0.24561,0.31332
2003,Indirect migration background,Rural regions,Yes,0.11417,37,101,0.05184,0.17650
2003,Indirect migration background,Rural regions,No,0.20817,64,101,0.12860,0.28775
2004,No migration background,Urban regions,Yes,0.07913,1292,11598,0.07422,0.08405
2004,No migration background,Urban regions,No,0.77434,10306,11598,0.76673,0.78195
2004,No migration background,Rural regions,Yes,0.07595,743,6680,0.06959,0.08230
2004,No migration background,Rural regions,No,0.77499,5937,6680,0.76497,0.78500
2004,Direct migration background,Urban regions,Yes,0.07860,155,2095,0.06707,0.09012
2004,Direct migration background,Urban regions,No,0.88006,1940,2095,0.86614,0.89397
2004,Direct migration background,Rural regions,No,0.87254,411,411,0.84026,0.90482
2004,Indirect migration background,Urban regions,Yes,0.16696,245,683,0.13897,0.19495
2004,Indirect migration background,Urban regions,No,0.26658,438,683,0.23340,0.29977
2004,Indirect migration background,Rural regions,Yes,0.15519,46,115,0.08872,0.22166
2004,Indirect migration background,Rural regions,No,0.25180,69,115,0.17212,0.33148
2005,No migration background,Urban regions,Yes,0.08765,1258,11103,0.08239,0.09291
2005,No migration background,Urban regions,No,0.77074,9845,11103,0.76293,0.77856
2005,No migration background,Rural regions,Yes,0.07922,685,6401,0.07260,0.08584
2005,No migration background,Rural regions,No,0.77194,5716,6401,0.76166,0.78222
2005,Direct migration background,Urban regions,Yes,0.07402,137,1961,0.06243,0.08561
2005,Direct migration background,Urban regions,No,0.89161,1824,1961,0.87785,0.90538
2005,Direct migration background,Rural regions,No,0.88030,377,377,0.84749,0.91312
2005,Indirect migration background,Urban regions,Yes,0.16624,244,718,0.13899,0.19349
2005,Indirect migration background,Urban regions,No,0.31195,474,718,0.27804,0.34586
2005,Indirect migration background,Rural regions,Yes,0.17031,46,108,0.09909,0.24154
2005,Indirect migration background,Rural regions,No,0.24548,62,108,0.16394,0.32703
2006,No migration background,Urban regions,Yes,0.07121,1053,11842,0.06658,0.07584
2006,No migration background,Urban regions,No,0.78111,10789,11842,0.77367,0.78856
2006,No migration background,Rural regions,Yes,0.06449,609,6933,0.05871,0.07027
2006,No migration background,Rural regions,No,0.78089,6324,6933,0.77116,0.79063
2006,Direct migration background,Urban regions,Yes,0.07272,126,1951,0.06119,0.08424
2006,Direct migration background,Urban regions,No,0.89019,1825,1951,0.87631,0.90407
2006,Direct migration background,Rural regions,No,0.87737,398,398,0.84510,0.90963
2006,Indirect migration background,Urban regions,Yes,0.14810,208,695,0.12167,0.17453
2006,Indirect migration background,Urban regions,No,0.32973,487,695,0.29476,0.36471
2006,Indirect migration background,Rural regions,Yes,0.13252,43,120,0.07160,0.19344
2006,Indirect migration background,Rural regions,No,0.26746,77,120,0.18793,0.34699
2007,No migration background,Urban regions,Yes,0.07138,1008,11093,0.06659,0.07618
2007,No migration background,Urban regions,No,0.77771,10085,11093,0.76997,0.78544
2007,No migration background,Rural regions,Yes,0.07191,613,6517,0.06563,0.07818
2007,No migration background,Rural regions,No,0.78097,5904,6517,0.77093,0.79101
2007,Direct migration background,Urban regions,Yes,0.06899,119,1725,0.05702,0.08095
2007,Direct migration background,Urban regions,No,0.89691,1606,1725,0.88255,0.91126
2007,Direct migration background,Rural regions,No,0.86940,369,369,0.83497,0.90383
2007,Indirect migration background,Urban regions,Yes,0.12369,178,668,0.09870,0.14867
2007,Indirect migration background,Urban regions,No,0.37302,490,668,0.33632,0.40972
2007,Indirect migration background,Rural regions,Yes,0.10564,35,112,0.04846,0.16283
2007,Indirect migration background,Rural regions,No,0.29728,77,112,0.21225,0.38231
2008,No migration background,Urban regions,Yes,0.07402,968,10490,0.06901,0.07903
2008,No migration background,Urban regions,No,0.78027,9522,10490,0.77235,0.78820
2008,No migration background,Rural regions,Yes,0.07228,557,6154,0.06581,0.07875
2008,No migration background,Rural regions,No,0.78176,5597,6154,0.77144,0.79208
2008,Direct migration background,Urban regions,Yes,0.06353,95,1557,0.05141,0.07565
2008,Direct migration background,Urban regions,No,0.91177,1462,1557,0.89767,0.92586
2008,Direct migration background,Rural regions,No,0.90810,333,333,0.87703,0.93918
2008,Indirect migration background,Urban regions,Yes,0.13072,191,654,0.10487,0.15658
2008,Indirect migration background,Urban regions,No,0.37373,463,654,0.33662,0.41084
2008,Indirect migration background,Rural regions,Yes,0.12119,41,112,0.06048,0.18191
2008,Indirect migration background,Rural regions,No,0.36700,71,112,0.27733,0.45667
2009,No migration background,Urban regions,Yes,0.07803,920,9786,0.07272,0.08335
2009,No migration background,Urban regions,No,0.77800,8866,9786,0.76976,0.78623
2009,No migration background,Rural regions,Yes,0.06938,489,5864,0.06287,0.07588
2009,No migration background,Rural regions,No,0.78578,5375,5864,0.77528,0.79628
2009,Direct migration background,Urban regions,Yes,0.07203,83,1341,0.05819,0.08587
2009,Direct migration background,Urban regions,No,0.90301,1258,1341,0.88717,0.91886
2009,Direct migration background,Rural regions,No,0.90769,304,304,0.87509,0.94028
2009,Indirect migration background,Urban regions,Yes,0.15288,167,592,0.12387,0.18190
2009,Indirect migration background,Urban regions,No,0.38599,425,592,0.34674,0.42524
2009,Indirect migration background,Rural regions,Yes,0.17710,43,117,0.10763,0.24657
2009,Indirect migration background,Rural regions,No,0.36301,74,117,0.27550,0.45052
2010,No migration background,Urban regions,Yes,0.08926,1148,12423,0.08424,0.09427
2010,No migration background,Urban regions,No,0.77517,11275,12423,0.76783,0.78251
2010,No migration background,Rural regions,Yes,0.06693,579,7471,0.06126,0.07260
2010,No migration background,Rural regions,No,0.79223,6892,7471,0.78303,0.80143
2010,Direct migration background,Urban regions,Yes,0.07557,174,2352,0.06488,0.08625
2010,Direct migration background,Urban regions,No,0.89491,2178,2352,0.88251,0.90731
2010,Direct migration background,Rural regions,Yes,0.09051,43,633,0.06815,0.11288
2010,Direct migration background,Rural regions,No,0.87815,590,633,0.85265,0.90365
2010,Indirect migration background,Urban regions,Yes,0.15402,230,896,0.13037,0.17767
2010,Indirect migration background,Urban regions,No,0.31763,666,896,0.28713,0.34813
2010,Indirect migration background,Rural regions,Yes,0.16196,52,192,0.10971,0.21420
2010,Indirect migration background,Rural regions,No,0.26837,140,192,0.20553,0.33122
2011,No migration background,Urban regions,Yes,0.08169,1347,14663,0.07725,0.08612
2011,No migration background,Urban regions,No,0.77617,13316,14663,0.76942,0.78292
2011,No migration background,Rural regions,Yes,0.06355,681,9124,0.05854,0.06855
2011,No migration background,Rural regions,No,0.78967,8443,9124,0.78131,0.79804
2011,Direct migration background,Urban regions,Yes,0.06674,169,2548,0.05704,0.07643
2011,Direct migration background,Urban regions,No,0.90202,2379,2548,0.89047,0.91356
2011,Direct migration background,Rural regions,Yes,0.06852,48,799,0.05099,0.08605
2011,Direct migration background,Rural regions,No,0.90072,751,799,0.87997,0.92147
2011,Indirect migration background,Urban regions,Yes,0.13374,266,1004,0.11267,0.15480
2011,Indirect migration background,Urban regions,No,0.32794,738,1004,0.29889,0.35700
2011,Indirect migration background,Rural regions,Yes,0.15926,67,234,0.11227,0.20624
2011,Indirect migration background,Rural regions,No,0.26572,167,234,0.20900,0.32243
2012,No migration background,Urban regions,Yes,0.08179,1322,14195,0.07728,0.08630
2012,No migration background,Urban regions,No,0.77726,12873,14195,0.77042,0.78411
2012,No migration background,Rural regions,Yes,0.06123,692,9047,0.05629,0.06617
2012,No migration background,Rural regions,No,0.79436,8355,9047,0.78603,0.80269
2012,Direct migration background,Urban regions,Yes,0.06254,155,2376,0.05280,0.07228
2012,Direct migration background,Urban regions,No,0.90375,2221,2376,0.89188,0.91561
2012,Direct migration background,Rural regions,Yes,0.07675,57,816,0.05848,0.09503
2012,Direct migration background,Rural regions,No,0.89545,759,816,0.87445,0.91646
2012,Indirect migration background,Urban regions,Yes,0.14573,246,962,0.12342,0.16803
2012,Indirect migration background,Urban regions,No,0.31810,716,962,0.28866,0.34755
2012,Indirect migration background,Rural regions,Yes,0.09958,62,238,0.06146,0.13770
2012,Indirect migration background,Rural regions,No,0.33627,176,238,0.27613,0.39642
2013,No migration background,Urban regions,Yes,0.08504,1324,13526,0.08034,0.08974
2013,No migration background,Urban regions,No,0.77684,12202,13526,0.76982,0.78385
2013,No migration background,Rural regions,Yes,0.06276,687,8494,0.05760,0.06791
2013,No migration background,Rural regions,No,0.79379,7807,8494,0.78518,0.80239
2013,Direct migration background,Urban regions,Yes,0.07659,420,4951,0.06919,0.08400
2013,Direct migration background,Urban regions,No,0.89002,4531,4951,0.88131,0.89874
2013,Direct migration background,Rural regions,Yes,0.06520,151,1608,0.05313,0.07727
2013,Direct migration background,Rural regions,No,0.90535,1457,1608,0.89104,0.91967
2013,Indirect migration background,Urban regions,Yes,0.13572,478,1696,0.11941,0.15202
2013,Indirect migration background,Urban regions,No,0.34178,1218,1696,0.31920,0.36436
2013,Indirect migration background,Rural regions,Yes,0.12136,100,346,0.08690,0.15582
2013,Indirect migration background,Rural regions,No,0.35517,246,346,0.30467,0.40567
2014,No migration background,Urban regions,Yes,0.08138,1204,12321,0.07656,0.08621
2014,No migration background,Urban regions,No,0.77976,11117,12321,0.77244,0.78708
2014,No migration background,Rural regions,Yes,0.06976,657,7780,0.06410,0.07542
2014,No migration background,Rural regions,No,0.79109,7123,7780,0.78205,0.80012
2014,Direct migration background,Urban regions,Yes,0.08910,382,3951,0.08021,0.09798
2014,Direct migration background,Urban regions,No,0.87413,3569,3951,0.86379,0.88448
2014,Direct migration background,Rural regions,Yes,0.06342,107,1329,0.05031,0.07652
2014,Direct migration background,Rural regions,No,0.90158,1222,1329,0.88555,0.91760
2014,Indirect migration background,Urban regions,Yes,0.15345,394,1389,0.13449,0.17242
2014,Indirect migration background,Urban regions,No,0.34065,995,1389,0.31572,0.36558
2014,Indirect migration background,Rural regions,Yes,0.14311,84,310,0.10407,0.18216
2014,Indirect migration background,Rural regions,No,0.34061,226,310,0.28777,0.39345
2015,No migration background,Urban regions,Yes,0.08236,1132,11691,0.07737,0.08734
2015,No migration background,Urban regions,No,0.78284,10559,11691,0.77536,0.79031
2015,No migration background,Rural regions,Yes,0.06212,606,7439,0.05664,0.06761
2015,No migration background,Rural regions,No,0.79507,6833,7439,0.78590,0.80424
2015,Direct migration background,Urban regions,Yes,0.07031,398,4510,0.06284,0.07777
2015,Direct migration background,Urban regions,No,0.89014,4112,4510,0.88101,0.89927
2015,Direct migration background,Rural regions,Yes,0.06932,114,1545,0.05665,0.08199
2015,Direct migration background,Rural regions,No,0.89565,1431,1545,0.88040,0.91090
2015,Indirect migration background,Urban regions,Yes,0.15569,395,1298,0.13596,0.17542
2015,Indirect migration background,Urban regions,No,0.34364,903,1298,0.31779,0.36949
2015,Indirect migration background,Rural regions,Yes,0.14874,92,303,0.10861,0.18888
2015,Indirect migration background,Rural regions,No,0.32021,211,303,0.26758,0.37283
2016,No migration background,Urban regions,Yes,0.08521,1042,10868,0.07996,0.09046
2016,No migration background,Urban regions,No,0.77743,9826,10868,0.76961,0.78525
2016,No migration background,Rural regions,Yes,0.06044,508,6895,0.05481,0.06606
2016,No migration background,Rural regions,No,0.79300,6387,6895,0.78344,0.80256
2016,Direct migration background,Urban regions,Yes,0.06354,458,5829,0.05727,0.06980
2016,Direct migration background,Urban regions,No,0.89013,5371,5829,0.88210,0.89816
2016,Direct migration background,Rural regions,Yes,0.04944,118,2184,0.04035,0.05853
2016,Direct migration background,Rural regions,No,0.89890,2066,2184,0.88625,0.91155
2016,Indirect migration background,Urban regions,Yes,0.17465,370,1181,0.15299,0.19631
2016,Indirect migration background,Urban regions,No,0.33701,811,1181,0.31004,0.36398
2016,Indirect migration background,Rural regions,Yes,0.12536,87,299,0.08777,0.16296
2016,Indirect migration background,Rural regions,No,0.37663,212,299,0.32161,0.43164
2017,No migration background,Urban regions,Yes,0.08644,1261,12288,0.08147,0.09141
2017,No migration background,Urban regions,No,0.77758,11027,12288,0.77022,0.78493
2017,No migration background,Rural regions,Yes,0.05985,655,7822,0.05459,0.06511
2017,No migration background,Rural regions,No,0.79357,7167,7822,0.78460,0.80254
2017,Direct migration background,Urban regions,Yes,0.06883,536,6307,0.06258,0.07508
2017,Direct migration background,Urban regions,No,0.87712,5771,6307,0.86901,0.88522
2017,Direct migration background,Rural regions,Yes,0.06287,167,2476,0.05331,0.07244
2017,Direct migration background,Rural regions,No,0.87689,2309,2476,0.86394,0.88983
2017,Indirect migration background,Urban regions,Yes,0.16632,413,1338,0.14636,0.18628
