,Unnamed: 0,year,quintil_oecd,regtyp,plh0039,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
63,63,2010,1st Quintile,Rural regions,Very concerned,0.39535,324,16556,0.35528,0.43382
64,64,2010,1st Quintile,Rural regions,Somewhat concerned,0.46104,455,16556,0.41071,0.5046
65,65,2010,1st Quintile,Rural regions,Not concerned at all,0.14362,158,16556,0.12275,0.17157
66,66,2010,2nd Quintile,Urban regions,Very concerned,0.38941,677,16556,0.36328,0.41569
67,67,2010,2nd Quintile,Urban regions,Somewhat concerned,0.47085,835,16556,0.43716,0.49883
68,68,2010,2nd Quintile,Urban regions,Not concerned at all,0.13974,250,16556,0.12273,0.15696
69,69,2010,2nd Quintile,Rural regions,Very concerned,0.36203,441,16556,0.32832,0.39163
70,70,2010,2nd Quintile,Rural regions,Somewhat concerned,0.47027,599,16556,0.43145,0.50879
71,71,2010,2nd Quintile,Rural regions,Not concerned at all,0.1677,173,16556,0.14697,0.1898
72,72,2010,3rd Quintile,Urban regions,Very concerned,0.38541,663,16556,0.35909,0.41819
73,73,2010,3rd Quintile,Urban regions,Somewhat concerned,0.47098,929,16556,0.44275,0.50294
74,74,2010,3rd Quintile,Urban regions,Not concerned at all,0.14361,273,16556,0.12781,0.16093
75,75,2010,3rd Quintile,Rural regions,Very concerned,0.37917,475,16556,0.34351,0.41083
76,76,2010,3rd Quintile,Rural regions,Somewhat concerned,0.49492,639,16556,0.445,0.53915
77,77,2010,3rd Quintile,Rural regions,Not concerned at all,0.1259,183,16556,0.10948,0.14341
78,78,2010,4th Quintile,Urban regions,Very concerned,0.32738,719,16556,0.30315,0.35212
79,79,2010,4th Quintile,Urban regions,Somewhat concerned,0.5069,1148,16556,0.47576,0.53415
80,80,2010,4th Quintile,Urban regions,Not concerned at all,0.16572,344,16556,0.14964,0.18471
81,81,2010,4th Quintile,Rural regions,Very concerned,0.34003,436,16556,0.30959,0.37425
82,82,2010,4th Quintile,Rural regions,Somewhat concerned,0.53219,634,16556,0.48923,0.57633
83,83,2010,4th Quintile,Rural regions,Not concerned at all,0.12778,140,16556,0.10704,0.1527
84,84,2010,5th Quintile,Urban regions,Very concerned,0.3029,956,16556,0.28276,0.32506
85,85,2010,5th Quintile,Urban regions,Somewhat concerned,0.5272,1814,16556,0.5003,0.55343
86,86,2010,5th Quintile,Urban regions,Not concerned at all,0.1699,534,16556,0.15533,0.18574
87,87,2010,5th Quintile,Rural regions,Very concerned,0.32683,321,16556,0.28844,0.37101
88,88,2010,5th Quintile,Rural regions,Somewhat concerned,0.52732,576,16556,0.48245,0.57498
89,89,2010,5th Quintile,Rural regions,Not concerned at all,0.14586,167,16556,0.11677,0.17172
90,90,2011,1st Quintile,Urban regions,Very concerned,0.38277,536,15554,0.35524,0.41299
91,91,2011,1st Quintile,Urban regions,Somewhat concerned,0.46458,710,15554,0.41996,0.5004
92,92,2011,1st Quintile,Urban regions,Not concerned at all,0.15265,237,15554,0.13609,0.17348
93,93,2011,1st Quintile,Rural regions,Very concerned,0.40008,357,15554,0.35255,0.44356
94,94,2011,1st Quintile,Rural regions,Somewhat concerned,0.46999,443,15554,0.41636,0.52231
95,95,2011,1st Quintile,Rural regions,Not concerned at all,0.12993,149,15554,0.11292,0.14955
96,96,2011,2nd Quintile,Urban regions,Very concerned,0.37903,621,15554,0.35387,0.40608
97,97,2011,2nd Quintile,Urban regions,Somewhat concerned,0.4766,789,15554,0.4461,0.51105
98,98,2011,2nd Quintile,Urban regions,Not concerned at all,0.14437,224,15554,0.1223,0.16585
99,99,2011,2nd Quintile,Rural regions,Very concerned,0.36205,376,15554,0.33222,0.40372
100,100,2011,2nd Quintile,Rural regions,Somewhat concerned,0.47279,530,15554,0.43454,0.52046
101,101,2011,2nd Quintile,Rural regions,Not concerned at all,0.16516,192,15554,0.1431,0.18444
102,102,2011,3rd Quintile,Urban regions,Very concerned,0.37716,692,15554,0.35341,0.40019
103,103,2011,3rd Quintile,Urban regions,Somewhat concerned,0.49086,883,15554,0.46072,0.5224
104,104,2011,3rd Quintile,Urban regions,Not concerned at all,0.13199,257,15554,0.11716,0.14817
105,105,2011,3rd Quintile,Rural regions,Very concerned,0.34931,389,15554,0.31008,0.39305
106,106,2011,3rd Quintile,Rural regions,Somewhat concerned,0.50812,638,15554,0.46503,0.54841
107,107,2011,3rd Quintile,Rural regions,Not concerned at all,0.14257,197,15554,0.1209,0.1667
108,108,2011,4th Quintile,Urban regions,Very concerned,0.35209,742,15554,0.32832,0.3836
109,109,2011,4th Quintile,Urban regions,Somewhat concerned,0.5151,1122,15554,0.48526,0.54615
110,110,2011,4th Quintile,Urban regions,Not concerned at all,0.13281,304,15554,0.1192,0.14858
111,111,2011,4th Quintile,Rural regions,Very concerned,0.35223,382,15554,0.31143,0.39371
112,112,2011,4th Quintile,Rural regions,Somewhat concerned,0.55464,548,15554,0.51204,0.59612
113,113,2011,4th Quintile,Rural regions,Not concerned at all,0.09313,106,15554,0.07175,0.11353
114,114,2011,5th Quintile,Urban regions,Very concerned,0.26899,815,15554,0.24873,0.28635
115,115,2011,5th Quintile,Urban regions,Somewhat concerned,0.55107,1710,15554,0.51757,0.58003
116,116,2011,5th Quintile,Urban regions,Not concerned at all,0.17994,535,15554,0.16174,0.20199
117,117,2011,5th Quintile,Rural regions,Very concerned,0.29314,300,15554,0.2628,0.33509
118,118,2011,5th Quintile,Rural regions,Somewhat concerned,0.54438,601,15554,0.49399,0.60358
119,119,2011,5th Quintile,Rural regions,Not concerned at all,0.16249,169,15554,0.13157,0.19464
120,120,2012,1st Quintile,Urban regions,Very concerned,0.32553,617,17925,0.30013,0.35129
121,121,2012,1st Quintile,Urban regions,Somewhat concerned,0.47415,882,17925,0.44665,0.50229
122,122,2012,1st Quintile,Urban regions,Not concerned at all,0.20032,359,17925,0.17991,0.22003
123,123,2012,1st Quintile,Rural regions,Very concerned,0.37793,428,17925,0.34356,0.4046
124,124,2012,1st Quintile,Rural regions,Somewhat concerned,0.46884,508,17925,0.43077,0.5165
125,125,2012,1st Quintile,Rural regions,Not concerned at all,0.15323,204,17925,0.13044,0.17647
126,126,2012,2nd Quintile,Urban regions,Very concerned,0.33323,654,17925,0.31531,0.35488
127,127,2012,2nd Quintile,Urban regions,Somewhat concerned,0.49772,910,17925,0.46798,0.52675
128,128,2012,2nd Quintile,Urban regions,Not concerned at all,0.16905,301,17925,0.15158,0.18876
129,129,2012,2nd Quintile,Rural regions,Very concerned,0.3198,441,17925,0.29219,0.34708
130,130,2012,2nd Quintile,Rural regions,Somewhat concerned,0.50683,656,17925,0.46601,0.54672
131,131,2012,2nd Quintile,Rural regions,Not concerned at all,0.17337,214,17925,0.15555,0.19356
132,132,2012,3rd Quintile,Urban regions,Very concerned,0.33302,695,17925,0.31072,0.35376
133,133,2012,3rd Quintile,Urban regions,Somewhat concerned,0.51212,1068,17925,0.48405,0.53872
134,134,2012,3rd Quintile,Urban regions,Not concerned at all,0.15486,328,17925,0.1368,0.17007
135,135,2012,3rd Quintile,Rural regions,Very concerned,0.28963,407,17925,0.25919,0.31539
136,136,2012,3rd Quintile,Rural regions,Somewhat concerned,0.54853,750,17925,0.51435,0.58108
137,137,2012,3rd Quintile,Rural regions,Not concerned at all,0.16183,233,17925,0.14222,0.18482
138,138,2012,4th Quintile,Urban regions,Very concerned,0.27981,700,17925,0.26351,0.29933
139,139,2012,4th Quintile,Urban regions,Somewhat concerned,0.54655,1276,17925,0.51766,0.57767
140,140,2012,4th Quintile,Urban regions,Not concerned at all,0.17365,414,17925,0.16122,0.18801
141,141,2012,4th Quintile,Rural regions,Very concerned,0.32928,424,17925,0.29837,0.36035
142,142,2012,4th Quintile,Rural regions,Somewhat concerned,0.53111,752,17925,0.49948,0.56815
143,143,2012,4th Quintile,Rural regions,Not concerned at all,0.13961,194,17925,0.12072,0.15819
144,144,2012,5th Quintile,Urban regions,Very concerned,0.25186,817,17925,0.23448,0.26839
145,145,2012,5th Quintile,Urban regions,Somewhat concerned,0.52331,1809,17925,0.49678,0.55267
146,146,2012,5th Quintile,Urban regions,Not concerned at all,0.22484,680,17925,0.20713,0.24366
147,147,2012,5th Quintile,Rural regions,Very concerned,0.2662,311,17925,0.23845,0.2983
148,148,2012,5th Quintile,Rural regions,Somewhat concerned,0.53688,657,17925,0.48742,0.58813
149,149,2012,5th Quintile,Rural regions,Not concerned at all,0.19692,236,17925,0.17352,0.21802
150,150,2013,1st Quintile,Urban regions,Very concerned,0.33936,620,18752,0.31326,0.36327
151,151,2013,1st Quintile,Urban regions,Somewhat concerned,0.47526,855,18752,0.44397,0.50333
152,152,2013,1st Quintile,Urban regions,Not concerned at all,0.18539,346,18752,0.16933,0.20401
153,153,2013,1st Quintile,Rural regions,Very concerned,0.38381,430,18752,0.34628,0.42083
154,154,2013,1st Quintile,Rural regions,Somewhat concerned,0.41196,545,18752,0.38264,0.45577
155,155,2013,1st Quintile,Rural regions,Not concerned at all,0.20423,283,18752,0.17905,0.22831
156,156,2013,2nd Quintile,Urban regions,Very concerned,0.33325,711,18752,0.31308,0.35619
157,157,2013,2nd Quintile,Urban regions,Somewhat concerned,0.4922,945,18752,0.46715,0.52124
158,158,2013,2nd Quintile,Urban regions,Not concerned at all,0.17455,332,18752,0.15663,0.19194
159,159,2013,2nd Quintile,Rural regions,Very concerned,0.31085,457,18752,0.28745,0.33803
160,160,2013,2nd Quintile,Rural regions,Somewhat concerned,0.49553,694,18752,0.46274,0.52979
161,161,2013,2nd Quintile,Rural regions,Not concerned at all,0.19361,272,18752,0.17294,0.21226
162,162,2013,3rd Quintile,Urban regions,Very concerned,0.35654,736,18752,0.3365,0.37961
163,163,2013,3rd Quintile,Urban regions,Somewhat concerned,0.47993,1012,18752,0.45261,0.50799
164,164,2013,3rd Quintile,Urban regions,Not concerned at all,0.16353,371,18752,0.14761,0.18003
165,165,2013,3rd Quintile,Rural regions,Very concerned,0.30643,444,18752,0.28024,0.33354
166,166,2013,3rd Quintile,Rural regions,Somewhat concerned,0.49539,725,18752,0.46001,0.53018
167,167,2013,3rd Quintile,Rural regions,Not concerned at all,0.19818,280,18752,0.17575,0.22425
168,168,2013,4th Quintile,Urban regions,Very concerned,0.3167,785,18752,0.29994,0.33411
169,169,2013,4th Quintile,Urban regions,Somewhat concerned,0.51115,1300,18752,0.48422,0.53766
170,170,2013,4th Quintile,Urban regions,Not concerned at all,0.17214,423,18752,0.15505,0.18929
171,171,2013,4th Quintile,Rural regions,Very concerned,0.2801,413,18752,0.25742,0.29944
172,172,2013,4th Quintile,Rural regions,Somewhat concerned,0.54929,747,18752,0.5146,0.58585
173,173,2013,4th Quintile,Rural regions,Not concerned at all,0.17062,256,18752,0.15212,0.1911
174,174,2013,5th Quintile,Urban regions,Very concerned,0.25197,883,18752,0.23643,0.26943
175,175,2013,5th Quintile,Urban regions,Somewhat concerned,0.53207,1927,18752,0.5093,0.55241
176,176,2013,5th Quintile,Urban regions,Not concerned at all,0.21595,739,18752,0.19941,0.23423
177,177,2013,5th Quintile,Rural regions,Very concerned,0.27358,323,18752,0.24425,0.303
178,178,2013,5th Quintile,Rural regions,Somewhat concerned,0.54637,687,18752,0.50623,0.59038
179,179,2013,5th Quintile,Rural regions,Not concerned at all,0.18006,211,18752,0.15705,0.20518
180,180,2018,1st Quintile,Urban regions,Very concerned,0.42455,1220,24305,0.39469,0.45471
181,181,2018,1st Quintile,Urban regions,Somewhat concerned,0.43223,1258,24305,0.40483,0.46555
182,182,2018,1st Quintile,Urban regions,Not concerned at all,0.14322,412,24305,0.12612,0.15771
183,183,2018,1st Quintile,Rural regions,Very concerned,0.43788,770,24305,0.39765,0.48
184,184,2018,1st Quintile,Rural regions,Somewhat concerned,0.40673,705,24305,0.37328,0.44712
185,185,2018,1st Quintile,Rural regions,Not concerned at all,0.15539,290,24305,0.13353,0.1769
186,186,2018,2nd Quintile,Urban regions,Very concerned,0.43144,1337,24305,0.40611,0.45559
187,187,2018,2nd Quintile,Urban regions,Somewhat concerned,0.44392,1437,24305,0.42108,0.47325
188,188,2018,2nd Quintile,Urban regions,Not concerned at all,0.12464,396,24305,0.11016,0.14135
189,189,2018,2nd Quintile,Rural regions,Very concerned,0.46164,880,24305,0.43013,0.50574
190,190,2018,2nd Quintile,Rural regions,Somewhat concerned,0.40348,882,24305,0.36952,0.4356
191,191,2018,2nd Quintile,Rural regions,Not concerned at all,0.13489,295,24305,0.12152,0.15238
192,192,2018,3rd Quintile,Urban regions,Very concerned,0.44003,1172,24305,0.41668,0.46703
193,193,2018,3rd Quintile,Urban regions,Somewhat concerned,0.44294,1358,24305,0.41737,0.47316
194,194,2018,3rd Quintile,Urban regions,Not concerned at all,0.11703,381,24305,0.10504,0.13158
195,195,2018,3rd Quintile,Rural regions,Very concerned,0.45469,806,24305,0.42214,0.48412
196,196,2018,3rd Quintile,Rural regions,Somewhat concerned,0.44,806,24305,0.40494,0.47605
197,197,2018,3rd Quintile,Rural regions,Not concerned at all,0.10531,218,24305,0.0916,0.1201
198,198,2018,4th Quintile,Urban regions,Very concerned,0.38739,1074,24305,0.36701,0.41232
199,199,2018,4th Quintile,Urban regions,Somewhat concerned,0.4896,1533,24305,0.4644,0.5171
200,200,2018,4th Quintile,Urban regions,Not concerned at all,0.12301,394,24305,0.10822,0.1382
201,201,2018,4th Quintile,Rural regions,Very concerned,0.44258,684,24305,0.40587,0.48228
202,202,2018,4th Quintile,Rural regions,Somewhat concerned,0.44671,741,24305,0.41455,0.48184
203,203,2018,4th Quintile,Rural regions,Not concerned at all,0.1107,177,24305,0.09482,0.13011
204,204,2018,5th Quintile,Urban regions,Very concerned,0.3256,1157,24305,0.30244,0.3467
205,205,2018,5th Quintile,Urban regions,Somewhat concerned,0.52268,1977,24305,0.49784,0.55037
206,206,2018,5th Quintile,Urban regions,Not concerned at all,0.15172,560,24305,0.13683,0.16727
207,207,2018,5th Quintile,Rural regions,Very concerned,0.38767,483,24305,0.35785,0.4267
208,208,2018,5th Quintile,Rural regions,Somewhat concerned,0.50948,743,24305,0.46043,0.5543
209,209,2018,5th Quintile,Rural regions,Not concerned at all,0.10286,159,24305,0.08569,0.12228
