year,pgisced97,sex,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,Second Stage of Tertiary Education,female,No,0.98560,3495,3548,0.98168,0.98952
2020,No answer / don't know,male,No,0.99940,618,618,0.99747,1.00133
2020,No answer / don't know,female,No,0.97120,427,427,0.95532,0.98708
2020,Pre-primary Level,female,No,0.99845,167,167,0.99245,1.00444
2020,Primary Level,male,No,0.99924,997,997,0.99753,1.00095
2020,Primary Level,female,No,0.99966,803,803,0.99839,1.00093
2020,Lower Secondary Level,male,No,0.98083,1496,1496,0.97388,0.98778
2020,Lower Secondary Level,female,No,0.99781,1700,1700,0.99558,1.00003
2020,Upper Secondary Level,male,Yes,0.00711,56,5303,0.00485,0.00937
2020,Upper Secondary Level,male,No,0.99289,5247,5303,0.99063,0.99515
2020,Upper Secondary Level,female,Yes,0.00473,43,6063,0.00300,0.00646
2020,Upper Secondary Level,female,No,0.99527,6020,6063,0.99354,0.99700
2020,Post-secondary Non-tertiary Level,male,No,0.98441,929,929,0.97644,0.99238
2020,Post-secondary Non-tertiary Level,female,No,0.97840,1385,1385,0.97074,0.98606
2020,First Stage of Tertiary Education,male,No,0.99189,917,917,0.98609,0.99770
2020,First Stage of Tertiary Education,female,No,0.99937,536,536,0.99726,1.00149
2020,Second Stage of Tertiary Education,male,Yes,0.01077,41,4099,0.00761,0.01393
2020,Second Stage of Tertiary Education,male,No,0.98923,4058,4099,0.98607,0.99239
2020,Second Stage of Tertiary Education,female,Yes,0.01537,58,3660,0.01139,0.01936
2020,Second Stage of Tertiary Education,female,No,0.98463,3602,3660,0.98064,0.98861
2021,No answer / don't know,male,No,0.99361,426,426,0.98603,1.00119
2021,No answer / don't know,female,No,0.99781,369,369,0.99304,1.00259
2021,Pre-primary Level,female,No,0.99519,96,96,0.98127,1.00910
2021,Primary Level,male,No,0.99806,547,547,0.99437,1.00175
2021,Primary Level,female,No,0.99475,468,468,0.98819,1.00130
2021,Lower Secondary Level,male,No,0.99058,810,810,0.98392,0.99723
2021,Lower Secondary Level,female,No,0.99166,988,988,0.98598,0.99733
2021,Upper Secondary Level,male,Yes,0.00672,37,3371,0.00396,0.00947
2021,Upper Secondary Level,male,No,0.99328,3334,3371,0.99053,0.99604
2021,Upper Secondary Level,female,Yes,0.00494,31,4004,0.00277,0.00711
2021,Upper Secondary Level,female,No,0.99506,3973,4004,0.99289,0.99723
2021,Post-secondary Non-tertiary Level,male,No,0.98068,607,607,0.96973,0.99164
2021,Post-secondary Non-tertiary Level,female,No,0.98730,964,964,0.98023,0.99437
2021,First Stage of Tertiary Education,male,No,0.99936,606,606,0.99734,1.00138
2021,First Stage of Tertiary Education,female,No,0.99658,384,384,0.99073,1.00243
2021,Second Stage of Tertiary Education,male,Yes,0.00622,39,2953,0.00338,0.00905
2021,Second Stage of Tertiary Education,male,No,0.99378,2914,2953,0.99095,0.99662
2021,Second Stage of Tertiary Education,female,Yes,0.01590,42,2738,0.01121,0.02059
2021,Second Stage of Tertiary Education,female,No,0.98410,2696,2738,0.97941,0.98879
2022,No answer / don't know,male,Yes,0.02596,39,1717,0.01844,0.03349
2022,No answer / don't know,male,No,0.97404,1678,1717,0.96651,0.98156
2022,No answer / don't know,female,No,0.99080,1670,1670,0.98622,0.99538
2022,Primary Level,male,No,0.99587,445,445,0.98990,1.00184
2022,Primary Level,female,No,0.99571,394,394,0.98925,1.00217
2022,Lower Secondary Level,male,No,0.99095,831,831,0.98450,0.99739
2022,Lower Secondary Level,female,No,0.99858,1017,1017,0.99626,1.00090
2022,Upper Secondary Level,male,Yes,0.01252,59,4203,0.00916,0.01588
2022,Upper Secondary Level,male,No,0.98748,4144,4203,0.98412,0.99084
2022,Upper Secondary Level,female,Yes,0.00693,60,4989,0.00463,0.00924
2022,Upper Secondary Level,female,No,0.99307,4929,4989,0.99076,0.99537
2022,Post-secondary Non-tertiary Level,male,No,0.97726,847,847,0.96722,0.98731
2022,Post-secondary Non-tertiary Level,female,Yes,0.02245,37,1320,0.01446,0.03045
2022,Post-secondary Non-tertiary Level,female,No,0.97755,1283,1320,0.96955,0.98554
2022,First Stage of Tertiary Education,male,No,0.99789,858,858,0.99482,1.00096
2022,First Stage of Tertiary Education,female,No,0.99584,489,489,0.99013,1.00155
2022,Second Stage of Tertiary Education,male,Yes,0.01417,76,4473,0.01071,0.01764
2022,Second Stage of Tertiary Education,male,No,0.98583,4397,4473,0.98236,0.98929
2022,Second Stage of Tertiary Education,female,Yes,0.01609,117,4161,0.01227,0.01991
2022,Second Stage of Tertiary Education,female,No,0.98391,4044,4161,0.98009,0.98773
