year,migback,sampreg,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2020,No migration background,West,Yes,0.00873,121,13816,0.00718,0.01029
2020,No migration background,West,No,0.99127,13695,13816,0.98971,0.99282
2020,No migration background,East,Yes,0.00748,35,4705,0.00502,0.00995
2020,No migration background,East,No,0.99252,4670,4705,0.99005,0.99498
2020,Direct migration background,West,Yes,0.01123,113,8345,0.00897,0.01349
2020,Direct migration background,West,No,0.98877,8232,8345,0.98651,0.99103
2020,Direct migration background,East,No,0.99511,993,993,0.99077,0.99945
2020,Indirect migration background,West,No,0.98799,1400,1400,0.98228,0.99370
2020,Indirect migration background,East,No,0.99781,115,115,0.98922,1.00639
2021,No migration background,West,Yes,0.00749,83,9886,0.00579,0.00919
2021,No migration background,West,No,0.99251,9803,9886,0.99081,0.99421
2021,No migration background,East,No,0.99432,3223,3223,0.99172,0.99691
2021,Direct migration background,West,Yes,0.00907,79,4887,0.00641,0.01173
2021,Direct migration background,West,No,0.99093,4808,4887,0.98827,0.99359
2021,Direct migration background,East,No,0.98529,547,547,0.97519,0.99539
2021,Indirect migration background,West,No,0.98670,829,829,0.97889,0.99450
2021,Indirect migration background,East,No,0.99171,80,80,0.97171,1.01171
2022,No migration background,West,Yes,0.01161,173,13595,0.00981,0.01341
2022,No migration background,West,No,0.98839,13422,13595,0.98659,0.99019
2022,No migration background,East,Yes,0.00904,59,4658,0.00632,0.01176
2022,No migration background,East,No,0.99096,4599,4658,0.98824,0.99368
2022,Direct migration background,West,Yes,0.01536,190,7101,0.01250,0.01822
2022,Direct migration background,West,No,0.98464,6911,7101,0.98178,0.98750
2022,Direct migration background,East,No,0.97683,993,993,0.96746,0.98619
2022,Indirect migration background,West,No,0.98654,1270,1270,0.98020,0.99288
2022,Indirect migration background,East,No,0.99674,159,159,0.98785,1.00563
