year,migback,regtyp,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,Direct migration background,Rural regions,No,0.99199,1180,1180,0.98690,0.99708
2021,Indirect migration background,Urban regions,No,0.98777,722,722,0.97974,0.99579
2021,Indirect migration background,Rural regions,No,0.98275,187,187,0.96404,1.00146
2022,No migration background,Urban regions,Yes,0.01227,151,11259,0.01024,0.01430
2022,No migration background,Urban regions,No,0.98773,11108,11259,0.98570,0.98976
2022,No migration background,Rural regions,Yes,0.00896,81,6994,0.00675,0.01117
2022,No migration background,Rural regions,No,0.99104,6913,6994,0.98883,0.99325
2022,Direct migration background,Urban regions,Yes,0.01640,195,6686,0.01335,0.01944
2022,Direct migration background,Urban regions,No,0.98360,6491,6686,0.98056,0.98665
2022,Direct migration background,Rural regions,No,0.98568,1413,1413,0.97948,0.99187
2022,Indirect migration background,Urban regions,No,0.98802,1091,1091,0.98156,0.99448
2022,Indirect migration background,Rural regions,No,0.98414,338,338,0.97080,0.99748
