year,bula_h,migback,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.96051,447,447,0.94243,0.97858
2015,"Rhineland-Palatinate, Saarland",Indirect migration background,No,0.58449,110,110,0.49197,0.67701
2015,Baden-Wuerttemberg,No migration background,No,0.85819,2035,2035,0.84303,0.87336
2015,Baden-Wuerttemberg,Direct migration background,No,0.96205,862,862,0.94928,0.97481
2015,Baden-Wuerttemberg,Indirect migration background,No,0.53292,291,291,0.47549,0.59034
2015,Bavaria,No migration background,No,0.84634,3022,3022,0.83348,0.85920
2015,Bavaria,Direct migration background,No,0.95742,1054,1054,0.94523,0.96962
2015,Bavaria,Indirect migration background,No,0.50020,264,264,0.43977,0.56062
2015,Berlin,No migration background,No,0.86826,737,737,0.84383,0.89270
2015,Berlin,Direct migration background,No,0.94064,192,192,0.90713,0.97415
2015,Berlin,Indirect migration background,No,0.44047,45,45,0.29378,0.58716
2015,Brandenburg,No migration background,No,0.85104,871,871,0.82739,0.87470
2015,Brandenburg,Direct migration background,No,0.88667,115,115,0.82848,0.94486
2015,Mecklenburg-Western Pomerania,No migration background,No,0.83345,517,517,0.80130,0.86559
2015,Saxony,No migration background,No,0.85311,1403,1403,0.83458,0.87164
2015,Saxony,Direct migration background,No,0.95688,88,88,0.91419,0.99956
2015,Saxony-Anhalt,No migration background,No,0.86862,814,814,0.84540,0.89184
2015,Saxony-Anhalt,Direct migration background,No,0.95826,58,58,0.90634,1.01018
2015,Thuringa,No migration background,No,0.84269,859,859,0.81833,0.86705
2015,Thuringa,Direct migration background,No,0.94398,90,90,0.89620,0.99175
2016,Schleswig-Holstein,No migration background,No,0.84834,625,625,0.82020,0.87649
2016,Schleswig-Holstein,Direct migration background,No,0.93727,311,311,0.91028,0.96426
2016,Schleswig-Holstein,Indirect migration background,No,0.49420,38,38,0.33310,0.65530
2016,Hamburg,No migration background,No,0.87368,281,281,0.83476,0.91259
2016,Hamburg,Direct migration background,No,0.91202,142,142,0.86526,0.95877
2016,Hamburg,Indirect migration background,No,0.51870,35,35,0.35074,0.68665
2016,Lower Saxony,No migration background,No,0.86339,1753,1753,0.84730,0.87947
2016,Lower Saxony,Direct migration background,No,0.95160,828,828,0.93697,0.96623
2016,Lower Saxony,Indirect migration background,No,0.31869,93,93,0.22347,0.41391
2016,Bremen,No migration background,No,0.85684,106,106,0.78985,0.92383
2016,Bremen,Direct migration background,No,0.96462,112,112,0.93025,0.99899
2016,North Rhine-Westphalia,No migration background,No,0.84981,3280,3280,0.83758,0.86204
2016,North Rhine-Westphalia,Direct migration background,Yes,0.01119,34,1983,0.00656,0.01582
2016,North Rhine-Westphalia,Direct migration background,No,0.94641,1949,1983,0.93649,0.95632
2016,North Rhine-Westphalia,Indirect migration background,No,0.51746,426,426,0.46995,0.56497
2016,Hesse,No migration background,No,0.84936,1077,1077,0.82799,0.87073
2016,Hesse,Direct migration background,No,0.92906,629,629,0.90898,0.94914
2016,Hesse,Indirect migration background,No,0.47413,120,120,0.38441,0.56385
2016,"Rhineland-Palatinate, Saarland",No migration background,No,0.84194,972,972,0.81899,0.86488
2016,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.94929,650,650,0.93241,0.96617
2016,"Rhineland-Palatinate, Saarland",Indirect migration background,No,0.59453,108,108,0.50149,0.68756
2016,Baden-Wuerttemberg,No migration background,No,0.84373,1858,1858,0.82721,0.86025
2016,Baden-Wuerttemberg,Direct migration background,No,0.94131,1037,1037,0.92700,0.95563
2016,Baden-Wuerttemberg,Indirect migration background,No,0.51788,249,249,0.45569,0.58007
2016,Bavaria,No migration background,No,0.84997,2754,2754,0.83663,0.86331
2016,Bavaria,Direct migration background,No,0.95771,1190,1190,0.94627,0.96915
2016,Bavaria,Indirect migration background,No,0.49894,241,241,0.43568,0.56220
2016,Berlin,No migration background,No,0.85901,696,696,0.83314,0.88489
2016,Berlin,Direct migration background,No,0.94666,257,257,0.91913,0.97419
2016,Berlin,Indirect migration background,No,0.49910,46,46,0.35301,0.64519
2016,Brandenburg,No migration background,No,0.84943,811,811,0.82480,0.87406
2016,Brandenburg,Direct migration background,No,0.86269,206,206,0.81557,0.90980
2016,Mecklenburg-Western Pomerania,No migration background,No,0.83048,486,486,0.79709,0.86388
2016,Mecklenburg-Western Pomerania,Direct migration background,No,0.86016,88,88,0.78729,0.93304
2016,Saxony,No migration background,No,0.85061,1330,1330,0.83145,0.86978
2016,Saxony,Direct migration background,No,0.90970,199,199,0.86978,0.94963
2016,Saxony-Anhalt,No migration background,No,0.85007,755,755,0.82459,0.87556
2016,Saxony-Anhalt,Direct migration background,No,0.84774,131,131,0.78598,0.90950
2016,Thuringa,No migration background,No,0.85852,810,810,0.83450,0.88254
2016,Thuringa,Direct migration background,No,0.83558,149,149,0.77586,0.89529
2017,Schleswig-Holstein,No migration background,No,0.84014,747,747,0.81384,0.86644
2017,Schleswig-Holstein,Direct migration background,No,0.93573,383,383,0.91114,0.96032
2017,Schleswig-Holstein,Indirect migration background,No,0.40093,39,39,0.24511,0.55676
2017,Hamburg,No migration background,No,0.86576,319,319,0.82829,0.90323
2017,Hamburg,Direct migration background,No,0.87930,169,169,0.83004,0.92856
2017,Hamburg,Indirect migration background,No,0.51661,43,43,0.36548,0.66774
2017,Lower Saxony,No migration background,Yes,0.01203,34,2095,0.00736,0.01670
2017,Lower Saxony,No migration background,No,0.85330,2061,2095,0.83815,0.86846
2017,Lower Saxony,Direct migration background,No,0.91772,978,978,0.90049,0.93495
2017,Lower Saxony,Indirect migration background,No,0.37457,124,124,0.28903,0.46010
2017,Bremen,No migration background,No,0.87508,136,136,0.81931,0.93086
2017,Bremen,Direct migration background,No,0.93870,131,131,0.89747,0.97994
2017,North Rhine-Westphalia,No migration background,Yes,0.00698,33,3772,0.00432,0.00964
2017,North Rhine-Westphalia,No migration background,No,0.85779,3739,3772,0.84664,0.86894
2017,North Rhine-Westphalia,Direct migration background,Yes,0.01665,55,2222,0.01133,0.02197
2017,North Rhine-Westphalia,Direct migration background,No,0.92901,2167,2222,0.91832,0.93969
2017,North Rhine-Westphalia,Indirect migration background,No,0.52634,482,482,0.48171,0.57096
2017,Hesse,No migration background,No,0.85010,1238,1238,0.83021,0.87000
2017,Hesse,Direct migration background,No,0.93612,753,753,0.91864,0.95360
2017,Hesse,Indirect migration background,No,0.50222,142,142,0.41969,0.58475
2017,"Rhineland-Palatinate, Saarland",No migration background,No,0.85416,1040,1040,0.83270,0.87563
2017,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.93731,632,632,0.91840,0.95623
2017,"Rhineland-Palatinate, Saarland",Indirect migration background,No,0.48593,103,103,0.38893,0.58292
2017,Baden-Wuerttemberg,No migration background,No,0.84675,2072,2072,0.83124,0.86227
2017,Baden-Wuerttemberg,Direct migration background,No,0.94484,1088,1088,0.93127,0.95841
2017,Baden-Wuerttemberg,Indirect migration background,No,0.50689,270,270,0.44714,0.56663
2017,Bavaria,No migration background,Yes,0.00956,36,3115,0.00615,0.01298
2017,Bavaria,No migration background,No,0.84893,3079,3115,0.83636,0.86151
2017,Bavaria,Direct migration background,No,0.94445,1245,1245,0.93172,0.95718
2017,Bavaria,Indirect migration background,No,0.49863,236,236,0.43470,0.56255
2017,Berlin,No migration background,No,0.88521,766,766,0.86262,0.90779
2017,Berlin,Direct migration background,No,0.97848,260,260,0.96080,0.99615
2017,Berlin,Indirect migration background,No,0.49330,56,56,0.36117,0.62543
2017,Brandenburg,No migration background,No,0.83330,909,909,0.80906,0.85754
2017,Brandenburg,Direct migration background,No,0.77826,227,227,0.72410,0.83242
2017,Mecklenburg-Western Pomerania,No migration background,No,0.83163,540,540,0.80004,0.86322
2017,Mecklenburg-Western Pomerania,Direct migration background,No,0.86166,64,64,0.77640,0.94691
2017,Saxony,No migration background,No,0.85082,1531,1531,0.83296,0.86867
2017,Saxony,Direct migration background,No,0.89049,222,222,0.84932,0.93166
2017,Saxony-Anhalt,No migration background,No,0.85284,852,852,0.82904,0.87664
2017,Saxony-Anhalt,Direct migration background,No,0.86909,155,155,0.81582,0.92236
2017,Thuringa,No migration background,No,0.85819,879,879,0.83511,0.88126
2017,Thuringa,Direct migration background,No,0.85715,168,168,0.80408,0.91022
2018,Schleswig-Holstein,No migration background,No,0.83926,724,724,0.81249,0.86603
2018,Schleswig-Holstein,Direct migration background,No,0.93109,312,312,0.90294,0.95924
2018,Schleswig-Holstein,Indirect migration background,No,0.40262,44,44,0.25603,0.54921
2018,Hamburg,No migration background,No,0.85730,315,315,0.81861,0.89599
2018,Hamburg,Direct migration background,No,0.88275,167,167,0.83381,0.93169
2018,Hamburg,Indirect migration background,No,0.52717,49,49,0.38593,0.66842
2018,Lower Saxony,No migration background,No,0.86634,1929,1929,0.85115,0.88153
2018,Lower Saxony,Direct migration background,No,0.93651,946,946,0.92097,0.95206
2018,Lower Saxony,Indirect migration background,No,0.40791,132,132,0.32375,0.49207
2018,Bremen,No migration background,No,0.88899,143,143,0.83731,0.94066
2018,Bremen,Direct migration background,No,0.93564,137,137,0.89440,0.97688
2018,North Rhine-Westphalia,No migration background,Yes,0.00968,38,3654,0.00651,0.01286
2018,North Rhine-Westphalia,No migration background,No,0.87037,3616,3654,0.85948,0.88127
2018,North Rhine-Westphalia,Direct migration background,Yes,0.01558,42,2094,0.01028,0.02089
2018,North Rhine-Westphalia,Direct migration background,No,0.93247,2052,2094,0.92172,0.94322
2018,North Rhine-Westphalia,Indirect migration background,No,0.55044,488,488,0.50626,0.59462
2018,Hesse,No migration background,No,0.85401,1194,1194,0.83397,0.87404
2018,Hesse,Direct migration background,No,0.96403,741,741,0.95061,0.97745
2018,Hesse,Indirect migration background,No,0.53589,136,136,0.45176,0.62001
2018,"Rhineland-Palatinate, Saarland",No migration background,No,0.85868,1041,1041,0.83751,0.87986
2018,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.92672,568,568,0.90527,0.94817
2018,"Rhineland-Palatinate, Saarland",Indirect migration background,No,0.44686,93,93,0.34527,0.54845
2018,Baden-Wuerttemberg,No migration background,No,0.85378,1938,1938,0.83805,0.86952
2018,Baden-Wuerttemberg,Direct migration background,No,0.93935,953,953,0.92419,0.95451
2018,Baden-Wuerttemberg,Indirect migration background,No,0.54256,238,238,0.47913,0.60598
2018,Bavaria,No migration background,No,0.85362,2931,2931,0.84082,0.86642
2018,Bavaria,Direct migration background,No,0.93990,1099,1099,0.92584,0.95396
2018,Bavaria,Indirect migration background,No,0.50061,245,245,0.43787,0.56335
2018,Berlin,No migration background,No,0.87451,769,769,0.85108,0.89794
2018,Berlin,Direct migration background,No,0.91376,288,288,0.88128,0.94624
2018,Berlin,Indirect migration background,No,0.44792,57,57,0.31768,0.57817
2018,Brandenburg,No migration background,No,0.82459,912,912,0.79989,0.84929
2018,Brandenburg,Direct migration background,No,0.86197,193,193,0.81318,0.91076
2018,Mecklenburg-Western Pomerania,No migration background,No,0.82870,562,562,0.79752,0.85988
2018,Mecklenburg-Western Pomerania,Direct migration background,No,0.87106,72,72,0.79311,0.94902
2018,Saxony,No migration background,No,0.85320,1495,1495,0.83525,0.87114
2018,Saxony,Direct migration background,No,0.84722,189,189,0.79580,0.89865
2018,Saxony,Indirect migration background,No,0.60920,34,34,0.44272,0.77568
2018,Saxony-Anhalt,No migration background,No,0.85229,838,838,0.82826,0.87633
2018,Saxony-Anhalt,Direct migration background,No,0.86183,132,132,0.80274,0.92093
2018,Thuringa,No migration background,No,0.84533,840,840,0.82086,0.86979
2018,Thuringa,Direct migration background,No,0.81060,167,167,0.75100,0.87021
2019,Schleswig-Holstein,No migration background,No,0.82146,771,771,0.79441,0.84851
2019,Schleswig-Holstein,Direct migration background,No,0.89692,321,321,0.86361,0.93024
2019,Schleswig-Holstein,Indirect migration background,No,0.35429,46,46,0.21454,0.49404
2019,Hamburg,No migration background,No,0.85022,370,370,0.81381,0.88663
2019,Hamburg,Direct migration background,No,0.94308,161,161,0.90718,0.97898
2019,Hamburg,Indirect migration background,No,0.50053,48,48,0.35758,0.64348
2019,Lower Saxony,No migration background,No,0.85575,1973,1973,0.84024,0.87126
2019,Lower Saxony,Direct migration background,No,0.93508,814,814,0.91815,0.95202
2019,Lower Saxony,Indirect migration background,No,0.43780,120,120,0.34866,0.52693
2019,Bremen,No migration background,No,0.87852,143,143,0.82479,0.93226
2019,Bremen,Direct migration background,No,0.95573,126,126,0.91967,0.99179
2019,North Rhine-Westphalia,No migration background,Yes,0.00689,37,3818,0.00426,0.00951
2019,North Rhine-Westphalia,No migration background,No,0.86517,3781,3818,0.85433,0.87600
2019,North Rhine-Westphalia,Direct migration background,No,0.94656,1932,1932,0.93653,0.95659
2019,North Rhine-Westphalia,Indirect migration background,No,0.52612,469,469,0.48089,0.57136
2019,Hesse,No migration background,No,0.85133,1274,1274,0.83179,0.87088
2019,Hesse,Direct migration background,No,0.95872,585,585,0.94259,0.97486
2019,Hesse,Indirect migration background,No,0.53551,122,122,0.44665,0.62438
2019,"Rhineland-Palatinate, Saarland",No migration background,No,0.85841,1042,1042,0.83723,0.87959
2019,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.95621,503,503,0.93831,0.97411
2019,"Rhineland-Palatinate, Saarland",Indirect migration background,No,0.47048,96,96,0.37011,0.57085
2019,Baden-Wuerttemberg,No migration background,No,0.84240,2024,2024,0.82653,0.85828
2019,Baden-Wuerttemberg,Direct migration background,No,0.95464,906,906,0.94109,0.96820
2019,Baden-Wuerttemberg,Indirect migration background,No,0.51975,228,228,0.45476,0.58475
2019,Bavaria,No migration background,No,0.84085,3002,3002,0.82776,0.85394
2019,Bavaria,Direct migration background,No,0.94016,1026,1026,0.92564,0.95468
2019,Bavaria,Indirect migration background,No,0.49683,240,240,0.43344,0.56022
2019,Berlin,No migration background,No,0.87514,801,801,0.85224,0.89805
2019,Berlin,Direct migration background,No,0.88106,252,252,0.84101,0.92110
2019,Berlin,Indirect migration background,No,0.46209,64,64,0.33897,0.58520
2019,Brandenburg,No migration background,No,0.82258,1005,1005,0.79895,0.84621
2019,Brandenburg,Direct migration background,No,0.79778,175,175,0.73810,0.85746
2019,Mecklenburg-Western Pomerania,No migration background,No,0.83179,577,577,0.80124,0.86234
2019,Mecklenburg-Western Pomerania,Direct migration background,No,0.84812,56,56,0.75327,0.94298
2019,Saxony,No migration background,No,0.85684,1506,1506,0.83914,0.87453
2019,Saxony,Direct migration background,No,0.84883,163,163,0.79367,0.90399
2019,Saxony,Indirect migration background,No,0.52017,36,36,0.35465,0.68569
2019,Saxony-Anhalt,No migration background,No,0.85355,827,827,0.82944,0.87766
2019,Saxony-Anhalt,Direct migration background,No,0.89886,138,138,0.84838,0.94935
2019,Thuringa,No migration background,No,0.86891,844,844,0.84613,0.89170
2019,Thuringa,Direct migration background,No,0.84435,128,128,0.78131,0.90740
2020,Schleswig-Holstein,No migration background,No,0.81024,708,708,0.78133,0.83914
2020,Schleswig-Holstein,Direct migration background,No,0.89081,305,305,0.85575,0.92587
2020,Schleswig-Holstein,Indirect migration background,No,0.35978,45,45,0.21797,0.50159
2020,Hamburg,No migration background,No,0.86247,348,348,0.82624,0.89871
2020,Hamburg,Direct migration background,No,0.95681,201,201,0.92864,0.98499
2020,Hamburg,Indirect migration background,No,0.49023,51,51,0.35166,0.62879
2020,Lower Saxony,No migration background,No,0.84892,1805,1805,0.83239,0.86545
2020,Lower Saxony,Direct migration background,No,0.93525,929,929,0.91941,0.95108
2020,Lower Saxony,Indirect migration background,No,0.43820,129,129,0.35224,0.52416
2020,Bremen,No migration background,No,0.91149,134,134,0.86322,0.95976
2020,Bremen,Direct migration background,No,0.96071,163,163,0.93079,0.99063
2020,North Rhine-Westphalia,No migration background,Yes,0.00975,35,3517,0.00651,0.01300
2020,North Rhine-Westphalia,No migration background,No,0.86178,3482,3517,0.85037,0.87319
2020,North Rhine-Westphalia,Direct migration background,No,0.95259,2578,2578,0.94438,0.96079
2020,North Rhine-Westphalia,Indirect migration background,No,0.51401,438,438,0.46714,0.56087
2020,Hesse,No migration background,No,0.84968,1176,1176,0.82924,0.87011
2020,Hesse,Direct migration background,No,0.95107,767,767,0.93579,0.96634
2020,Hesse,Indirect migration background,No,0.51409,119,119,0.42391,0.60427
2020,"Rhineland-Palatinate, Saarland",No migration background,No,0.86397,927,927,0.84189,0.88605
2020,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.93116,553,553,0.91004,0.95228
2020,"Rhineland-Palatinate, Saarland",Indirect migration background,No,0.46977,89,89,0.36550,0.57405
2020,Baden-Wuerttemberg,No migration background,No,0.84033,1893,1893,0.82382,0.85683
2020,Baden-Wuerttemberg,Direct migration background,No,0.94959,1063,1063,0.93643,0.96275
2020,Baden-Wuerttemberg,Indirect migration background,No,0.48356,212,212,0.41613,0.55099
2020,Bavaria,No migration background,No,0.83495,2778,2778,0.82114,0.84876
2020,Bavaria,Direct migration background,No,0.93670,1317,1317,0.92355,0.94986
2020,Bavaria,Indirect migration background,No,0.51932,259,259,0.45835,0.58029
2020,Berlin,No migration background,No,0.87185,755,755,0.84799,0.89571
2020,Berlin,Direct migration background,No,0.86706,529,529,0.83810,0.89602
2020,Berlin,Indirect migration background,No,0.53050,67,67,0.41009,0.65090
2020,Brandenburg,No migration background,No,0.83725,924,924,0.81343,0.86106
2020,Brandenburg,Direct migration background,No,0.86465,203,203,0.81747,0.91183
2020,Mecklenburg-Western Pomerania,No migration background,No,0.83759,454,454,0.80363,0.87156
2020,Mecklenburg-Western Pomerania,Direct migration background,No,0.89831,72,72,0.82801,0.96861
2020,Saxony,No migration background,No,0.85249,1402,1402,0.83392,0.87106
2020,Saxony,Direct migration background,No,0.92536,226,226,0.89102,0.95970
2020,Saxony,Indirect migration background,No,0.51663,37,37,0.35339,0.67988
2020,Saxony-Anhalt,No migration background,No,0.83390,790,790,0.80793,0.85987
2020,Saxony-Anhalt,Direct migration background,No,0.91508,151,151,0.87047,0.95969
2020,Thuringa,No migration background,No,0.84743,789,789,0.82232,0.87254
2020,Thuringa,Direct migration background,No,0.81660,168,168,0.75791,0.87530
2021,Schleswig-Holstein,No migration background,No,0.80391,566,566,0.77117,0.83665
2021,Schleswig-Holstein,Direct migration background,No,0.82449,244,244,0.77666,0.87232
2021,Schleswig-Holstein,Indirect migration background,No,0.27192,34,34,0.12011,0.42374
2021,Hamburg,No migration background,No,0.88240,277,277,0.84440,0.92041
2021,Hamburg,Direct migration background,No,0.98301,146,146,0.96198,1.00405
2021,Lower Saxony,No migration background,No,0.84976,1310,1310,0.83041,0.86912
2021,Lower Saxony,Direct migration background,No,0.88609,516,516,0.85866,0.91353
2021,Lower Saxony,Indirect migration background,No,0.38297,79,79,0.27509,0.49085
2021,Bremen,No migration background,No,0.95650,87,87,0.91338,0.99961
2021,Bremen,Direct migration background,No,0.98365,58,58,0.95072,1.01657
2021,North Rhine-Westphalia,No migration background,No,0.86529,2484,2484,0.85186,0.87872
2021,North Rhine-Westphalia,Direct migration background,No,0.92250,1450,1450,0.90874,0.93627
2021,North Rhine-Westphalia,Indirect migration background,No,0.44817,245,245,0.38577,0.51057
2021,Hesse,No migration background,No,0.84533,782,782,0.81997,0.87069
2021,Hesse,Direct migration background,No,0.95720,480,480,0.93908,0.97533
2021,Hesse,Indirect migration background,No,0.58807,58,58,0.46029,0.71584
2021,"Rhineland-Palatinate, Saarland",No migration background,No,0.86149,620,620,0.83428,0.88871
2021,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.94006,339,339,0.91475,0.96537
2021,"Rhineland-Palatinate, Saarland",Indirect migration background,No,0.49410,49,49,0.35266,0.63554
2021,Baden-Wuerttemberg,No migration background,No,0.83977,1362,1362,0.82028,0.85926
2021,Baden-Wuerttemberg,Direct migration background,No,0.94588,650,650,0.92847,0.96329
2021,Baden-Wuerttemberg,Indirect migration background,No,0.50086,143,143,0.41862,0.58310
2021,Bavaria,No migration background,No,0.84135,1970,1970,0.82521,0.85749
2021,Bavaria,Direct migration background,No,0.94599,731,731,0.92960,0.96239
2021,Bavaria,Indirect migration background,No,0.46280,158,158,0.38480,0.54079
2021,Berlin,No migration background,No,0.85362,567,567,0.82450,0.88274
2021,Berlin,Direct migration background,No,0.93057,307,307,0.90210,0.95905
2021,Berlin,Indirect migration background,No,0.42716,47,47,0.28421,0.57012
2021,Brandenburg,No migration background,No,0.83719,591,591,0.80740,0.86698
2021,Brandenburg,Direct migration background,No,0.85286,96,96,0.78162,0.92409
2021,Mecklenburg-Western Pomerania,No migration background,No,0.86175,367,367,0.82638,0.89711
2021,Mecklenburg-Western Pomerania,Direct migration background,No,0.88249,34,34,0.77261,0.99236
2021,Saxony,No migration background,No,0.83478,1007,1007,0.81183,0.85773
2021,Saxony,Direct migration background,No,0.89275,126,126,0.83850,0.94699
2021,Saxony-Anhalt,No migration background,No,0.86028,508,508,0.83010,0.89046
2021,Saxony-Anhalt,Direct migration background,No,0.93904,85,85,0.88788,0.99021
2021,Thuringa,No migration background,No,0.82024,527,527,0.78743,0.85306
2021,Thuringa,Direct migration background,No,0.79912,93,93,0.71725,0.88099
2022,Schleswig-Holstein,No migration background,No,0.83774,726,726,0.81091,0.86458
2022,Schleswig-Holstein,Direct migration background,No,0.87624,226,226,0.83321,0.91927
2022,Schleswig-Holstein,Indirect migration background,No,0.48774,49,49,0.34634,0.62915
2022,Hamburg,No migration background,No,0.83723,350,350,0.79850,0.87596
2022,Hamburg,Direct migration background,No,0.85824,227,227,0.81277,0.90372
2022,Hamburg,Indirect migration background,No,0.48277,35,35,0.31480,0.65074
2022,Lower Saxony,No migration background,No,0.82755,1639,1639,0.80925,0.84584
2022,Lower Saxony,Direct migration background,No,0.88449,653,653,0.85996,0.90903
2022,Lower Saxony,Indirect migration background,No,0.39672,104,104,0.30224,0.49120
2022,Bremen,No migration background,No,0.82926,105,105,0.75694,0.90158
2022,Bremen,Direct migration background,No,0.98734,81,81,0.96285,1.01184
2022,North Rhine-Westphalia,No migration background,Yes,0.00946,51,3606,0.00630,0.01262
2022,North Rhine-Westphalia,No migration background,No,0.83312,3555,3606,0.82095,0.84530
2022,North Rhine-Westphalia,Direct migration background,Yes,0.00880,49,2009,0.00472,0.01289
2022,North Rhine-Westphalia,Direct migration background,No,0.90851,1960,2009,0.89590,0.92112
2022,North Rhine-Westphalia,Indirect migration background,No,0.55983,376,376,0.50959,0.61008
2022,Hesse,No migration background,No,0.84991,1054,1054,0.82833,0.87148
2022,Hesse,Direct migration background,No,0.92071,644,644,0.89982,0.94159
2022,Hesse,Indirect migration background,No,0.64723,87,87,0.54624,0.74822
2022,"Rhineland-Palatinate, Saarland",No migration background,No,0.85196,813,813,0.82753,0.87639
2022,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.92295,409,409,0.89708,0.94883
2022,"Rhineland-Palatinate, Saarland",Indirect migration background,No,0.45558,83,83,0.34779,0.56338
2022,Baden-Wuerttemberg,No migration background,No,0.80440,1907,1907,0.78660,0.82221
