year,quintil_oecd,regtyp,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2022,2nd Quintile,Urban regions,No,0.82409,1967,1967,0.80726,0.84092
2022,2nd Quintile,Rural regions,No,0.83054,1209,1209,0.80939,0.85170
2022,3rd Quintile,Urban regions,No,0.82027,1869,1869,0.80286,0.83769
2022,3rd Quintile,Rural regions,No,0.83243,1044,1044,0.80976,0.85509
2022,4th Quintile,Urban regions,Yes,0.01158,33,2055,0.00696,0.01621
2022,4th Quintile,Urban regions,No,0.82658,2022,2055,0.81021,0.84296
2022,4th Quintile,Rural regions,No,0.84954,1034,1034,0.82774,0.87134
2022,5th Quintile,Urban regions,Yes,0.00740,32,2942,0.00430,0.01049
2022,5th Quintile,Urban regions,No,0.87301,2910,2942,0.86097,0.88504
2022,5th Quintile,Rural regions,No,0.88464,1047,1047,0.86528,0.90400
