year,bula_h,sampreg,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Saxony-Anhalt,East,No,0.84295,903,903,0.81920,0.86669
2016,Thuringa,East,No,0.84562,973,973,0.82290,0.86833
2017,Schleswig-Holstein,West,No,0.82637,1169,1169,0.80465,0.84810
2017,Hamburg,West,No,0.82516,531,531,0.79282,0.85750
2017,Lower Saxony,West,Yes,0.01245,49,3212,0.00861,0.01628
2017,Lower Saxony,West,No,0.83051,3163,3212,0.81754,0.84349
2017,Bremen,West,No,0.79002,279,279,0.74214,0.83790
2017,North Rhine-Westphalia,West,Yes,0.00958,95,6483,0.00721,0.01195
2017,North Rhine-Westphalia,West,No,0.83139,6388,6483,0.82228,0.84051
2017,Hesse,West,No,0.82270,2133,2133,0.80649,0.83891
2017,"Rhineland-Palatinate, Saarland",West,No,0.82956,1775,1775,0.81206,0.84706
2017,Baden-Wuerttemberg,West,Yes,0.00958,45,3475,0.00634,0.01282
2017,Baden-Wuerttemberg,West,No,0.82245,3430,3475,0.80975,0.83516
2017,Bavaria,West,Yes,0.01010,58,4618,0.00722,0.01299
2017,Bavaria,West,No,0.83103,4560,4618,0.82022,0.84184
2017,Berlin,West,No,0.85890,609,609,0.83122,0.88657
2017,Berlin,East,No,0.85787,473,473,0.82637,0.88938
2017,Brandenburg,East,No,0.82351,1153,1153,0.80150,0.84553
2017,Mecklenburg-Western Pomerania,East,No,0.82909,614,614,0.79929,0.85889
2017,Saxony,East,No,0.84526,1780,1780,0.82846,0.86207
2017,Saxony-Anhalt,East,No,0.84455,1022,1022,0.82233,0.86678
2017,Thuringa,East,No,0.84447,1064,1064,0.82268,0.86626
2018,Schleswig-Holstein,West,No,0.82527,1080,1080,0.80261,0.84793
2018,Hamburg,West,No,0.82090,531,531,0.78825,0.85354
2018,Lower Saxony,West,Yes,0.00483,34,3041,0.00236,0.00729
2018,Lower Saxony,West,No,0.84308,3007,3041,0.83015,0.85601
2018,Bremen,West,No,0.79395,291,291,0.74740,0.84050
2018,North Rhine-Westphalia,West,Yes,0.01115,89,6245,0.00854,0.01375
2018,North Rhine-Westphalia,West,No,0.84277,6156,6245,0.83374,0.85180
2018,Hesse,West,No,0.83156,2071,2071,0.81544,0.84768
2018,"Rhineland-Palatinate, Saarland",West,No,0.82933,1702,1702,0.81145,0.84721
2018,Baden-Wuerttemberg,West,No,0.83107,3129,3129,0.81794,0.84420
2018,Bavaria,West,Yes,0.01075,55,4330,0.00768,0.01383
2018,Bavaria,West,No,0.83348,4275,4330,0.82239,0.84458
2018,Berlin,West,No,0.83474,679,679,0.80679,0.86270
2018,Berlin,East,No,0.85274,435,435,0.81940,0.88608
2018,Brandenburg,East,No,0.81957,1125,1125,0.79709,0.84205
2018,Mecklenburg-Western Pomerania,East,No,0.82507,645,645,0.79573,0.85441
2018,Saxony,East,No,0.84568,1718,1718,0.82859,0.86277
2018,Saxony-Anhalt,East,No,0.83928,987,987,0.81635,0.86220
2018,Thuringa,East,No,0.83617,1025,1025,0.81350,0.85884
2019,Schleswig-Holstein,West,No,0.80225,1138,1138,0.77910,0.82540
2019,Hamburg,West,No,0.81501,579,579,0.78336,0.84667
2019,Lower Saxony,West,No,0.83494,2907,2907,0.82144,0.84843
2019,Bremen,West,No,0.80911,282,282,0.76316,0.85507
2019,North Rhine-Westphalia,West,Yes,0.00802,69,6251,0.00580,0.01023
2019,North Rhine-Westphalia,West,No,0.83888,6182,6251,0.82976,0.84799
2019,Hesse,West,No,0.82960,1981,1981,0.81304,0.84616
2019,"Rhineland-Palatinate, Saarland",West,No,0.83663,1641,1641,0.81873,0.85452
2019,Baden-Wuerttemberg,West,No,0.81813,3158,3158,0.80467,0.83158
2019,Bavaria,West,Yes,0.01099,46,4314,0.00788,0.01410
2019,Bavaria,West,No,0.82141,4268,4314,0.80998,0.83284
2019,Berlin,West,No,0.82829,631,631,0.79884,0.85774
2019,Berlin,East,No,0.85006,410,410,0.81546,0.88466
2019,Brandenburg,East,No,0.81337,1204,1204,0.79135,0.83539
2019,Mecklenburg-Western Pomerania,East,No,0.82826,643,643,0.79909,0.85743
2019,Saxony,East,Yes,0.00986,31,1736,0.00521,0.01451
2019,Saxony,East,No,0.84695,1705,1736,0.83001,0.86389
2019,Saxony-Anhalt,East,No,0.85148,980,980,0.82920,0.87375
2019,Thuringa,East,No,0.85271,988,988,0.83060,0.87482
2020,Schleswig-Holstein,West,No,0.79175,1058,1058,0.76727,0.81623
2020,Hamburg,West,No,0.82042,600,600,0.78968,0.85116
2020,Lower Saxony,West,No,0.82894,2863,2863,0.81514,0.84273
2020,Bremen,West,No,0.84809,308,308,0.80794,0.88824
2020,North Rhine-Westphalia,West,Yes,0.00877,72,6570,0.00652,0.01102
2020,North Rhine-Westphalia,West,No,0.83638,6498,6570,0.82743,0.84532
2020,Hesse,West,No,0.82420,2062,2062,0.80776,0.84063
2020,"Rhineland-Palatinate, Saarland",West,No,0.84224,1569,1569,0.82420,0.86029
2020,Baden-Wuerttemberg,West,Yes,0.00641,36,3204,0.00365,0.00917
2020,Baden-Wuerttemberg,West,No,0.81542,3168,3204,0.80199,0.82886
2020,Bavaria,West,Yes,0.00611,38,4392,0.00381,0.00842
2020,Bavaria,West,No,0.82020,4354,4392,0.80884,0.83156
2020,Berlin,West,No,0.82961,847,847,0.80427,0.85495
2020,Berlin,East,No,0.85702,504,504,0.82643,0.88762
2020,Brandenburg,East,No,0.83080,1147,1147,0.80909,0.85251
2020,Mecklenburg-Western Pomerania,East,No,0.83540,533,533,0.80389,0.86691
2020,Saxony,East,No,0.84461,1665,1665,0.82720,0.86201
2020,Saxony-Anhalt,East,No,0.82880,959,959,0.80495,0.85266
2020,Thuringa,East,No,0.83504,970,970,0.81168,0.85841
2021,Schleswig-Holstein,West,No,0.77226,844,844,0.74395,0.80057
2021,Hamburg,West,No,0.84779,448,448,0.81449,0.88109
2021,Lower Saxony,West,No,0.81878,1905,1905,0.80148,0.83609
2021,Bremen,West,No,0.89196,153,153,0.84261,0.94131
2021,North Rhine-Westphalia,West,Yes,0.00768,48,4227,0.00505,0.01031
2021,North Rhine-Westphalia,West,No,0.82367,4179,4227,0.81218,0.83516
2021,Hesse,West,No,0.83364,1320,1320,0.81354,0.85374
2021,"Rhineland-Palatinate, Saarland",West,No,0.83773,1008,1008,0.81495,0.86050
2021,Baden-Wuerttemberg,West,No,0.81510,2155,2155,0.79870,0.83149
2021,Bavaria,West,No,0.82075,2859,2859,0.80668,0.83481
2021,Berlin,West,No,0.83889,568,568,0.80862,0.86915
2021,Berlin,East,No,0.79973,353,353,0.75792,0.84154
2021,Brandenburg,East,No,0.81572,700,700,0.78697,0.84446
2021,Mecklenburg-Western Pomerania,East,No,0.85581,407,407,0.82164,0.88998
2021,Saxony,East,No,0.82499,1158,1158,0.80309,0.84688
2021,Saxony-Anhalt,East,No,0.85822,605,605,0.83040,0.88604
2021,Thuringa,East,No,0.81222,627,627,0.78162,0.84281
2022,Schleswig-Holstein,West,No,0.81189,1001,1001,0.78767,0.83611
2022,Hamburg,West,No,0.80762,612,612,0.77637,0.83888
2022,Lower Saxony,West,Yes,0.01192,41,2438,0.00761,0.01623
2022,Lower Saxony,West,No,0.79678,2397,2438,0.78080,0.81275
2022,Bremen,West,No,0.80740,200,200,0.75261,0.86219
2022,North Rhine-Westphalia,West,Yes,0.00865,105,5996,0.00631,0.01100
2022,North Rhine-Westphalia,West,No,0.81211,5891,5996,0.80222,0.82200
2022,Hesse,West,Yes,0.01134,41,1827,0.00648,0.01620
2022,Hesse,West,No,0.83866,1786,1827,0.82179,0.85553
2022,"Rhineland-Palatinate, Saarland",West,No,0.81313,1305,1305,0.79197,0.83429
2022,Baden-Wuerttemberg,West,Yes,0.00982,51,3285,0.00645,0.01320
2022,Baden-Wuerttemberg,West,No,0.79460,3234,3285,0.78078,0.80842
2022,Bavaria,West,Yes,0.00753,69,4402,0.00498,0.01008
2022,Bavaria,West,No,0.81465,4333,4402,0.80317,0.82613
2022,Berlin,West,No,0.82761,848,848,0.80217,0.85305
2022,Berlin,East,No,0.80151,660,660,0.77105,0.83196
2022,Brandenburg,East,No,0.81540,1007,1007,0.79143,0.83938
2022,Mecklenburg-Western Pomerania,East,No,0.83441,563,563,0.80368,0.86514
2022,Saxony,East,No,0.83461,1749,1749,0.81720,0.85203
2022,Saxony-Anhalt,East,No,0.82951,913,913,0.80510,0.85391
2022,Thuringa,East,No,0.82136,863,863,0.79579,0.84693
