year,age_gr,migback,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,Direct migration background,Yes,0.01639,31,1769,0.01047,0.02230
2016,17-29 y.,Direct migration background,No,0.96369,1738,1769,0.95497,0.97241
2016,17-29 y.,Indirect migration background,No,0.88804,723,723,0.86504,0.91104
2016,30-45 y.,No migration background,Yes,0.02047,75,4248,0.01621,0.02473
2016,30-45 y.,No migration background,No,0.97949,4173,4248,0.97523,0.98375
2016,30-45 y.,Direct migration background,Yes,0.02088,78,3815,0.01634,0.02541
2016,30-45 y.,Direct migration background,No,0.97890,3737,3815,0.97433,0.98346
2016,30-45 y.,Indirect migration background,No,0.96934,546,546,0.95487,0.98382
2016,46-65 y.,No migration background,Yes,0.00465,46,6860,0.00304,0.00626
2016,46-65 y.,No migration background,No,0.99535,6814,6860,0.99374,0.99696
2016,46-65 y.,Direct migration background,No,0.99530,1966,1966,0.99227,0.99832
2016,46-65 y.,Indirect migration background,No,0.97273,177,177,0.94867,0.99679
2016,66 and older,No migration background,No,0.99878,4294,4294,0.99774,0.99982
2017,17-29 y.,No migration background,Yes,0.01696,53,2923,0.01228,0.02164
2017,17-29 y.,No migration background,No,0.91482,2870,2923,0.90469,0.92494
2017,17-29 y.,Direct migration background,Yes,0.01465,34,2079,0.00948,0.01982
2017,17-29 y.,Direct migration background,No,0.93263,2045,2079,0.92185,0.94340
2017,17-29 y.,Indirect migration background,No,0.89054,797,797,0.86885,0.91223
2017,30-45 y.,No migration background,Yes,0.01878,80,4558,0.01484,0.02272
2017,30-45 y.,No migration background,No,0.98122,4478,4558,0.97728,0.98516
2017,30-45 y.,Direct migration background,Yes,0.02396,81,3994,0.01922,0.02871
2017,30-45 y.,Direct migration background,No,0.97598,3913,3994,0.97123,0.98073
2017,30-45 y.,Indirect migration background,No,0.97859,564,564,0.96664,0.99055
2017,46-65 y.,No migration background,Yes,0.00626,67,8130,0.00455,0.00798
2017,46-65 y.,No migration background,No,0.99374,8063,8130,0.99202,0.99545
2017,46-65 y.,Direct migration background,No,0.99099,2204,2204,0.98705,0.99494
2017,46-65 y.,Indirect migration background,No,0.99702,216,216,0.98974,1.00431
2017,66 and older,No migration background,No,0.99978,4497,4497,0.99934,1.00021
2018,17-29 y.,No migration background,Yes,0.01331,38,2898,0.00914,0.01748
2018,17-29 y.,No migration background,No,0.92273,2860,2898,0.91301,0.93246
2018,17-29 y.,Direct migration background,Yes,0.02540,36,1769,0.01807,0.03274
2018,17-29 y.,Direct migration background,No,0.94143,1733,1769,0.93048,0.95237
2018,17-29 y.,Indirect migration background,No,0.91256,809,809,0.89309,0.93204
2018,30-45 y.,No migration background,Yes,0.02189,73,4216,0.01747,0.02630
2018,30-45 y.,No migration background,No,0.97807,4143,4216,0.97365,0.98249
2018,30-45 y.,Direct migration background,Yes,0.02343,95,3679,0.01854,0.02832
2018,30-45 y.,Direct migration background,No,0.97578,3584,3679,0.97081,0.98075
2018,30-45 y.,Indirect migration background,No,0.97922,539,539,0.96716,0.99127
2018,46-65 y.,No migration background,Yes,0.00357,47,7786,0.00225,0.00490
2018,46-65 y.,No migration background,No,0.99643,7739,7786,0.99510,0.99775
2018,46-65 y.,Direct migration background,Yes,0.00816,34,2243,0.00444,0.01189
2018,46-65 y.,Direct migration background,No,0.99184,2209,2243,0.98811,0.99556
2018,46-65 y.,Indirect migration background,No,0.99407,225,225,0.98401,1.00412
2018,66 and older,No migration background,No,0.99922,4505,4505,0.99841,1.00004
2019,17-29 y.,No migration background,Yes,0.01371,41,2690,0.00932,0.01811
2019,17-29 y.,No migration background,No,0.90917,2649,2690,0.89831,0.92003
2019,17-29 y.,Direct migration background,No,0.93531,1401,1401,0.92243,0.94820
2019,17-29 y.,Indirect migration background,No,0.88704,712,712,0.86377,0.91031
2019,30-45 y.,No migration background,Yes,0.01814,73,4133,0.01407,0.02220
2019,30-45 y.,No migration background,No,0.98186,4060,4133,0.97780,0.98593
2019,30-45 y.,Direct migration background,Yes,0.01386,45,3294,0.00987,0.01786
2019,30-45 y.,Direct migration background,No,0.98614,3249,3294,0.98214,0.99013
2019,30-45 y.,Indirect migration background,No,0.98292,530,530,0.97187,0.99396
2019,46-65 y.,No migration background,Yes,0.00553,57,8597,0.00396,0.00709
2019,46-65 y.,No migration background,No,0.99447,8540,8597,0.99291,0.99604
2019,46-65 y.,Direct migration background,No,0.98957,2157,2157,0.98528,0.99385
2019,46-65 y.,Indirect migration background,No,0.98754,277,277,0.97446,1.00063
2019,66 and older,No migration background,No,0.99856,4691,4691,0.99748,0.99965
2019,66 and older,Direct migration background,No,0.99992,479,479,0.99910,1.00073
2020,17-29 y.,No migration background,Yes,0.01930,46,2532,0.01394,0.02466
2020,17-29 y.,No migration background,No,0.90078,2486,2532,0.88914,0.91243
2020,17-29 y.,Direct migration background,Yes,0.04449,33,2207,0.03588,0.05309
2020,17-29 y.,Direct migration background,No,0.91813,2174,2207,0.90669,0.92957
2020,17-29 y.,Indirect migration background,No,0.92387,719,719,0.90447,0.94327
2020,30-45 y.,No migration background,Yes,0.01464,55,3696,0.01077,0.01852
2020,30-45 y.,No migration background,No,0.98525,3641,3696,0.98136,0.98914
2020,30-45 y.,Direct migration background,Yes,0.00840,71,4277,0.00567,0.01114
2020,30-45 y.,Direct migration background,No,0.99133,4206,4277,0.98855,0.99411
2020,30-45 y.,Indirect migration background,No,0.97864,513,513,0.96611,0.99116
2020,46-65 y.,No migration background,Yes,0.00552,50,7889,0.00389,0.00716
2020,46-65 y.,No migration background,No,0.99448,7839,7889,0.99284,0.99611
2020,46-65 y.,Direct migration background,No,0.99271,2357,2357,0.98927,0.99614
2020,46-65 y.,Indirect migration background,No,0.99729,250,250,0.99083,1.00375
2020,66 and older,No migration background,No,0.99819,4399,4399,0.99693,0.99944
2021,17-29 y.,No migration background,Yes,0.01231,32,1762,0.00716,0.01747
2021,17-29 y.,No migration background,No,0.91978,1730,1762,0.90709,0.93247
2021,17-29 y.,Direct migration background,No,0.93782,1082,1082,0.92342,0.95221
2021,17-29 y.,Indirect migration background,No,0.93367,415,415,0.90969,0.95764
2021,30-45 y.,No migration background,Yes,0.01717,40,2611,0.01219,0.02216
2021,30-45 y.,No migration background,No,0.98283,2571,2611,0.97784,0.98781
2021,30-45 y.,Direct migration background,Yes,0.02001,57,2431,0.01444,0.02558
2021,30-45 y.,Direct migration background,No,0.97861,2374,2431,0.97286,0.98436
2021,30-45 y.,Indirect migration background,No,0.96885,290,290,0.94882,0.98888
2021,46-65 y.,No migration background,Yes,0.00398,39,5562,0.00232,0.00563
2021,46-65 y.,No migration background,No,0.99405,5523,5562,0.99203,0.99607
2021,46-65 y.,Direct migration background,No,0.99537,1557,1557,0.99200,0.99874
2021,46-65 y.,Indirect migration background,No,0.99575,180,180,0.98621,1.00528
2021,66 and older,No migration background,No,0.98922,3202,3202,0.98564,0.99280
2021,66 and older,Direct migration background,No,0.99324,342,342,0.98455,1.00194
2022,17-29 y.,No migration background,Yes,0.02042,67,2937,0.01531,0.02554
2022,17-29 y.,No migration background,No,0.93034,2870,2937,0.92113,0.93955
2022,17-29 y.,Direct migration background,Yes,0.01223,49,2186,0.00762,0.01684
2022,17-29 y.,Direct migration background,No,0.95357,2137,2186,0.94475,0.96240
2022,17-29 y.,Indirect migration background,No,0.92750,507,507,0.90490,0.95009
2022,30-45 y.,No migration background,Yes,0.02629,100,4628,0.02168,0.03090
2022,30-45 y.,No migration background,No,0.97171,4528,4628,0.96693,0.97649
2022,30-45 y.,Direct migration background,Yes,0.02211,141,3828,0.01745,0.02676
2022,30-45 y.,Direct migration background,No,0.97393,3687,3828,0.96888,0.97898
2022,30-45 y.,Indirect migration background,No,0.97679,469,469,0.96315,0.99043
2022,46-65 y.,No migration background,Yes,0.00647,63,7044,0.00459,0.00834
2022,46-65 y.,No migration background,No,0.98708,6981,7044,0.98444,0.98972
2022,46-65 y.,Direct migration background,No,0.97728,1706,1706,0.97021,0.98435
2022,46-65 y.,Indirect migration background,No,0.99740,380,380,0.99228,1.00253
2022,66 and older,No migration background,No,0.97956,3642,3642,0.97496,0.98415
2022,66 and older,Direct migration background,No,0.98516,374,374,0.97288,0.99743
