year,pgisced97,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,Post-secondary Non-tertiary Level,Yes,0.01282,38,2257,0.00817,0.01746
2019,Post-secondary Non-tertiary Level,No,0.98718,2219,2257,0.98254,0.99183
2019,First Stage of Tertiary Education,No,0.98100,1644,1644,0.97440,0.98760
2019,Second Stage of Tertiary Education,Yes,0.01012,90,7582,0.00787,0.01238
2019,Second Stage of Tertiary Education,No,0.98988,7492,7582,0.98762,0.99213
2020,No answer / don't know,No,0.98791,1046,1046,0.98129,0.99454
2020,Pre-primary Level,No,0.99934,363,363,0.99669,1.00199
2020,Primary Level,No,0.99948,1800,1800,0.99842,1.00053
2020,Lower Secondary Level,Yes,0.00945,34,3231,0.00612,0.01279
2020,Lower Secondary Level,No,0.99055,3197,3231,0.98721,0.99388
2020,Upper Secondary Level,Yes,0.00585,99,11369,0.00445,0.00726
2020,Upper Secondary Level,No,0.99415,11270,11369,0.99274,0.99555
2020,Post-secondary Non-tertiary Level,Yes,0.01911,41,2356,0.01358,0.02463
2020,Post-secondary Non-tertiary Level,No,0.98089,2315,2356,0.97537,0.98642
2020,First Stage of Tertiary Education,No,0.99457,1453,1453,0.99079,0.99835
2020,Second Stage of Tertiary Education,Yes,0.01292,99,7760,0.01041,0.01543
2020,Second Stage of Tertiary Education,No,0.98708,7661,7760,0.98457,0.98959
2021,No answer / don't know,No,0.99531,796,796,0.99055,1.00006
2021,Pre-primary Level,No,0.99783,197,197,0.99131,1.00434
2021,Primary Level,No,0.99664,1015,1015,0.99309,1.00020
2021,Lower Secondary Level,No,0.99121,1799,1799,0.98689,0.99552
2021,Upper Secondary Level,Yes,0.00577,68,7377,0.00405,0.00750
2021,Upper Secondary Level,No,0.99423,7309,7377,0.99250,0.99595
2021,Post-secondary Non-tertiary Level,No,0.98464,1572,1572,0.97856,0.99072
2021,First Stage of Tertiary Education,No,0.99838,990,990,0.99587,1.00089
2021,Second Stage of Tertiary Education,Yes,0.01077,81,5693,0.00809,0.01345
2021,Second Stage of Tertiary Education,No,0.98923,5612,5693,0.98655,0.99191
2022,No answer / don't know,Yes,0.01834,66,3416,0.01384,0.02284
2022,No answer / don't know,No,0.98166,3350,3416,0.97716,0.98616
2022,Primary Level,No,0.99579,839,839,0.99141,1.00018
2022,Lower Secondary Level,No,0.99563,1850,1850,0.99262,0.99863
2022,Upper Secondary Level,Yes,0.00949,119,9197,0.00751,0.01147
2022,Upper Secondary Level,No,0.99051,9078,9197,0.98853,0.99249
2022,Post-secondary Non-tertiary Level,Yes,0.02256,62,2194,0.01634,0.02877
2022,Post-secondary Non-tertiary Level,No,0.97744,2132,2194,0.97123,0.98366
2022,First Stage of Tertiary Education,No,0.99718,1347,1347,0.99435,1.00001
2022,Second Stage of Tertiary Education,Yes,0.01505,193,8642,0.01248,0.01761
2022,Second Stage of Tertiary Education,No,0.98495,8449,8642,0.98239,0.98752
