year,pgisced97,regtyp,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,Second Stage of Tertiary Education,Urban regions,No,0.98707,5008,5078,0.98396,0.99018
2018,Second Stage of Tertiary Education,Rural regions,No,0.99414,1869,1869,0.99068,0.99760
2019,No answer / don't know,Urban regions,No,0.99101,561,561,0.98319,0.99883
2019,No answer / don't know,Rural regions,No,0.98367,240,240,0.96760,0.99974
2019,Primary Level,Urban regions,No,0.97762,1150,1150,0.96906,0.98617
2019,Primary Level,Rural regions,No,0.96189,486,486,0.94485,0.97893
2019,Lower Secondary Level,Urban regions,No,0.99150,1935,1935,0.98741,0.99559
2019,Lower Secondary Level,Rural regions,No,0.99063,1086,1086,0.98490,0.99636
2019,Upper Secondary Level,No answer / don't know,No,0.97211,234,234,0.95097,0.99325
2019,Upper Secondary Level,Urban regions,Yes,0.00750,62,6997,0.00548,0.00952
2019,Upper Secondary Level,Urban regions,No,0.99250,6935,6997,0.99048,0.99452
2019,Upper Secondary Level,Rural regions,Yes,0.00524,38,4451,0.00312,0.00736
2019,Upper Secondary Level,Rural regions,No,0.99476,4413,4451,0.99264,0.99688
2019,Post-secondary Non-tertiary Level,No answer / don't know,No,0.98529,60,60,0.95457,1.01601
2019,Post-secondary Non-tertiary Level,Urban regions,No,0.98574,1552,1552,0.97984,0.99164
2019,Post-secondary Non-tertiary Level,Rural regions,No,0.99195,607,607,0.98483,0.99906
2019,First Stage of Tertiary Education,Urban regions,No,0.97353,940,940,0.96326,0.98380
2019,First Stage of Tertiary Education,Rural regions,No,0.99280,680,680,0.98644,0.99916
2019,Second Stage of Tertiary Education,No answer / don't know,No,0.98315,182,182,0.96440,1.00190
2019,Second Stage of Tertiary Education,Urban regions,Yes,0.01103,68,5366,0.00823,0.01382
2019,Second Stage of Tertiary Education,Urban regions,No,0.98897,5298,5366,0.98618,0.99177
2019,Second Stage of Tertiary Education,Rural regions,No,0.99340,2012,2012,0.98986,0.99694
2020,No answer / don't know,Urban regions,No,0.98383,813,813,0.97515,0.99250
2020,Pre-primary Level,Rural regions,No,0.99780,94,94,0.98827,1.00733
2020,Primary Level,Urban regions,No,0.99929,1316,1316,0.99786,1.00073
2020,Lower Secondary Level,Urban regions,No,0.99160,2135,2135,0.98773,0.99547
2020,Lower Secondary Level,Rural regions,No,0.98840,1062,1062,0.98195,0.99484
2020,Upper Secondary Level,Urban regions,Yes,0.00563,65,7079,0.00389,0.00737
2020,Upper Secondary Level,Urban regions,No,0.99437,7014,7079,0.99263,0.99611
2020,Upper Secondary Level,Rural regions,Yes,0.00624,34,4290,0.00389,0.00860
2020,Upper Secondary Level,Rural regions,No,0.99376,4256,4290,0.99140,0.99611
2020,Post-secondary Non-tertiary Level,Urban regions,Yes,0.02164,31,1711,0.01474,0.02853
2020,Post-secondary Non-tertiary Level,Urban regions,No,0.97836,1680,1711,0.97147,0.98526
2020,Post-secondary Non-tertiary Level,Rural regions,No,0.98863,635,635,0.98037,0.99688
2020,First Stage of Tertiary Education,Urban regions,No,0.99642,849,849,0.99240,1.00044
2020,First Stage of Tertiary Education,Rural regions,No,0.99157,604,604,0.98428,0.99887
2020,Second Stage of Tertiary Education,Urban regions,Yes,0.01444,79,5736,0.01135,0.01753
2020,Second Stage of Tertiary Education,Urban regions,No,0.98556,5657,5736,0.98247,0.98865
2020,Second Stage of Tertiary Education,Rural regions,No,0.99194,2004,2004,0.98802,0.99586
2021,No answer / don't know,Urban regions,No,0.99437,613,613,0.98844,1.00030
2021,No answer / don't know,Rural regions,No,0.99771,183,183,0.99075,1.00466
2021,Pre-primary Level,Urban regions,No,0.99691,141,141,0.98772,1.00610
2021,Primary Level,Urban regions,No,0.99558,791,791,0.99095,1.00020
2021,Lower Secondary Level,Urban regions,No,0.98856,1175,1175,0.98247,0.99464
2021,Lower Secondary Level,Rural regions,No,0.99580,624,624,0.99071,1.00088
2021,Upper Secondary Level,Urban regions,Yes,0.00656,49,4574,0.00422,0.00890
2021,Upper Secondary Level,Urban regions,No,0.99344,4525,4574,0.99110,0.99578
2021,Upper Secondary Level,Rural regions,No,0.99560,2784,2784,0.99314,0.99806
2021,Post-secondary Non-tertiary Level,Urban regions,No,0.98364,1154,1154,0.97631,0.99096
2021,Post-secondary Non-tertiary Level,Rural regions,No,0.98778,417,417,0.97722,0.99834
2021,First Stage of Tertiary Education,Urban regions,No,0.99825,581,581,0.99486,1.00165
2021,First Stage of Tertiary Education,Rural regions,No,0.99857,409,409,0.99491,1.00224
2021,Second Stage of Tertiary Education,Urban regions,Yes,0.01279,63,4199,0.00939,0.01619
2021,Second Stage of Tertiary Education,Urban regions,No,0.98721,4136,4199,0.98381,0.99061
2021,Second Stage of Tertiary Education,Rural regions,No,0.99541,1476,1476,0.99196,0.99886
2022,No answer / don't know,Urban regions,Yes,0.02077,48,2396,0.01506,0.02648
2022,No answer / don't know,Urban regions,No,0.97923,2348,2396,0.97352,0.98494
2022,No answer / don't know,Rural regions,No,0.98765,1002,1002,0.98081,0.99449
2022,Primary Level,Urban regions,No,0.99408,624,624,0.98806,1.00011
2022,Lower Secondary Level,Urban regions,No,0.99657,1164,1164,0.99321,0.99993
2022,Lower Secondary Level,Rural regions,No,0.99395,686,686,0.98814,0.99976
2022,Upper Secondary Level,Urban regions,Yes,0.00869,77,5612,0.00627,0.01112
2022,Upper Secondary Level,Urban regions,No,0.99131,5535,5612,0.98888,0.99373
2022,Upper Secondary Level,Rural regions,Yes,0.01087,42,3585,0.00747,0.01426
2022,Upper Secondary Level,Rural regions,No,0.98913,3543,3585,0.98574,0.99253
2022,Post-secondary Non-tertiary Level,Urban regions,Yes,0.02393,44,1570,0.01637,0.03149
2022,Post-secondary Non-tertiary Level,Urban regions,No,0.97607,1526,1570,0.96851,0.98363
2022,Post-secondary Non-tertiary Level,Rural regions,No,0.98129,606,606,0.97049,0.99208
2022,First Stage of Tertiary Education,Urban regions,No,0.99537,778,778,0.99059,1.00014
2022,First Stage of Tertiary Education,Rural regions,No,0.99982,569,569,0.99870,1.00093
2022,Second Stage of Tertiary Education,Urban regions,Yes,0.01678,168,6658,0.01370,0.01987
2022,Second Stage of Tertiary Education,Urban regions,No,0.98322,6490,6658,0.98013,0.98630
2022,Second Stage of Tertiary Education,Rural regions,No,0.99062,1959,1959,0.98635,0.99489
