year,migback,quintil_oecd,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,No migration background,5th Quintile,No,0.89433,4148,4180,0.88501,0.90365
2016,Direct migration background,1st Quintile,Yes,0.01188,43,1844,0.00693,0.01683
2016,Direct migration background,1st Quintile,No,0.92802,1801,1844,0.91622,0.93982
2016,Direct migration background,2nd Quintile,No,0.97170,1263,1263,0.96255,0.98085
2016,Direct migration background,3rd Quintile,No,0.97593,797,797,0.96528,0.98658
2016,Direct migration background,4th Quintile,No,0.94915,606,606,0.93164,0.96665
2016,Direct migration background,5th Quintile,No,0.97580,489,489,0.96216,0.98943
2016,Indirect migration background,1st Quintile,No,0.41795,421,421,0.37078,0.46512
2016,Indirect migration background,2nd Quintile,No,0.47270,352,352,0.42047,0.52493
2016,Indirect migration background,3rd Quintile,No,0.51407,260,260,0.45320,0.57494
2016,Indirect migration background,4th Quintile,No,0.58976,228,228,0.52578,0.65375
2016,Indirect migration background,5th Quintile,No,0.62928,189,189,0.56023,0.69832
2017,No migration background,1st Quintile,Yes,0.00823,44,2639,0.00479,0.01168
2017,No migration background,1st Quintile,No,0.82884,2595,2639,0.81447,0.84321
2017,No migration background,2nd Quintile,No,0.84002,3290,3290,0.82749,0.85254
2017,No migration background,3rd Quintile,No,0.83696,3414,3414,0.82457,0.84935
2017,No migration background,4th Quintile,No,0.87729,3606,3606,0.86658,0.88800
2017,No migration background,5th Quintile,Yes,0.00693,32,3921,0.00433,0.00953
2017,No migration background,5th Quintile,No,0.89568,3889,3921,0.88611,0.90525
2017,Direct migration background,1st Quintile,Yes,0.01624,66,3134,0.01181,0.02066
2017,Direct migration background,1st Quintile,No,0.89785,3068,3134,0.88725,0.90846
2017,Direct migration background,2nd Quintile,No,0.95777,1282,1282,0.94676,0.96878
2017,Direct migration background,3rd Quintile,No,0.96530,734,734,0.95205,0.97855
2017,Direct migration background,4th Quintile,No,0.97156,499,499,0.95696,0.98616
2017,Direct migration background,5th Quintile,No,0.95368,425,425,0.93368,0.97369
2017,Indirect migration background,1st Quintile,No,0.39832,440,440,0.35252,0.44411
2017,Indirect migration background,2nd Quintile,No,0.45578,293,293,0.39866,0.51291
2017,Indirect migration background,3rd Quintile,No,0.50235,245,245,0.43961,0.56508
2017,Indirect migration background,4th Quintile,No,0.63109,209,209,0.56552,0.69666
2017,Indirect migration background,5th Quintile,No,0.60139,192,192,0.53195,0.67083
2018,No migration background,1st Quintile,Yes,0.00801,35,2854,0.00474,0.01129
2018,No migration background,1st Quintile,No,0.83618,2819,2854,0.82260,0.84976
2018,No migration background,2nd Quintile,No,0.82778,3636,3636,0.81551,0.84006
2018,No migration background,3rd Quintile,No,0.84092,3671,3671,0.82909,0.85275
2018,No migration background,4th Quintile,Yes,0.00538,31,4004,0.00311,0.00764
2018,No migration background,4th Quintile,No,0.87237,3973,4004,0.86203,0.88270
2018,No migration background,5th Quintile,Yes,0.00741,33,4426,0.00488,0.00994
2018,No migration background,5th Quintile,No,0.89489,4393,4426,0.88586,0.90393
2018,Direct migration background,1st Quintile,Yes,0.01520,68,3894,0.01135,0.01904
2018,Direct migration background,1st Quintile,No,0.89977,3826,3894,0.89034,0.90921
2018,Direct migration background,2nd Quintile,No,0.95950,1250,1250,0.94857,0.97043
2018,Direct migration background,3rd Quintile,No,0.95373,818,818,0.93933,0.96814
2018,Direct migration background,4th Quintile,No,0.97857,534,534,0.96627,0.99086
2018,Direct migration background,5th Quintile,No,0.95794,426,426,0.93886,0.97702
2018,Indirect migration background,1st Quintile,No,0.39144,422,422,0.34481,0.43806
2018,Indirect migration background,2nd Quintile,No,0.50699,378,378,0.45652,0.55746
2018,Indirect migration background,3rd Quintile,No,0.59322,289,289,0.53648,0.64995
2018,Indirect migration background,4th Quintile,No,0.55813,191,191,0.48752,0.62875
2018,Indirect migration background,5th Quintile,No,0.67541,208,208,0.61163,0.73920
2019,No migration background,1st Quintile,No,0.83244,2691,2691,0.81833,0.84656
2019,No migration background,2nd Quintile,No,0.83335,3452,3452,0.82092,0.84578
2019,No migration background,3rd Quintile,Yes,0.00880,32,3488,0.00570,0.01190
2019,No migration background,3rd Quintile,No,0.83906,3456,3488,0.82686,0.85126
2019,No migration background,4th Quintile,Yes,0.00550,35,3647,0.00310,0.00790
2019,No migration background,4th Quintile,No,0.85440,3612,3647,0.84295,0.86585
2019,No migration background,5th Quintile,Yes,0.00818,32,4156,0.00544,0.01092
2019,No migration background,5th Quintile,No,0.90071,4124,4156,0.89161,0.90980
2019,Direct migration background,1st Quintile,Yes,0.00931,57,3945,0.00631,0.01230
2019,Direct migration background,1st Quintile,No,0.89229,3888,3945,0.88262,0.90197
2019,Direct migration background,2nd Quintile,No,0.96205,1123,1123,0.95087,0.97323
2019,Direct migration background,3rd Quintile,No,0.96174,661,661,0.94711,0.97638
2019,Direct migration background,4th Quintile,No,0.96223,439,439,0.94438,0.98008
2019,Direct migration background,5th Quintile,No,0.98643,450,450,0.97572,0.99713
2019,Indirect migration background,1st Quintile,No,0.40192,407,407,0.35423,0.44962
2019,Indirect migration background,2nd Quintile,No,0.46926,310,310,0.41361,0.52490
2019,Indirect migration background,3rd Quintile,No,0.53185,278,278,0.47309,0.59061
2019,Indirect migration background,4th Quintile,No,0.59829,184,184,0.52726,0.66932
2019,Indirect migration background,5th Quintile,No,0.64566,209,209,0.58065,0.71066
2020,No migration background,1st Quintile,Yes,0.00875,31,2638,0.00519,0.01230
2020,No migration background,1st Quintile,No,0.83671,2607,2638,0.82261,0.85082
2020,No migration background,2nd Quintile,No,0.82280,3425,3425,0.81001,0.83559
2020,No migration background,3rd Quintile,No,0.84540,3390,3390,0.83323,0.85757
2020,No migration background,4th Quintile,Yes,0.00847,32,3821,0.00557,0.01138
2020,No migration background,4th Quintile,No,0.84859,3789,3821,0.83723,0.85996
2020,No migration background,5th Quintile,Yes,0.00755,37,5173,0.00519,0.00990
2020,No migration background,5th Quintile,No,0.88133,5136,5173,0.87252,0.89014
2020,Direct migration background,1st Quintile,Yes,0.00927,31,3539,0.00611,0.01243
2020,Direct migration background,1st Quintile,No,0.92298,3508,3539,0.91419,0.93176
2020,Direct migration background,2nd Quintile,No,0.96369,1053,1053,0.95239,0.97499
2020,Direct migration background,3rd Quintile,No,0.95272,571,571,0.93530,0.97015
2020,Direct migration background,4th Quintile,No,0.97648,467,467,0.96272,0.99024
2020,Direct migration background,5th Quintile,No,0.98539,494,494,0.97480,0.99598
2020,Indirect migration background,1st Quintile,No,0.38273,400,400,0.33504,0.43042
2020,Indirect migration background,2nd Quintile,No,0.46392,317,317,0.40894,0.51891
2020,Indirect migration background,3rd Quintile,No,0.57535,271,271,0.51640,0.63431
2020,Indirect migration background,4th Quintile,No,0.61711,232,232,0.55442,0.67979
2020,Indirect migration background,5th Quintile,No,0.62553,283,283,0.56904,0.68202
2021,No migration background,1st Quintile,No,0.85242,1940,1940,0.83663,0.86821
2021,No migration background,2nd Quintile,No,0.82568,2377,2377,0.81043,0.84094
2021,No migration background,3rd Quintile,No,0.82232,2444,2444,0.80716,0.83747
2021,No migration background,4th Quintile,No,0.86000,2625,2625,0.84673,0.87328
2021,No migration background,5th Quintile,No,0.88028,3625,3625,0.86971,0.89084
2021,Direct migration background,1st Quintile,Yes,0.00689,39,2596,0.00371,0.01008
2021,Direct migration background,1st Quintile,No,0.89447,2557,2596,0.88264,0.90629
2021,Direct migration background,2nd Quintile,No,0.94133,930,930,0.92622,0.95644
2021,Direct migration background,3rd Quintile,No,0.95723,521,521,0.93984,0.97462
2021,Direct migration background,4th Quintile,No,0.95876,390,390,0.93900,0.97852
2021,Direct migration background,5th Quintile,No,0.97701,431,431,0.96284,0.99117
2021,Indirect migration background,1st Quintile,No,0.35960,233,233,0.29785,0.42136
2021,Indirect migration background,2nd Quintile,No,0.47154,200,200,0.40219,0.54090
2021,Indirect migration background,3rd Quintile,No,0.48895,142,142,0.40644,0.57146
2021,Indirect migration background,4th Quintile,No,0.55915,149,149,0.47916,0.63914
2021,Indirect migration background,5th Quintile,No,0.64010,184,184,0.57055,0.70964
2022,No migration background,1st Quintile,No,0.85149,1725,1725,0.83470,0.86828
2022,No migration background,2nd Quintile,No,0.85324,2197,2197,0.83844,0.86804
2022,No migration background,3rd Quintile,No,0.83621,2282,2282,0.82103,0.85140
2022,No migration background,4th Quintile,Yes,0.00955,33,2579,0.00579,0.01330
2022,No migration background,4th Quintile,No,0.84845,2546,2579,0.83461,0.86230
2022,No migration background,5th Quintile,Yes,0.00741,31,3455,0.00455,0.01027
2022,No migration background,5th Quintile,No,0.88440,3424,3455,0.87374,0.89507
2022,Direct migration background,1st Quintile,No,0.87001,2272,2272,0.85618,0.88384
2022,Direct migration background,2nd Quintile,No,0.93750,804,804,0.92076,0.95424
2022,Direct migration background,3rd Quintile,No,0.96180,486,486,0.94474,0.97886
2022,Direct migration background,4th Quintile,No,0.96628,383,383,0.94817,0.98438
2022,Direct migration background,5th Quintile,No,0.97684,369,369,0.96148,0.99221
2022,Indirect migration background,1st Quintile,No,0.40987,203,203,0.34204,0.47769
2022,Indirect migration background,2nd Quintile,No,0.49621,175,175,0.42191,0.57050
2022,Indirect migration background,3rd Quintile,No,0.49841,145,145,0.41675,0.58008
2022,Indirect migration background,4th Quintile,No,0.48581,127,127,0.39854,0.57308
2022,Indirect migration background,5th Quintile,No,0.63150,164,164,0.55744,0.70555
