year,age_gr,sampreg,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,46-65 y.,West,No,0.99331,8620,8680,0.99159,0.99502
2019,46-65 y.,East,No,0.99438,2326,2326,0.99134,0.99742
2019,66 and older,West,No,0.99852,3893,3893,0.99732,0.99973
2019,66 and older,East,No,0.99956,1295,1295,0.99842,1.00070
2020,17-29 y.,West,Yes,0.02290,73,4665,0.01861,0.02719
2020,17-29 y.,West,No,0.97710,4592,4665,0.97281,0.98139
2020,17-29 y.,East,No,0.98763,787,787,0.97991,0.99536
2020,30-45 y.,West,Yes,0.01338,109,6901,0.01067,0.01609
2020,30-45 y.,West,No,0.98662,6792,6901,0.98391,0.98933
2020,30-45 y.,East,No,0.98433,1568,1568,0.97819,0.99048
2020,46-65 y.,West,Yes,0.00610,63,8326,0.00443,0.00778
2020,46-65 y.,West,No,0.99390,8263,8326,0.99222,0.99557
2020,46-65 y.,East,No,0.99598,2183,2183,0.99333,0.99864
2020,66 and older,West,No,0.99867,3680,3680,0.99749,0.99985
2020,66 and older,East,No,0.99918,1240,1240,0.99759,1.00077
2021,17-29 y.,West,Yes,0.01215,48,2792,0.00809,0.01622
2021,17-29 y.,West,No,0.98785,2744,2792,0.98378,0.99191
2021,17-29 y.,East,No,0.99087,483,483,0.98238,0.99936
2021,30-45 y.,West,Yes,0.01979,89,4279,0.01562,0.02397
2021,30-45 y.,West,No,0.98021,4190,4279,0.97603,0.98438
2021,30-45 y.,East,No,0.98829,1045,1045,0.98177,0.99482
2021,46-65 y.,West,Yes,0.00366,42,5832,0.00211,0.00521
2021,46-65 y.,West,No,0.99634,5790,5832,0.99479,0.99789
2021,46-65 y.,East,No,0.99471,1470,1470,0.99100,0.99842
2021,66 and older,West,No,0.99986,2716,2716,0.99942,1.00030
2022,17-29 y.,West,Yes,0.02011,108,4656,0.01608,0.02414
2022,17-29 y.,West,No,0.97989,4548,4656,0.97586,0.98392
2022,17-29 y.,East,No,0.98980,970,970,0.98348,0.99613
2022,30-45 y.,West,Yes,0.02505,205,7027,0.02140,0.02871
2022,30-45 y.,West,No,0.97495,6822,7027,0.97129,0.97860
2022,30-45 y.,East,Yes,0.02482,48,1913,0.01785,0.03179
2022,30-45 y.,East,No,0.97518,1865,1913,0.96821,0.98215
2022,46-65 y.,West,Yes,0.00869,68,7251,0.00655,0.01083
2022,46-65 y.,West,No,0.99131,7183,7251,0.98917,0.99345
2022,46-65 y.,East,No,0.99400,1885,1885,0.99051,0.99748
2022,66 and older,West,No,0.99992,3054,3054,0.99961,1.00024
2022,66 and older,East,No,0.99993,1035,1035,0.99941,1.00045
