year,bula_h,sex,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Bavaria,male,No,0.81857,1996,1996,0.80166,0.83548
2015,Bavaria,female,No,0.84139,2344,2344,0.82659,0.85618
2015,Berlin,male,No,0.82059,445,445,0.78490,0.85628
2015,Berlin,female,No,0.85467,529,529,0.82461,0.88474
2015,Brandenburg,male,No,0.81726,451,451,0.78155,0.85297
2015,Brandenburg,female,No,0.87000,546,546,0.84176,0.89823
2015,Mecklenburg-Western Pomerania,male,No,0.85680,247,247,0.81303,0.90057
2015,Mecklenburg-Western Pomerania,female,No,0.81121,299,299,0.76678,0.85564
2015,Saxony,male,No,0.87140,726,726,0.84703,0.89577
2015,Saxony,female,No,0.83040,794,794,0.80429,0.85652
2015,Saxony-Anhalt,male,No,0.86854,397,397,0.83526,0.90182
2015,Saxony-Anhalt,female,No,0.86522,493,493,0.83505,0.89540
2015,Thuringa,male,No,0.84484,447,447,0.81124,0.87844
2015,Thuringa,female,No,0.83976,516,516,0.80808,0.87144
2016,Schleswig-Holstein,male,No,0.82397,469,469,0.78947,0.85848
2016,Schleswig-Holstein,female,No,0.84340,505,505,0.81167,0.87513
2016,Hamburg,male,No,0.85664,207,207,0.80878,0.90450
2016,Hamburg,female,No,0.82964,251,251,0.78303,0.87624
2016,Lower Saxony,male,No,0.83389,1270,1270,0.81342,0.85437
2016,Lower Saxony,female,No,0.84903,1404,1404,0.83030,0.86777
2016,Bremen,male,No,0.81560,112,112,0.74345,0.88775
2016,Bremen,female,No,0.71361,111,111,0.62912,0.79809
2016,North Rhine-Westphalia,male,No,0.82666,2700,2700,0.81237,0.84094
2016,North Rhine-Westphalia,female,Yes,0.00989,41,2996,0.00634,0.01343
2016,North Rhine-Westphalia,female,No,0.83202,2955,2996,0.81863,0.84541
2016,Hesse,male,No,0.81724,853,853,0.79129,0.84319
2016,Hesse,female,No,0.81964,973,973,0.79547,0.84381
2016,"Rhineland-Palatinate, Saarland",male,No,0.84040,848,848,0.81574,0.86507
2016,"Rhineland-Palatinate, Saarland",female,No,0.82893,882,882,0.80406,0.85379
2016,Baden-Wuerttemberg,male,No,0.81352,1475,1475,0.79363,0.83340
2016,Baden-Wuerttemberg,female,No,0.83336,1669,1669,0.81548,0.85125
2016,Bavaria,male,No,0.81460,1964,1964,0.79741,0.83179
2016,Bavaria,female,No,0.84784,2221,2221,0.83290,0.86278
2016,Berlin,male,No,0.80725,456,456,0.77101,0.84350
2016,Berlin,female,No,0.87840,543,543,0.85088,0.90591
2016,Brandenburg,male,No,0.80674,492,492,0.77182,0.84167
2016,Brandenburg,female,No,0.87577,545,545,0.84805,0.90349
2016,Mecklenburg-Western Pomerania,male,No,0.83730,274,274,0.79352,0.88109
2016,Mecklenburg-Western Pomerania,female,No,0.82273,310,310,0.78015,0.86531
2016,Saxony,male,No,0.86416,753,753,0.83967,0.88865
2016,Saxony,female,No,0.83263,804,804,0.80681,0.85845
2016,Saxony-Anhalt,male,No,0.83696,402,402,0.80080,0.87312
2016,Saxony-Anhalt,female,No,0.84808,501,501,0.81662,0.87954
2016,Thuringa,male,No,0.84895,457,457,0.81608,0.88182
2016,Thuringa,female,No,0.84263,516,516,0.81118,0.87408
2017,Schleswig-Holstein,male,No,0.81884,560,560,0.78691,0.85077
2017,Schleswig-Holstein,female,No,0.83338,609,609,0.80376,0.86300
2017,Hamburg,male,No,0.85261,247,247,0.80831,0.89691
2017,Hamburg,female,No,0.80022,284,284,0.75363,0.84680
2017,Lower Saxony,male,No,0.82020,1514,1514,0.80085,0.83955
2017,Lower Saxony,female,No,0.84116,1649,1649,0.82351,0.85880
2017,Bremen,male,No,0.82868,141,141,0.76627,0.89110
2017,Bremen,female,No,0.75177,138,138,0.67943,0.82411
2017,North Rhine-Westphalia,male,Yes,0.00739,41,3101,0.00438,0.01041
2017,North Rhine-Westphalia,male,No,0.83066,3060,3101,0.81746,0.84387
2017,North Rhine-Westphalia,female,Yes,0.01176,54,3382,0.00812,0.01539
2017,North Rhine-Westphalia,female,No,0.83216,3328,3382,0.81956,0.84476
2017,Hesse,male,No,0.81240,1029,1029,0.78853,0.83626
2017,Hesse,female,No,0.83307,1104,1104,0.81107,0.85508
2017,"Rhineland-Palatinate, Saarland",male,No,0.83410,865,865,0.80930,0.85891
2017,"Rhineland-Palatinate, Saarland",female,No,0.82537,910,910,0.80069,0.85005
2017,Baden-Wuerttemberg,male,No,0.80580,1612,1612,0.78649,0.82512
2017,Baden-Wuerttemberg,female,No,0.83837,1818,1818,0.82144,0.85530
2017,Bavaria,male,No,0.80773,2149,2149,0.79107,0.82440
2017,Bavaria,female,No,0.85394,2411,2411,0.83984,0.86804
2017,Berlin,male,No,0.84571,523,523,0.81473,0.87670
2017,Berlin,female,No,0.87180,559,559,0.84406,0.89954
2017,Brandenburg,male,No,0.79295,550,550,0.75906,0.82685
2017,Brandenburg,female,No,0.85533,603,603,0.82723,0.88344
2017,Mecklenburg-Western Pomerania,male,No,0.84491,286,286,0.80288,0.88693
2017,Mecklenburg-Western Pomerania,female,No,0.81393,328,328,0.77175,0.85611
2017,Saxony,male,No,0.86140,861,861,0.83831,0.88449
2017,Saxony,female,No,0.82847,919,919,0.80409,0.85286
2017,Saxony-Anhalt,male,No,0.83241,461,461,0.79828,0.86655
2017,Saxony-Anhalt,female,No,0.85553,561,561,0.82641,0.88465
2017,Thuringa,male,No,0.84229,496,496,0.81018,0.87440
2017,Thuringa,female,No,0.84655,568,568,0.81689,0.87622
2018,Schleswig-Holstein,male,No,0.81804,520,520,0.78485,0.85123
2018,Schleswig-Holstein,female,No,0.83203,560,560,0.80104,0.86302
2018,Hamburg,male,No,0.84009,240,240,0.79362,0.88656
2018,Hamburg,female,No,0.80266,291,291,0.75685,0.84846
2018,Lower Saxony,male,No,0.84018,1423,1423,0.82114,0.85923
2018,Lower Saxony,female,No,0.84620,1584,1584,0.82843,0.86397
2018,Bremen,male,No,0.78139,145,145,0.71388,0.84890
2018,Bremen,female,No,0.80660,146,146,0.74232,0.87089
2018,North Rhine-Westphalia,male,Yes,0.00885,42,2974,0.00548,0.01221
2018,North Rhine-Westphalia,male,No,0.83937,2932,2974,0.82617,0.85257
2018,North Rhine-Westphalia,female,Yes,0.01342,47,3271,0.00947,0.01736
2018,North Rhine-Westphalia,female,No,0.84616,3224,3271,0.83379,0.85853
2018,Hesse,male,No,0.83045,1001,1001,0.80719,0.85371
2018,Hesse,female,No,0.83266,1070,1070,0.81029,0.85504
2018,"Rhineland-Palatinate, Saarland",male,No,0.82980,828,828,0.80418,0.85541
2018,"Rhineland-Palatinate, Saarland",female,No,0.82890,874,874,0.80392,0.85388
2018,Baden-Wuerttemberg,male,No,0.81969,1495,1495,0.80019,0.83918
2018,Baden-Wuerttemberg,female,No,0.84210,1634,1634,0.82442,0.85979
2018,Bavaria,male,No,0.82169,1996,1996,0.80490,0.83849
2018,Bavaria,female,No,0.84500,2279,2279,0.83014,0.85986
2018,Berlin,male,No,0.82660,554,554,0.79505,0.85816
2018,Berlin,female,No,0.85952,560,560,0.83071,0.88832
2018,Brandenburg,male,No,0.78936,544,544,0.75506,0.82366
2018,Brandenburg,female,No,0.85015,581,581,0.82111,0.87920
2018,Mecklenburg-Western Pomerania,male,No,0.82203,292,292,0.77808,0.86598
2018,Mecklenburg-Western Pomerania,female,No,0.82787,353,353,0.78843,0.86731
2018,Saxony,male,No,0.85408,823,823,0.82994,0.87821
2018,Saxony,female,No,0.84035,895,895,0.81634,0.86436
2018,Saxony-Anhalt,male,No,0.83250,442,442,0.79765,0.86735
2018,Saxony-Anhalt,female,No,0.84550,545,545,0.81512,0.87587
2018,Thuringa,male,No,0.83076,482,482,0.79725,0.86427
2018,Thuringa,female,No,0.84122,543,543,0.81045,0.87199
2019,Schleswig-Holstein,male,No,0.80780,573,573,0.77550,0.84009
2019,Schleswig-Holstein,female,No,0.80190,565,565,0.76901,0.83479
2019,Hamburg,male,No,0.83160,271,271,0.78697,0.87624
2019,Hamburg,female,No,0.79989,308,308,0.75513,0.84464
2019,Lower Saxony,male,No,0.83090,1404,1404,0.81128,0.85051
2019,Lower Saxony,female,No,0.83922,1503,1503,0.82064,0.85779
2019,Bremen,male,No,0.79334,135,135,0.72478,0.86190
2019,Bremen,female,No,0.82368,147,147,0.76187,0.88550
2019,North Rhine-Westphalia,male,Yes,0.00806,35,3074,0.00490,0.01122
2019,North Rhine-Westphalia,male,No,0.83288,3039,3074,0.81968,0.84607
2019,North Rhine-Westphalia,female,Yes,0.00798,34,3175,0.00488,0.01107
2019,North Rhine-Westphalia,female,No,0.84473,3141,3175,0.83213,0.85733
2019,Hesse,male,No,0.82987,1011,1011,0.80670,0.85304
2019,Hesse,female,No,0.82931,970,970,0.80562,0.85300
2019,"Rhineland-Palatinate, Saarland",male,No,0.83219,795,795,0.80619,0.85818
2019,"Rhineland-Palatinate, Saarland",female,No,0.84072,846,846,0.81605,0.86540
2019,Baden-Wuerttemberg,male,No,0.80829,1536,1536,0.78860,0.82798
2019,Baden-Wuerttemberg,female,No,0.82764,1622,1622,0.80925,0.84602
2019,Bavaria,male,No,0.81262,2110,2110,0.79596,0.82927
2019,Bavaria,female,No,0.83002,2158,2158,0.81417,0.84587
2019,Berlin,male,No,0.82613,574,574,0.79509,0.85716
2019,Berlin,female,No,0.84889,540,540,0.81865,0.87913
2019,Brandenburg,male,No,0.78507,580,580,0.75161,0.81853
2019,Brandenburg,female,No,0.84179,624,624,0.81313,0.87044
2019,Mecklenburg-Western Pomerania,male,No,0.84241,312,312,0.80191,0.88290
2019,Mecklenburg-Western Pomerania,female,No,0.81492,331,331,0.77302,0.85683
2019,Saxony,male,No,0.86107,841,841,0.83768,0.88446
2019,Saxony,female,No,0.83642,863,863,0.81173,0.86112
2019,Saxony-Anhalt,male,No,0.85641,455,455,0.82416,0.88867
2019,Saxony-Anhalt,female,No,0.84677,525,525,0.81593,0.87762
2019,Thuringa,male,No,0.83107,474,474,0.79730,0.86484
2019,Thuringa,female,No,0.87173,514,514,0.84279,0.90066
2020,Schleswig-Holstein,male,No,0.78964,528,528,0.75484,0.82443
2020,Schleswig-Holstein,female,No,0.79372,530,530,0.75923,0.82820
2020,Hamburg,male,No,0.82793,290,290,0.78441,0.87144
2020,Hamburg,female,No,0.81408,310,310,0.77070,0.85745
2020,Lower Saxony,male,No,0.82770,1420,1420,0.80805,0.84735
2020,Lower Saxony,female,No,0.83039,1443,1443,0.81101,0.84976
2020,Bremen,male,No,0.86527,152,152,0.81082,0.91973
2020,Bremen,female,No,0.83238,156,156,0.77358,0.89119
2020,North Rhine-Westphalia,male,Yes,0.00793,37,3331,0.00492,0.01094
2020,North Rhine-Westphalia,male,No,0.83219,3294,3331,0.81950,0.84489
2020,North Rhine-Westphalia,female,Yes,0.00961,35,3236,0.00624,0.01297
2020,North Rhine-Westphalia,female,No,0.84055,3201,3236,0.82794,0.85317
2020,Hesse,male,No,0.81983,1042,1042,0.79648,0.84317
2020,Hesse,female,No,0.82868,1020,1020,0.80554,0.85181
2020,"Rhineland-Palatinate, Saarland",male,No,0.82637,759,759,0.79940,0.85334
2020,"Rhineland-Palatinate, Saarland",female,No,0.85823,810,810,0.83419,0.88226
2020,Baden-Wuerttemberg,male,No,0.79532,1552,1552,0.77524,0.81540
2020,Baden-Wuerttemberg,female,No,0.83529,1616,1616,0.81720,0.85338
2020,Bavaria,male,No,0.80868,2150,2150,0.79205,0.82531
2020,Bavaria,female,No,0.83332,2204,2204,0.81775,0.84888
2020,Berlin,male,No,0.82350,723,723,0.79569,0.85131
2020,Berlin,female,No,0.85759,625,625,0.83017,0.88501
2020,Brandenburg,male,No,0.82857,565,565,0.79747,0.85968
2020,Brandenburg,female,No,0.83305,582,582,0.80272,0.86337
2020,Mecklenburg-Western Pomerania,male,No,0.85470,262,262,0.81194,0.89745
2020,Mecklenburg-Western Pomerania,female,No,0.81726,271,271,0.77116,0.86335
2020,Saxony,male,No,0.85390,816,816,0.82965,0.87815
2020,Saxony,female,No,0.83969,848,848,0.81498,0.86440
2020,Saxony-Anhalt,male,No,0.85899,453,453,0.82691,0.89108
2020,Saxony-Anhalt,female,No,0.79965,506,506,0.76473,0.83456
2020,Thuringa,male,No,0.80936,452,452,0.77311,0.84562
2020,Thuringa,female,No,0.85593,518,518,0.82566,0.88620
2021,Schleswig-Holstein,male,No,0.78365,409,409,0.74369,0.82360
2021,Schleswig-Holstein,female,No,0.76084,435,435,0.72070,0.80097
2021,Hamburg,male,No,0.87276,210,210,0.82758,0.91794
2021,Hamburg,female,No,0.82625,238,238,0.77801,0.87449
2021,Lower Saxony,male,No,0.81661,916,916,0.79153,0.84168
2021,Lower Saxony,female,No,0.82085,989,989,0.79694,0.84476
2021,Bremen,male,No,0.88804,81,81,0.81894,0.95714
2021,Bremen,female,No,0.89695,72,72,0.82623,0.96767
2021,North Rhine-Westphalia,male,No,0.81765,2034,2034,0.80086,0.83443
2021,North Rhine-Westphalia,female,No,0.82936,2142,2142,0.81342,0.84530
2021,Hesse,male,No,0.83575,664,664,0.80754,0.86395
2021,Hesse,female,No,0.83141,656,656,0.80273,0.86008
2021,"Rhineland-Palatinate, Saarland",male,No,0.81499,478,478,0.78014,0.84984
2021,"Rhineland-Palatinate, Saarland",female,No,0.85938,530,530,0.82976,0.88900
2021,Baden-Wuerttemberg,male,No,0.80549,1041,1041,0.78144,0.82955
2021,Baden-Wuerttemberg,female,No,0.82440,1114,1114,0.80204,0.84675
2021,Bavaria,male,No,0.81170,1384,1384,0.79110,0.83231
2021,Bavaria,female,No,0.83012,1475,1475,0.81095,0.84929
2021,Berlin,male,No,0.81245,474,474,0.77727,0.84763
2021,Berlin,female,No,0.83807,444,444,0.80376,0.87237
2021,Brandenburg,male,No,0.80834,331,331,0.76587,0.85081
2021,Brandenburg,female,No,0.82286,369,369,0.78385,0.86187
2021,Mecklenburg-Western Pomerania,male,No,0.87019,190,190,0.82228,0.91811
2021,Mecklenburg-Western Pomerania,female,No,0.84313,217,217,0.79463,0.89163
2021,Saxony,male,No,0.83184,567,567,0.80102,0.86265
2021,Saxony,female,No,0.81726,590,590,0.78605,0.84847
2021,Saxony-Anhalt,male,No,0.86958,283,283,0.83028,0.90889
2021,Saxony-Anhalt,female,No,0.84628,322,322,0.80683,0.88574
2021,Thuringa,male,No,0.78499,283,283,0.73703,0.83294
2021,Thuringa,female,No,0.83559,344,344,0.79636,0.87481
2022,Schleswig-Holstein,male,No,0.81352,470,470,0.77827,0.84877
2022,Schleswig-Holstein,female,No,0.81083,530,530,0.77746,0.84421
2022,Hamburg,male,No,0.78670,293,293,0.73972,0.83369
2022,Hamburg,female,No,0.82850,319,319,0.78707,0.86993
2022,Lower Saxony,male,No,0.79916,1184,1184,0.77633,0.82199
2022,Lower Saxony,female,No,0.79449,1213,1213,0.77174,0.81724
2022,Bremen,male,No,0.80363,103,103,0.72653,0.88072
2022,Bremen,female,No,0.81000,96,96,0.73112,0.88889
2022,North Rhine-Westphalia,male,Yes,0.00688,47,2957,0.00390,0.00986
2022,North Rhine-Westphalia,male,No,0.80549,2910,2957,0.79122,0.81976
2022,North Rhine-Westphalia,female,Yes,0.01043,58,3035,0.00682,0.01405
2022,North Rhine-Westphalia,female,No,0.81916,2977,3035,0.80546,0.83285
2022,Hesse,male,No,0.83262,879,879,0.80793,0.85732
2022,Hesse,female,No,0.84488,905,905,0.82128,0.86848
2022,"Rhineland-Palatinate, Saarland",male,No,0.81099,624,624,0.78025,0.84174
2022,"Rhineland-Palatinate, Saarland",female,No,0.81586,679,679,0.78668,0.84503
2022,Baden-Wuerttemberg,male,No,0.77221,1607,1607,0.75169,0.79272
2022,Baden-Wuerttemberg,female,No,0.81755,1625,1625,0.79876,0.83633
2022,Bavaria,male,No,0.80357,2115,2115,0.78663,0.82050
2022,Bavaria,female,Yes,0.00757,41,2258,0.00399,0.01115
2022,Bavaria,female,No,0.82698,2217,2258,0.81137,0.84258
2022,Berlin,male,No,0.82108,769,769,0.79397,0.84819
2022,Berlin,female,No,0.81525,734,734,0.78715,0.84334
2022,Brandenburg,male,No,0.79883,461,461,0.76219,0.83546
2022,Brandenburg,female,No,0.83157,545,545,0.80012,0.86302
2022,Mecklenburg-Western Pomerania,male,No,0.84822,262,262,0.80469,0.89175
2022,Mecklenburg-Western Pomerania,female,No,0.82497,301,301,0.78197,0.86797
2022,Saxony,male,No,0.83825,835,835,0.81326,0.86324
2022,Saxony,female,No,0.83122,914,914,0.80692,0.85551
2022,Saxony-Anhalt,male,No,0.84594,434,434,0.81193,0.87994
2022,Saxony-Anhalt,female,No,0.81770,479,479,0.78309,0.85231
2022,Thuringa,male,No,0.79514,403,403,0.75568,0.83459
2022,Thuringa,female,No,0.84368,459,459,0.81042,0.87694
