year,pgisced97,sampreg,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,Second Stage of Tertiary Education,East,No,0.99355,1515,1515,0.98952,0.99759
2018,Pre-primary Level,West,No,0.58570,299,299,0.52977,0.64163
2018,Pre-primary Level,East,No,0.38042,58,58,0.25438,0.50646
2018,Primary Level,West,No,0.97944,1506,1506,0.97227,0.98661
2018,Primary Level,East,No,0.96552,224,224,0.94157,0.98947
2018,Lower Secondary Level,West,Yes,0.01345,38,2916,0.00926,0.01763
2018,Lower Secondary Level,West,No,0.96714,2878,2916,0.96067,0.97361
2018,Lower Secondary Level,East,No,0.95543,499,499,0.93731,0.97356
2018,Upper Secondary Level,West,Yes,0.00657,84,9275,0.00493,0.00822
2018,Upper Secondary Level,West,No,0.99327,9191,9275,0.99160,0.99493
2018,Upper Secondary Level,East,No,0.99286,2842,2842,0.98976,0.99595
2018,Post-secondary Non-tertiary Level,West,No,0.98428,1851,1851,0.97861,0.98995
2018,Post-secondary Non-tertiary Level,East,No,0.97848,324,324,0.96265,0.99431
2018,First Stage of Tertiary Education,West,No,0.98757,1049,1049,0.98086,0.99428
2018,First Stage of Tertiary Education,East,No,0.98805,382,382,0.97714,0.99896
2018,Second Stage of Tertiary Education,West,Yes,0.01302,82,5486,0.01002,0.01602
2018,Second Stage of Tertiary Education,West,No,0.98688,5404,5486,0.98387,0.98989
2018,Second Stage of Tertiary Education,East,No,0.99689,1473,1473,0.99404,0.99973
2019,Pre-primary Level,West,No,0.59988,280,280,0.54239,0.65737
2019,Pre-primary Level,East,No,0.59821,55,55,0.46745,0.72898
2019,Primary Level,West,No,0.97182,1431,1431,0.96325,0.98040
2019,Primary Level,East,No,0.94010,208,208,0.90777,0.97243
2019,Lower Secondary Level,West,No,0.96374,2598,2598,0.95655,0.97093
2019,Lower Secondary Level,East,No,0.93519,456,456,0.91256,0.95781
2019,Upper Secondary Level,West,Yes,0.00733,82,8972,0.00556,0.00909
2019,Upper Secondary Level,West,No,0.99236,8890,8972,0.99056,0.99416
2019,Upper Secondary Level,East,No,0.99426,2664,2664,0.99140,0.99713
2019,Post-secondary Non-tertiary Level,West,No,0.98725,1890,1890,0.98219,0.99231
2019,Post-secondary Non-tertiary Level,East,No,0.98652,321,321,0.97389,0.99916
2019,First Stage of Tertiary Education,West,No,0.97829,1208,1208,0.97007,0.98651
2019,First Stage of Tertiary Education,East,No,0.98931,434,434,0.97962,0.99899
2019,Second Stage of Tertiary Education,West,Yes,0.01096,74,5885,0.00830,0.01362
2019,Second Stage of Tertiary Education,West,No,0.98900,5811,5885,0.98634,0.99167
2019,Second Stage of Tertiary Education,East,No,0.99369,1648,1648,0.98986,0.99751
2020,Pre-primary Level,West,No,0.46898,298,298,0.41222,0.52573
2020,Pre-primary Level,East,No,0.50661,65,65,0.38412,0.62910
2020,Primary Level,West,No,0.99818,1564,1564,0.99607,1.00029
2020,Primary Level,East,No,0.99347,236,236,0.98318,1.00377
2020,Lower Secondary Level,West,Yes,0.00960,31,2764,0.00596,0.01324
2020,Lower Secondary Level,West,No,0.97228,2733,2764,0.96616,0.97840
2020,Lower Secondary Level,East,No,0.94372,464,464,0.92273,0.96472
2020,Upper Secondary Level,West,Yes,0.00600,82,8825,0.00439,0.00761
2020,Upper Secondary Level,West,No,0.99307,8743,8825,0.99133,0.99480
2020,Upper Secondary Level,East,No,0.99445,2527,2527,0.99156,0.99735
2020,Post-secondary Non-tertiary Level,West,Yes,0.01966,35,2031,0.01362,0.02570
2020,Post-secondary Non-tertiary Level,West,No,0.98032,1996,2031,0.97428,0.98637
2020,Post-secondary Non-tertiary Level,East,No,0.98512,319,319,0.97181,0.99843
2020,First Stage of Tertiary Education,West,No,0.99378,1063,1063,0.98905,0.99851
2020,First Stage of Tertiary Education,East,No,0.99717,390,390,0.99190,1.00245
2020,Second Stage of Tertiary Education,West,Yes,0.01432,83,6112,0.01134,0.01730
2020,Second Stage of Tertiary Education,West,No,0.98565,6029,6112,0.98267,0.98863
2020,Second Stage of Tertiary Education,East,No,0.99367,1632,1632,0.98982,0.99752
2021,Pre-primary Level,West,No,0.51479,161,161,0.43735,0.59223
2021,Pre-primary Level,East,No,0.50088,36,36,0.33523,0.66653
2021,Primary Level,West,No,0.98994,892,892,0.98339,0.99649
2021,Primary Level,East,No,0.99023,123,123,0.97278,1.00768
2021,Lower Secondary Level,West,No,0.95975,1542,1542,0.94994,0.96957
2021,Lower Secondary Level,East,No,0.95354,257,257,0.92776,0.97933
2021,Upper Secondary Level,West,Yes,0.00565,57,5701,0.00370,0.00759
2021,Upper Secondary Level,West,No,0.99039,5644,5701,0.98785,0.99292
2021,Upper Secondary Level,East,No,0.98702,1665,1665,0.98158,0.99246
2021,Post-secondary Non-tertiary Level,West,No,0.98410,1354,1354,0.97743,0.99076
2021,Post-secondary Non-tertiary Level,East,No,0.98874,218,218,0.97470,1.00278
2021,First Stage of Tertiary Education,West,No,0.98666,727,727,0.97831,0.99500
2021,First Stage of Tertiary Education,East,No,0.97512,263,263,0.95627,0.99398
2021,Second Stage of Tertiary Education,West,Yes,0.01166,64,4504,0.00853,0.01480
2021,Second Stage of Tertiary Education,West,No,0.98678,4440,4504,0.98344,0.99012
2021,Second Stage of Tertiary Education,East,No,0.99316,1172,1172,0.98844,0.99788
2022,Pre-primary Level,West,No,0.60789,257,257,0.54808,0.66770
2022,Pre-primary Level,East,No,0.46723,60,60,0.33992,0.59454
2022,Primary Level,West,No,0.98404,717,717,0.97486,0.99322
2022,Primary Level,East,No,0.98498,122,122,0.96331,1.00665
2022,Lower Secondary Level,West,No,0.97547,1502,1502,0.96764,0.98329
2022,Lower Secondary Level,East,No,0.94499,348,348,0.92100,0.96898
2022,Upper Secondary Level,West,Yes,0.00952,95,7067,0.00725,0.01178
2022,Upper Secondary Level,West,No,0.97757,6972,7067,0.97411,0.98102
2022,Upper Secondary Level,East,No,0.98700,2106,2106,0.98216,0.99184
2022,Post-secondary Non-tertiary Level,West,Yes,0.02238,50,1813,0.01557,0.02919
2022,Post-secondary Non-tertiary Level,West,No,0.97268,1763,1813,0.96517,0.98018
2022,Post-secondary Non-tertiary Level,East,No,0.97478,369,369,0.95876,0.99080
2022,First Stage of Tertiary Education,West,No,0.98709,1011,1011,0.98013,0.99405
2022,First Stage of Tertiary Education,East,No,0.97765,336,336,0.96183,0.99348
2022,Second Stage of Tertiary Education,West,Yes,0.01644,166,6893,0.01344,0.01944
2022,Second Stage of Tertiary Education,West,No,0.97969,6727,6893,0.97636,0.98302
2022,Second Stage of Tertiary Education,East,No,0.98668,1722,1722,0.98127,0.99210
