year,migback,sex,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,No migration background,female,No,0.84740,6865,6927,0.83893,0.85587
2021,Direct migration background,male,Yes,0.01092,49,2805,0.00707,0.01477
2021,Direct migration background,male,No,0.92534,2756,2805,0.91561,0.93507
2021,Direct migration background,female,Yes,0.00684,38,2637,0.00370,0.00999
2021,Direct migration background,female,No,0.93005,2599,2637,0.92032,0.93979
2021,Indirect migration background,male,No,0.44077,435,435,0.39406,0.48748
2021,Indirect migration background,female,No,0.49027,474,474,0.44522,0.53532
2022,No migration background,male,Yes,0.01024,105,8764,0.00813,0.01235
2022,No migration background,male,No,0.82519,8659,8764,0.81724,0.83314
2022,No migration background,female,Yes,0.00847,127,9476,0.00663,0.01032
2022,No migration background,female,No,0.83783,9349,9476,0.83040,0.84525
2022,Direct migration background,male,Yes,0.02048,104,4126,0.01615,0.02480
2022,Direct migration background,male,No,0.90998,4022,4126,0.90125,0.91872
2022,Direct migration background,female,Yes,0.00920,112,3987,0.00624,0.01217
2022,Direct migration background,female,No,0.91024,3875,3987,0.90136,0.91911
2022,Indirect migration background,male,No,0.51384,664,664,0.47579,0.55188
2022,Indirect migration background,female,No,0.55632,765,765,0.52109,0.59155
