year,age_gr,quintil_oecd,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,17-29 y.,4th Quintile,No,0.98768,582,582,0.97872,0.99665
2017,17-29 y.,5th Quintile,No,0.94470,414,414,0.92266,0.96674
2017,30-45 y.,1st Quintile,Yes,0.02467,57,2288,0.01831,0.03103
2017,30-45 y.,1st Quintile,No,0.97533,2231,2288,0.96897,0.98169
2017,30-45 y.,2nd Quintile,No,0.99254,1489,1489,0.98817,0.99691
2017,30-45 y.,3rd Quintile,No,0.98821,1231,1231,0.98218,0.99424
2017,30-45 y.,4th Quintile,No,0.97579,1145,1145,0.96689,0.98470
2017,30-45 y.,5th Quintile,No,0.97829,962,962,0.96908,0.98750
2017,46-65 y.,1st Quintile,No,0.99253,1540,1540,0.98823,0.99683
2017,46-65 y.,2nd Quintile,No,0.99441,1412,1412,0.99052,0.99830
2017,46-65 y.,3rd Quintile,No,0.99025,1491,1491,0.98526,0.99524
2017,46-65 y.,4th Quintile,No,0.99660,1742,1742,0.99387,0.99933
2017,46-65 y.,5th Quintile,No,0.99562,2224,2224,0.99287,0.99836
2017,66 and older,3rd Quintile,No,0.99939,1017,1017,0.99786,1.00091
2017,66 and older,4th Quintile,No,0.99965,845,845,0.99838,1.00091
2018,17-29 y.,1st Quintile,No,0.98926,2037,2037,0.98479,0.99374
2018,17-29 y.,2nd Quintile,No,0.97343,947,947,0.96318,0.98368
2018,17-29 y.,3rd Quintile,No,0.98483,756,756,0.97612,0.99355
2018,17-29 y.,4th Quintile,No,0.98530,647,647,0.97602,0.99458
2018,17-29 y.,5th Quintile,No,0.98851,457,457,0.97872,0.99829
2018,30-45 y.,1st Quintile,Yes,0.03123,65,2559,0.02449,0.03797
2018,30-45 y.,1st Quintile,No,0.96877,2494,2559,0.96203,0.97551
2018,30-45 y.,2nd Quintile,No,0.97900,1537,1537,0.97183,0.98617
2018,30-45 y.,3rd Quintile,No,0.97896,1313,1313,0.97120,0.98673
2018,30-45 y.,4th Quintile,No,0.98955,1202,1202,0.98379,0.99530
2018,30-45 y.,5th Quintile,No,0.97442,1065,1065,0.96493,0.98391
2018,46-65 y.,1st Quintile,No,0.99570,1814,1814,0.99269,0.99872
2018,46-65 y.,2nd Quintile,No,0.99657,1625,1625,0.99373,0.99942
2018,46-65 y.,3rd Quintile,No,0.99541,1661,1661,0.99216,0.99866
2018,46-65 y.,4th Quintile,No,0.99507,2003,2003,0.99200,0.99814
2018,46-65 y.,5th Quintile,No,0.99599,2530,2530,0.99353,0.99846
2018,66 and older,3rd Quintile,No,0.99912,1048,1048,0.99732,1.00092
2018,66 and older,4th Quintile,No,0.99982,846,846,0.99893,1.00072
2018,66 and older,5th Quintile,No,0.99719,975,975,0.99387,1.00051
2019,17-29 y.,1st Quintile,No,0.98937,1851,1851,0.98469,0.99404
2019,17-29 y.,2nd Quintile,No,0.97259,892,892,0.96187,0.98331
2019,17-29 y.,3rd Quintile,No,0.98356,674,674,0.97395,0.99317
2019,17-29 y.,4th Quintile,No,0.98127,569,569,0.97012,0.99242
2019,17-29 y.,5th Quintile,No,0.97597,416,416,0.96124,0.99071
2019,30-45 y.,1st Quintile,Yes,0.02707,45,2601,0.02083,0.03330
2019,30-45 y.,1st Quintile,No,0.97293,2556,2601,0.96670,0.97917
2019,30-45 y.,2nd Quintile,No,0.99419,1321,1321,0.99009,0.99829
2019,30-45 y.,3rd Quintile,No,0.97269,1198,1198,0.96346,0.98192
2019,30-45 y.,4th Quintile,No,0.99101,1010,1010,0.98519,0.99683
2019,30-45 y.,5th Quintile,No,0.98623,932,932,0.97875,0.99372
2019,46-65 y.,1st Quintile,No,0.99464,1802,1802,0.99127,0.99802
2019,46-65 y.,2nd Quintile,No,0.99311,1484,1484,0.98890,0.99732
2019,46-65 y.,3rd Quintile,No,0.99498,1575,1575,0.99149,0.99847
2019,46-65 y.,4th Quintile,No,0.99119,1793,1793,0.98687,0.99552
2019,46-65 y.,5th Quintile,No,0.99389,2500,2500,0.99084,0.99695
2019,66 and older,1st Quintile,No,0.99995,777,777,0.99947,1.00043
2019,66 and older,4th Quintile,No,0.99697,863,863,0.99330,1.00064
2019,66 and older,5th Quintile,No,0.99619,935,935,0.99224,1.00014
2020,17-29 y.,1st Quintile,No,0.98668,1673,1673,0.98119,0.99218
2020,17-29 y.,2nd Quintile,No,0.98486,816,816,0.97647,0.99324
2020,17-29 y.,3rd Quintile,No,0.97005,660,660,0.95704,0.98306
2020,17-29 y.,4th Quintile,No,0.97392,601,601,0.96117,0.98667
2020,17-29 y.,5th Quintile,No,0.97079,475,475,0.95563,0.98595
2020,30-45 y.,1st Quintile,Yes,0.02863,36,2331,0.02186,0.03540
2020,30-45 y.,1st Quintile,No,0.97137,2295,2331,0.96460,0.97814
2020,30-45 y.,2nd Quintile,No,0.99075,1307,1307,0.98555,0.99594
2020,30-45 y.,3rd Quintile,No,0.98761,1051,1051,0.98092,0.99430
2020,30-45 y.,4th Quintile,No,0.99080,1069,1069,0.98507,0.99653
2020,30-45 y.,5th Quintile,No,0.98895,1109,1109,0.98279,0.99510
2020,46-65 y.,1st Quintile,No,0.99201,1745,1745,0.98784,0.99619
2020,46-65 y.,2nd Quintile,No,0.99498,1492,1492,0.99139,0.99857
2020,46-65 y.,3rd Quintile,No,0.99538,1591,1591,0.99204,0.99871
2020,46-65 y.,4th Quintile,No,0.99260,1948,1948,0.98879,0.99641
2020,46-65 y.,5th Quintile,No,0.99552,3213,3213,0.99321,0.99783
2020,66 and older,2nd Quintile,No,0.99840,1180,1180,0.99612,1.00068
2020,66 and older,4th Quintile,No,0.99673,870,870,0.99294,1.00053
2020,66 and older,5th Quintile,No,0.99850,1116,1116,0.99623,1.00077
2021,17-29 y.,1st Quintile,No,0.99238,1225,1225,0.98751,0.99725
2021,17-29 y.,2nd Quintile,No,0.97691,588,588,0.96476,0.98906
2021,17-29 y.,3rd Quintile,No,0.99043,476,476,0.98168,0.99919
2021,17-29 y.,4th Quintile,No,0.99450,427,427,0.98748,1.00152
2021,17-29 y.,5th Quintile,No,0.98676,330,330,0.97441,0.99911
2021,30-45 y.,1st Quintile,No,0.99006,1612,1612,0.98522,0.99490
2021,30-45 y.,2nd Quintile,No,0.97651,990,990,0.96707,0.98595
2021,30-45 y.,3rd Quintile,No,0.97083,832,832,0.95939,0.98227
2021,30-45 y.,4th Quintile,No,0.98802,764,764,0.98029,0.99574
2021,30-45 y.,5th Quintile,No,0.98213,818,818,0.97304,0.99121
2021,46-65 y.,1st Quintile,No,0.99413,1230,1230,0.98985,0.99840
2021,46-65 y.,2nd Quintile,No,0.99837,1123,1123,0.99602,1.00073
2021,46-65 y.,3rd Quintile,No,0.99965,1161,1161,0.99857,1.00073
2021,46-65 y.,4th Quintile,No,0.99477,1348,1348,0.99092,0.99862
2021,46-65 y.,5th Quintile,No,0.99466,2271,2271,0.99166,0.99765
2021,66 and older,5th Quintile,No,0.99931,821,821,0.99752,1.00111
2022,17-29 y.,1st Quintile,No,0.98891,1065,1065,0.98262,0.99521
2022,17-29 y.,2nd Quintile,No,0.98762,554,554,0.97841,0.99684
2022,17-29 y.,3rd Quintile,No,0.97737,421,421,0.96314,0.99159
2022,17-29 y.,4th Quintile,No,0.99155,372,372,0.98224,1.00087
2022,17-29 y.,5th Quintile,No,0.95953,296,296,0.93704,0.98201
2022,30-45 y.,1st Quintile,No,0.96682,1370,1370,0.95733,0.97631
2022,30-45 y.,2nd Quintile,No,0.98488,859,859,0.97671,0.99305
2022,30-45 y.,3rd Quintile,No,0.97167,743,743,0.95973,0.98361
2022,30-45 y.,4th Quintile,No,0.96129,777,777,0.94771,0.97486
2022,30-45 y.,5th Quintile,No,0.98785,662,662,0.97949,0.99620
2022,46-65 y.,1st Quintile,No,0.99539,1178,1178,0.99152,0.99926
2022,46-65 y.,2nd Quintile,No,0.99550,987,987,0.99132,0.99968
2022,46-65 y.,3rd Quintile,No,0.99508,1043,1043,0.99083,0.99933
2022,46-65 y.,4th Quintile,No,0.99463,1295,1295,0.99065,0.99861
2022,46-65 y.,5th Quintile,No,0.99469,2216,2216,0.99166,0.99772
2022,66 and older,4th Quintile,No,0.99991,612,612,0.99917,1.00066
2022,66 and older,5th Quintile,No,0.99953,783,783,0.99802,1.00105
