year,age_gr,regtyp,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,17-29 y.,Urban regions,No,0.92723,3720,3781,0.91895,0.93551
2018,17-29 y.,Rural regions,No,0.91227,1682,1682,0.89875,0.92580
2018,30-45 y.,Urban regions,Yes,0.02683,127,5751,0.02265,0.03101
2018,30-45 y.,Urban regions,No,0.97313,5624,5751,0.96895,0.97731
2018,30-45 y.,Rural regions,Yes,0.01015,49,2691,0.00636,0.01394
2018,30-45 y.,Rural regions,No,0.98919,2642,2691,0.98528,0.99309
2018,46-65 y.,Urban regions,Yes,0.00463,51,6538,0.00299,0.00628
2018,46-65 y.,Urban regions,No,0.99537,6487,6538,0.99372,0.99701
2018,46-65 y.,Rural regions,Yes,0.00379,33,3719,0.00181,0.00576
2018,46-65 y.,Rural regions,No,0.99621,3686,3719,0.99424,0.99819
2018,66 and older,Urban regions,No,0.99932,3177,3177,0.99841,1.00023
2018,66 and older,Rural regions,No,0.99928,1838,1838,0.99806,1.00051
2019,17-29 y.,Urban regions,Yes,0.01784,56,3300,0.01332,0.02235
2019,17-29 y.,Urban regions,No,0.91536,3244,3300,0.90586,0.92485
2019,17-29 y.,Rural regions,No,0.88612,1402,1402,0.86949,0.90275
2019,30-45 y.,Urban regions,Yes,0.01696,78,5269,0.01347,0.02044
2019,30-45 y.,Urban regions,No,0.98304,5191,5269,0.97956,0.98653
2019,30-45 y.,Rural regions,Yes,0.01528,42,2540,0.01051,0.02005
2019,30-45 y.,Rural regions,No,0.98472,2498,2540,0.97995,0.98949
2019,46-65 y.,Urban regions,Yes,0.00799,55,6998,0.00590,0.01008
2019,46-65 y.,Urban regions,No,0.99200,6943,6998,0.98992,0.99409
2019,46-65 y.,Rural regions,No,0.99645,3834,3834,0.99457,0.99833
2019,66 and older,Urban regions,No,0.99838,3240,3240,0.99700,0.99977
2019,66 and older,Rural regions,No,0.99935,1877,1877,0.99820,1.00050
2020,17-29 y.,Urban regions,Yes,0.02017,60,3976,0.01580,0.02454
2020,17-29 y.,Urban regions,No,0.91758,3916,3976,0.90903,0.92613
2020,17-29 y.,Rural regions,No,0.87782,1463,1463,0.86104,0.89461
2020,30-45 y.,Urban regions,Yes,0.01454,99,5970,0.01150,0.01757
2020,30-45 y.,Urban regions,No,0.98523,5871,5970,0.98217,0.98829
2020,30-45 y.,Rural regions,Yes,0.01202,34,2523,0.00776,0.01627
2020,30-45 y.,Rural regions,No,0.98797,2489,2523,0.98372,0.99223
2020,46-65 y.,Urban regions,Yes,0.00664,54,6887,0.00473,0.00856
2020,46-65 y.,Urban regions,No,0.99336,6833,6887,0.99144,0.99527
2020,46-65 y.,Rural regions,No,0.99604,3613,3613,0.99400,0.99809
2020,66 and older,Urban regions,No,0.99817,3113,3113,0.99667,0.99967
2020,66 and older,Rural regions,No,0.99877,1807,1807,0.99715,1.00039
2021,17-29 y.,Urban regions,Yes,0.01380,42,2400,0.00913,0.01847
2021,17-29 y.,Urban regions,No,0.92293,2358,2400,0.91225,0.93360
2021,17-29 y.,Rural regions,No,0.92666,869,869,0.90932,0.94400
2021,30-45 y.,Urban regions,Yes,0.02152,78,3777,0.01689,0.02615
2021,30-45 y.,Urban regions,No,0.97734,3699,3777,0.97260,0.98209
2021,30-45 y.,Rural regions,No,0.98886,1536,1536,0.98361,0.99411
2021,46-65 y.,Urban regions,Yes,0.00384,42,4856,0.00210,0.00558
2021,46-65 y.,Urban regions,No,0.99488,4814,4856,0.99287,0.99689
2021,46-65 y.,Rural regions,No,0.99317,2445,2445,0.98991,0.99644
2021,66 and older,Urban regions,No,0.99122,2245,2245,0.98736,0.99508
2021,66 and older,Rural regions,No,0.98663,1323,1323,0.98044,0.99282
2022,17-29 y.,Urban regions,Yes,0.01822,94,4182,0.01417,0.02228
2022,17-29 y.,Urban regions,No,0.92680,4088,4182,0.91890,0.93469
2022,17-29 y.,Rural regions,No,0.93887,1430,1430,0.92645,0.95129
2022,30-45 y.,Urban regions,Yes,0.02620,199,6326,0.02227,0.03014
2022,30-45 y.,Urban regions,No,0.96976,6127,6326,0.96554,0.97398
2022,30-45 y.,Rural regions,Yes,0.02186,54,2614,0.01625,0.02746
2022,30-45 y.,Rural regions,No,0.97691,2560,2614,0.97116,0.98267
2022,46-65 y.,Urban regions,Yes,0.00903,67,5999,0.00664,0.01143
2022,46-65 y.,Urban regions,No,0.98509,5932,5999,0.98202,0.98815
2022,46-65 y.,Rural regions,No,0.98675,3136,3136,0.98275,0.99075
2022,66 and older,Urban regions,No,0.98179,2550,2550,0.97660,0.98698
2022,66 and older,Rural regions,No,0.97764,1539,1539,0.97025,0.98503
