year,pgisced97,regtyp,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,First Stage of Tertiary Education,Rural regions,No,0.92037,590,638,0.89934,0.94139
2014,Second Stage of Tertiary Education,Urban regions,Yes,0.17143,704,4504,0.16042,0.18244
2014,Second Stage of Tertiary Education,Urban regions,No,0.82857,3800,4504,0.81756,0.83958
2014,Second Stage of Tertiary Education,Rural regions,Yes,0.09548,163,1701,0.08151,0.10945
2014,Second Stage of Tertiary Education,Rural regions,No,0.90452,1538,1701,0.89055,0.91849
2019,No answer / don't know,Urban regions,Yes,0.21980,90,378,0.17800,0.26160
2019,No answer / don't know,Urban regions,No,0.78020,288,378,0.73840,0.82200
2019,No answer / don't know,Rural regions,No,0.85516,154,154,0.79939,0.91093
2019,Pre-primary Level,Urban regions,Yes,0.45354,101,243,0.39082,0.51627
2019,Pre-primary Level,Urban regions,No,0.54646,142,243,0.48373,0.60918
2019,Pre-primary Level,Rural regions,No,0.76993,57,57,0.65969,0.88016
2019,Primary Level,Urban regions,Yes,0.20033,54,275,0.15293,0.24772
2019,Primary Level,Urban regions,No,0.79967,221,275,0.75228,0.84707
2019,Primary Level,Rural regions,No,0.94030,99,99,0.89339,0.98721
2019,Lower Secondary Level,Urban regions,Yes,0.12391,199,1471,0.10707,0.14075
2019,Lower Secondary Level,Urban regions,No,0.87609,1272,1471,0.85925,0.89293
2019,Lower Secondary Level,Rural regions,Yes,0.10713,127,906,0.08698,0.12728
2019,Lower Secondary Level,Rural regions,No,0.89287,779,906,0.87272,0.91302
2019,Upper Secondary Level,No answer / don't know,Yes,0.29723,68,238,0.23904,0.35542
2019,Upper Secondary Level,No answer / don't know,No,0.70277,170,238,0.64458,0.76096
2019,Upper Secondary Level,Urban regions,Yes,0.12156,880,6570,0.11365,0.12946
2019,Upper Secondary Level,Urban regions,No,0.87844,5690,6570,0.87054,0.88635
2019,Upper Secondary Level,Rural regions,Yes,0.07853,356,4305,0.07049,0.08656
2019,Upper Secondary Level,Rural regions,No,0.92147,3949,4305,0.91344,0.92951
2019,Post-secondary Non-tertiary Level,No answer / don't know,No,0.71559,45,45,0.58229,0.84889
2019,Post-secondary Non-tertiary Level,Urban regions,Yes,0.16288,246,1514,0.14428,0.18149
2019,Post-secondary Non-tertiary Level,Urban regions,No,0.83712,1268,1514,0.81851,0.85572
2019,Post-secondary Non-tertiary Level,Rural regions,Yes,0.14955,70,595,0.12087,0.17823
2019,Post-secondary Non-tertiary Level,Rural regions,No,0.85045,525,595,0.82177,0.87913
2019,First Stage of Tertiary Education,Urban regions,Yes,0.07428,85,947,0.05757,0.09099
2019,First Stage of Tertiary Education,Urban regions,No,0.92572,862,947,0.90901,0.94243
2019,First Stage of Tertiary Education,Rural regions,Yes,0.08392,48,684,0.06313,0.10472
2019,First Stage of Tertiary Education,Rural regions,No,0.91608,636,684,0.89528,0.93687
2019,Second Stage of Tertiary Education,No answer / don't know,Yes,0.25335,48,185,0.19050,0.31619
2019,Second Stage of Tertiary Education,No answer / don't know,No,0.74665,137,185,0.68381,0.80950
2019,Second Stage of Tertiary Education,Urban regions,Yes,0.16573,799,4934,0.15535,0.17611
2019,Second Stage of Tertiary Education,Urban regions,No,0.83427,4135,4934,0.82389,0.84465
2019,Second Stage of Tertiary Education,Rural regions,Yes,0.10241,202,1882,0.08871,0.11612
2019,Second Stage of Tertiary Education,Rural regions,No,0.89759,1680,1882,0.88388,0.91129
