year,pgisced97,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2010,Post-secondary Non-tertiary Level,Yes,0.22822,239,941,0.20139,0.25505
2010,Post-secondary Non-tertiary Level,No,0.60717,702,941,0.57595,0.63839
2010,First Stage of Tertiary Education,Yes,0.23074,291,1255,0.20742,0.25406
2010,First Stage of Tertiary Education,No,0.71016,964,1255,0.68505,0.73527
2010,Second Stage of Tertiary Education,Yes,0.16581,660,3830,0.15403,0.17759
2010,Second Stage of Tertiary Education,No,0.73471,3170,3830,0.72072,0.74869
2012,Pre-primary Level,Yes,0.07664,45,283,0.04559,0.10769
2012,Pre-primary Level,No,0.36848,238,283,0.31218,0.42479
2012,Primary Level,Yes,0.37403,101,229,0.31122,0.43684
2012,Primary Level,No,0.47033,128,229,0.40554,0.53512
2012,Lower Secondary Level,Yes,0.25495,617,2103,0.23632,0.27358
2012,Lower Secondary Level,No,0.63288,1486,2103,0.61228,0.65349
2012,Upper Secondary Level,Yes,0.27548,3000,10253,0.26683,0.28412
2012,Upper Secondary Level,No,0.64722,7253,10253,0.63797,0.65647
2012,Post-secondary Non-tertiary Level,Yes,0.22712,303,1203,0.20343,0.25080
2012,Post-secondary Non-tertiary Level,No,0.64475,900,1203,0.61769,0.67181
2012,First Stage of Tertiary Education,Yes,0.22219,343,1433,0.20065,0.24372
2012,First Stage of Tertiary Education,No,0.71537,1090,1433,0.69200,0.73874
2012,Second Stage of Tertiary Education,Yes,0.15945,762,4634,0.14891,0.16999
2012,Second Stage of Tertiary Education,No,0.75537,3872,4634,0.74300,0.76775
2014,Pre-primary Level,Yes,0.08824,64,448,0.06194,0.11453
2014,Pre-primary Level,No,0.46716,384,448,0.42091,0.51342
2014,Primary Level,Yes,0.47586,248,504,0.43221,0.51950
2014,Primary Level,No,0.52414,256,504,0.48050,0.56779
2014,Lower Secondary Level,Yes,0.33029,1170,3101,0.31373,0.34684
2014,Lower Secondary Level,No,0.64857,1931,3101,0.63177,0.66538
2014,Upper Secondary Level,Yes,0.29702,3863,12507,0.28901,0.30503
2014,Upper Secondary Level,No,0.69949,8644,12507,0.69146,0.70753
2014,Post-secondary Non-tertiary Level,Yes,0.27094,556,2044,0.25166,0.29021
2014,Post-secondary Non-tertiary Level,No,0.72659,1488,2044,0.70727,0.74592
2014,First Stage of Tertiary Education,Yes,0.21181,331,1593,0.19174,0.23188
2014,First Stage of Tertiary Education,No,0.78778,1262,1593,0.76770,0.80787
2014,Second Stage of Tertiary Education,Yes,0.16669,980,6220,0.15743,0.17595
2014,Second Stage of Tertiary Education,No,0.83168,5240,6220,0.82238,0.84098
2016,Pre-primary Level,Yes,0.07345,43,334,0.04543,0.10147
2016,Pre-primary Level,No,0.39930,291,334,0.34669,0.45190
2016,Primary Level,Yes,0.38297,184,398,0.33515,0.43079
2016,Primary Level,No,0.51361,214,398,0.46444,0.56277
2016,Lower Secondary Level,Yes,0.31731,948,2552,0.29925,0.33537
2016,Lower Secondary Level,No,0.64127,1604,2552,0.62266,0.65989
2016,Upper Secondary Level,Yes,0.27957,3256,10951,0.27117,0.28798
2016,Upper Secondary Level,No,0.71375,7695,10951,0.70528,0.72221
2016,Post-secondary Non-tertiary Level,Yes,0.25559,551,2012,0.23653,0.27465
2016,Post-secondary Non-tertiary Level,No,0.73731,1461,2012,0.71808,0.75655
2016,First Stage of Tertiary Education,Yes,0.20552,282,1403,0.18437,0.22667
2016,First Stage of Tertiary Education,No,0.79293,1121,1403,0.77172,0.81414
2016,Second Stage of Tertiary Education,Yes,0.16175,857,5877,0.15234,0.17117
2016,Second Stage of Tertiary Education,No,0.82945,5020,5877,0.81983,0.83907
2018,Pre-primary Level,Yes,0.04331,32,333,0.02141,0.06521
2018,Pre-primary Level,No,0.48539,301,333,0.43163,0.53915
2018,Primary Level,Yes,0.38207,232,480,0.33855,0.42558
2018,Primary Level,No,0.47580,248,480,0.43108,0.52053
2018,Lower Secondary Level,Yes,0.32227,1014,2681,0.30458,0.33997
2018,Lower Secondary Level,No,0.63623,1667,2681,0.61802,0.65444
2018,Upper Secondary Level,Yes,0.27438,3322,11501,0.26622,0.28253
2018,Upper Secondary Level,No,0.71902,8179,11501,0.71080,0.72723
2018,Post-secondary Non-tertiary Level,Yes,0.25583,550,2125,0.23727,0.27439
2018,Post-secondary Non-tertiary Level,No,0.73783,1575,2125,0.71913,0.75654
2018,First Stage of Tertiary Education,Yes,0.20534,278,1448,0.18452,0.22615
2018,First Stage of Tertiary Education,No,0.78898,1170,1448,0.76796,0.81001
2018,Second Stage of Tertiary Education,Yes,0.14868,885,6333,0.13992,0.15744
2018,Second Stage of Tertiary Education,No,0.84051,5448,6333,0.83150,0.84953
2020,Pre-primary Level,Yes,0.03804,38,349,0.01794,0.05814
2020,Pre-primary Level,No,0.43639,311,349,0.38428,0.48850
2020,Primary Level,Yes,0.37902,515,1480,0.35430,0.40375
2020,Primary Level,No,0.57045,965,1480,0.54522,0.59568
2020,Lower Secondary Level,Yes,0.30928,1069,3025,0.29281,0.32576
2020,Lower Secondary Level,No,0.66387,1956,3025,0.64704,0.68071
2020,Upper Secondary Level,Yes,0.26202,3134,11172,0.25387,0.27018
2020,Upper Secondary Level,No,0.73378,8038,11172,0.72559,0.74198
2020,Post-secondary Non-tertiary Level,Yes,0.23175,556,2349,0.21468,0.24881
2020,Post-secondary Non-tertiary Level,No,0.76764,1793,2349,0.75056,0.78473
2020,First Stage of Tertiary Education,Yes,0.19793,262,1465,0.17752,0.21834
2020,First Stage of Tertiary Education,No,0.80009,1203,1465,0.77960,0.82057
2020,Second Stage of Tertiary Education,Yes,0.13292,1119,7667,0.12532,0.14052
2020,Second Stage of Tertiary Education,No,0.86512,6548,7667,0.85747,0.87276
