,Unnamed: 0,year,regtyp,rentown,hlf0180,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
49,49,2016,Urban regions,Owner,No,0.08374,207,14280,0.07485,0.09238
50,50,2016,Urban regions,Tenant,Yes,0.62824,3823,14280,0.60572,0.65521
51,51,2016,Urban regions,Tenant,No,0.37176,1765,14280,0.35668,0.38658
52,52,2016,Rural regions,Owner,Yes,0.91854,2403,14280,0.87562,0.95621
53,53,2016,Rural regions,Owner,No,0.08146,132,14280,0.07087,0.09494
54,54,2016,Rural regions,Tenant,Yes,0.68996,1779,14280,0.65432,0.73006
55,55,2016,Rural regions,Tenant,No,0.31004,617,14280,0.28987,0.33465
56,56,2017,Urban regions,Owner,Yes,0.91389,4028,17462,0.88416,0.9422
57,57,2017,Urban regions,Owner,No,0.08611,220,17462,0.07784,0.09548
58,58,2017,Urban regions,Tenant,Yes,0.62464,4406,17462,0.60249,0.64583
59,59,2017,Urban regions,Tenant,No,0.37536,2819,17462,0.35638,0.39351
60,60,2017,Rural regions,Owner,Yes,0.9303,2695,17462,0.89034,0.97039
61,61,2017,Rural regions,Owner,No,0.0697,115,17462,0.0609,0.08019
62,62,2017,Rural regions,Tenant,Yes,0.68563,2124,17462,0.65636,0.7156
63,63,2017,Rural regions,Tenant,No,0.31437,1055,17462,0.28601,0.34164
64,64,2018,Urban regions,Owner,Yes,0.92105,3870,17858,0.89501,0.94755
65,65,2018,Urban regions,Owner,No,0.07895,202,17858,0.06969,0.08791
66,66,2018,Urban regions,Tenant,Yes,0.62933,4640,17858,0.60279,0.6526
67,67,2018,Urban regions,Tenant,No,0.37067,3193,17858,0.35524,0.39213
68,68,2018,Rural regions,Owner,Yes,0.93196,2579,17858,0.89477,0.96783
69,69,2018,Rural regions,Owner,No,0.06804,102,17858,0.05708,0.0811
70,70,2018,Rural regions,Tenant,Yes,0.68745,2183,17858,0.65547,0.7234
71,71,2018,Rural regions,Tenant,No,0.31255,1089,17858,0.28523,0.3371
72,72,2019,Urban regions,Owner,Yes,0.91609,4490,15667,0.88217,0.94852
73,73,2019,Urban regions,Owner,No,0.08391,228,15667,0.07261,0.09429
74,74,2019,Urban regions,Tenant,Yes,0.6451,3896,15667,0.62396,0.67128
75,75,2019,Urban regions,Tenant,No,0.3549,1682,15667,0.33719,0.37039
76,76,2019,Rural regions,Owner,Yes,0.93916,2900,15667,0.89211,0.97684
77,77,2019,Rural regions,Owner,No,0.06084,101,15667,0.04913,0.07285
78,78,2019,Rural regions,Tenant,Yes,0.70122,1786,15667,0.66051,0.73874
79,79,2019,Rural regions,Tenant,No,0.29878,584,15667,0.27448,0.32871
80,80,2021,Urban regions,Owner,Yes,0.91585,2957,12556,0.86321,0.958
81,81,2021,Urban regions,Owner,No,0.08415,173,12556,0.07399,0.0984
82,82,2021,Urban regions,Tenant,Yes,0.65396,3502,12556,0.62423,0.68308
83,83,2021,Urban regions,Tenant,No,0.34604,1973,12556,0.32283,0.36737
84,84,2021,Rural regions,Owner,Yes,0.95202,1908,12556,0.88583,1.00746
85,85,2021,Rural regions,Owner,No,0.04798,59,12556,0.0355,0.06057
86,86,2021,Rural regions,Tenant,Yes,0.73401,1524,12556,0.6844,0.7816
87,87,2021,Rural regions,Tenant,No,0.26599,460,12556,0.23737,0.29876
