year,migback,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,Indirect migration background,No,0.39439,100,217,0.32921,0.45957
1989,No migration background,Yes,0.70188,4659,6801,0.69101,0.71276
1989,No migration background,No,0.29812,2142,6801,0.28724,0.30899
1989,Direct migration background,Yes,0.66794,1641,2572,0.64974,0.68614
1989,Direct migration background,No,0.33206,931,2572,0.31386,0.35026
1989,Indirect migration background,Yes,0.65131,144,254,0.59259,0.71004
1989,Indirect migration background,No,0.34869,110,254,0.28996,0.40741
1991,No migration background,Yes,0.70253,7038,10578,0.69382,0.71125
1991,No migration background,No,0.29747,3540,10578,0.28875,0.30618
1991,Direct migration background,Yes,0.66886,1690,2593,0.65074,0.68698
1991,Direct migration background,No,0.33114,903,2593,0.31302,0.34926
1991,Indirect migration background,Yes,0.58905,182,342,0.53682,0.64127
1991,Indirect migration background,No,0.41095,160,342,0.35873,0.46318
1992,No migration background,Yes,0.70740,7056,10265,0.69860,0.71620
1992,No migration background,No,0.29260,3209,10265,0.28380,0.30140
1992,Direct migration background,Yes,0.65957,1590,2491,0.64095,0.67818
1992,Direct migration background,No,0.34043,901,2491,0.32182,0.35905
1992,Indirect migration background,Yes,0.59201,219,400,0.54378,0.64023
1992,Indirect migration background,No,0.40799,181,400,0.35977,0.45622
1994,No migration background,Yes,0.78375,7722,9984,0.77567,0.79182
1994,No migration background,No,0.21625,2262,9984,0.20818,0.22433
1994,Direct migration background,Yes,0.74982,1704,2338,0.73226,0.76738
1994,Direct migration background,No,0.25018,634,2338,0.23262,0.26774
1994,Indirect migration background,Yes,0.69028,306,484,0.64904,0.73152
1994,Indirect migration background,No,0.30972,178,484,0.26848,0.35096
1995,No migration background,Yes,0.73292,7042,9918,0.72421,0.74163
1995,No migration background,No,0.26708,2876,9918,0.25837,0.27579
1995,Direct migration background,Yes,0.66035,1823,2758,0.64267,0.67802
1995,Direct migration background,No,0.33965,935,2758,0.32198,0.35733
1995,Indirect migration background,Yes,0.57540,284,501,0.53207,0.61873
1995,Indirect migration background,No,0.42460,217,501,0.38127,0.46793
1996,No migration background,Yes,0.72655,6927,9800,0.71772,0.73537
1996,No migration background,No,0.27345,2873,9800,0.26463,0.28228
1996,Direct migration background,Yes,0.69813,1752,2562,0.68035,0.71591
1996,Direct migration background,No,0.30187,810,2562,0.28409,0.31965
1996,Indirect migration background,Yes,0.60437,316,533,0.56282,0.64592
1996,Indirect migration background,No,0.39563,217,533,0.35408,0.43718
1997,No migration background,Yes,0.71427,6777,9759,0.70531,0.72323
1997,No migration background,No,0.28573,2982,9759,0.27677,0.29469
1997,Direct migration background,Yes,0.68773,1662,2455,0.66939,0.70606
1997,Direct migration background,No,0.31227,793,2455,0.29394,0.33061
1997,Indirect migration background,Yes,0.60111,313,562,0.56059,0.64164
1997,Indirect migration background,No,0.39889,249,562,0.35836,0.43941
1998,No migration background,Yes,0.69091,7550,11161,0.68233,0.69948
1998,No migration background,No,0.30909,3611,11161,0.30052,0.31767
1998,Direct migration background,Yes,0.66674,1543,2374,0.64777,0.68570
1998,Direct migration background,No,0.33326,831,2374,0.31430,0.35223
1998,Indirect migration background,Yes,0.56531,337,594,0.52541,0.60521
1998,Indirect migration background,No,0.43469,257,594,0.39479,0.47459
1999,No migration background,Yes,0.71952,7672,10822,0.71106,0.72799
1999,No migration background,No,0.28048,3150,10822,0.27201,0.28894
1999,Direct migration background,Yes,0.67137,1477,2192,0.65171,0.69104
1999,Direct migration background,No,0.32863,715,2192,0.30896,0.34829
1999,Indirect migration background,Yes,0.61773,354,598,0.57875,0.65671
1999,Indirect migration background,No,0.38227,244,598,0.34329,0.42125
2000,No migration background,Yes,0.69493,13666,19903,0.68853,0.70132
2000,No migration background,No,0.30507,6237,19903,0.29868,0.31147
2000,Direct migration background,Yes,0.64406,2129,3295,0.62771,0.66041
2000,Direct migration background,No,0.35594,1166,3295,0.33959,0.37229
2000,Indirect migration background,Yes,0.61415,493,814,0.58068,0.64761
2000,Indirect migration background,No,0.38585,321,814,0.35239,0.41932
2001,No migration background,Yes,0.70376,12669,18171,0.69712,0.71040
2001,No migration background,No,0.29624,5502,18171,0.28960,0.30288
2001,Direct migration background,Yes,0.66484,1936,2905,0.64767,0.68201
2001,Direct migration background,No,0.33516,969,2905,0.31799,0.35233
2001,Indirect migration background,Yes,0.58961,434,761,0.55463,0.62458
2001,Indirect migration background,No,0.41039,327,761,0.37542,0.44537
2002,No migration background,Yes,0.69116,13313,19404,0.68466,0.69766
2002,No migration background,No,0.30884,6091,19404,0.30234,0.31534
2002,Direct migration background,Yes,0.63683,1800,2791,0.61899,0.65468
2002,Direct migration background,No,0.36317,991,2791,0.34532,0.38101
2002,Indirect migration background,Yes,0.56175,433,765,0.52657,0.59693
2002,Indirect migration background,No,0.43825,332,765,0.40307,0.47343
2003,No migration background,Yes,0.70757,13124,18680,0.70105,0.71410
2003,No migration background,No,0.29243,5556,18680,0.28590,0.29895
2003,Direct migration background,Yes,0.66793,1726,2600,0.64983,0.68604
2003,Direct migration background,No,0.33207,874,2600,0.31396,0.35017
2003,Indirect migration background,Yes,0.57962,441,768,0.54469,0.61456
2003,Indirect migration background,No,0.42038,327,768,0.38544,0.45531
2004,No migration background,Yes,0.69624,12500,18214,0.68957,0.70292
2004,No migration background,No,0.30376,5714,18214,0.29708,0.31043
2004,Direct migration background,Yes,0.65116,1643,2522,0.63255,0.66976
2004,Direct migration background,No,0.34884,879,2522,0.33024,0.36745
2004,Indirect migration background,Yes,0.58025,445,796,0.54595,0.61456
2004,Indirect migration background,No,0.41975,351,796,0.38544,0.45405
2005,No migration background,Yes,0.70485,12198,17419,0.69808,0.71163
2005,No migration background,No,0.29515,5221,17419,0.28837,0.30192
2005,Direct migration background,Yes,0.67223,1597,2354,0.65326,0.69119
2005,Direct migration background,No,0.32777,757,2354,0.30881,0.34674
2005,Indirect migration background,Yes,0.59938,466,823,0.56588,0.63288
2005,Indirect migration background,No,0.40062,357,823,0.36712,0.43412
2006,No migration background,Yes,0.69613,12961,18738,0.68955,0.70272
2006,No migration background,No,0.30387,5777,18738,0.29728,0.31045
2006,Direct migration background,Yes,0.64377,1551,2374,0.62450,0.66303
2006,Direct migration background,No,0.35623,823,2374,0.33697,0.37550
2006,Indirect migration background,Yes,0.61031,495,811,0.57672,0.64389
2006,Indirect migration background,No,0.38969,316,811,0.35611,0.42328
2007,No migration background,Yes,0.71363,12432,17528,0.70694,0.72032
2007,No migration background,No,0.28637,5096,17528,0.27968,0.29306
2007,Direct migration background,Yes,0.66886,1460,2110,0.64878,0.68895
2007,Direct migration background,No,0.33114,650,2110,0.31105,0.35122
2007,Indirect migration background,Yes,0.61784,484,777,0.58365,0.65203
2007,Indirect migration background,No,0.38216,293,777,0.34797,0.41635
2008,No migration background,Yes,0.71289,11829,16571,0.70601,0.71978
2008,No migration background,No,0.28711,4742,16571,0.28022,0.29399
2008,Direct migration background,Yes,0.68681,1298,1898,0.66593,0.70768
2008,Direct migration background,No,0.31319,600,1898,0.29232,0.33407
2008,Indirect migration background,Yes,0.59558,461,758,0.56062,0.63054
2008,Indirect migration background,No,0.40442,297,758,0.36946,0.43938
2009,No migration background,Yes,0.72752,11427,15576,0.72053,0.73451
2009,No migration background,No,0.27248,4149,15576,0.26549,0.27947
2009,Direct migration background,Yes,0.68409,1159,1651,0.66165,0.70652
2009,Direct migration background,No,0.31591,492,1651,0.29348,0.33835
2009,Indirect migration background,Yes,0.56522,425,708,0.52868,0.60176
2009,Indirect migration background,No,0.43478,283,708,0.39824,0.47132
2010,No migration background,Yes,0.72379,13893,19764,0.71756,0.73002
2010,No migration background,No,0.27621,5871,19764,0.26998,0.28244
2010,Direct migration background,Yes,0.65711,1856,2973,0.64004,0.67417
2010,Direct migration background,No,0.34289,1117,2973,0.32583,0.35996
2010,Indirect migration background,Yes,0.57149,653,1081,0.54197,0.60100
2010,Indirect migration background,No,0.42851,428,1081,0.39900,0.45803
2011,No migration background,Yes,0.73122,16979,23736,0.72558,0.73686
2011,No migration background,No,0.26878,6757,23736,0.26314,0.27442
2011,Direct migration background,Yes,0.68788,2238,3340,0.67217,0.70360
2011,Direct migration background,No,0.31212,1102,3340,0.29640,0.32783
2011,Indirect migration background,Yes,0.60151,773,1236,0.57421,0.62882
2011,Indirect migration background,No,0.39849,463,1236,0.37118,0.42579
2012,No migration background,Yes,0.72518,16632,23151,0.71943,0.73093
2012,No migration background,No,0.27482,6519,23151,0.26907,0.28057
2012,Direct migration background,Yes,0.69660,2108,3185,0.68064,0.71257
2012,Direct migration background,No,0.30340,1077,3185,0.28743,0.31936
2012,Indirect migration background,Yes,0.58618,756,1195,0.55825,0.61412
2012,Indirect migration background,No,0.41382,439,1195,0.38588,0.44175
2013,No migration background,Yes,0.75054,15936,21668,0.74478,0.75630
2013,No migration background,No,0.24946,5732,21668,0.24370,0.25522
2013,Direct migration background,Yes,0.72231,1958,2852,0.70587,0.73875
2013,Direct migration background,No,0.27769,894,2852,0.26125,0.29413
2013,Indirect migration background,Yes,0.68155,757,1125,0.65432,0.70879
2013,Indirect migration background,No,0.31845,368,1125,0.29121,0.34568
2014,No migration background,Yes,0.72916,14352,20023,0.72301,0.73532
2014,No migration background,No,0.27084,5671,20023,0.26468,0.27699
2014,Direct migration background,Yes,0.67884,3515,5267,0.66623,0.69145
2014,Direct migration background,No,0.32116,1752,5267,0.30855,0.33377
2014,Indirect migration background,Yes,0.61356,1088,1690,0.59034,0.63678
2014,Indirect migration background,No,0.38644,602,1690,0.36322,0.40966
2015,No migration background,Yes,0.73276,13646,18960,0.72646,0.73906
2015,No migration background,No,0.26724,5314,18960,0.26094,0.27354
2015,Direct migration background,Yes,0.68117,2955,4463,0.66749,0.69484
2015,Direct migration background,No,0.31883,1508,4463,0.30516,0.33251
2015,Indirect migration background,Yes,0.65591,1005,1537,0.63215,0.67966
2015,Indirect migration background,No,0.34409,532,1537,0.32034,0.36785
2016,No migration background,Yes,0.72354,12595,17677,0.71695,0.73013
2016,No migration background,No,0.27646,5082,17677,0.26987,0.28305
2016,Direct migration background,Yes,0.67178,3221,4926,0.65866,0.68489
2016,Direct migration background,No,0.32822,1705,4926,0.31511,0.34134
2016,Indirect migration background,Yes,0.63361,915,1452,0.60882,0.65840
2016,Indirect migration background,No,0.36639,537,1452,0.34160,0.39118
2017,No migration background,Yes,0.74262,14642,20024,0.73657,0.74868
2017,No migration background,No,0.25738,5382,20024,0.25132,0.26343
2017,Direct migration background,Yes,0.69921,3213,4728,0.68614,0.71229
2017,Direct migration background,No,0.30079,1515,4728,0.28771,0.31386
2017,Indirect migration background,Yes,0.67290,1068,1592,0.64984,0.69595
2017,Indirect migration background,No,0.32710,524,1592,0.30405,0.35016
2018,No migration background,Yes,0.74019,14167,19345,0.73401,0.74637
2018,No migration background,No,0.25981,5178,19345,0.25363,0.26599
2018,Direct migration background,Yes,0.67693,3091,4559,0.66335,0.69050
2018,Direct migration background,No,0.32307,1468,4559,0.30950,0.33665
2018,Indirect migration background,Yes,0.63825,1033,1600,0.61470,0.66180
2018,Indirect migration background,No,0.36175,567,1600,0.33820,0.38530
2019,No migration background,Yes,0.74569,14665,20069,0.73966,0.75172
2019,No migration background,No,0.25431,5404,20069,0.24828,0.26034
2019,Direct migration background,Yes,0.70407,2777,4023,0.68996,0.71818
2019,Direct migration background,No,0.29593,1246,4023,0.28182,0.31004
2019,Indirect migration background,Yes,0.66224,1023,1563,0.63878,0.68569
2019,Indirect migration background,No,0.33776,540,1563,0.31431,0.36122
2020,No migration background,Yes,0.70221,12874,18428,0.69561,0.70881
2020,No migration background,No,0.29779,5554,18428,0.29119,0.30439
2020,Direct migration background,Yes,0.60706,4578,8340,0.59657,0.61754
2020,Direct migration background,No,0.39294,3762,8340,0.38246,0.40343
2020,Indirect migration background,Yes,0.57282,905,1527,0.54800,0.59764
2020,Indirect migration background,No,0.42718,622,1527,0.40236,0.45200
2021,No migration background,Yes,0.73649,9770,13153,0.72896,0.74402
2021,No migration background,No,0.26351,3383,13153,0.25598,0.27104
2021,Direct migration background,Yes,0.66500,1968,3065,0.64828,0.68171
2021,Direct migration background,No,0.33500,1097,3065,0.31829,0.35172
2021,Indirect migration background,Yes,0.65335,613,927,0.62270,0.68400
2021,Indirect migration background,No,0.34665,314,927,0.31600,0.37730
2022,No migration background,Yes,0.70938,11527,16352,0.70242,0.71634
2022,No migration background,No,0.29062,4825,16352,0.28366,0.29758
2022,Direct migration background,Yes,0.63436,4834,7806,0.62368,0.64505
2022,Direct migration background,No,0.36564,2972,7806,0.35495,0.37632
2022,Indirect migration background,Yes,0.61919,915,1357,0.59334,0.64503
2022,Indirect migration background,No,0.38081,442,1357,0.35497,0.40666
