year,age_gr,regtyp,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,66 and older,Urban regions,No,0.14061,112,767,0.11600,0.16523
1986,66 and older,Rural regions,Yes,0.87148,231,264,0.83104,0.91193
1986,66 and older,Rural regions,No,0.12852,33,264,0.08807,0.16896
1987,17-29 y.,Urban regions,Yes,0.67200,1491,2371,0.65309,0.69090
1987,17-29 y.,Urban regions,No,0.32800,880,2371,0.30910,0.34691
1987,17-29 y.,Rural regions,Yes,0.67515,429,637,0.63875,0.71155
1987,17-29 y.,Rural regions,No,0.32485,208,637,0.28845,0.36125
1987,30-45 y.,Urban regions,Yes,0.64708,1640,2519,0.62842,0.66575
1987,30-45 y.,Urban regions,No,0.35292,879,2519,0.33425,0.37158
1987,30-45 y.,Rural regions,Yes,0.63288,401,649,0.59577,0.67000
1987,30-45 y.,Rural regions,No,0.36712,248,649,0.33000,0.40423
1987,46-65 y.,Urban regions,Yes,0.76608,1899,2555,0.74966,0.78250
1987,46-65 y.,Urban regions,No,0.23392,656,2555,0.21750,0.25034
1987,46-65 y.,Rural regions,Yes,0.76245,496,653,0.72978,0.79512
1987,46-65 y.,Rural regions,No,0.23755,157,653,0.20488,0.27022
1987,66 and older,Urban regions,Yes,0.86304,684,800,0.83920,0.88688
1987,66 and older,Urban regions,No,0.13696,116,800,0.11312,0.16080
1987,66 and older,Rural regions,Yes,0.89325,238,238,0.85393,0.93256
1988,17-29 y.,Urban regions,Yes,0.61081,1336,2294,0.59086,0.63077
1988,17-29 y.,Urban regions,No,0.38919,958,2294,0.36923,0.40914
1988,17-29 y.,Rural regions,Yes,0.59767,327,570,0.55738,0.63797
1988,17-29 y.,Rural regions,No,0.40233,243,570,0.36203,0.44262
1988,30-45 y.,Urban regions,Yes,0.60097,1403,2327,0.58107,0.62087
1988,30-45 y.,Urban regions,No,0.39903,924,2327,0.37913,0.41893
1988,30-45 y.,Rural regions,Yes,0.60694,368,615,0.56831,0.64558
1988,30-45 y.,Rural regions,No,0.39306,247,615,0.35442,0.43169
1988,46-65 y.,Urban regions,Yes,0.71578,1784,2478,0.69802,0.73355
1988,46-65 y.,Urban regions,No,0.28422,694,2478,0.26645,0.30198
1988,46-65 y.,Rural regions,Yes,0.71063,442,621,0.67494,0.74633
1988,46-65 y.,Rural regions,No,0.28937,179,621,0.25367,0.32506
1988,66 and older,Urban regions,Yes,0.85282,658,781,0.82796,0.87768
1988,66 and older,Urban regions,No,0.14718,123,781,0.12232,0.17204
1988,66 and older,Rural regions,Yes,0.86539,215,249,0.82292,0.90787
1988,66 and older,Rural regions,No,0.13461,34,249,0.09213,0.17708
1989,17-29 y.,Urban regions,Yes,0.62845,1372,2262,0.60853,0.64837
1989,17-29 y.,Urban regions,No,0.37155,890,2262,0.35163,0.39147
1989,17-29 y.,Rural regions,Yes,0.65748,358,556,0.61800,0.69696
1989,17-29 y.,Rural regions,No,0.34252,198,556,0.30304,0.38200
1989,30-45 y.,Urban regions,Yes,0.61130,1403,2263,0.59121,0.63139
1989,30-45 y.,Urban regions,No,0.38870,860,2263,0.36861,0.40879
1989,30-45 y.,Rural regions,Yes,0.58218,339,569,0.54161,0.62274
1989,30-45 y.,Rural regions,No,0.41782,230,569,0.37726,0.45839
1989,46-65 y.,Urban regions,Yes,0.72113,1686,2387,0.70313,0.73912
1989,46-65 y.,Urban regions,No,0.27887,701,2387,0.26088,0.29687
1989,46-65 y.,Rural regions,Yes,0.76147,429,584,0.72687,0.79606
1989,46-65 y.,Rural regions,No,0.23853,155,584,0.20394,0.27313
1989,66 and older,Urban regions,Yes,0.86009,649,760,0.83541,0.88476
1989,66 and older,Urban regions,No,0.13991,111,760,0.11524,0.16459
1989,66 and older,Rural regions,Yes,0.85615,208,246,0.81220,0.90009
1989,66 and older,Rural regions,No,0.14385,38,246,0.09991,0.18780
1991,17-29 y.,Urban regions,Yes,0.65502,1488,2407,0.63602,0.67401
1991,17-29 y.,Urban regions,No,0.34498,919,2407,0.32599,0.36398
1991,17-29 y.,Rural regions,Yes,0.61301,731,1244,0.58593,0.64009
1991,17-29 y.,Rural regions,No,0.38699,513,1244,0.35991,0.41407
1991,30-45 y.,Urban regions,Yes,0.62765,1693,2737,0.60953,0.64576
1991,30-45 y.,Urban regions,No,0.37235,1044,2737,0.35424,0.39047
1991,30-45 y.,Rural regions,Yes,0.55097,815,1521,0.52596,0.57597
1991,30-45 y.,Rural regions,No,0.44903,706,1521,0.42403,0.47404
1991,46-65 y.,Urban regions,Yes,0.73903,1934,2674,0.72238,0.75568
1991,46-65 y.,Urban regions,No,0.26097,740,2674,0.24432,0.27762
1991,46-65 y.,Rural regions,Yes,0.71771,975,1408,0.69419,0.74123
1991,46-65 y.,Rural regions,No,0.28229,433,1408,0.25877,0.30581
1991,66 and older,Urban regions,Yes,0.86511,790,914,0.84295,0.88727
1991,66 and older,Urban regions,No,0.13489,124,914,0.11273,0.15705
1991,66 and older,Rural regions,Yes,0.84543,434,519,0.81430,0.87656
1991,66 and older,Rural regions,No,0.15457,85,519,0.12344,0.18570
1992,17-29 y.,Urban regions,Yes,0.63454,1399,2338,0.61502,0.65406
1992,17-29 y.,Urban regions,No,0.36546,939,2338,0.34594,0.38498
1992,17-29 y.,Rural regions,Yes,0.58773,701,1174,0.55956,0.61590
1992,17-29 y.,Rural regions,No,0.41227,473,1174,0.38410,0.44044
1992,30-45 y.,Urban regions,Yes,0.65111,1742,2688,0.63309,0.66913
1992,30-45 y.,Urban regions,No,0.34889,946,2688,0.33087,0.36691
1992,30-45 y.,Rural regions,Yes,0.59180,885,1474,0.56670,0.61690
1992,30-45 y.,Rural regions,No,0.40820,589,1474,0.38310,0.43330
1992,46-65 y.,Urban regions,Yes,0.73553,1895,2602,0.71858,0.75248
1992,46-65 y.,Urban regions,No,0.26447,707,2602,0.24752,0.28142
1992,46-65 y.,Rural regions,Yes,0.72254,956,1342,0.69857,0.74650
1992,46-65 y.,Rural regions,No,0.27746,386,1342,0.25350,0.30143
1992,66 and older,Urban regions,Yes,0.85334,785,922,0.83050,0.87619
1992,66 and older,Urban regions,No,0.14666,137,922,0.12381,0.16950
1992,66 and older,Rural regions,Yes,0.86817,433,499,0.83846,0.89789
1992,66 and older,Rural regions,No,0.13183,66,499,0.10211,0.16154
1994,17-29 y.,Urban regions,Yes,0.71121,1528,2228,0.69238,0.73003
1994,17-29 y.,Urban regions,No,0.28879,700,2228,0.26997,0.30762
1994,17-29 y.,Rural regions,Yes,0.71237,784,1105,0.68567,0.73907
1994,17-29 y.,Rural regions,No,0.28763,321,1105,0.26093,0.31433
1994,30-45 y.,Urban regions,Yes,0.71797,1918,2687,0.70095,0.73499
1994,30-45 y.,Urban regions,No,0.28203,769,2687,0.26501,0.29905
1994,30-45 y.,Rural regions,Yes,0.73101,1063,1437,0.70808,0.75395
1994,30-45 y.,Rural regions,No,0.26899,374,1437,0.24605,0.29192
1994,46-65 y.,Urban regions,Yes,0.78754,2013,2547,0.77165,0.80343
1994,46-65 y.,Urban regions,No,0.21246,534,2547,0.19657,0.22835
1994,46-65 y.,Rural regions,Yes,0.82536,1080,1319,0.80487,0.84586
1994,46-65 y.,Rural regions,No,0.17464,239,1319,0.15414,0.19513
1994,66 and older,Urban regions,Yes,0.89549,873,970,0.87623,0.91476
1994,66 and older,Urban regions,No,0.10451,97,970,0.08524,0.12377
1994,66 and older,Rural regions,Yes,0.92399,473,513,0.90104,0.94695
1994,66 and older,Rural regions,No,0.07601,40,513,0.05305,0.09896
1995,17-29 y.,Urban regions,Yes,0.63370,1366,2214,0.61362,0.65377
1995,17-29 y.,Urban regions,No,0.36630,848,2214,0.34623,0.38638
1995,17-29 y.,Rural regions,Yes,0.61758,690,1119,0.58909,0.64607
1995,17-29 y.,Rural regions,No,0.38242,429,1119,0.35393,0.41091
1995,30-45 y.,Urban regions,Yes,0.64229,1847,2874,0.62476,0.65982
1995,30-45 y.,Urban regions,No,0.35771,1027,2874,0.34018,0.37524
1995,30-45 y.,Rural regions,Yes,0.64179,973,1537,0.61781,0.66576
1995,30-45 y.,Rural regions,No,0.35821,564,1537,0.33424,0.38219
1995,46-65 y.,Urban regions,Yes,0.74636,1934,2578,0.72956,0.76316
1995,46-65 y.,Urban regions,No,0.25364,644,2578,0.23684,0.27044
1995,46-65 y.,Rural regions,Yes,0.75784,998,1353,0.73500,0.78067
1995,46-65 y.,Rural regions,No,0.24216,355,1353,0.21933,0.26500
1995,66 and older,Urban regions,Yes,0.88487,892,1002,0.86510,0.90465
1995,66 and older,Urban regions,No,0.11513,110,1002,0.09535,0.13490
1995,66 and older,Rural regions,Yes,0.90900,449,500,0.88376,0.93423
1995,66 and older,Rural regions,No,0.09100,51,500,0.06577,0.11624
1996,17-29 y.,Urban regions,Yes,0.63272,1249,2058,0.61189,0.65355
1996,17-29 y.,Urban regions,No,0.36728,809,2058,0.34645,0.38811
1996,17-29 y.,Rural regions,Yes,0.62174,690,1070,0.59267,0.65081
1996,17-29 y.,Rural regions,No,0.37826,380,1070,0.34919,0.40733
1996,30-45 y.,Urban regions,Yes,0.64979,1883,2884,0.63238,0.66721
1996,30-45 y.,Urban regions,No,0.35021,1001,2884,0.33279,0.36762
1996,30-45 y.,Rural regions,Yes,0.63837,949,1502,0.61407,0.66268
1996,30-45 y.,Rural regions,No,0.36163,553,1502,0.33732,0.38593
1996,46-65 y.,Urban regions,Yes,0.75250,1889,2502,0.73558,0.76941
1996,46-65 y.,Urban regions,No,0.24750,613,2502,0.23059,0.26442
1996,46-65 y.,Rural regions,Yes,0.76239,1012,1355,0.73972,0.78506
1996,46-65 y.,Rural regions,No,0.23761,343,1355,0.21494,0.26028
1996,66 and older,Urban regions,Yes,0.86573,877,1017,0.84476,0.88669
1996,66 and older,Urban regions,No,0.13427,140,1017,0.11331,0.15524
1996,66 and older,Rural regions,Yes,0.88146,446,507,0.85329,0.90962
1996,66 and older,Rural regions,No,0.11854,61,507,0.09038,0.14671
1997,17-29 y.,Urban regions,Yes,0.61228,1180,1970,0.59076,0.63380
1997,17-29 y.,Urban regions,No,0.38772,790,1970,0.36620,0.40924
1997,17-29 y.,Rural regions,Yes,0.61040,641,1049,0.58087,0.63992
1997,17-29 y.,Rural regions,No,0.38960,408,1049,0.36008,0.41913
1997,30-45 y.,Urban regions,Yes,0.62021,1778,2871,0.60245,0.63796
1997,30-45 y.,Urban regions,No,0.37979,1093,2871,0.36204,0.39755
1997,30-45 y.,Rural regions,Yes,0.59468,899,1476,0.56963,0.61974
1997,30-45 y.,Rural regions,No,0.40532,577,1476,0.38026,0.43037
1997,46-65 y.,Urban regions,Yes,0.74805,1824,2464,0.73091,0.76520
1997,46-65 y.,Urban regions,No,0.25195,640,2464,0.23480,0.26909
1997,46-65 y.,Rural regions,Yes,0.75475,1037,1376,0.73201,0.77749
1997,46-65 y.,Rural regions,No,0.24525,339,1376,0.22251,0.26799
1997,66 and older,Urban regions,Yes,0.86735,915,1046,0.84679,0.88792
1997,66 and older,Urban regions,No,0.13265,131,1046,0.11208,0.15321
1997,66 and older,Rural regions,Yes,0.91795,478,523,0.89440,0.94149
1997,66 and older,Rural regions,No,0.08205,45,523,0.05851,0.10560
1998,17-29 y.,Urban regions,Yes,0.58244,1213,2048,0.56108,0.60381
1998,17-29 y.,Urban regions,No,0.41756,835,2048,0.39619,0.43892
1998,17-29 y.,Rural regions,Yes,0.57649,646,1100,0.54728,0.60570
1998,17-29 y.,Rural regions,No,0.42351,454,1100,0.39430,0.45272
1998,30-45 y.,Urban regions,Yes,0.59071,1894,3156,0.57355,0.60786
1998,30-45 y.,Urban regions,No,0.40929,1262,3156,0.39214,0.42645
1998,30-45 y.,Rural regions,Yes,0.59124,970,1634,0.56740,0.61509
1998,30-45 y.,Rural regions,No,0.40876,664,1634,0.38491,0.43260
1998,46-65 y.,Urban regions,Yes,0.72124,1969,2777,0.70456,0.73792
1998,46-65 y.,Urban regions,No,0.27876,808,2777,0.26208,0.29544
1998,46-65 y.,Rural regions,Yes,0.72003,1150,1580,0.69788,0.74217
1998,46-65 y.,Rural regions,No,0.27997,430,1580,0.25783,0.30212
1998,66 and older,Urban regions,Yes,0.86730,1053,1221,0.84826,0.88633
1998,66 and older,Urban regions,No,0.13270,168,1221,0.11367,0.15174
1998,66 and older,Rural regions,Yes,0.87758,535,613,0.85161,0.90355
1998,66 and older,Rural regions,No,0.12242,78,613,0.09645,0.14839
1999,17-29 y.,Urban regions,Yes,0.62715,1171,1914,0.60548,0.64882
1999,17-29 y.,Urban regions,No,0.37285,743,1914,0.35118,0.39452
1999,17-29 y.,Rural regions,Yes,0.66227,694,1044,0.63356,0.69097
1999,17-29 y.,Rural regions,No,0.33773,350,1044,0.30903,0.36644
1999,30-45 y.,Urban regions,Yes,0.60454,1918,3085,0.58728,0.62179
1999,30-45 y.,Urban regions,No,0.39546,1167,3085,0.37821,0.41272
1999,30-45 y.,Rural regions,Yes,0.61612,1015,1610,0.59236,0.63989
1999,30-45 y.,Rural regions,No,0.38388,595,1610,0.36011,0.40764
1999,46-65 y.,Urban regions,Yes,0.74286,1979,2661,0.72625,0.75947
1999,46-65 y.,Urban regions,No,0.25714,682,2661,0.24053,0.27375
1999,46-65 y.,Rural regions,Yes,0.73499,1138,1508,0.71271,0.75727
1999,46-65 y.,Rural regions,No,0.26501,370,1508,0.24273,0.28729
1999,66 and older,Urban regions,Yes,0.88337,1042,1182,0.86506,0.90168
1999,66 and older,Urban regions,No,0.11663,140,1182,0.09832,0.13494
1999,66 and older,Rural regions,Yes,0.88722,546,608,0.86206,0.91239
1999,66 and older,Rural regions,No,0.11278,62,608,0.08761,0.13794
2000,17-29 y.,Urban regions,Yes,0.58726,1729,2896,0.56933,0.60520
2000,17-29 y.,Urban regions,No,0.41274,1167,2896,0.39480,0.43067
2000,17-29 y.,Rural regions,Yes,0.58023,983,1659,0.55647,0.60398
2000,17-29 y.,Rural regions,No,0.41977,676,1659,0.39602,0.44353
2000,30-45 y.,Urban regions,Yes,0.59513,3244,5380,0.58201,0.60825
2000,30-45 y.,Urban regions,No,0.40487,2136,5380,0.39175,0.41799
2000,30-45 y.,Rural regions,Yes,0.59643,1653,2762,0.57813,0.61473
2000,30-45 y.,Rural regions,No,0.40357,1109,2762,0.38527,0.42187
2000,46-65 y.,Urban regions,Yes,0.70708,3599,5068,0.69455,0.71961
2000,46-65 y.,Urban regions,No,0.29292,1469,5068,0.28039,0.30545
2000,46-65 y.,Rural regions,Yes,0.73076,1971,2666,0.71392,0.74760
2000,46-65 y.,Rural regions,No,0.26924,695,2666,0.25240,0.28608
2000,66 and older,Urban regions,Yes,0.86107,2007,2331,0.84702,0.87511
2000,66 and older,Urban regions,No,0.13893,324,2331,0.12489,0.15298
2000,66 and older,Rural regions,Yes,0.88461,1102,1250,0.86689,0.90233
2000,66 and older,Rural regions,No,0.11539,148,1250,0.09767,0.13311
2001,17-29 y.,Urban regions,Yes,0.57274,1524,2617,0.55379,0.59170
2001,17-29 y.,Urban regions,No,0.42726,1093,2617,0.40830,0.44621
2001,17-29 y.,Rural regions,Yes,0.60369,908,1470,0.57868,0.62870
2001,17-29 y.,Rural regions,No,0.39631,562,1470,0.37130,0.42132
2001,30-45 y.,Urban regions,Yes,0.61322,2997,4853,0.59951,0.62692
2001,30-45 y.,Urban regions,No,0.38678,1856,4853,0.37308,0.40049
2001,30-45 y.,Rural regions,Yes,0.59403,1498,2455,0.57460,0.61346
2001,30-45 y.,Rural regions,No,0.40597,957,2455,0.38654,0.42540
2001,46-65 y.,Urban regions,Yes,0.72317,3331,4605,0.71024,0.73609
2001,46-65 y.,Urban regions,No,0.27683,1274,4605,0.26391,0.28976
2001,46-65 y.,Rural regions,Yes,0.72649,1814,2454,0.70885,0.74413
2001,46-65 y.,Rural regions,No,0.27351,640,2454,0.25587,0.29115
2001,66 and older,Urban regions,Yes,0.86937,1915,2201,0.85528,0.88345
2001,66 and older,Urban regions,No,0.13063,286,2201,0.11655,0.14472
2001,66 and older,Rural regions,Yes,0.89202,1052,1182,0.87432,0.90972
2001,66 and older,Rural regions,No,0.10798,130,1182,0.09028,0.12568
2002,17-29 y.,Urban regions,Yes,0.57106,1545,2658,0.55224,0.58988
2002,17-29 y.,Urban regions,No,0.42894,1113,2658,0.41012,0.44776
2002,17-29 y.,Rural regions,Yes,0.54313,840,1467,0.51763,0.56863
2002,17-29 y.,Rural regions,No,0.45687,627,1467,0.43137,0.48237
2002,30-45 y.,Urban regions,Yes,0.59210,3028,5007,0.57849,0.60572
2002,30-45 y.,Urban regions,No,0.40790,1979,5007,0.39428,0.42151
2002,30-45 y.,Rural regions,Yes,0.59309,1455,2417,0.57350,0.61268
2002,30-45 y.,Rural regions,No,0.40691,962,2417,0.38732,0.42650
2002,46-65 y.,Urban regions,Yes,0.70017,3712,5235,0.68775,0.71258
2002,46-65 y.,Urban regions,No,0.29983,1523,5235,0.28742,0.31225
2002,46-65 y.,Rural regions,Yes,0.71258,1864,2597,0.69517,0.72999
2002,46-65 y.,Rural regions,No,0.28742,733,2597,0.27001,0.30483
2002,66 and older,Urban regions,Yes,0.85976,2025,2354,0.84573,0.87379
2002,66 and older,Urban regions,No,0.14024,329,2354,0.12621,0.15427
2002,66 and older,Rural regions,Yes,0.87958,1077,1225,0.86135,0.89781
2002,66 and older,Rural regions,No,0.12042,148,1225,0.10219,0.13865
2003,17-29 y.,Urban regions,Yes,0.58510,1531,2602,0.56617,0.60404
2003,17-29 y.,Urban regions,No,0.41490,1071,2602,0.39596,0.43383
2003,17-29 y.,Rural regions,Yes,0.60167,828,1381,0.57584,0.62750
2003,17-29 y.,Rural regions,No,0.39833,553,1381,0.37250,0.42416
2003,30-45 y.,Urban regions,Yes,0.60793,2931,4658,0.59390,0.62195
2003,30-45 y.,Urban regions,No,0.39207,1727,4658,0.37805,0.40610
2003,30-45 y.,Rural regions,Yes,0.60650,1383,2250,0.58631,0.62669
2003,30-45 y.,Rural regions,No,0.39350,867,2250,0.37331,0.41369
2003,46-65 y.,Urban regions,Yes,0.71870,3648,5023,0.70626,0.73113
2003,46-65 y.,Urban regions,No,0.28130,1375,5023,0.26887,0.29374
2003,46-65 y.,Rural regions,Yes,0.73319,1821,2511,0.71589,0.75050
2003,46-65 y.,Rural regions,No,0.26681,690,2511,0.24950,0.28411
2003,66 and older,Urban regions,Yes,0.87269,2069,2386,0.85931,0.88606
2003,66 and older,Urban regions,No,0.12731,317,2386,0.11394,0.14069
2003,66 and older,Rural regions,Yes,0.87278,1080,1237,0.85420,0.89136
2003,66 and older,Rural regions,No,0.12722,157,1237,0.10864,0.14580
2004,17-29 y.,Urban regions,Yes,0.55703,1472,2576,0.53785,0.57622
2004,17-29 y.,Urban regions,No,0.44297,1104,2576,0.42378,0.46215
2004,17-29 y.,Rural regions,Yes,0.56984,777,1369,0.54360,0.59608
2004,17-29 y.,Rural regions,No,0.43016,592,1369,0.40392,0.45640
2004,30-45 y.,Urban regions,Yes,0.59801,2664,4429,0.58357,0.61245
2004,30-45 y.,Urban regions,No,0.40199,1765,4429,0.38755,0.41643
2004,30-45 y.,Rural regions,Yes,0.59923,1258,2080,0.57816,0.62029
2004,30-45 y.,Rural regions,No,0.40077,822,2080,0.37971,0.42184
2004,46-65 y.,Urban regions,Yes,0.70651,3439,4865,0.69371,0.71931
2004,46-65 y.,Urban regions,No,0.29349,1426,4865,0.28069,0.30629
2004,46-65 y.,Rural regions,Yes,0.68516,1720,2480,0.66688,0.70345
2004,46-65 y.,Rural regions,No,0.31484,760,2480,0.29655,0.33312
2004,66 and older,Urban regions,Yes,0.87184,2117,2453,0.85861,0.88507
2004,66 and older,Urban regions,No,0.12816,336,2453,0.11493,0.14139
2004,66 and older,Rural regions,Yes,0.89407,1141,1280,0.87720,0.91093
2004,66 and older,Rural regions,No,0.10593,139,1280,0.08907,0.12280
2005,17-29 y.,Urban regions,Yes,0.58836,1483,2515,0.56912,0.60760
2005,17-29 y.,Urban regions,No,0.41164,1032,2515,0.39240,0.43088
2005,17-29 y.,Rural regions,Yes,0.57157,752,1294,0.54459,0.59854
2005,17-29 y.,Rural regions,No,0.42843,542,1294,0.40146,0.45541
2005,30-45 y.,Urban regions,Yes,0.62212,2583,4129,0.60733,0.63691
2005,30-45 y.,Urban regions,No,0.37788,1546,4129,0.36309,0.39267
2005,30-45 y.,Rural regions,Yes,0.61102,1198,1934,0.58929,0.63276
2005,30-45 y.,Rural regions,No,0.38898,736,1934,0.36724,0.41071
2005,46-65 y.,Urban regions,Yes,0.71632,3316,4606,0.70330,0.72934
2005,46-65 y.,Urban regions,No,0.28368,1290,4606,0.27066,0.29670
2005,46-65 y.,Rural regions,Yes,0.69136,1669,2373,0.67277,0.70995
2005,46-65 y.,Rural regions,No,0.30864,704,2373,0.29005,0.32723
2005,66 and older,Urban regions,Yes,0.87289,2141,2473,0.85976,0.88602
2005,66 and older,Urban regions,No,0.12711,332,2473,0.11398,0.14024
2005,66 and older,Rural regions,Yes,0.89178,1119,1272,0.87470,0.90886
2005,66 and older,Rural regions,No,0.10822,153,1272,0.09114,0.12530
2006,17-29 y.,Urban regions,Yes,0.58118,1415,2405,0.56146,0.60090
2006,17-29 y.,Urban regions,No,0.41882,990,2405,0.39910,0.43854
2006,17-29 y.,Rural regions,Yes,0.56328,726,1266,0.53594,0.59061
2006,17-29 y.,Rural regions,No,0.43672,540,1266,0.40939,0.46406
2006,30-45 y.,Urban regions,Yes,0.61442,2590,4226,0.59975,0.62910
2006,30-45 y.,Urban regions,No,0.38558,1636,4226,0.37090,0.40025
2006,30-45 y.,Rural regions,Yes,0.59510,1199,2043,0.57381,0.61639
2006,30-45 y.,Rural regions,No,0.40490,844,2043,0.38361,0.42619
2006,46-65 y.,Urban regions,Yes,0.68435,3446,4949,0.67140,0.69730
2006,46-65 y.,Urban regions,No,0.31565,1503,4949,0.30270,0.32860
2006,46-65 y.,Rural regions,Yes,0.69496,1822,2616,0.67731,0.71261
2006,46-65 y.,Rural regions,No,0.30504,794,2616,0.28739,0.32269
2006,66 and older,Urban regions,Yes,0.86245,2472,2879,0.84986,0.87503
2006,66 and older,Urban regions,No,0.13755,407,2879,0.12497,0.15014
2006,66 and older,Rural regions,Yes,0.86995,1337,1539,0.85314,0.88676
2006,66 and older,Rural regions,No,0.13005,202,1539,0.11324,0.14686
2007,17-29 y.,Urban regions,Yes,0.59161,1333,2216,0.57114,0.61208
2007,17-29 y.,Urban regions,No,0.40839,883,2216,0.38792,0.42886
2007,17-29 y.,Rural regions,Yes,0.58755,677,1163,0.55925,0.61586
2007,17-29 y.,Rural regions,No,0.41245,486,1163,0.38414,0.44075
2007,30-45 y.,Urban regions,Yes,0.61179,2369,3819,0.59633,0.62725
2007,30-45 y.,Urban regions,No,0.38821,1450,3819,0.37275,0.40367
2007,30-45 y.,Rural regions,Yes,0.61964,1177,1872,0.59765,0.64164
2007,30-45 y.,Rural regions,No,0.38036,695,1872,0.35836,0.40235
2007,46-65 y.,Urban regions,Yes,0.72283,3310,4567,0.70985,0.73581
2007,46-65 y.,Urban regions,No,0.27717,1257,4567,0.26419,0.29015
2007,46-65 y.,Rural regions,Yes,0.70088,1739,2460,0.68278,0.71897
2007,46-65 y.,Rural regions,No,0.29912,721,2460,0.28103,0.31722
2007,66 and older,Urban regions,Yes,0.87360,2440,2820,0.86133,0.88587
2007,66 and older,Urban regions,No,0.12640,380,2820,0.11413,0.13867
2007,66 and older,Rural regions,Yes,0.89178,1331,1498,0.87604,0.90752
2007,66 and older,Rural regions,No,0.10822,167,1498,0.09248,0.12396
2008,17-29 y.,Urban regions,Yes,0.57861,1219,2079,0.55738,0.59985
2008,17-29 y.,Urban regions,No,0.42139,860,2079,0.40015,0.44262
2008,17-29 y.,Rural regions,Yes,0.58087,605,1055,0.55108,0.61065
2008,17-29 y.,Rural regions,No,0.41913,450,1055,0.38935,0.44892
2008,30-45 y.,Urban regions,Yes,0.62284,2178,3449,0.60666,0.63902
2008,30-45 y.,Urban regions,No,0.37716,1271,3449,0.36098,0.39334
2008,30-45 y.,Rural regions,Yes,0.59721,1029,1704,0.57391,0.62050
2008,30-45 y.,Rural regions,No,0.40279,675,1704,0.37950,0.42609
2008,46-65 y.,Urban regions,Yes,0.72408,3153,4323,0.71076,0.73741
2008,46-65 y.,Urban regions,No,0.27592,1170,4323,0.26259,0.28924
2008,46-65 y.,Rural regions,Yes,0.70785,1659,2341,0.68942,0.72627
2008,46-65 y.,Rural regions,No,0.29215,682,2341,0.27373,0.31058
2008,66 and older,Urban regions,Yes,0.87117,2417,2793,0.85874,0.88359
2008,66 and older,Urban regions,No,0.12883,376,2793,0.11641,0.14126
2008,66 and older,Rural regions,Yes,0.89457,1328,1483,0.87894,0.91021
