year,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,East,Yes,0.62910,3827,5322,0.61612,0.64208
2003,East,No,0.23546,1495,5322,0.22406,0.24686
2004,West,Yes,0.55915,10881,16324,0.55153,0.56677
2004,West,No,0.26564,5443,16324,0.25886,0.27241
2004,East,Yes,0.62893,3707,5208,0.61581,0.64206
2004,East,No,0.24035,1501,5208,0.22875,0.25196
2005,West,Yes,0.57401,10720,15589,0.56625,0.58177
2005,West,No,0.25468,4869,15589,0.24784,0.26152
2005,East,Yes,0.61626,3541,5007,0.60279,0.62973
2005,East,No,0.24755,1466,5007,0.23559,0.25951
2006,West,Yes,0.56478,11360,16658,0.55725,0.57231
2006,West,No,0.25971,5298,16658,0.25305,0.26637
2006,East,Yes,0.59604,3647,5265,0.58278,0.60930
2006,East,No,0.26869,1618,5265,0.25671,0.28066
2007,West,Yes,0.57675,10834,15427,0.56895,0.58455
2007,West,No,0.24455,4593,15427,0.23776,0.25133
2007,East,Yes,0.61782,3542,4988,0.60433,0.63131
2007,East,No,0.25224,1446,4988,0.24019,0.26430
2008,West,Yes,0.58150,10228,14482,0.57346,0.58953
2008,West,No,0.24512,4254,14482,0.23812,0.25213
2008,East,Yes,0.61462,3360,4745,0.60077,0.62846
2008,East,No,0.25443,1385,4745,0.24204,0.26682
2009,West,Yes,0.59304,9714,13413,0.58473,0.60135
2009,West,No,0.24026,3699,13413,0.23302,0.24749
2009,East,Yes,0.62710,3297,4522,0.61301,0.64120
2009,East,No,0.23832,1225,4522,0.22590,0.25074
2010,West,Yes,0.58223,12569,18387,0.57510,0.58936
2010,West,No,0.24796,5818,18387,0.24172,0.25421
2010,East,Yes,0.64328,3833,5431,0.63054,0.65602
2010,East,No,0.22667,1598,5431,0.21554,0.23781
2011,West,Yes,0.59206,15466,22012,0.58556,0.59855
2011,West,No,0.23656,6546,22012,0.23094,0.24217
2011,East,Yes,0.64396,4524,6300,0.63213,0.65578
2011,East,No,0.21997,1776,6300,0.20975,0.23020
2012,West,Yes,0.59148,15097,21391,0.58489,0.59807
2012,West,No,0.23933,6294,21391,0.23361,0.24505
2012,East,Yes,0.62791,4399,6140,0.61582,0.64000
2012,East,No,0.23120,1741,6140,0.22065,0.24175
2013,West,Yes,0.56387,14460,19922,0.55699,0.57076
2013,West,No,0.19029,5462,19922,0.18484,0.19574
2013,East,Yes,0.62192,4191,5723,0.60936,0.63449
2013,East,No,0.21990,1532,5723,0.20917,0.23063
2014,West,Yes,0.59497,14930,21422,0.58839,0.60154
2014,West,No,0.24200,6492,21422,0.23627,0.24774
2014,East,Yes,0.63429,4025,5558,0.62162,0.64695
2014,East,No,0.22094,1533,5558,0.21003,0.23185
2015,West,Yes,0.58925,13820,19729,0.58239,0.59612
2015,West,No,0.22790,5909,19729,0.22204,0.23375
2015,East,Yes,0.61052,3786,5231,0.59731,0.62374
2015,East,No,0.22926,1445,5231,0.21787,0.24065
2016,West,Yes,0.58646,13131,19060,0.57946,0.59345
2016,West,No,0.24047,5929,19060,0.23440,0.24653
2016,East,Yes,0.60285,3600,4995,0.58928,0.61642
2016,East,No,0.23395,1395,4995,0.22221,0.24569
2017,West,Yes,0.59994,14824,20771,0.59328,0.60660
2017,West,No,0.22483,5947,20771,0.21915,0.23051
2017,East,Yes,0.63373,4099,5573,0.62108,0.64638
2017,East,No,0.20450,1474,5573,0.19391,0.21509
2018,West,Yes,0.59956,14267,20032,0.59278,0.60635
2018,West,No,0.23091,5765,20032,0.22508,0.23675
2018,East,Yes,0.61599,4024,5472,0.60310,0.62888
2018,East,No,0.21855,1448,5472,0.20760,0.22950
2019,West,Yes,0.60566,14396,20050,0.59889,0.61242
2019,West,No,0.22009,5654,20050,0.21435,0.22582
2019,East,Yes,0.61876,4012,5529,0.60595,0.63156
2019,East,No,0.21879,1517,5529,0.20789,0.22969
2020,West,Yes,0.56007,14559,22610,0.55360,0.56654
2020,West,No,0.26629,8051,22610,0.26053,0.27206
2020,East,Yes,0.58392,3798,5685,0.57111,0.59674
2020,East,No,0.25325,1887,5685,0.24194,0.26455
2021,West,Yes,0.59269,9703,13528,0.58441,0.60097
2021,West,No,0.22790,3825,13528,0.22083,0.23497
2021,East,Yes,0.59603,2648,3617,0.58004,0.61203
2021,East,No,0.23383,969,3617,0.22004,0.24763
2022,West,Yes,0.49606,13712,20270,0.48918,0.50295
2022,West,No,0.22348,6558,20270,0.21775,0.22922
2022,East,Yes,0.49024,3565,5251,0.47671,0.50376
2022,East,No,0.22491,1686,5251,0.21362,0.23621
