year,regtyp,sex,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,Urban regions,female,No,0.25136,1084,3968,0.23786,0.26485
1988,Rural regions,male,Yes,0.63221,619,1008,0.60243,0.66200
1988,Rural regions,male,No,0.36779,389,1008,0.33800,0.39757
1988,Rural regions,female,Yes,0.73799,733,1047,0.71134,0.76464
1988,Rural regions,female,No,0.26201,314,1047,0.23536,0.28866
1989,Urban regions,male,Yes,0.60992,2214,3779,0.59436,0.62547
1989,Urban regions,male,No,0.39008,1565,3779,0.37453,0.40564
1989,Urban regions,female,Yes,0.76996,2896,3893,0.75673,0.78318
1989,Urban regions,female,No,0.23004,997,3893,0.21682,0.24327
1989,Rural regions,male,Yes,0.64535,601,970,0.61522,0.67547
1989,Rural regions,male,No,0.35465,369,970,0.32453,0.38478
1989,Rural regions,female,Yes,0.77184,733,985,0.74562,0.79806
1989,Rural regions,female,No,0.22816,252,985,0.20194,0.25438
1991,No answer / don't know,female,Yes,0.70854,32,32,0.54857,0.86852
1991,Urban regions,male,Yes,0.63304,2587,4274,0.61859,0.64750
1991,Urban regions,male,No,0.36696,1687,4274,0.35250,0.38141
1991,Urban regions,female,Yes,0.78056,3318,4458,0.76841,0.79271
1991,Urban regions,female,No,0.21944,1140,4458,0.20729,0.23159
1991,Rural regions,male,Yes,0.60711,1281,2282,0.58707,0.62715
1991,Rural regions,male,No,0.39289,1001,2282,0.37285,0.41293
1991,Rural regions,female,Yes,0.73317,1674,2410,0.71550,0.75083
1991,Rural regions,female,No,0.26683,736,2410,0.24917,0.28450
1992,No answer / don't know,male,No,0.65800,34,34,0.49614,0.81985
1992,No answer / don't know,female,Yes,0.80481,48,48,0.69149,0.91812
1992,Urban regions,male,Yes,0.64703,2538,4156,0.63250,0.66156
1992,Urban regions,male,No,0.35297,1618,4156,0.33844,0.36750
1992,Urban regions,female,Yes,0.76757,3283,4394,0.75508,0.78006
1992,Urban regions,female,No,0.23243,1111,4394,0.21994,0.24492
1992,Rural regions,male,Yes,0.61264,1279,2174,0.59216,0.63313
1992,Rural regions,male,No,0.38736,895,2174,0.36687,0.40784
1992,Rural regions,female,Yes,0.74812,1696,2315,0.73044,0.76581
1992,Rural regions,female,No,0.25188,619,2315,0.23419,0.26956
1994,Urban regions,male,Yes,0.70775,2772,4066,0.69376,0.72173
1994,Urban regions,male,No,0.29225,1294,4066,0.27827,0.30624
1994,Urban regions,female,Yes,0.82881,3560,4366,0.81763,0.83998
1994,Urban regions,female,No,0.17119,806,4366,0.16002,0.18237
1994,Rural regions,male,Yes,0.73092,1509,2118,0.71203,0.74981
1994,Rural regions,male,No,0.26908,609,2118,0.25019,0.28797
1994,Rural regions,female,Yes,0.85259,1891,2256,0.83796,0.86722
1994,Rural regions,female,No,0.14741,365,2256,0.13278,0.16204
1995,Urban regions,male,Yes,0.64918,2597,4166,0.63469,0.66367
1995,Urban regions,male,No,0.35082,1569,4166,0.33633,0.36531
1995,Urban regions,female,Yes,0.78217,3442,4502,0.77011,0.79423
1995,Urban regions,female,No,0.21783,1060,4502,0.20577,0.22989
1995,Rural regions,male,Yes,0.63696,1308,2189,0.61681,0.65711
1995,Rural regions,male,No,0.36304,881,2189,0.34289,0.38319
1995,Rural regions,female,Yes,0.80432,1802,2320,0.78817,0.82047
1995,Rural regions,female,No,0.19568,518,2320,0.17953,0.21183
1996,Urban regions,male,Yes,0.65802,2578,4068,0.64344,0.67260
1996,Urban regions,male,No,0.34198,1490,4068,0.32740,0.35656
1996,Urban regions,female,Yes,0.77700,3320,4393,0.76469,0.78931
1996,Urban regions,female,No,0.22300,1073,4393,0.21069,0.23531
1996,Rural regions,male,Yes,0.64669,1340,2153,0.62649,0.66688
1996,Rural regions,male,No,0.35331,813,2153,0.33312,0.37351
1996,Rural regions,female,Yes,0.79140,1757,2281,0.77472,0.80807
1996,Rural regions,female,No,0.20860,524,2281,0.19193,0.22528
1997,Urban regions,male,Yes,0.61830,2400,4042,0.60332,0.63328
1997,Urban regions,male,No,0.38170,1642,4042,0.36672,0.39668
1997,Urban regions,female,Yes,0.78843,3297,4309,0.77623,0.80062
1997,Urban regions,female,No,0.21157,1012,4309,0.19938,0.22377
1997,Rural regions,male,Yes,0.63310,1320,2146,0.61270,0.65350
1997,Rural regions,male,No,0.36690,826,2146,0.34650,0.38730
1997,Rural regions,female,Yes,0.78589,1735,2278,0.76904,0.80274
1997,Rural regions,female,No,0.21411,543,2278,0.19726,0.23096
1998,Urban regions,male,Yes,0.60589,2608,4436,0.59151,0.62027
1998,Urban regions,male,No,0.39411,1828,4436,0.37973,0.40849
1998,Urban regions,female,Yes,0.75658,3521,4766,0.74439,0.76877
1998,Urban regions,female,No,0.24342,1245,4766,0.23123,0.25561
1998,Rural regions,male,Yes,0.61226,1434,2407,0.59279,0.63173
1998,Rural regions,male,No,0.38774,973,2407,0.36827,0.40721
1998,Rural regions,female,Yes,0.75565,1867,2520,0.73887,0.77243
1998,Rural regions,female,No,0.24435,653,2520,0.22757,0.26113
1999,Urban regions,male,Yes,0.62532,2607,4267,0.61080,0.63985
1999,Urban regions,male,No,0.37468,1660,4267,0.36015,0.38920
1999,Urban regions,female,Yes,0.78473,3503,4575,0.77282,0.79664
1999,Urban regions,female,No,0.21527,1072,4575,0.20336,0.22718
1999,Rural regions,male,Yes,0.64660,1482,2313,0.62711,0.66609
1999,Rural regions,male,No,0.35340,831,2313,0.33391,0.37289
1999,Rural regions,female,Yes,0.78234,1911,2457,0.76602,0.79866
1999,Rural regions,female,No,0.21766,546,2457,0.20134,0.23398
2000,Urban regions,male,Yes,0.61191,4541,7498,0.60088,0.62294
2000,Urban regions,male,No,0.38809,2957,7498,0.37706,0.39912
2000,Urban regions,female,Yes,0.74746,6038,8177,0.73804,0.75687
2000,Urban regions,female,No,0.25254,2139,8177,0.24313,0.26196
2000,Rural regions,male,Yes,0.61957,2470,4037,0.60460,0.63455
2000,Rural regions,male,No,0.38043,1567,4037,0.36545,0.39540
2000,Rural regions,female,Yes,0.76647,3239,4300,0.75382,0.77912
2000,Rural regions,female,No,0.23353,1061,4300,0.22088,0.24618
2001,Urban regions,male,Yes,0.61607,4134,6808,0.60451,0.62762
2001,Urban regions,male,No,0.38393,2674,6808,0.37238,0.39549
2001,Urban regions,female,Yes,0.76497,5633,7468,0.75535,0.77459
2001,Urban regions,female,No,0.23503,1835,7468,0.22541,0.24465
2001,Rural regions,male,Yes,0.62733,2304,3677,0.61170,0.64296
2001,Rural regions,male,No,0.37267,1373,3677,0.35704,0.38830
2001,Rural regions,female,Yes,0.77250,2968,3884,0.75931,0.78569
2001,Rural regions,female,No,0.22750,916,3884,0.21431,0.24069
2002,Urban regions,male,Yes,0.60090,4440,7344,0.58970,0.61210
2002,Urban regions,male,No,0.39910,2904,7344,0.38790,0.41030
2002,Urban regions,female,Yes,0.75339,5870,7910,0.74389,0.76289
2002,Urban regions,female,No,0.24661,2040,7910,0.23711,0.25611
2002,Rural regions,male,Yes,0.62011,2325,3751,0.60458,0.63565
2002,Rural regions,male,No,0.37989,1426,3751,0.36435,0.39542
2002,Rural regions,female,Yes,0.74232,2911,3955,0.72869,0.75595
2002,Rural regions,female,No,0.25768,1044,3955,0.24405,0.27131
2003,Urban regions,male,Yes,0.63432,4471,7045,0.62307,0.64557
2003,Urban regions,male,No,0.36568,2574,7045,0.35443,0.37693
2003,Urban regions,female,Yes,0.75397,5708,7624,0.74431,0.76364
2003,Urban regions,female,No,0.24603,1916,7624,0.23636,0.25569
2003,Rural regions,male,Yes,0.63835,2264,3578,0.62261,0.65410
2003,Rural regions,male,No,0.36165,1314,3578,0.34590,0.37739
2003,Rural regions,female,Yes,0.76764,2848,3801,0.75421,0.78106
2003,Rural regions,female,No,0.23236,953,3801,0.21894,0.24579
2004,Urban regions,male,Yes,0.60960,4151,6858,0.59805,0.62114
2004,Urban regions,male,No,0.39040,2707,6858,0.37886,0.40195
2004,Urban regions,female,Yes,0.75732,5541,7465,0.74760,0.76705
2004,Urban regions,female,No,0.24268,1924,7465,0.23295,0.25240
2004,Rural regions,male,Yes,0.62850,2153,3492,0.61247,0.64452
2004,Rural regions,male,No,0.37150,1339,3492,0.35548,0.38753
2004,Rural regions,female,Yes,0.74585,2743,3717,0.73185,0.75985
2004,Rural regions,female,No,0.25415,974,3717,0.24015,0.26815
2005,Urban regions,male,Yes,0.63119,4093,6546,0.61950,0.64288
2005,Urban regions,male,No,0.36881,2453,6546,0.35712,0.38050
2005,Urban regions,female,Yes,0.76316,5430,7177,0.75333,0.77300
2005,Urban regions,female,No,0.23684,1747,7177,0.22700,0.24667
2005,Rural regions,male,Yes,0.63685,2083,3302,0.62045,0.65326
2005,Rural regions,male,No,0.36315,1219,3302,0.34674,0.37955
2005,Rural regions,female,Yes,0.74249,2655,3571,0.72815,0.75684
2005,Rural regions,female,No,0.25751,916,3571,0.24316,0.27185
2006,Urban regions,male,Yes,0.61735,4306,6884,0.60586,0.62883
2006,Urban regions,male,No,0.38265,2578,6884,0.37117,0.39414
2006,Urban regions,female,Yes,0.75137,5617,7575,0.74163,0.76110
2006,Urban regions,female,No,0.24863,1958,7575,0.23890,0.25837
2006,Rural regions,male,Yes,0.62618,2218,3569,0.61030,0.64206
2006,Rural regions,male,No,0.37382,1351,3569,0.35794,0.38970
2006,Rural regions,female,Yes,0.74086,2866,3895,0.72710,0.75462
2006,Rural regions,female,No,0.25914,1029,3895,0.24538,0.27290
2007,Urban regions,male,Yes,0.63680,4061,6356,0.62498,0.64863
2007,Urban regions,male,No,0.36320,2295,6356,0.35137,0.37502
2007,Urban regions,female,Yes,0.76583,5391,7066,0.75595,0.77570
2007,Urban regions,female,No,0.23417,1675,7066,0.22430,0.24405
2007,Rural regions,male,Yes,0.63694,2178,3369,0.62070,0.65318
2007,Rural regions,male,No,0.36306,1191,3369,0.34682,0.37930
2007,Rural regions,female,Yes,0.76932,2746,3624,0.75560,0.78303
2007,Rural regions,female,No,0.23068,878,3624,0.21697,0.24440
2008,Urban regions,male,Yes,0.63689,3878,5988,0.62470,0.64907
2008,Urban regions,male,No,0.36311,2110,5988,0.35093,0.37530
2008,Urban regions,female,Yes,0.77004,5089,6656,0.75993,0.78015
2008,Urban regions,female,No,0.22996,1567,6656,0.21985,0.24007
2008,Rural regions,male,Yes,0.64467,2051,3175,0.62802,0.66132
2008,Rural regions,male,No,0.35533,1124,3175,0.33868,0.37198
2008,Rural regions,female,Yes,0.75613,2570,3408,0.74171,0.77055
2008,Rural regions,female,No,0.24387,838,3408,0.22945,0.25829
2009,Urban regions,male,Yes,0.65408,3713,5530,0.64154,0.66661
2009,Urban regions,male,No,0.34592,1817,5530,0.33339,0.35846
2009,Urban regions,female,Yes,0.77915,4765,6143,0.76878,0.78953
2009,Urban regions,female,No,0.22085,1378,6143,0.21047,0.23122
2009,Rural regions,male,Yes,0.64058,2007,3024,0.62347,0.65768
2009,Rural regions,male,No,0.35942,1017,3024,0.34232,0.37653
2009,Rural regions,female,Yes,0.76687,2526,3238,0.75230,0.78143
2009,Rural regions,female,No,0.23313,712,3238,0.21857,0.24770
2010,Urban regions,male,Yes,0.64253,4434,7052,0.63135,0.65372
2010,Urban regions,male,No,0.35747,2618,7052,0.34628,0.36865
2010,Urban regions,female,Yes,0.76166,6266,8527,0.75261,0.77070
2010,Urban regions,female,No,0.23834,2261,8527,0.22930,0.24739
2010,Rural regions,male,Yes,0.66370,2399,3791,0.64866,0.67874
2010,Rural regions,male,No,0.33630,1392,3791,0.32126,0.35134
2010,Rural regions,female,Yes,0.77109,3303,4448,0.75874,0.78343
2010,Rural regions,female,No,0.22891,1145,4448,0.21657,0.24126
2011,Urban regions,male,Yes,0.65470,5367,8166,0.64439,0.66501
2011,Urban regions,male,No,0.34530,2799,8166,0.33499,0.35561
2011,Urban regions,female,Yes,0.77172,7539,10002,0.76349,0.77994
2011,Urban regions,female,No,0.22828,2463,10002,0.22006,0.23651
2011,Rural regions,male,Yes,0.68154,3016,4657,0.66816,0.69492
2011,Rural regions,male,No,0.31846,1641,4657,0.30508,0.33184
2011,Rural regions,female,Yes,0.77706,4068,5487,0.76605,0.78808
2011,Rural regions,female,No,0.22294,1419,5487,0.21192,0.23395
2012,Urban regions,male,Yes,0.65544,5169,7879,0.64495,0.66594
2012,Urban regions,male,No,0.34456,2710,7879,0.33406,0.35505
2012,Urban regions,female,Yes,0.77493,7285,9592,0.76658,0.78329
2012,Urban regions,female,No,0.22507,2307,9592,0.21671,0.23342
2012,Rural regions,male,Yes,0.65750,2974,4624,0.64382,0.67118
2012,Rural regions,male,No,0.34250,1650,4624,0.32882,0.35618
2012,Rural regions,female,Yes,0.76391,4068,5436,0.75262,0.77520
2012,Rural regions,female,No,0.23609,1368,5436,0.22480,0.24738
2013,Urban regions,male,Yes,0.70052,5014,7333,0.69004,0.71101
2013,Urban regions,male,No,0.29948,2319,7333,0.28899,0.30996
2013,Urban regions,female,Yes,0.79867,6897,8980,0.79037,0.80696
2013,Urban regions,female,No,0.20133,2083,8980,0.19304,0.20963
2013,Rural regions,male,Yes,0.69419,2925,4276,0.68038,0.70800
2013,Rural regions,male,No,0.30581,1351,4276,0.29200,0.31962
2013,Rural regions,female,Yes,0.77460,3815,5056,0.76308,0.78612
2013,Rural regions,female,No,0.22540,1241,5056,0.21388,0.23692
2014,Urban regions,male,Yes,0.65635,5198,8042,0.64597,0.66673
2014,Urban regions,male,No,0.34365,2844,8042,0.33327,0.35403
2014,Urban regions,female,Yes,0.77144,7153,9554,0.76302,0.77986
2014,Urban regions,female,No,0.22856,2401,9554,0.22014,0.23698
2014,Rural regions,male,Yes,0.67206,2880,4350,0.65810,0.68601
2014,Rural regions,male,No,0.32794,1470,4350,0.31399,0.34190
2014,Rural regions,female,Yes,0.76284,3724,5034,0.75109,0.77460
2014,Rural regions,female,No,0.23716,1310,5034,0.22540,0.24891
2015,Urban regions,male,Yes,0.65706,4737,7363,0.64621,0.66790
2015,Urban regions,male,No,0.34294,2626,7363,0.33210,0.35379
2015,Urban regions,female,Yes,0.77677,6633,8787,0.76806,0.78547
2015,Urban regions,female,No,0.22323,2154,8787,0.21453,0.23194
2015,Rural regions,male,Yes,0.69534,2715,4063,0.68118,0.70949
2015,Rural regions,male,No,0.30466,1348,4063,0.29051,0.31882
2015,Rural regions,female,Yes,0.76288,3521,4747,0.75078,0.77498
2015,Rural regions,female,No,0.23712,1226,4747,0.22502,0.24922
2016,Urban regions,male,Yes,0.65746,4552,7114,0.64643,0.66849
2016,Urban regions,male,No,0.34254,2562,7114,0.33151,0.35357
2016,Urban regions,female,Yes,0.76535,6332,8515,0.75635,0.77435
2016,Urban regions,female,No,0.23465,2183,8515,0.22565,0.24365
2016,Rural regions,male,Yes,0.66068,2544,3897,0.64581,0.67555
2016,Rural regions,male,No,0.33932,1353,3897,0.32445,0.35419
2016,Rural regions,female,Yes,0.75421,3303,4529,0.74167,0.76675
2016,Rural regions,female,No,0.24579,1226,4529,0.23325,0.25833
2017,Urban regions,male,Yes,0.68718,5291,7819,0.67690,0.69746
2017,Urban regions,male,No,0.31282,2528,7819,0.30254,0.32310
2017,Urban regions,female,Yes,0.76848,6932,9220,0.75987,0.77709
2017,Urban regions,female,No,0.23152,2288,9220,0.22291,0.24013
2017,Rural regions,male,Yes,0.69999,2968,4353,0.68637,0.71360
2017,Rural regions,male,No,0.30001,1385,4353,0.28640,0.31363
2017,Rural regions,female,Yes,0.77976,3732,4952,0.76822,0.79130
2017,Rural regions,female,No,0.22024,1220,4952,0.20870,0.23178
2018,Urban regions,male,Yes,0.67202,5083,7601,0.66146,0.68257
2018,Urban regions,male,No,0.32798,2518,7601,0.31743,0.33854
2018,Urban regions,female,Yes,0.77132,6813,8988,0.76264,0.78001
2018,Urban regions,female,No,0.22868,2175,8988,0.21999,0.23736
2018,Rural regions,male,Yes,0.69275,2828,4140,0.67869,0.70680
2018,Rural regions,male,No,0.30725,1312,4140,0.29320,0.32131
2018,Rural regions,female,Yes,0.76453,3567,4775,0.75250,0.77657
2018,Rural regions,female,No,0.23547,1208,4775,0.22343,0.24750
2019,No answer / don't know,male,Yes,0.72536,231,297,0.67451,0.77621
2019,No answer / don't know,male,No,0.27464,66,297,0.22379,0.32549
2019,No answer / don't know,female,Yes,0.76714,191,251,0.71475,0.81953
2019,No answer / don't know,female,No,0.23286,60,251,0.18047,0.28525
2019,Urban regions,male,Yes,0.68060,5269,7751,0.67022,0.69098
2019,Urban regions,male,No,0.31940,2482,7751,0.30902,0.32978
2019,Urban regions,female,Yes,0.77574,6522,8593,0.76692,0.78456
2019,Urban regions,female,No,0.22426,2071,8593,0.21544,0.23308
2019,Rural regions,male,Yes,0.70544,2842,4194,0.69164,0.71924
2019,Rural regions,male,No,0.29456,1352,4194,0.28076,0.30836
2019,Rural regions,female,Yes,0.78246,3404,4563,0.77049,0.79443
2019,Rural regions,female,No,0.21754,1159,4563,0.20557,0.22951
2020,Urban regions,male,Yes,0.62562,5538,9344,0.61581,0.63544
2020,Urban regions,male,No,0.37438,3806,9344,0.36456,0.38419
2020,Urban regions,female,Yes,0.73126,6721,9638,0.72241,0.74011
2020,Urban regions,female,No,0.26874,2917,9638,0.25989,0.27759
2020,Rural regions,male,Yes,0.63168,2774,4563,0.61768,0.64568
2020,Rural regions,male,No,0.36832,1789,4563,0.35432,0.38232
2020,Rural regions,female,Yes,0.73590,3318,4743,0.72335,0.74845
2020,Rural regions,female,No,0.26410,1425,4743,0.25155,0.27665
2021,Urban regions,male,Yes,0.69567,3721,5329,0.68332,0.70803
2021,Urban regions,male,No,0.30433,1608,5329,0.29197,0.31668
2021,Urban regions,female,Yes,0.75756,4527,6030,0.74675,0.76838
2021,Urban regions,female,No,0.24244,1503,6030,0.23162,0.25325
2021,Rural regions,male,Yes,0.67510,1862,2738,0.65756,0.69265
2021,Rural regions,male,No,0.32490,876,2738,0.30735,0.34244
2021,Rural regions,female,Yes,0.74218,2234,3040,0.72663,0.75773
2021,Rural regions,female,No,0.25782,806,3040,0.24227,0.27337
2022,Urban regions,male,Yes,0.63301,5450,8713,0.62288,0.64313
2022,Urban regions,male,No,0.36699,3263,8713,0.35687,0.37712
2022,Urban regions,female,Yes,0.73849,6398,8827,0.72932,0.74765
2022,Urban regions,female,No,0.26151,2429,8827,0.25235,0.27068
2022,Rural regions,male,Yes,0.66272,2433,3823,0.64773,0.67771
2022,Rural regions,male,No,0.33728,1390,3823,0.32229,0.35227
2022,Rural regions,female,Yes,0.72752,2984,4138,0.71395,0.74108
2022,Rural regions,female,No,0.27248,1154,4138,0.25892,0.28605
